,importance
lowLevel.hfc.mean,11.051522871755878
lowLevel.spectral_energyband_middle_high.mean,4.386181523807409
lowLevel.spectral_energy.mean,2.2450793497446284
lowLevel.barkbands.mean.16,2.230477115524991
lowLevel.spectral_rms.stdev,2.13099111696647
lowLevel.spectral_strongpeak.mean,1.3883426958800555
lowLevel.barkbands.mean.18,1.213816586896428
lowLevel.mfcc.stdev.8,1.0707853764361062
lowLevel.spectral_strongpeak.stdev,1.0167185192931356
lowLevel.barkbands.mean.17,0.9047899665674777
lowLevel.scvalleys.mean.4,0.8647701978588884
lowLevel.spectral_energyband_high.mean,0.8612199194212735
lowLevel.spectral_flux.mean,0.8462040884624003
lowLevel.spectral_energyband_middle_low.stdev,0.8019168218452251
lowLevel.spectral_complexity.stdev,0.7852555113495328
lowLevel.pitch_instantaneous_confidence.stdev,0.7597742103753262
lowLevel.barkbands.mean.26,0.7471442692990422
lowLevel.sccoeffs.mean.5,0.7085106760860072
lowLevel.mfcc.stdev.7,0.6899748349023866
lowLevel.spectral_complexity.mean,0.644628749731055
lowLevel.barkbands.mean.21,0.5990077710212063
lowLevel.spectral_rms.mean,0.5488918018745608
lowLevel.barkbands.mean.15,0.5398539659727248
lowLevel.mfcc.stdev.9,0.5076938040324421
lowLevel.spectral_energy.stdev,0.5036551181292452
lowLevel.scvalleys.mean.3,0.4808253793089534
lowLevel.hfc.stdev,0.47854560079576913
lowLevel.silence_rate_60dB.mean,0.4727456628534128
lowLevel.mfcc.stdev.10,0.4566351151033814
lowLevel.barkbands.mean.14,0.4527465600549476
lowLevel.barkbands.mean.22,0.4422398075257661
lowLevel.barkbands.stdev.3,0.4333966074627824
lowLevel.mfcc.stdev.0,0.4093648393509284
lowLevel.scvalleys.mean.5,0.3985855452774558
lowLevel.barkbands.stdev.26,0.39149519632428564
lowLevel.mfcc.stdev.11,0.38360773389285896
lowLevel.mfcc.stdev.6,0.37414765910216374
lowLevel.barkbands.mean.4,0.36600216123952123
lowLevel.spectral_kurtosis.mean,0.3501689164677373
lowLevel.barkbands.stdev.9,0.34618193375717965
lowLevel.dissonance.mean,0.3432974632596597
lowLevel.spectral_energyband_middle_low.mean,0.34248745814329595
lowLevel.barkbands.mean.5,0.30911163689324894
lowLevel.mfcc.mean.7,0.30810500946608954
lowLevel.spectral_decrease.mean,0.307311471333378
lowLevel.barkbands.mean.8,0.3030563967186026
lowLevel.spectral_energyband_middle_high.stdev,0.2973607116200583
lowLevel.barkbands_spread.stdev,0.2958033102004265
lowLevel.barkbands.mean.20,0.2852044557512272
lowLevel.pitch_salience.mean,0.28056776385346893
lowLevel.barkbands.stdev.5,0.2795446806876498
lowLevel.barkbands.mean.25,0.2784866568763391
lowLevel.barkbands.stdev.4,0.27438196538423654
lowLevel.barkbands.mean.10,0.271391904225311
lowLevel.barkbands.stdev.23,0.2629256072323187
lowLevel.barkbands.stdev.25,0.2538489318831125
lowLevel.barkbands.mean.3,0.24341567715600831
lowLevel.mfcc.mean.0,0.24315684625616996
lowLevel.mfcc.stdev.5,0.24284519921639003
sfx.inharmonicity.stdev,0.23430772832216462
lowLevel.sccoeffs.mean.2,0.2250291996042506
sfx.tristimulus.stdev.0,0.22423922876441793
lowLevel.barkbands.mean.12,0.22205276252134354
lowLevel.spectral_decrease.stdev,0.22118519543801085
lowLevel.barkbands.stdev.16,0.21973779215841205
lowLevel.spectral_flatness_db.mean,0.21893337805158808
lowLevel.pitch_instantaneous_confidence.mean,0.21241436042328132
lowLevel.barkbands.mean.11,0.2097611273129587
lowLevel.barkbands.mean.0,0.2018991902095877
sfx.tristimulus.stdev.1,0.20048601617327222
lowLevel.mfcc.stdev.12,0.19591923947177747
lowLevel.mfcc.stdev.1,0.1924628595879767
lowLevel.scvalleys.stdev.1,0.19186338848976447
lowLevel.mfcc.stdev.2,0.19138471509904775
lowLevel.barkbands.stdev.7,0.18394050177448662
lowLevel.barkbands.mean.19,0.17688981781248003
lowLevel.sccoeffs.mean.0,0.1741760610275378
lowLevel.sccoeffs.mean.1,0.17392196114815306
