,importance
lowLevel.hfc.mean,707.6207615783533
lowLevel.spectral_complexity.stdev,107.5926621821418
lowLevel.spectral_energy.mean,81.75979319994804
lowLevel.spectral_complexity.mean,75.53233797859866
lowLevel.hfc.stdev,27.682786088436842
lowLevel.spectral_energyband_middle_high.mean,24.77228671488683
lowLevel.spectral_energyband_middle_high.stdev,19.10055444034515
lowLevel.mfcc.mean.0,9.813041609675565
lowLevel.spectral_strongpeak.mean,7.984324520301016
lowLevel.barkbands.mean.12,5.327456020400859
lowLevel.barkbands.mean.11,4.733993477304466
lowLevel.spectral_energyband_middle_low.mean,3.3600613356393296
lowLevel.spectral_rms.mean,2.6304982361689326
lowLevel.spectral_energyband_middle_low.stdev,1.9833309523446587
lowLevel.barkbands.stdev.8,1.793724687449867
lowLevel.silence_rate_60dB.mean,1.37897508952301
lowLevel.barkbands.mean.22,1.2328908703448178
lowLevel.barkbands.mean.17,1.1665460465592332
lowLevel.scvalleys.mean.3,1.1183221419341862
lowLevel.barkbands.mean.8,1.0795441397785908
lowLevel.spectral_energyband_high.mean,1.0193160851486027
lowLevel.barkbands.stdev.9,0.9077316168841207
lowLevel.barkbands.mean.13,0.7593959655496292
lowLevel.barkbands.stdev.11,0.7506939025188331
lowLevel.barkbands.stdev.12,0.7418142879614606
lowLevel.barkbands.mean.26,0.739192358290893
lowLevel.mfcc.stdev.9,0.7156083441514056
lowLevel.spectral_skewness.stdev,0.6982348991150502
lowLevel.pitch_instantaneous_confidence.stdev,0.6749475346878171
lowLevel.barkbands.mean.24,0.6520565169048496
lowLevel.mfcc.stdev.7,0.5549045007210225
lowLevel.mfcc.stdev.8,0.5391135771787958
lowLevel.barkbands.mean.10,0.5373149060915239
sfx.tristimulus.stdev.1,0.5163635469913288
lowLevel.sccoeffs.stdev.2,0.5146715971524003
lowLevel.spectral_kurtosis.stdev,0.4258356823283975
lowLevel.mfcc.mean.8,0.42093999024655204
lowLevel.barkbands.mean.14,0.3745925568291568
lowLevel.mfcc.stdev.2,0.35453974502161145
lowLevel.barkbands.stdev.17,0.34370089159347117
lowLevel.mfcc.stdev.10,0.3417151037929642
sfx.tristimulus.stdev.0,0.3359976432475378
lowLevel.sccoeffs.mean.2,0.32944338474044343
lowLevel.sccoeffs.mean.1,0.3161336051634862
lowLevel.barkbands.stdev.26,0.3149100687878672
lowLevel.barkbands.stdev.7,0.3106274868478067
lowLevel.mfcc.stdev.0,0.307530001118721
lowLevel.barkbands.mean.7,0.30680814325023675
lowLevel.spectral_rms.stdev,0.2797906086780131
lowLevel.barkbands.mean.18,0.26131883563266456
lowLevel.barkbands.mean.25,0.261099689087132
lowLevel.barkbands.stdev.10,0.2502274004800711
lowLevel.pitch.mean,0.2473080316776759
lowLevel.spectral_spread.mean,0.23210531240692944
lowLevel.barkbands.mean.6,0.23166529648005962
