,importance
lowLevel.spectral_energyband_middle_high.mean,32.9216100997146
lowLevel.hfc.mean,29.936008302145638
lowLevel.spectral_energyband_middle_low.mean,18.099585055897478
lowLevel.barkbands.stdev.4,12.592716807615943
lowLevel.barkbands.mean.18,9.623539164604153
lowLevel.spectral_complexity.mean,7.485399473865982
lowLevel.spectral_energyband_middle_low.stdev,5.9748111587250605
lowLevel.mfcc.stdev.0,5.590389825927559
lowLevel.hfc.stdev,5.356463623174932
lowLevel.mfcc.stdev.8,5.026655765977921
lowLevel.barkbands.mean.17,4.638146412646165
lowLevel.barkbands.stdev.3,4.365698707057163
lowLevel.spectral_complexity.stdev,4.066342786187306
lowLevel.spectral_energy.stdev,3.9602465645002667
lowLevel.mfcc.stdev.10,3.363653172214981
lowLevel.sccoeffs.mean.4,3.2963663385016844
lowLevel.spectral_rms.stdev,3.0275177964067552
lowLevel.spectral_energyband_middle_high.stdev,3.0065462505153846
lowLevel.spectral_energyband_high.mean,2.977963975223247
lowLevel.barkbands.stdev.26,2.876300437928876
lowLevel.scvalleys.stdev.4,2.6826741113036405
lowLevel.sccoeffs.mean.5,2.640754322783323
lowLevel.mfcc.stdev.9,2.5473997798690107
lowLevel.spectral_spread.mean,2.323352664883714
lowLevel.barkbands.mean.20,1.9964379757002462
lowLevel.pitch_instantaneous_confidence.stdev,1.8907549013383687
lowLevel.spectral_energy.mean,1.8316631700727157
lowLevel.mfcc.mean.1,1.68509333813563
lowLevel.spectral_strongpeak.mean,1.5677305990830064
lowLevel.spectral_strongpeak.stdev,1.5379439910466317
lowLevel.scvalleys.stdev.3,1.4790047757851426
lowLevel.spectral_kurtosis.mean,1.410405365866609
lowLevel.silence_rate_60dB.mean,1.271886584290769
lowLevel.barkbands.mean.5,1.270658392837504
lowLevel.scvalleys.mean.5,1.2656034591927892
lowLevel.mfcc.stdev.7,1.2308852575661149
lowLevel.spectral_rms.mean,1.1884135522996075
lowLevel.sccoeffs.mean.3,1.1647402035305277
lowLevel.zerocrossingrate.stdev,0.9429185228073038
lowLevel.scvalleys.stdev.2,0.9376992279430851
lowLevel.mfcc.stdev.12,0.9120326750125969
lowLevel.sccoeffs.mean.2,0.8609673006285448
lowLevel.mfcc.stdev.11,0.8605845172423869
lowLevel.sccoeffs.stdev.2,0.8428946339117829
lowLevel.barkbands.stdev.20,0.8368353868136182
lowLevel.barkbands.mean.19,0.7858070701477118
lowLevel.scvalleys.mean.4,0.7641258229268715
lowLevel.spectral_energyband_high.stdev,0.7218699437798932
sfx.oddtoevenharmonicenergyratio.stdev,0.7044378564169165
lowLevel.barkbands.mean.25,0.6769036766199861
lowLevel.scvalleys.stdev.1,0.6499570257728919
lowLevel.barkbands.stdev.12,0.627185632387409
lowLevel.spectral_flux.mean,0.6192017354769632
lowLevel.silence_rate_60dB.stdev,0.5993323218426667
lowLevel.mfcc.mean.8,0.5834099854691885
lowLevel.barkbands_spread.stdev,0.5674353296926711
sfx.tristimulus.stdev.1,0.5636990068596788
lowLevel.spectral_decrease.mean,0.5573300709365867
lowLevel.barkbands.stdev.11,0.5250308770919219
lowLevel.barkbands.mean.26,0.5175883691408671
lowLevel.spectral_crest.stdev,0.5143428481533192
lowLevel.barkbands.mean.10,0.5117884431383573
lowLevel.barkbands.mean.21,0.48746832567849196
lowLevel.barkbands.stdev.10,0.4689744641073048
lowLevel.sccoeffs.stdev.1,0.46431879702140577
lowLevel.spectral_flux.stdev,0.4567864511627704
lowLevel.barkbands.stdev.22,0.455410201306222
lowLevel.barkbands.stdev.16,0.43208627292187884
lowLevel.scvalleys.mean.2,0.41542845591902733
lowLevel.barkbands.mean.22,0.38633942819433287
