,importance
lowLevel.hfc.mean,349.8826604316964
lowLevel.hfc.stdev,122.01067841322583
lowLevel.spectral_complexity.mean,82.80580971905692
lowLevel.barkbands.mean.15,72.70519702730235
lowLevel.spectral_energyband_middle_high.stdev,64.97956093850371
lowLevel.spectral_energy.mean,34.61401371966349
lowLevel.spectral_strongpeak.mean,18.72856600806699
lowLevel.spectral_energyband_middle_high.mean,15.677586406000046
lowLevel.barkbands.mean.14,7.3721349718416604
lowLevel.spectral_complexity.stdev,5.846135348001553
lowLevel.barkbands.stdev.9,4.726858024067042
lowLevel.mfcc.mean.0,4.094741791333945
lowLevel.barkbands.mean.11,3.83076178196643
lowLevel.barkbands.mean.17,3.6602624454499164
lowLevel.spectral_flux.mean,2.6321318639966194
lowLevel.silence_rate_60dB.mean,2.081011897751523
lowLevel.barkbands.mean.12,1.8106343023719091
lowLevel.barkbands.mean.22,1.7261062621091696
lowLevel.barkbands.mean.20,1.5845252697836258
lowLevel.barkbands.mean.9,1.5221552105504088
lowLevel.spectral_strongpeak.stdev,1.3909662357236812
lowLevel.barkbands.mean.24,1.2085816998660448
lowLevel.barkbands.mean.18,1.1132288488151971
lowLevel.spectral_energyband_high.mean,1.1024715115127037
lowLevel.barkbands.stdev.8,1.1005996459207381
lowLevel.barkbands.mean.23,1.0625553977261006
lowLevel.spectral_energyband_middle_low.mean,0.979786564817914
lowLevel.spectral_rms.mean,0.9137175142241176
lowLevel.spectral_kurtosis.stdev,0.8077062631564331
lowLevel.barkbands.stdev.11,0.7951081324827101
lowLevel.barkbands.mean.19,0.7826555712308618
lowLevel.mfcc.stdev.9,0.5842600728865364
lowLevel.barkbands.mean.10,0.5784753214793454
lowLevel.barkbands.mean.6,0.5687022075198911
lowLevel.barkbands.mean.26,0.5634362708569824
lowLevel.mfcc.stdev.7,0.5623915641990607
lowLevel.barkbands.stdev.5,0.5524918912597059
lowLevel.barkbands.mean.8,0.5521371942668338
lowLevel.scvalleys.mean.5,0.5443356271425728
lowLevel.barkbands.mean.5,0.4434452625519043
lowLevel.spectral_decrease.mean,0.42751467898415285
lowLevel.barkbands.stdev.12,0.4114031589924707
lowLevel.barkbands.stdev.7,0.3977862014926359
lowLevel.spectral_kurtosis.mean,0.3877847860348993
lowLevel.sccoeffs.mean.3,0.3875686471037625
lowLevel.barkbands.stdev.21,0.343914443426911
sfx.tristimulus.stdev.0,0.3383372540210985
lowLevel.mfcc.stdev.10,0.33128537956872606
lowLevel.barkbands.mean.13,0.3089501678823581
lowLevel.sccoeffs.mean.5,0.30567691824035137
lowLevel.barkbands.stdev.18,0.28728182263148483
sfx.tristimulus.stdev.1,0.27812241373794677
lowLevel.mfcc.mean.8,0.25314591586175084
lowLevel.barkbands.mean.7,0.2493939455052896
lowLevel.barkbands_skewness.stdev,0.2480354224680923
lowLevel.sccoeffs.stdev.2,0.24479279798924836
lowLevel.spectral_rms.stdev,0.24215911689316272
lowLevel.spectral_energyband_middle_low.stdev,0.24079779920430155
lowLevel.barkbands.stdev.20,0.22871861916792113
lowLevel.spectral_skewness.stdev,0.22428330157708842
lowLevel.mfcc.stdev.8,0.22079822561863693
lowLevel.barkbands.stdev.6,0.21155759580506128
lowLevel.scvalleys.mean.4,0.21091180769144557
lowLevel.barkbands_kurtosis.stdev,0.19986986956064356
lowLevel.spectral_energyband_low.mean,0.19368980854414986
sfx.tristimulus.mean.2,0.19085609681496862
lowLevel.barkbands.mean.16,0.18991402726896922
lowLevel.spectral_rolloff.mean,0.18940234786714427
lowLevel.sccoeffs.mean.0,0.18764389517673408
lowLevel.barkbands.stdev.14,0.18743963314409484
lowLevel.mfcc.stdev.2,0.1809173380715947
lowLevel.pitch_instantaneous_confidence.stdev,0.17428517277767241
lowLevel.barkbands.stdev.17,0.16542203363133012
lowLevel.sccoeffs.mean.2,0.16357020822579216
lowLevel.spectral_crest.stdev,0.15387044716408127
lowLevel.barkbands.stdev.4,0.15031021665708977
lowLevel.sccoeffs.mean.1,0.14699136878516583
lowLevel.barkbands.stdev.15,0.1448473846012348
lowLevel.sccoeffs.mean.4,0.14484591283689952
lowLevel.dissonance.mean,0.13714996825365233
lowLevel.spectral_energy.stdev,0.13679071910155471
