descriptor,feature,importance
acoustic,lowLevel.hfc.mean,11.051522871755878
acoustic,lowLevel.spectral_energyband_middle_high.mean,4.386181523807409
acoustic,lowLevel.spectral_energy.mean,2.2450793497446284
acoustic,lowLevel.barkbands.mean.16,2.230477115524991
acoustic,lowLevel.spectral_rms.stdev,2.13099111696647
acoustic,lowLevel.spectral_strongpeak.mean,1.3883426958800555
acoustic,lowLevel.barkbands.mean.18,1.213816586896428
acoustic,lowLevel.mfcc.stdev.8,1.0707853764361062
acoustic,lowLevel.spectral_strongpeak.stdev,1.0167185192931356
acoustic,lowLevel.barkbands.mean.17,0.9047899665674777
acoustic,lowLevel.scvalleys.mean.4,0.8647701978588884
acoustic,lowLevel.spectral_energyband_high.mean,0.8612199194212735
acoustic,lowLevel.spectral_flux.mean,0.8462040884624003
acoustic,lowLevel.spectral_energyband_middle_low.stdev,0.8019168218452251
acoustic,lowLevel.spectral_complexity.stdev,0.7852555113495328
acoustic,lowLevel.pitch_instantaneous_confidence.stdev,0.7597742103753262
acoustic,lowLevel.barkbands.mean.26,0.7471442692990422
acoustic,lowLevel.sccoeffs.mean.5,0.7085106760860072
acoustic,lowLevel.mfcc.stdev.7,0.6899748349023866
acoustic,lowLevel.spectral_complexity.mean,0.644628749731055
acoustic,lowLevel.barkbands.mean.21,0.5990077710212063
acoustic,lowLevel.spectral_rms.mean,0.5488918018745608
acoustic,lowLevel.barkbands.mean.15,0.5398539659727248
acoustic,lowLevel.mfcc.stdev.9,0.5076938040324421
acoustic,lowLevel.spectral_energy.stdev,0.5036551181292452
acoustic,lowLevel.scvalleys.mean.3,0.4808253793089534
acoustic,lowLevel.hfc.stdev,0.47854560079576913
acoustic,lowLevel.silence_rate_60dB.mean,0.4727456628534128
acoustic,lowLevel.mfcc.stdev.10,0.4566351151033814
acoustic,lowLevel.barkbands.mean.14,0.4527465600549476
acoustic,lowLevel.barkbands.mean.22,0.4422398075257661
acoustic,lowLevel.barkbands.stdev.3,0.4333966074627824
