,importance
lowLevel.hfc.mean,46.14989711708064
lowLevel.spectral_energyband_middle_high.mean,27.58939405821286
lowLevel.barkbands.mean.17,22.30447588767356
lowLevel.spectral_energy.stdev,13.311279714815402
lowLevel.spectral_strongpeak.stdev,13.121666740531936
lowLevel.hfc.stdev,11.361560732945378
lowLevel.barkbands.mean.18,9.666098736194709
lowLevel.barkbands.stdev.26,8.198166460922781
lowLevel.spectral_strongpeak.mean,7.898937434899967
lowLevel.spectral_energyband_middle_low.stdev,6.376459795109302
lowLevel.spectral_rms.stdev,5.9718863234024155
lowLevel.barkbands.mean.19,5.381453403069372
lowLevel.sccoeffs.mean.5,4.784572038863594
lowLevel.spectral_energyband_middle_low.mean,3.6498402598190296
lowLevel.spectral_complexity.stdev,3.356274276565273
lowLevel.barkbands.mean.10,3.1757279884276386
lowLevel.sccoeffs.mean.4,2.9857025814152323
lowLevel.spectral_energy.mean,2.929886794381673
lowLevel.barkbands.stdev.25,2.8827942391514796
lowLevel.mfcc.stdev.10,2.481577779796325
lowLevel.mfcc.stdev.9,2.4098942328623423
lowLevel.barkbands.mean.20,2.1729675666392723
lowLevel.barkbands.stdev.3,2.067571195960454
lowLevel.mfcc.mean.0,2.034718433677881
lowLevel.spectral_energyband_high.mean,2.0141385373626353
lowLevel.spectral_complexity.mean,1.9045760917804557
lowLevel.barkbands.mean.26,1.7931172200003402
lowLevel.scvalleys.stdev.2,1.7859785315440604
lowLevel.mfcc.stdev.12,1.7450827303656524
lowLevel.spectral_spread.mean,1.7255474221510667
lowLevel.scvalleys.stdev.3,1.6437013807509935
lowLevel.mfcc.stdev.11,1.6261800487638993
lowLevel.mfcc.stdev.8,1.5998850148500097
lowLevel.sccoeffs.mean.2,1.5833384688704264
lowLevel.pitch_instantaneous_confidence.stdev,1.5612640831814948
lowLevel.spectral_skewness.stdev,1.5544584387380382
lowLevel.mfcc.stdev.7,1.5393623203940479
lowLevel.mfcc.stdev.2,1.5038037546929814
lowLevel.barkbands.mean.9,1.4579638135713395
lowLevel.spectral_kurtosis.stdev,1.416483235409828
lowLevel.mfcc.stdev.0,1.3736476126875914
lowLevel.spectral_energyband_middle_high.stdev,1.3228977972202216
lowLevel.barkbands.stdev.11,1.3086057624041132
lowLevel.spectral_flux.stdev,1.2960233161653605
lowLevel.spectral_kurtosis.mean,1.2697799458709795
lowLevel.scvalleys.stdev.4,1.245003569201799
lowLevel.spectral_flux.mean,1.2360578120683794
lowLevel.barkbands.stdev.4,1.234583978007592
lowLevel.scvalleys.stdev.1,1.210292093821863
lowLevel.sccoeffs.stdev.2,1.17176828971661
lowLevel.barkbands.stdev.9,1.1652755491886637
lowLevel.barkbands.mean.14,1.1246881432137457
lowLevel.sccoeffs.mean.3,1.0970913051584148
lowLevel.sccoeffs.stdev.1,1.0449318796792113
lowLevel.spectral_rms.mean,1.0128474264396345
lowLevel.barkbands.stdev.12,0.9240565609050861
lowLevel.pitch.mean,0.8760419243925526
lowLevel.barkbands.stdev.10,0.8427468042768851
lowLevel.scvalleys.stdev.0,0.8247310527705096
lowLevel.barkbands.mean.8,0.8052872483740998
lowLevel.scvalleys.mean.4,0.7978244648198256
lowLevel.scvalleys.mean.5,0.7784047959394229
lowLevel.barkbands.mean.25,0.7316099026931226
lowLevel.barkbands.mean.7,0.7143648449273314
lowLevel.spectral_skewness.mean,0.7027271972567632
lowLevel.barkbands.stdev.8,0.6719854085916097
lowLevel.barkbands.mean.23,0.6694831804888963
lowLevel.mfcc.mean.1,0.6693624205672677
lowLevel.barkbands.mean.24,0.6690195804732184
lowLevel.silence_rate_60dB.mean,0.6607670989444614
lowLevel.barkbands.mean.6,0.6501680843012636
