,importance
lowLevel.hfc.mean,96.86782037146804
lowLevel.hfc.stdev,59.93978265107762
lowLevel.spectral_energy.mean,26.585989171129768
lowLevel.spectral_energy.stdev,10.974311357455008
lowLevel.spectral_energyband_middle_low.mean,6.119357032697735
lowLevel.spectral_complexity.mean,3.4385243398974126
lowLevel.barkbands.stdev.18,3.3549916229458177
lowLevel.spectral_energyband_middle_high.mean,2.489681416334861
lowLevel.barkbands.mean.5,2.4424377165214537
lowLevel.spectral_strongpeak.stdev,2.396541745691138
lowLevel.spectral_complexity.stdev,1.5391551806369534
lowLevel.barkbands.stdev.12,1.4952433742018911
lowLevel.spectral_kurtosis.stdev,1.4744605433224933
lowLevel.barkbands.mean.11,1.418991017366352
lowLevel.spectral_energyband_middle_low.stdev,1.3877571801785962
lowLevel.sccoeffs.stdev.2,1.304551348388486
lowLevel.mfcc.stdev.2,1.2813396515703062
lowLevel.barkbands.stdev.26,1.2136975683224591
lowLevel.barkbands.mean.16,1.1775956323363062
lowLevel.scvalleys.stdev.1,1.1535928315825004
lowLevel.barkbands.mean.26,1.1253788826543314
lowLevel.spectral_energyband_middle_high.stdev,1.048828025956027
lowLevel.sccoeffs.mean.2,0.9932413812857703
lowLevel.pitch_instantaneous_confidence.stdev,0.9773379583984934
lowLevel.barkbands.mean.18,0.951701952770236
lowLevel.mfcc.stdev.8,0.9056043852906441
lowLevel.scvalleys.stdev.2,0.8938143483701424
lowLevel.spectral_rms.stdev,0.8432223971985877
lowLevel.spectral_energyband_high.mean,0.8294608052765398
lowLevel.scvalleys.stdev.3,0.7957158161234474
lowLevel.barkbands.mean.12,0.7822469042812372
lowLevel.mfcc.stdev.10,0.7563398316669918
lowLevel.spectral_strongpeak.mean,0.7358257502492052
lowLevel.barkbands.stdev.25,0.7343161090902868
lowLevel.spectral_skewness.stdev,0.6281670157259214
lowLevel.spectral_spread.mean,0.6061414071227773
lowLevel.silence_rate_60dB.mean,0.6017082918533561
lowLevel.sccoeffs.mean.4,0.5893562949149782
lowLevel.spectral_kurtosis.mean,0.5489099265141704
lowLevel.barkbands.stdev.9,0.5115675859651674
lowLevel.barkbands.stdev.4,0.4941583688123501
lowLevel.mfcc.stdev.9,0.48626865796813945
lowLevel.barkbands.mean.25,0.4811297870037379
lowLevel.mfcc.mean.3,0.41223683464704663
lowLevel.zerocrossingrate.stdev,0.3961739737442258
lowLevel.barkbands.stdev.7,0.39183296249393607
lowLevel.barkbands.mean.3,0.3867176792864484
lowLevel.mfcc.stdev.7,0.3716989484219084
lowLevel.barkbands.mean.23,0.3223588928249228
lowLevel.barkbands.stdev.6,0.32163270497039775
lowLevel.barkbands.mean.10,0.3138451343183988
lowLevel.spectral_decrease.mean,0.3093229295354831
lowLevel.mfcc.stdev.5,0.3080073305845872
sfx.tristimulus.stdev.0,0.26813825576937234
lowLevel.scvalleys.mean.5,0.2657578149355686
lowLevel.mfcc.stdev.4,0.2502438666342641
lowLevel.spectral_crest.stdev,0.24815469611166918
lowLevel.mfcc.mean.0,0.24597761371660454
lowLevel.sccoeffs.mean.3,0.23513778514461592
lowLevel.barkbands.mean.20,0.22349014857354632
lowLevel.sccoeffs.mean.1,0.2230174063006416
lowLevel.scvalleys.stdev.0,0.2200706847370384
lowLevel.spectral_rolloff.stdev,0.21381325262518658
lowLevel.spectral_centroid.mean,0.20990111353785323
lowLevel.barkbands.stdev.10,0.20497353966129594
lowLevel.pitch.mean,0.20261938931798795
lowLevel.barkbands.stdev.14,0.2014941260094929
lowLevel.mfcc.mean.8,0.19792646051064366
lowLevel.barkbands.mean.0,0.19033428077818826
lowLevel.mfcc.stdev.11,0.18282184856798267
lowLevel.spectral_skewness.mean,0.17773546223543235
lowLevel.pitch.stdev,0.16919035735554644
lowLevel.barkbands.mean.19,0.16815922198657063
lowLevel.barkbands.stdev.24,0.1648008138363366
lowLevel.sccoeffs.stdev.3,0.15868904841408948
sfx.tristimulus.stdev.1,0.15784323228581343
lowLevel.scvalleys.stdev.5,0.15702213709664647
lowLevel.barkbands.mean.17,0.1557869737753208
sfx.oddtoevenharmonicenergyratio.stdev,0.14615608883832465
lowLevel.barkbands.mean.6,0.1414172371787572
lowLevel.silence_rate_60dB.stdev,0.13375376038675313
lowLevel.mfcc.mean.9,0.13373483209579717
lowLevel.barkbands.stdev.11,0.13274479192477884
lowLevel.mfcc.stdev.12,0.13191223224021087
lowLevel.barkbands.stdev.13,0.12163701755162037
lowLevel.scvalleys.mean.2,0.11871273707038199
lowLevel.barkbands.mean.4,0.11820385637656727
lowLevel.barkbands_spread.stdev,0.117956754831539
lowLevel.pitch_salience.stdev,0.11709761478778091
lowLevel.spectral_flux.mean,0.11251715334947221
lowLevel.mfcc.mean.11,0.1103919287552344
sfx.tristimulus.mean.2,0.1041543770716089
lowLevel.barkbands.mean.2,0.10414032182416122
lowLevel.sccoeffs.mean.5,0.10343310463758826
lowLevel.barkbands.stdev.21,0.10068089556625637
lowLevel.dissonance.stdev,0.10015715947156423
lowLevel.scvalleys.mean.3,0.10006458984753408
lowLevel.sccoeffs.stdev.0,0.0985092241789971
lowLevel.barkbands.mean.22,0.09417335414764239
lowLevel.scvalleys.mean.4,0.09348103762931714
lowLevel.spectral_flatness_db.stdev,0.09296775357779552
lowLevel.barkbands_kurtosis.mean,0.09271086051649036
lowLevel.sccoeffs.stdev.5,0.0893352286911977
lowLevel.mfcc.stdev.0,0.08641675206854416
lowLevel.barkbands.mean.15,0.08626371173522784
lowLevel.barkbands.stdev.20,0.08551439336406474
lowLevel.barkbands_skewness.stdev,0.0846949203796612
lowLevel.scvalleys.mean.0,0.0835301944953244
lowLevel.pitch_instantaneous_confidence.mean,0.08173112907024915
lowLevel.scvalleys.mean.1,0.07980743250664091
lowLevel.spectral_spread.stdev,0.07902778814423073
lowLevel.sccoeffs.stdev.4,0.07454608899206505
lowLevel.scvalleys.stdev.4,0.07444598150686943
lowLevel.mfcc.stdev.1,0.07374381863155577
lowLevel.barkbands_kurtosis.stdev,0.07269059722602833
lowLevel.mfcc.mean.12,0.07066255050631298
lowLevel.sccoeffs.stdev.1,0.06717649272832205
