,importance
lowLevel.silence_rate_60dB.mean,31.627523260164708
lowLevel.spectral_energy.mean,29.75784362496597
lowLevel.spectral_complexity.mean,20.17713523801494
lowLevel.barkbands.mean.5,5.1071161274193315
lowLevel.hfc.mean,5.082940341016823
lowLevel.mfcc.stdev.10,4.637129901157614
lowLevel.mfcc.stdev.9,4.211919777325306
lowLevel.spectral_complexity.stdev,4.186677731123719
lowLevel.spectral_energyband_middle_high.mean,4.106002038904762
lowLevel.spectral_energyband_middle_low.mean,3.9443355613005835
lowLevel.spectral_energy.stdev,3.134389124500217
lowLevel.mfcc.stdev.12,2.733845808144096
lowLevel.mfcc.stdev.8,2.616969229754975
lowLevel.barkbands.stdev.26,2.276813473003955
lowLevel.mfcc.stdev.7,2.164601954776657
lowLevel.mfcc.stdev.11,2.1287025841022142
lowLevel.scvalleys.stdev.4,1.9309398066570225
lowLevel.sccoeffs.mean.3,1.8875711224670226
lowLevel.spectral_energyband_high.mean,1.846714031216834
lowLevel.hfc.stdev,1.6617948603617947
lowLevel.spectral_energyband_middle_low.stdev,1.5774633780837348
lowLevel.pitch_instantaneous_confidence.stdev,1.5593887106402933
lowLevel.spectral_rms.stdev,1.4640872897669368
lowLevel.barkbands.mean.15,1.3909729120112928
lowLevel.barkbands.stdev.5,1.3578357004962527
lowLevel.barkbands.mean.3,1.3274173422854503
lowLevel.barkbands.stdev.18,1.320878033630322
lowLevel.spectral_strongpeak.stdev,1.3096399492769422
lowLevel.scvalleys.stdev.3,1.3034007257583795
lowLevel.barkbands.mean.17,1.157801855341276
lowLevel.barkbands.stdev.6,1.113401617868099
lowLevel.sccoeffs.mean.2,1.0591913419439436
lowLevel.barkbands.mean.26,1.0493551062390338
lowLevel.barkbands.stdev.4,0.9971117292566305
lowLevel.sccoeffs.mean.4,0.9551957367228852
lowLevel.mfcc.mean.0,0.9432655601949591
lowLevel.scvalleys.mean.4,0.9173016071756024
lowLevel.mfcc.stdev.0,0.8934454041143738
lowLevel.mfcc.mean.8,0.873999984241749
lowLevel.zerocrossingrate.stdev,0.8655650818145375
lowLevel.spectral_skewness.mean,0.8597058310598271
lowLevel.scvalleys.stdev.1,0.8104655987663136
lowLevel.sccoeffs.mean.5,0.8038168086710051
lowLevel.spectral_spread.mean,0.7936858447973236
lowLevel.spectral_kurtosis.mean,0.7533904634235569
lowLevel.spectral_strongpeak.mean,0.6936184718399119
lowLevel.spectral_energyband_middle_high.stdev,0.6164251578863968
lowLevel.barkbands.stdev.15,0.6109122122752524
lowLevel.scvalleys.stdev.2,0.6055263996376254
lowLevel.scvalleys.stdev.0,0.5967164687319126
lowLevel.mfcc.stdev.5,0.5777106525352167
lowLevel.spectral_kurtosis.stdev,0.5775829410529241
lowLevel.barkbands.mean.18,0.5665249137025512
lowLevel.barkbands.stdev.12,0.5458603593731937
lowLevel.barkbands.mean.20,0.5400814760304229
lowLevel.barkbands.stdev.10,0.5209007088291742
lowLevel.mfcc.mean.7,0.48505135307680547
lowLevel.sccoeffs.stdev.2,0.4747675074677886
lowLevel.spectral_skewness.stdev,0.46850026796586697
lowLevel.spectral_crest.stdev,0.45676594289407824
sfx.tristimulus.stdev.1,0.4482590944458167
lowLevel.barkbands.stdev.14,0.43826720854690393
