,importance
lowLevel.hfc.mean,57.37242353662077
lowLevel.hfc.stdev,29.57629725120205
lowLevel.spectral_energy.mean,12.335420786301256
lowLevel.spectral_energyband_middle_high.mean,5.969657018518774
lowLevel.silence_rate_60dB.mean,3.0517861835760414
lowLevel.spectral_energyband_middle_low.mean,2.937960741459392
lowLevel.spectral_complexity.mean,2.918559845616983
lowLevel.spectral_complexity.stdev,2.8358962081256323
lowLevel.spectral_energy.stdev,2.7610857672189013
lowLevel.spectral_energyband_middle_low.stdev,2.5661041274943273
lowLevel.pitch_instantaneous_confidence.stdev,2.0212671739864163
lowLevel.barkbands.stdev.25,1.6361687470052857
lowLevel.barkbands.mean.26,1.6312308197375387
lowLevel.spectral_energyband_middle_high.stdev,1.6045106511810445
lowLevel.barkbands.mean.18,1.4549460604321212
lowLevel.scvalleys.mean.4,1.3469537225028034
lowLevel.spectral_strongpeak.stdev,1.3416309021267807
lowLevel.sccoeffs.stdev.2,1.2466570325341308
lowLevel.spectral_flux.mean,1.1750607489375398
lowLevel.spectral_strongpeak.mean,1.1538929184098379
lowLevel.spectral_flux.stdev,1.1494160268339328
lowLevel.spectral_decrease.mean,1.1453757674680674
lowLevel.barkbands.stdev.26,1.1072269070136826
lowLevel.mfcc.stdev.8,0.9348205027199583
lowLevel.mfcc.stdev.10,0.9327092254825402
lowLevel.barkbands.mean.15,0.895604989171261
lowLevel.barkbands.mean.25,0.8278050367662217
lowLevel.mfcc.stdev.2,0.7846680391885457
lowLevel.spectral_energyband_high.mean,0.767945983359823
lowLevel.barkbands.mean.11,0.7579241390521929
lowLevel.spectral_rms.mean,0.7482346866163425
lowLevel.mfcc.stdev.11,0.7017815770741436
lowLevel.spectral_rms.stdev,0.6206538185506361
lowLevel.sccoeffs.mean.3,0.6080920189706376
lowLevel.scvalleys.mean.3,0.6061497960108682
lowLevel.mfcc.stdev.7,0.6024421190486464
lowLevel.scvalleys.mean.1,0.552626698219683
lowLevel.sccoeffs.mean.2,0.5366334999998799
lowLevel.sccoeffs.stdev.5,0.5356380516859645
lowLevel.scvalleys.stdev.3,0.522172631273861
lowLevel.sccoeffs.mean.5,0.4911286853021011
lowLevel.pitch.mean,0.4815312370774336
lowLevel.pitch.stdev,0.47235948299930897
lowLevel.spectral_skewness.stdev,0.4621843507338781
lowLevel.dissonance.stdev,0.45272559745353647
lowLevel.scvalleys.stdev.0,0.4295683925593039
lowLevel.barkbands.stdev.12,0.41076630712086626
lowLevel.mfcc.stdev.3,0.38673798882518895
lowLevel.sccoeffs.stdev.4,0.3735568714037072
lowLevel.mfcc.mean.0,0.35691023684921674
lowLevel.barkbands.stdev.9,0.3546143009152729
lowLevel.barkbands.mean.10,0.34354743703079293
lowLevel.mfcc.stdev.9,0.33895451333228266
lowLevel.spectral_spread.mean,0.3282696015521651
lowLevel.scvalleys.stdev.2,0.32229233501129784
lowLevel.barkbands.mean.19,0.31450214351934846
lowLevel.spectral_kurtosis.stdev,0.31256575147563126
lowLevel.pitch_instantaneous_confidence.mean,0.30323367936944123
lowLevel.scvalleys.stdev.4,0.30170172594080213
lowLevel.mfcc.mean.3,0.3010471015586518
lowLevel.barkbands_spread.stdev,0.2831252413452603
lowLevel.barkbands.stdev.13,0.27413425681879744
lowLevel.scvalleys.mean.5,0.2708502566383686
lowLevel.scvalleys.stdev.1,0.26928073714952916
lowLevel.sccoeffs.stdev.3,0.26353828705032356
lowLevel.spectral_kurtosis.mean,0.2587695470720064
lowLevel.barkbands.stdev.11,0.25782392073597293
lowLevel.mfcc.mean.8,0.24215857046510791
lowLevel.sccoeffs.mean.4,0.2413253988197539
lowLevel.barkbands.stdev.4,0.23886892769951373
sfx.inharmonicity.stdev,0.2357459761424252
lowLevel.barkbands.mean.24,0.21560693468927639
lowLevel.dissonance.mean,0.21447682411235292
lowLevel.barkbands.mean.12,0.20983830385375768
lowLevel.spectral_centroid.stdev,0.20702693995554
lowLevel.barkbands.mean.13,0.20685627436614595
lowLevel.scvalleys.stdev.5,0.20479370453540469
lowLevel.spectral_energyband_high.stdev,0.2036266395880375
lowLevel.mfcc.stdev.6,0.19696086474868935
lowLevel.spectral_spread.stdev,0.1949529732373776
lowLevel.barkbands_skewness.stdev,0.18365842608909588
lowLevel.spectral_crest.stdev,0.1772760410021874
lowLevel.sccoeffs.mean.1,0.17100479090004228
lowLevel.scvalleys.mean.0,0.16695292152871843
sfx.tristimulus.mean.1,0.16500819390057586
lowLevel.mfcc.mean.11,0.16458657218026929
sfx.tristimulus.mean.2,0.16169634147081524
lowLevel.spectral_flatness_db.mean,0.16146290133474395
lowLevel.barkbands.mean.8,0.1613916140049696
lowLevel.spectral_energyband_low.mean,0.1613687030840083
lowLevel.barkbands.mean.17,0.1594743211826426
lowLevel.barkbands.stdev.1,0.15320365500519983
lowLevel.barkbands.mean.23,0.1472670268994989
lowLevel.barkbands.stdev.19,0.13525921682594344
lowLevel.barkbands_skewness.mean,0.1335632675800298
lowLevel.pitch_salience.mean,0.13157989585306495
lowLevel.mfcc.mean.4,0.12992391983425478
lowLevel.mfcc.stdev.12,0.12663171582607902
lowLevel.barkbands.stdev.17,0.12456558219855651
lowLevel.barkbands.mean.5,0.12061209691455588
lowLevel.mfcc.mean.9,0.11784110587905161
lowLevel.barkbands.stdev.18,0.11634238402621122
lowLevel.zerocrossingrate.stdev,0.11617350729648024
sfx.tristimulus.stdev.0,0.11250386942265322
lowLevel.mfcc.stdev.0,0.11013919294782681
lowLevel.barkbands.stdev.7,0.10655759695509914
lowLevel.barkbands.stdev.22,0.10602331094560213
lowLevel.mfcc.stdev.5,0.1053262601053575
lowLevel.barkbands.stdev.21,0.10280866063112626
lowLevel.barkbands_spread.mean,0.10221529079717584
lowLevel.barkbands_kurtosis.stdev,0.10111302455334226
lowLevel.mfcc.mean.10,0.10051547597686294
lowLevel.barkbands.stdev.0,0.09946441600914113
lowLevel.barkbands.mean.14,0.09681693641323363
lowLevel.sccoeffs.stdev.1,0.09548274057306116
lowLevel.barkbands.stdev.5,0.09481004998087883
lowLevel.barkbands.mean.22,0.09444604639429599
lowLevel.barkbands.mean.20,0.09292806391385966
lowLevel.spectral_rolloff.mean,0.09157788404263556
lowLevel.sccoeffs.stdev.0,0.09081580876954831
lowLevel.spectral_skewness.mean,0.08869592312839814
lowLevel.mfcc.mean.7,0.08801378148200456
lowLevel.mfcc.mean.5,0.08798584452597424
lowLevel.spectral_decrease.stdev,0.08645072891522432
lowLevel.barkbands.mean.4,0.08206553100899328
lowLevel.barkbands.stdev.10,0.08118205446953652
sfx.tristimulus.stdev.2,0.08008281423826702
lowLevel.barkbands.stdev.16,0.07859062253555749
sfx.tristimulus.stdev.1,0.07600165937219572
lowLevel.barkbands.mean.0,0.07594697905005887
lowLevel.barkbands.mean.21,0.07562839778984198
lowLevel.pitch_salience.stdev,0.07428077286022017
lowLevel.spectral_centroid.mean,0.07394791470142081
lowLevel.mfcc.mean.1,0.0734808022971265
sfx.oddtoevenharmonicenergyratio.mean,0.07233375147916377
lowLevel.barkbands.stdev.8,0.07162526674801484
lowLevel.barkbands.mean.9,0.07121422741329297
lowLevel.barkbands.mean.3,0.07111191934382077
lowLevel.scvalleys.mean.2,0.07051959593081847
lowLevel.barkbands.stdev.15,0.07037948958895868
lowLevel.barkbands.stdev.6,0.06941883231047541
lowLevel.spectral_rolloff.stdev,0.06881748192972736
lowLevel.barkbands.mean.1,0.06759742671420099
lowLevel.mfcc.mean.2,0.06273850266006775
lowLevel.mfcc.stdev.4,0.06203953205840662
lowLevel.barkbands.stdev.24,0.06043139492976479
lowLevel.barkbands.mean.7,0.06019100986304693
sfx.tristimulus.mean.0,0.05759530948125757
lowLevel.spectral_flatness_db.stdev,0.05625151435378939
lowLevel.barkbands.stdev.14,0.05126375088002533
sfx.oddtoevenharmonicenergyratio.stdev,0.04700997398322215
lowLevel.barkbands.mean.6,0.04529701638966799
lowLevel.barkbands.mean.16,0.044299112443695776
lowLevel.barkbands.stdev.23,0.04237107012886554
lowLevel.mfcc.mean.6,0.04171000116184587
lowLevel.barkbands.stdev.2,0.04101643123431131
lowLevel.mfcc.stdev.1,0.03984903122182004
lowLevel.barkbands_kurtosis.mean,0.03965097080799751
sfx.inharmonicity.mean,0.039077091714716516
lowLevel.mfcc.mean.12,0.0379689750225225
lowLevel.sccoeffs.mean.0,0.03512430909904651
lowLevel.barkbands.stdev.20,0.02960368141066283
lowLevel.barkbands.mean.2,0.027630935277557
lowLevel.zerocrossingrate.mean,0.027162923710420728
lowLevel.spectral_energyband_low.stdev,0.023283947783056647
lowLevel.barkbands.stdev.3,0.01795733015751466
lowLevel.silence_rate_60dB.stdev,0.011262468018685468
lowLevel.spectral_crest.mean,0.010430847076349892
lowLevel.silence_rate_30dB.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_30dB.stdev,0.0
lowLevel.silence_rate_20dB.mean,0.0
