,importance
lowLevel.hfc.mean,254.65243007964455
lowLevel.spectral_energyband_middle_high.mean,41.47157131833956
lowLevel.spectral_complexity.mean,41.14049971656641
lowLevel.spectral_complexity.stdev,23.338239248842
lowLevel.silence_rate_60dB.mean,16.303546987473965
lowLevel.spectral_energy.mean,8.787370396661572
lowLevel.mfcc.stdev.9,3.6548767997301184
lowLevel.spectral_energyband_middle_low.mean,3.1543227302026935
lowLevel.spectral_energyband_middle_low.stdev,2.591457136790268
lowLevel.barkbands.mean.26,1.9435288690729067
lowLevel.mfcc.stdev.7,1.800678849045653
lowLevel.hfc.stdev,1.6132872221642174
lowLevel.barkbands.stdev.12,1.5904934797436
lowLevel.mfcc.stdev.8,1.432105798390694
lowLevel.barkbands.mean.4,1.375526655698195
lowLevel.spectral_rms.stdev,1.3627624965738505
lowLevel.pitch_instantaneous_confidence.stdev,1.1166347696562298
lowLevel.barkbands.stdev.26,1.0981677656527609
lowLevel.spectral_skewness.mean,1.059160795470234
lowLevel.barkbands.mean.17,1.0560953217791393
lowLevel.spectral_kurtosis.stdev,1.0108268331969157
lowLevel.scvalleys.stdev.3,1.0065438079182059
lowLevel.mfcc.mean.8,0.9405922401929274
lowLevel.mfcc.stdev.12,0.9307053572265431
lowLevel.barkbands.mean.5,0.8766125976108015
sfx.tristimulus.stdev.1,0.8673370282049291
lowLevel.barkbands.mean.12,0.74220099626109
lowLevel.mfcc.stdev.10,0.7188135349424556
lowLevel.barkbands.stdev.6,0.6912940297333989
lowLevel.mfcc.stdev.11,0.6298598952125758
lowLevel.barkbands.stdev.5,0.5984455866273493
lowLevel.barkbands.mean.8,0.5512927091913298
lowLevel.barkbands.stdev.11,0.5097194519476034
lowLevel.scvalleys.stdev.4,0.49633973464369774
lowLevel.spectral_flatness_db.stdev,0.48249509412562475
lowLevel.spectral_kurtosis.mean,0.4727389645995572
lowLevel.barkbands.mean.11,0.43551080336328596
lowLevel.barkbands_skewness.mean,0.4193581124418415
lowLevel.barkbands.mean.13,0.39441555098164827
lowLevel.mfcc.stdev.0,0.384235592209734
lowLevel.barkbands.mean.6,0.3820883750449866
lowLevel.spectral_spread.mean,0.35236505820648745
lowLevel.spectral_energyband_high.mean,0.3463572517503053
lowLevel.barkbands.mean.7,0.3260805489262566
lowLevel.pitch.mean,0.29733717325143516
lowLevel.barkbands.stdev.7,0.29389900533715263
lowLevel.sccoeffs.stdev.2,0.28998344056890346
lowLevel.mfcc.stdev.5,0.28706220688764006
lowLevel.spectral_rms.mean,0.27609099308028817
lowLevel.zerocrossingrate.mean,0.27164259960409254
lowLevel.barkbands.mean.25,0.23082209180574864
lowLevel.spectral_skewness.stdev,0.22938075952697545
sfx.oddtoevenharmonicenergyratio.stdev,0.20311864372342825
lowLevel.sccoeffs.mean.5,0.18733567875460722
lowLevel.spectral_strongpeak.mean,0.18305301590589806
lowLevel.mfcc.mean.0,0.17667386692482978
sfx.tristimulus.stdev.2,0.16780878277495503
lowLevel.scvalleys.stdev.5,0.16158540442120284
lowLevel.barkbands.stdev.3,0.16101745463674888
lowLevel.mfcc.stdev.2,0.16079924799851142
lowLevel.sccoeffs.mean.2,0.15889227099251002
lowLevel.scvalleys.stdev.2,0.15671738237142563
lowLevel.scvalleys.stdev.1,0.1542816295986995
sfx.inharmonicity.stdev,0.15333043521968648
lowLevel.scvalleys.stdev.0,0.15063920407555997
lowLevel.spectral_energy.stdev,0.14908248034771532
lowLevel.spectral_rolloff.mean,0.14275591960176826
lowLevel.barkbands.mean.16,0.1370710110059008
lowLevel.mfcc.mean.12,0.13660688223899342
lowLevel.barkbands.mean.22,0.13232326647266746
