,importance
lowLevel.hfc.mean,1382.8120768021763
lowLevel.spectral_energy.mean,355.00464337434096
lowLevel.spectral_complexity.stdev,118.93608049239992
lowLevel.hfc.stdev,86.41608492213345
lowLevel.spectral_complexity.mean,35.747483772465785
lowLevel.spectral_energyband_middle_high.mean,35.73960067306325
lowLevel.spectral_energyband_middle_low.stdev,26.092431561090052
lowLevel.barkbands.stdev.12,19.668854720846866
lowLevel.spectral_energyband_middle_low.mean,18.082416409823054
lowLevel.spectral_energyband_middle_high.stdev,13.495954951773456
lowLevel.silence_rate_60dB.mean,13.441253114142455
lowLevel.spectral_strongpeak.mean,12.889714419885422
lowLevel.spectral_rms.stdev,8.357465571098146
lowLevel.pitch_instantaneous_confidence.stdev,8.033589020160434
lowLevel.barkbands.stdev.26,7.823583178535046
lowLevel.barkbands.mean.26,6.059776528090879
lowLevel.barkbands.stdev.11,6.041305950930109
lowLevel.mfcc.stdev.9,6.032640648656525
lowLevel.barkbands.stdev.7,5.9149670176557265
lowLevel.barkbands.mean.18,5.863541452148638
lowLevel.spectral_rms.mean,5.714302844833583
lowLevel.barkbands.mean.25,5.122663369082147
lowLevel.barkbands.stdev.5,4.933251031899999
lowLevel.mfcc.stdev.11,4.817683652669075
lowLevel.barkbands.stdev.6,4.8138790109951515
lowLevel.sccoeffs.mean.4,4.787224103005428
lowLevel.spectral_energyband_high.mean,4.635489088614122
lowLevel.spectral_strongpeak.stdev,4.426682212135347
lowLevel.scvalleys.stdev.3,4.13829038523545
lowLevel.mfcc.stdev.8,4.086860031733522
lowLevel.barkbands.stdev.8,4.017861576445284
lowLevel.sccoeffs.mean.3,3.7577406079071807
lowLevel.barkbands.mean.8,3.606043813924771
lowLevel.barkbands.mean.17,3.563209069048753
lowLevel.mfcc.mean.0,3.439646531965991
lowLevel.barkbands.stdev.9,3.4144861423010298
lowLevel.spectral_energyband_high.stdev,3.2726736566837644
lowLevel.mfcc.stdev.10,3.108354941345169
lowLevel.barkbands.mean.12,3.106465157252387
lowLevel.spectral_decrease.mean,3.085379955766257
lowLevel.barkbands.mean.7,3.0183353343163617
lowLevel.spectral_skewness.stdev,2.800318746623816
lowLevel.barkbands.mean.11,2.6761785382404923
lowLevel.sccoeffs.mean.2,2.625516665459145
lowLevel.pitch.mean,2.455924516529194
lowLevel.spectral_kurtosis.stdev,2.2201150927576236
sfx.tristimulus.stdev.0,2.209424647866399
lowLevel.sccoeffs.mean.5,2.2055353081959765
lowLevel.mfcc.mean.8,2.002977534855745
lowLevel.barkbands.stdev.14,1.971847024615272
lowLevel.barkbands.mean.13,1.8995834595989436
lowLevel.barkbands.stdev.13,1.87159845296992
lowLevel.sccoeffs.stdev.2,1.8609307707301923
lowLevel.barkbands.stdev.10,1.805129307525931
lowLevel.mfcc.stdev.7,1.7814211027907731
lowLevel.spectral_spread.mean,1.7755188880619244
lowLevel.barkbands.mean.16,1.756000734254485
lowLevel.barkbands.mean.15,1.7226994365337305
lowLevel.scvalleys.mean.5,1.6703874873855966
lowLevel.mfcc.stdev.12,1.6557575888364227
lowLevel.barkbands.mean.5,1.602290236056433
lowLevel.barkbands.mean.10,1.5604641218524193
lowLevel.barkbands.stdev.25,1.5320470458391355
lowLevel.barkbands.mean.6,1.5207773835281841
lowLevel.scvalleys.stdev.2,1.4957188282751304
lowLevel.mfcc.stdev.0,1.4910157024205546
lowLevel.spectral_kurtosis.mean,1.4433180781561532
lowLevel.spectral_flatness_db.stdev,1.367188591255399
lowLevel.barkbands_kurtosis.stdev,1.306069974820275
lowLevel.scvalleys.stdev.1,1.3019502656752593
lowLevel.barkbands_skewness.stdev,1.2782164452510187
sfx.tristimulus.stdev.2,1.2697777474968461
lowLevel.mfcc.stdev.2,1.258935525889683
lowLevel.scvalleys.mean.4,1.2274659847607836
lowLevel.barkbands.mean.9,1.2234830318411696
lowLevel.mfcc.mean.3,1.220978387776995
lowLevel.barkbands.mean.14,1.1426249713258585
sfx.oddtoevenharmonicenergyratio.mean,1.1284847881252063
lowLevel.barkbands.stdev.3,1.1203220727911685
sfx.tristimulus.stdev.1,1.0857998265491915
lowLevel.sccoeffs.stdev.3,1.077815133612603
lowLevel.sccoeffs.mean.1,1.011859830148751
lowLevel.mfcc.mean.12,1.004496486246353
lowLevel.barkbands.mean.24,1.0015999251918402
lowLevel.pitch.stdev,0.9808836713054916
lowLevel.silence_rate_60dB.stdev,0.9604626864165766
lowLevel.barkbands.mean.20,0.8732625579068554
sfx.oddtoevenharmonicenergyratio.stdev,0.8382169340547989
lowLevel.barkbands.mean.3,0.8325381523754913
lowLevel.barkbands.mean.22,0.8311275624655536
lowLevel.scvalleys.stdev.4,0.789244614825293
lowLevel.barkbands.stdev.22,0.7718876812868984
lowLevel.spectral_energy.stdev,0.7620378832143615
lowLevel.barkbands.mean.19,0.7566653272806434
lowLevel.mfcc.mean.10,0.6948573288391344
lowLevel.scvalleys.stdev.5,0.6824740315423696
lowLevel.barkbands.stdev.17,0.6731324331849464
lowLevel.mfcc.stdev.5,0.6644606299378211
lowLevel.mfcc.stdev.6,0.6335670547996415
lowLevel.mfcc.mean.9,0.6240255220145627
lowLevel.pitch_salience.mean,0.6224326703231782
lowLevel.spectral_skewness.mean,0.6126113839418394
lowLevel.spectral_rolloff.stdev,0.6042265237483662
lowLevel.mfcc.mean.7,0.5879350426257588
lowLevel.spectral_crest.stdev,0.5835490870813373
lowLevel.pitch_instantaneous_confidence.mean,0.5814362361270469
lowLevel.spectral_decrease.stdev,0.5780926246297895
lowLevel.sccoeffs.stdev.5,0.5735974511662789
lowLevel.sccoeffs.stdev.1,0.570998464954755
sfx.inharmonicity.stdev,0.5598920410120627
sfx.tristimulus.mean.1,0.5543904499063501
lowLevel.barkbands.stdev.15,0.541944758297177
lowLevel.sccoeffs.mean.0,0.5405594205367379
lowLevel.barkbands.mean.21,0.514284062817751
lowLevel.scvalleys.mean.1,0.505771511416242
lowLevel.scvalleys.mean.0,0.501322484065895
lowLevel.barkbands.stdev.16,0.500385476880183
lowLevel.spectral_crest.mean,0.4956704420110327
lowLevel.pitch_salience.stdev,0.49154683378583286
lowLevel.barkbands.mean.4,0.4843835100327851
lowLevel.barkbands.stdev.2,0.48397391993785277
lowLevel.spectral_spread.stdev,0.4777317079642671
lowLevel.barkbands_spread.stdev,0.46941499714012025
lowLevel.scvalleys.mean.3,0.4665923359061708
lowLevel.mfcc.stdev.4,0.45743334222061094
lowLevel.barkbands.mean.1,0.4499649979188689
lowLevel.spectral_rolloff.mean,0.4470878485153662
lowLevel.barkbands.stdev.24,0.4325210545939626
lowLevel.mfcc.mean.11,0.432259504472313
lowLevel.barkbands.stdev.20,0.4297384389064973
lowLevel.scvalleys.mean.2,0.4171873164741555
lowLevel.spectral_flux.stdev,0.4039156122453278
lowLevel.spectral_flux.mean,0.3902105328888865
lowLevel.scvalleys.stdev.0,0.3892173680505948
lowLevel.barkbands.stdev.18,0.38830332974612247
lowLevel.zerocrossingrate.mean,0.3798884317075135
sfx.inharmonicity.mean,0.3677686818919028
lowLevel.mfcc.mean.6,0.3644817158783553
lowLevel.barkbands.mean.2,0.3590935022220947
lowLevel.spectral_centroid.stdev,0.3400425301952055
lowLevel.barkbands.stdev.23,0.3339030216593528
lowLevel.barkbands.stdev.1,0.3315464924671687
lowLevel.dissonance.stdev,0.31987405583640793
lowLevel.mfcc.stdev.1,0.3172598342207493
lowLevel.mfcc.stdev.3,0.30885233625303954
lowLevel.barkbands.stdev.19,0.308431937432033
lowLevel.sccoeffs.stdev.4,0.301488068245817
sfx.tristimulus.mean.0,0.2989024291109672
lowLevel.sccoeffs.stdev.0,0.2909420651340042
lowLevel.barkbands.mean.0,0.28512135110941017
sfx.tristimulus.mean.2,0.27872361108165933
lowLevel.mfcc.mean.4,0.26370828880317276
lowLevel.mfcc.mean.5,0.2626168384194898
lowLevel.barkbands.mean.23,0.2535896956542274
lowLevel.mfcc.mean.1,0.25301049526024144
lowLevel.barkbands_kurtosis.mean,0.2479639477096498
lowLevel.spectral_centroid.mean,0.2406144236010732
lowLevel.spectral_flatness_db.mean,0.2382626635953784
lowLevel.barkbands_spread.mean,0.22364285845833365
lowLevel.barkbands_skewness.mean,0.2181672879078178
lowLevel.mfcc.mean.2,0.21805769752972992
lowLevel.zerocrossingrate.stdev,0.19798812986846315
lowLevel.barkbands.stdev.21,0.19707348650263157
lowLevel.spectral_energyband_low.mean,0.19547961153148208
lowLevel.barkbands.stdev.4,0.176141771604307
lowLevel.barkbands.stdev.0,0.16092103817209136
lowLevel.dissonance.mean,0.14591631162329577
lowLevel.spectral_energyband_low.stdev,0.12050752549839672
lowLevel.silence_rate_30dB.mean,0.06643843141500838
lowLevel.silence_rate_30dB.stdev,0.027671234362060204
lowLevel.silence_rate_20dB.stdev,0.00031794499955140054
lowLevel.silence_rate_20dB.mean,0.000274001999059692
