,importance
lowLevel.hfc.mean,34.4835432406862
lowLevel.spectral_energyband_middle_high.mean,24.550951730381996
lowLevel.hfc.stdev,7.983296403143726
lowLevel.barkbands.mean.18,7.869659082822864
lowLevel.spectral_energy.mean,6.854523015449104
lowLevel.spectral_complexity.stdev,5.79636562900339
lowLevel.spectral_complexity.mean,5.624824713373471
lowLevel.barkbands.mean.17,5.240964092458455
lowLevel.mfcc.stdev.10,4.427419121077037
lowLevel.spectral_strongpeak.mean,4.093766544875166
lowLevel.sccoeffs.mean.4,3.444032788566801
lowLevel.spectral_energyband_middle_low.mean,3.4160375530846068
lowLevel.sccoeffs.mean.5,3.3801788226091958
lowLevel.spectral_energyband_high.mean,2.3407649443034515
lowLevel.spectral_energyband_middle_high.stdev,2.2910861722336904
lowLevel.barkbands.mean.22,2.289232683202613
lowLevel.barkbands.mean.12,2.2209023532446963
lowLevel.mfcc.stdev.7,2.2101034633897143
lowLevel.mfcc.stdev.9,2.113125651963813
lowLevel.spectral_flux.mean,1.9425161698823459
lowLevel.mfcc.stdev.12,1.916067056441534
lowLevel.barkbands.stdev.15,1.7872891881124815
lowLevel.barkbands.mean.16,1.5304957776497758
lowLevel.spectral_rms.mean,1.5296931230693964
lowLevel.spectral_decrease.mean,1.5068966049056378
lowLevel.mfcc.stdev.8,1.4066979319522943
lowLevel.barkbands.mean.14,1.3435327367916443
lowLevel.sccoeffs.mean.3,1.282095176708026
lowLevel.mfcc.stdev.11,1.2750408339466048
lowLevel.spectral_energyband_middle_low.stdev,1.2643005193403951
lowLevel.mfcc.mean.0,1.2352034840187116
lowLevel.silence_rate_60dB.mean,1.0687199982712627
sfx.tristimulus.stdev.1,1.0255033704797825
lowLevel.barkbands.stdev.12,0.9824400679499377
lowLevel.mfcc.stdev.0,0.9383745921677473
lowLevel.barkbands.mean.20,0.898972757777301
lowLevel.spectral_decrease.stdev,0.890291961413368
lowLevel.barkbands.mean.7,0.8657314669035259
lowLevel.barkbands.mean.23,0.7856926293447941
lowLevel.barkbands.stdev.14,0.7788207601445265
lowLevel.barkbands.mean.24,0.7694560989566526
lowLevel.spectral_rms.stdev,0.7617251239180405
lowLevel.silence_rate_60dB.stdev,0.7432888304338121
lowLevel.scvalleys.mean.5,0.7167341309477706
lowLevel.sccoeffs.mean.2,0.7014226130052066
lowLevel.barkbands.mean.8,0.6958846747456846
lowLevel.scvalleys.stdev.1,0.690619728275351
lowLevel.barkbands.stdev.11,0.6188590513316967
lowLevel.barkbands.stdev.8,0.6044618198684475
lowLevel.barkbands.mean.19,0.6036533842889185
lowLevel.barkbands.stdev.1,0.6017849059135187
lowLevel.mfcc.stdev.5,0.5795931739451134
lowLevel.scvalleys.stdev.4,0.5781322133141202
lowLevel.barkbands.stdev.9,0.5762212826239193
lowLevel.barkbands.stdev.26,0.5759506595302355
lowLevel.barkbands.mean.4,0.5700820608496997
lowLevel.mfcc.mean.3,0.5659853150422975
lowLevel.barkbands.mean.26,0.5398029460828297
lowLevel.pitch_instantaneous_confidence.stdev,0.5345915807024539
lowLevel.barkbands.mean.10,0.5200644314260217
lowLevel.barkbands.stdev.16,0.4904673235141672
lowLevel.sccoeffs.stdev.3,0.4776990117807145
lowLevel.barkbands.mean.11,0.4570072991837151
lowLevel.barkbands.mean.5,0.45117193789697296
lowLevel.mfcc.stdev.6,0.4470503189972783
lowLevel.scvalleys.mean.4,0.4419434575403045
lowLevel.barkbands.mean.21,0.4417573973710205
lowLevel.spectral_kurtosis.mean,0.43879037580518343
lowLevel.barkbands.mean.1,0.40778322864010796
lowLevel.barkbands.stdev.4,0.40590246422638643
lowLevel.barkbands.mean.13,0.3841741695570704
sfx.oddtoevenharmonicenergyratio.stdev,0.38136984368981075
lowLevel.barkbands.stdev.0,0.3659708876593868
lowLevel.barkbands.stdev.22,0.35617378473489225
lowLevel.spectral_crest.stdev,0.3347296410565832
lowLevel.spectral_energyband_low.mean,0.33242862435872667
lowLevel.barkbands.stdev.24,0.328779969313473
lowLevel.barkbands.mean.3,0.3219135231565815
lowLevel.scvalleys.stdev.0,0.31920936762071506
lowLevel.barkbands.mean.9,0.31837451004685136
lowLevel.barkbands.stdev.17,0.3118834605952543
lowLevel.barkbands.stdev.3,0.30343022897068295
lowLevel.scvalleys.mean.2,0.2899824906048707
lowLevel.zerocrossingrate.mean,0.28020791119229216
lowLevel.barkbands.mean.15,0.2787794310991103
lowLevel.spectral_strongpeak.stdev,0.2772549671958586
lowLevel.spectral_energyband_low.stdev,0.27056747041933704
lowLevel.scvalleys.stdev.3,0.266247066768301
lowLevel.barkbands.stdev.18,0.2624723741123489
lowLevel.barkbands_kurtosis.stdev,0.25779760723617073
lowLevel.spectral_energy.stdev,0.2533900130730773
lowLevel.mfcc.mean.4,0.24059477006812813
lowLevel.spectral_energyband_high.stdev,0.21559225606358723
lowLevel.sccoeffs.mean.1,0.20875987196647472
lowLevel.barkbands_skewness.mean,0.20837986369951977
lowLevel.barkbands.stdev.25,0.20722418798322906
lowLevel.barkbands.stdev.7,0.19952501605803263
lowLevel.pitch.stdev,0.18937681552756658
lowLevel.scvalleys.mean.3,0.18641207494874834
lowLevel.barkbands_spread.stdev,0.179412744464571
lowLevel.mfcc.stdev.2,0.1694921083409895
lowLevel.pitch.mean,0.16922625303413952
lowLevel.pitch_salience.mean,0.16753305692895992
lowLevel.barkbands.stdev.19,0.16500509357251758
lowLevel.barkbands.mean.6,0.16381689303597113
lowLevel.mfcc.stdev.4,0.1609488996118671
lowLevel.barkbands.stdev.10,0.16007948702934982
lowLevel.barkbands_skewness.stdev,0.15909903798274172
lowLevel.barkbands.stdev.13,0.15622038684136896
sfx.tristimulus.mean.2,0.14893206594933872
lowLevel.dissonance.stdev,0.14872984435282888
sfx.oddtoevenharmonicenergyratio.mean,0.1476948137560612
lowLevel.barkbands.stdev.2,0.1443069126798946
sfx.inharmonicity.mean,0.14369163231908288
lowLevel.pitch_instantaneous_confidence.mean,0.13954388078379765
sfx.tristimulus.mean.0,0.1391269902642307
lowLevel.barkbands.stdev.5,0.13857600778999313
lowLevel.barkbands.stdev.20,0.13833951373999298
lowLevel.sccoeffs.mean.0,0.13629599276328008
lowLevel.mfcc.mean.8,0.13498724647904475
lowLevel.mfcc.stdev.3,0.13378232263016798
lowLevel.barkbands.stdev.21,0.13367654914145533
sfx.tristimulus.stdev.2,0.13309315111502862
lowLevel.barkbands.mean.25,0.1300066270798652
lowLevel.barkbands.stdev.23,0.12129843273851293
lowLevel.scvalleys.mean.1,0.11654574013300589
lowLevel.sccoeffs.stdev.4,0.11613794135871558
lowLevel.mfcc.mean.12,0.11136691628104955
lowLevel.spectral_centroid.stdev,0.11019113594920782
lowLevel.spectral_flux.stdev,0.10657424633211576
lowLevel.spectral_flatness_db.mean,0.10385774610015375
lowLevel.sccoeffs.stdev.5,0.10257329609937749
lowLevel.mfcc.mean.2,0.10255154858782589
lowLevel.spectral_skewness.stdev,0.1014753220217699
lowLevel.spectral_spread.mean,0.1011263709879131
lowLevel.spectral_rolloff.stdev,0.09893202635140597
sfx.tristimulus.mean.1,0.09872979291412776
lowLevel.spectral_rolloff.mean,0.09789964957053598
lowLevel.spectral_flatness_db.stdev,0.09746615988251506
lowLevel.barkbands.mean.2,0.0972715169955336
sfx.inharmonicity.stdev,0.09353870294535227
lowLevel.barkbands.stdev.6,0.09335547972477798
lowLevel.spectral_crest.mean,0.0922902703150612
lowLevel.scvalleys.stdev.2,0.09154400221814285
lowLevel.dissonance.mean,0.0911245777814429
lowLevel.scvalleys.stdev.5,0.08567806962673785
lowLevel.mfcc.mean.5,0.08417395251495918
lowLevel.mfcc.stdev.1,0.08355502620861444
lowLevel.zerocrossingrate.stdev,0.08330808867071582
lowLevel.barkbands.mean.0,0.08308080674055418
lowLevel.mfcc.mean.10,0.08064985098576472
lowLevel.mfcc.mean.9,0.07831618095769954
lowLevel.scvalleys.mean.0,0.07757922484415758
lowLevel.sccoeffs.stdev.0,0.07622331741950461
lowLevel.mfcc.mean.1,0.07563442928949371
lowLevel.sccoeffs.stdev.2,0.07412418474672222
lowLevel.spectral_centroid.mean,0.07359482244737592
lowLevel.spectral_skewness.mean,0.07194679832355177
lowLevel.spectral_spread.stdev,0.06579664579658129
sfx.tristimulus.stdev.0,0.05915142670028217
lowLevel.spectral_kurtosis.stdev,0.05476094275582
lowLevel.sccoeffs.stdev.1,0.046337861356647636
lowLevel.barkbands_spread.mean,0.03748563620393952
lowLevel.mfcc.mean.7,0.036720812194289465
lowLevel.mfcc.mean.6,0.036127780917468044
