,importance
lowLevel.barkbands.mean.18,9.826021954868338
lowLevel.barkbands.mean.19,2.652441527636256
lowLevel.mfcc.stdev.10,2.4207323172304314
lowLevel.spectral_energyband_middle_high.stdev,2.3223540800390765
lowLevel.barkbands.mean.3,2.2200897205475485
lowLevel.hfc.mean,2.172001689526951
lowLevel.barkbands.mean.20,2.0522576319635846
lowLevel.sccoeffs.mean.5,1.8855883601354435
lowLevel.sccoeffs.mean.4,1.8581040509889135
lowLevel.barkbands.mean.17,1.849006124350126
lowLevel.mfcc.stdev.8,1.2535445386456558
lowLevel.spectral_energyband_high.mean,1.213867183381808
lowLevel.mfcc.stdev.7,1.1942370252654655
lowLevel.spectral_strongpeak.stdev,1.063118849589955
lowLevel.barkbands.stdev.4,1.0127179981427616
lowLevel.scvalleys.stdev.3,0.9778817315091146
lowLevel.barkbands.stdev.3,0.9692120169784175
lowLevel.barkbands.mean.4,0.961500573073863
lowLevel.mfcc.stdev.9,0.7999465410030098
lowLevel.spectral_spread.mean,0.772008957399521
lowLevel.mfcc.stdev.11,0.7597704283834901
lowLevel.spectral_complexity.mean,0.7319787991800695
lowLevel.hfc.stdev,0.5672165203286568
lowLevel.mfcc.stdev.12,0.5384592228656402
lowLevel.sccoeffs.mean.3,0.53676461231953
lowLevel.silence_rate_60dB.mean,0.5195684505088138
lowLevel.spectral_kurtosis.mean,0.48666525426961016
lowLevel.sccoeffs.mean.2,0.4798602662922349
lowLevel.pitch_instantaneous_confidence.stdev,0.4569759324367624
lowLevel.scvalleys.stdev.1,0.43932225632306654
lowLevel.silence_rate_60dB.stdev,0.38375735946465284
lowLevel.scvalleys.mean.5,0.38367355811351445
lowLevel.mfcc.stdev.2,0.37658665426715743
lowLevel.scvalleys.stdev.4,0.3709753022703808
lowLevel.scvalleys.stdev.2,0.3579347707564011
lowLevel.spectral_complexity.stdev,0.33525233177351765
lowLevel.pitch.mean,0.3020917608810123
lowLevel.scvalleys.mean.2,0.30070955475093797
lowLevel.mfcc.stdev.0,0.27080426273460034
lowLevel.spectral_energyband_middle_high.mean,0.2693755498621613
lowLevel.sccoeffs.stdev.2,0.24429275865259115
lowLevel.spectral_centroid.stdev,0.22229856604826637
lowLevel.mfcc.mean.8,0.21938436535856454
lowLevel.scvalleys.mean.4,0.19689827438560314
lowLevel.spectral_rolloff.stdev,0.1851271331324824
lowLevel.spectral_kurtosis.stdev,0.17689087774488144
lowLevel.barkbands.mean.26,0.1742451366590103
lowLevel.scvalleys.stdev.0,0.16357587871607393
lowLevel.barkbands.stdev.5,0.15857860937830992
lowLevel.barkbands.mean.5,0.1585615313379094
lowLevel.mfcc.stdev.1,0.15508322526875418
lowLevel.spectral_skewness.mean,0.15391726934467442
lowLevel.barkbands.stdev.9,0.13553716195747256
lowLevel.spectral_energy.stdev,0.13179531105561182
lowLevel.pitch.stdev,0.12854202411836013
lowLevel.barkbands.stdev.26,0.12727186718257144
lowLevel.barkbands.mean.11,0.1190369206451578
lowLevel.mfcc.stdev.5,0.1172881670499919
lowLevel.barkbands.mean.15,0.11331934481859207
sfx.tristimulus.stdev.1,0.11316413464373909
lowLevel.spectral_rms.stdev,0.10787884634919465
lowLevel.mfcc.mean.7,0.1057787760219071
lowLevel.dissonance.mean,0.10501106954325223
lowLevel.spectral_energyband_middle_low.mean,0.10317016801855061
sfx.oddtoevenharmonicenergyratio.mean,0.10207145562890219
lowLevel.mfcc.mean.6,0.1007927594037028
lowLevel.barkbands.stdev.14,0.09863070560095366
lowLevel.zerocrossingrate.mean,0.09700318120303564
lowLevel.spectral_energy.mean,0.09340182322193868
lowLevel.spectral_strongpeak.mean,0.09095122883445583
lowLevel.barkbands.mean.24,0.08946645533433184
lowLevel.spectral_decrease.mean,0.08623341283237096
lowLevel.barkbands.mean.9,0.08374207228189334
lowLevel.barkbands.mean.25,0.08022909470309969
lowLevel.barkbands.mean.12,0.0793930558647844
lowLevel.spectral_spread.stdev,0.07861315322224982
lowLevel.spectral_flux.mean,0.07796858020446962
lowLevel.barkbands.stdev.0,0.07754675841715652
lowLevel.sccoeffs.stdev.4,0.07527957746788161
sfx.inharmonicity.stdev,0.06958547868998721
lowLevel.spectral_energyband_low.stdev,0.06788464938290417
lowLevel.barkbands.mean.10,0.0641708486364223
lowLevel.sccoeffs.mean.0,0.061725913066766225
lowLevel.spectral_flux.stdev,0.05885649810079485
lowLevel.mfcc.stdev.4,0.05702189363364596
lowLevel.spectral_crest.stdev,0.05342046931036748
lowLevel.mfcc.stdev.3,0.053220992122078314
lowLevel.barkbands.stdev.11,0.052754905133042485
sfx.tristimulus.mean.1,0.05081900631194003
lowLevel.barkbands.mean.22,0.04957598906185012
lowLevel.barkbands.stdev.10,0.049508339157910086
lowLevel.mfcc.mean.1,0.048744686515419744
lowLevel.barkbands.stdev.7,0.04827527637826279
lowLevel.pitch_salience.mean,0.046641360328067094
sfx.inharmonicity.mean,0.04568267599097453
lowLevel.mfcc.stdev.6,0.0452274126582779
lowLevel.sccoeffs.stdev.1,0.04494819641695358
lowLevel.spectral_skewness.stdev,0.044160351375467144
lowLevel.barkbands.mean.7,0.044133596355095506
lowLevel.zerocrossingrate.stdev,0.04394432813569438
lowLevel.barkbands.stdev.12,0.04315448715351522
lowLevel.sccoeffs.stdev.5,0.042728597749373876
lowLevel.mfcc.mean.12,0.04171603421855252
lowLevel.barkbands.mean.21,0.04065855639055371
lowLevel.sccoeffs.mean.1,0.04037945765594486
lowLevel.barkbands.mean.0,0.040352309035370126
lowLevel.barkbands.stdev.21,0.040276927888044156
lowLevel.spectral_energyband_high.stdev,0.0397213792311959
lowLevel.spectral_decrease.stdev,0.039712409721687436
sfx.tristimulus.stdev.0,0.03912443861190695
lowLevel.mfcc.mean.5,0.03824795677064685
lowLevel.mfcc.mean.3,0.03749945215531625
lowLevel.spectral_energyband_middle_low.stdev,0.03635236369154882
lowLevel.spectral_flatness_db.stdev,0.036254740014555864
lowLevel.barkbands.stdev.18,0.035433184551948216
sfx.tristimulus.stdev.2,0.03496942523634061
lowLevel.mfcc.mean.0,0.0347842686023796
lowLevel.barkbands.mean.23,0.034155834262492135
lowLevel.barkbands.mean.16,0.03401844500331208
lowLevel.spectral_rms.mean,0.032579210033873096
lowLevel.barkbands.mean.2,0.03254458899755264
lowLevel.barkbands_kurtosis.stdev,0.03203992103226483
lowLevel.spectral_energyband_low.mean,0.031896097178105265
lowLevel.dissonance.stdev,0.031380197644466534
lowLevel.barkbands.mean.6,0.029532335203839466
lowLevel.barkbands.mean.8,0.029336290928767994
sfx.oddtoevenharmonicenergyratio.stdev,0.028220307605806738
lowLevel.barkbands.stdev.23,0.028137447392509785
lowLevel.mfcc.mean.4,0.0270633769541746
lowLevel.barkbands.mean.1,0.025774319015908986
lowLevel.spectral_crest.mean,0.024347842059796676
lowLevel.scvalleys.mean.0,0.024074239656329155
lowLevel.scvalleys.mean.3,0.02396216822671704
lowLevel.barkbands_spread.mean,0.022674455132801086
lowLevel.mfcc.mean.2,0.022231667084270157
lowLevel.spectral_flatness_db.mean,0.02196471326169558
lowLevel.barkbands.mean.14,0.021770384075352922
lowLevel.sccoeffs.stdev.3,0.021631829571560957
lowLevel.mfcc.mean.9,0.021065985190944048
lowLevel.barkbands.stdev.17,0.020570982189383358
lowLevel.barkbands_skewness.stdev,0.01987190541694872
lowLevel.barkbands_skewness.mean,0.019369357418327127
lowLevel.pitch_instantaneous_confidence.mean,0.019315315112180542
lowLevel.barkbands.stdev.13,0.01874162702006288
lowLevel.barkbands.stdev.24,0.0184476552385604
sfx.tristimulus.mean.0,0.01655619899975136
lowLevel.barkbands.stdev.6,0.016339574358426034
lowLevel.mfcc.mean.10,0.016192446302738972
lowLevel.barkbands.stdev.25,0.0160707630275283
lowLevel.sccoeffs.stdev.0,0.015388077852549031
lowLevel.barkbands.mean.13,0.013816417951602489
sfx.tristimulus.mean.2,0.01358318112033885
lowLevel.barkbands.stdev.19,0.012629608027054928
lowLevel.barkbands_spread.stdev,0.012610216799657792
lowLevel.barkbands.stdev.16,0.011924787977477536
lowLevel.barkbands_kurtosis.mean,0.01131790793442633
