,importance
lowLevel.spectral_complexity.mean,18.33505485916976
lowLevel.barkbands.stdev.4,17.164402378024533
lowLevel.barkbands.mean.5,15.47144424112048
lowLevel.silence_rate_60dB.mean,12.513744730415056
lowLevel.spectral_energyband_middle_low.mean,10.042706781212473
lowLevel.mfcc.stdev.9,9.595779719034908
lowLevel.mfcc.stdev.10,7.212742642121157
lowLevel.mfcc.stdev.8,5.706793198973173
lowLevel.spectral_rms.stdev,3.8629611259675585
lowLevel.barkbands.mean.4,3.795445416762959
lowLevel.spectral_energy.stdev,3.412253655551467
lowLevel.mfcc.stdev.12,3.0499494292307645
lowLevel.spectral_complexity.stdev,2.77624918485526
lowLevel.scvalleys.stdev.3,2.553921583137708
lowLevel.mfcc.stdev.11,2.3199670173344202
lowLevel.hfc.mean,2.1064902130456176
lowLevel.spectral_energy.mean,2.048068455711473
lowLevel.scvalleys.mean.4,2.0174397014197893
lowLevel.mfcc.stdev.7,1.8832391791220289
lowLevel.pitch_instantaneous_confidence.stdev,1.700638936337782
lowLevel.mfcc.mean.8,1.493700072664069
lowLevel.spectral_skewness.mean,1.4461540771881118
lowLevel.barkbands.stdev.3,1.3181601059768582
lowLevel.spectral_energyband_high.stdev,1.3039756069192663
lowLevel.sccoeffs.mean.5,1.2937673727574293
lowLevel.spectral_kurtosis.mean,1.2664231213566381
lowLevel.barkbands.stdev.26,1.2535583545395639
lowLevel.spectral_energyband_middle_low.stdev,1.1889814397145528
lowLevel.sccoeffs.mean.3,1.1382977106259204
lowLevel.spectral_spread.mean,1.127870501630241
lowLevel.scvalleys.stdev.2,1.0963300044240896
lowLevel.scvalleys.mean.5,1.0426023080653977
lowLevel.hfc.stdev,0.9666462073219009
lowLevel.scvalleys.stdev.4,0.9235699381970335
lowLevel.spectral_energyband_middle_high.mean,0.9202722434711177
lowLevel.scvalleys.stdev.1,0.9022626203368418
lowLevel.barkbands.mean.26,0.879912321921438
lowLevel.sccoeffs.mean.4,0.830595844076015
lowLevel.scvalleys.stdev.0,0.8297663761186413
lowLevel.mfcc.stdev.0,0.8179400583612733
sfx.tristimulus.stdev.1,0.8160985074937344
lowLevel.barkbands.mean.15,0.7938604003575165
lowLevel.zerocrossingrate.stdev,0.7834770489134826
lowLevel.spectral_energyband_middle_high.stdev,0.7795900877099484
lowLevel.silence_rate_60dB.stdev,0.7611753412638791
lowLevel.barkbands.stdev.5,0.7286930265836418
lowLevel.spectral_strongpeak.stdev,0.6974597292428371
lowLevel.barkbands_spread.mean,0.6472286281059496
lowLevel.mfcc.mean.0,0.646326576534193
lowLevel.mfcc.stdev.5,0.64489671078627
lowLevel.barkbands.stdev.20,0.6131471043045167
lowLevel.barkbands_skewness.mean,0.596068205893971
lowLevel.zerocrossingrate.mean,0.5868360196182039
lowLevel.mfcc.mean.7,0.5799753073952161
lowLevel.sccoeffs.mean.2,0.5627196991699748
lowLevel.barkbands.mean.25,0.5558583909296431
lowLevel.scvalleys.mean.3,0.5555087929242291
lowLevel.spectral_kurtosis.stdev,0.5310028014064301
lowLevel.barkbands.stdev.17,0.5147216154146008
lowLevel.spectral_centroid.stdev,0.4664271743677091
lowLevel.barkbands.mean.20,0.4629236375913024
lowLevel.spectral_strongpeak.mean,0.4582633660174906
lowLevel.barkbands.stdev.18,0.45790496258996427
lowLevel.sccoeffs.stdev.2,0.44809753019944765
lowLevel.barkbands.mean.17,0.44552034794469364
sfx.oddtoevenharmonicenergyratio.stdev,0.4390390713524539
lowLevel.sccoeffs.stdev.5,0.41748553921934217
lowLevel.mfcc.stdev.2,0.39710816013393924
lowLevel.scvalleys.mean.2,0.3760231738560833
lowLevel.barkbands_spread.stdev,0.37127041423809715
lowLevel.pitch_salience.mean,0.3689591035072226
lowLevel.barkbands.mean.21,0.3615295022900682
lowLevel.sccoeffs.stdev.4,0.3541894175868947
lowLevel.spectral_skewness.stdev,0.3513457566732541
lowLevel.barkbands.stdev.10,0.3378782680956647
lowLevel.spectral_energyband_high.mean,0.3330298790533561
lowLevel.barkbands.mean.18,0.3306144100788515
lowLevel.mfcc.stdev.4,0.30836036658729427
lowLevel.mfcc.mean.6,0.3035631205129903
lowLevel.spectral_decrease.mean,0.3007027280982584
lowLevel.barkbands.stdev.21,0.29784304910572246
lowLevel.spectral_flatness_db.stdev,0.2794385517190676
lowLevel.barkbands.mean.7,0.23945090937195346
sfx.oddtoevenharmonicenergyratio.mean,0.23332696600118652
lowLevel.mfcc.stdev.6,0.2315685638168361
lowLevel.spectral_spread.stdev,0.23109280695643974
sfx.tristimulus.stdev.2,0.22381326474715024
lowLevel.spectral_rolloff.stdev,0.21802399802254513
lowLevel.spectral_crest.stdev,0.21751209313515574
lowLevel.pitch.mean,0.21685076973517425
lowLevel.pitch_instantaneous_confidence.mean,0.20449469244340435
lowLevel.sccoeffs.stdev.3,0.20409348682733253
lowLevel.barkbands.mean.3,0.20157271140487865
sfx.tristimulus.mean.1,0.2013414037937764
lowLevel.barkbands_kurtosis.stdev,0.2011480270884931
lowLevel.barkbands.stdev.15,0.20030366367427632
lowLevel.barkbands.mean.23,0.19976699570543133
lowLevel.barkbands.mean.12,0.1880296652088873
lowLevel.mfcc.stdev.1,0.18794798888848163
lowLevel.barkbands.stdev.12,0.18651358596980572
lowLevel.barkbands.stdev.0,0.17977855479693972
lowLevel.scvalleys.mean.1,0.17512171587441117
lowLevel.barkbands.mean.22,0.17311966832494363
lowLevel.scvalleys.mean.0,0.1719221358653158
lowLevel.spectral_rms.mean,0.17165132131776772
sfx.tristimulus.stdev.0,0.16405470808967948
lowLevel.pitch.stdev,0.1608445132151246
lowLevel.sccoeffs.mean.1,0.16073686987510882
lowLevel.mfcc.mean.12,0.1605080202789395
lowLevel.barkbands.mean.0,0.15259144629817456
lowLevel.spectral_centroid.mean,0.15132014697883278
