,importance
lowLevel.barkbands.stdev.3,7.441985793513595
lowLevel.barkbands.stdev.4,4.023165048725787
lowLevel.silence_rate_60dB.mean,2.660691394848982
lowLevel.spectral_complexity.mean,2.6546399407234276
lowLevel.spectral_energyband_high.mean,2.63611703121569
lowLevel.barkbands.stdev.18,2.2556171996402554
lowLevel.mfcc.stdev.8,2.2426680092539755
lowLevel.pitch_instantaneous_confidence.stdev,2.1562214337318437
lowLevel.mfcc.stdev.10,2.0075205686007394
lowLevel.sccoeffs.mean.5,1.9530432977262535
lowLevel.mfcc.stdev.9,1.7684680110687623
lowLevel.scvalleys.stdev.3,1.5195978353876853
lowLevel.scvalleys.mean.4,1.3264343457703944
lowLevel.spectral_complexity.stdev,1.3013905081388657
lowLevel.spectral_energyband_middle_high.stdev,1.2217011272005038
lowLevel.mfcc.stdev.7,1.2144174183194991
lowLevel.spectral_spread.mean,1.04164323596342
lowLevel.scvalleys.stdev.2,0.968068288952054
lowLevel.hfc.mean,0.9145258447606466
lowLevel.spectral_energyband_middle_high.mean,0.8975011229122174
lowLevel.mfcc.stdev.11,0.8958001692953985
lowLevel.barkbands.mean.4,0.8727708683290984
lowLevel.scvalleys.mean.5,0.870968781200645
lowLevel.spectral_kurtosis.stdev,0.8120437597608543
lowLevel.barkbands.stdev.26,0.7852459317728062
lowLevel.mfcc.stdev.1,0.7214926852902863
lowLevel.pitch.mean,0.7195489088189788
lowLevel.mfcc.stdev.12,0.7072810874924471
lowLevel.spectral_skewness.stdev,0.6127458734554239
lowLevel.mfcc.stdev.2,0.561775368230883
lowLevel.spectral_kurtosis.mean,0.5568106000864645
lowLevel.spectral_rms.mean,0.5255094114181702
lowLevel.spectral_energy.mean,0.5229609389280085
lowLevel.spectral_energyband_middle_low.stdev,0.5133979369493318
lowLevel.scvalleys.stdev.1,0.5051610832815641
lowLevel.scvalleys.stdev.0,0.48167170475790044
lowLevel.spectral_strongpeak.stdev,0.4162667377095204
lowLevel.mfcc.mean.8,0.39763948043764685
lowLevel.spectral_rms.stdev,0.39291768818657147
lowLevel.spectral_rolloff.stdev,0.3750625602551736
lowLevel.zerocrossingrate.stdev,0.36569589802093105
lowLevel.barkbands.mean.17,0.3478250924672466
lowLevel.pitch.stdev,0.3469246860113344
lowLevel.mfcc.stdev.0,0.3468215843204234
lowLevel.spectral_skewness.mean,0.3385816323279869
lowLevel.sccoeffs.stdev.1,0.32265311185619794
lowLevel.scvalleys.mean.2,0.31855920478119515
lowLevel.hfc.stdev,0.3120897281442012
lowLevel.mfcc.mean.0,0.3051660838864336
lowLevel.mfcc.stdev.5,0.2955981511695427
lowLevel.sccoeffs.mean.3,0.29311459670134354
lowLevel.barkbands.stdev.5,0.2921391307099839
lowLevel.sccoeffs.stdev.2,0.2845979533813079
lowLevel.barkbands.mean.26,0.25069790482666576
lowLevel.scvalleys.mean.1,0.24852936672687065
lowLevel.barkbands.mean.21,0.23989952532429015
lowLevel.spectral_centroid.stdev,0.2292114222800592
lowLevel.barkbands.mean.5,0.21838824456062866
lowLevel.spectral_spread.stdev,0.2151416687629535
lowLevel.sccoeffs.mean.4,0.21266175333585124
lowLevel.barkbands.mean.18,0.20185931398373214
lowLevel.spectral_energyband_middle_low.mean,0.20028568334237207
lowLevel.barkbands.stdev.17,0.19839204163872637
sfx.tristimulus.stdev.1,0.1955366789115942
lowLevel.scvalleys.stdev.4,0.1941184981551487
lowLevel.sccoeffs.mean.2,0.1815311950231262
lowLevel.barkbands_spread.mean,0.1690402311141952
lowLevel.sccoeffs.stdev.5,0.166073035892623
lowLevel.barkbands.mean.20,0.16603588993893936
lowLevel.dissonance.stdev,0.1635127184126759
lowLevel.spectral_decrease.stdev,0.1620836113434052
lowLevel.spectral_strongpeak.mean,0.1546594772298704
lowLevel.barkbands.stdev.25,0.15452040106174536
lowLevel.barkbands.mean.11,0.14792692613991676
lowLevel.spectral_energyband_high.stdev,0.14750021964573534
lowLevel.mfcc.mean.6,0.13679879188566701
lowLevel.spectral_flux.mean,0.13568107280298136
lowLevel.mfcc.stdev.3,0.13353814918082207
lowLevel.barkbands.stdev.11,0.1289448395364161
lowLevel.barkbands.mean.10,0.12884891210705973
lowLevel.barkbands.mean.25,0.12837591187417274
lowLevel.mfcc.mean.7,0.12396247928700177
lowLevel.barkbands.mean.16,0.12366330889926758
lowLevel.barkbands.mean.19,0.11813770352455322
lowLevel.barkbands.mean.1,0.11629522024304606
lowLevel.barkbands.stdev.12,0.11139611405087635
lowLevel.barkbands.stdev.21,0.11102244477660861
lowLevel.mfcc.stdev.6,0.1097260033202474
lowLevel.barkbands.stdev.15,0.10941833970719017
lowLevel.barkbands.stdev.7,0.10934886104951147
lowLevel.barkbands.stdev.9,0.10916920378804207
lowLevel.barkbands_skewness.mean,0.1022954789295909
lowLevel.mfcc.stdev.4,0.10183067466277862
lowLevel.scvalleys.stdev.5,0.10061751341709169
sfx.oddtoevenharmonicenergyratio.mean,0.1006045984395314
lowLevel.barkbands.mean.24,0.09751099041022826
lowLevel.sccoeffs.stdev.4,0.09731541062137694
lowLevel.dissonance.mean,0.09724996145814657
sfx.tristimulus.stdev.2,0.09361184314911952
lowLevel.barkbands.mean.6,0.09273547743214294
lowLevel.silence_rate_60dB.stdev,0.09261593086557696
lowLevel.spectral_flux.stdev,0.09061228094287799
lowLevel.spectral_decrease.mean,0.09042048256378621
lowLevel.barkbands.stdev.22,0.08898826238146285
lowLevel.mfcc.mean.4,0.08690197914256714
lowLevel.sccoeffs.stdev.3,0.07573901009163819
sfx.tristimulus.mean.1,0.07532912315946305
lowLevel.barkbands.stdev.10,0.07091236920678057
lowLevel.spectral_energy.stdev,0.07023889022821095
lowLevel.barkbands.mean.7,0.06677388434036402
lowLevel.sccoeffs.mean.0,0.06633651966694742
lowLevel.barkbands.mean.23,0.06632953568623634
lowLevel.mfcc.mean.5,0.06527553703199374
lowLevel.barkbands.stdev.20,0.06526790688803885
lowLevel.mfcc.mean.12,0.0631099436286604
sfx.tristimulus.stdev.0,0.06307768179976847
lowLevel.barkbands_kurtosis.mean,0.061685118824243546
lowLevel.barkbands.mean.0,0.06004776377812959
sfx.inharmonicity.mean,0.059548392629949376
lowLevel.scvalleys.mean.3,0.05912093466758961
sfx.oddtoevenharmonicenergyratio.stdev,0.058833544426306617
lowLevel.sccoeffs.mean.1,0.05513995583896758
sfx.inharmonicity.stdev,0.051860799016139936
