,importance
lowLevel.hfc.mean,2701.6463367087927
lowLevel.spectral_energyband_middle_high.mean,733.2507424580626
lowLevel.spectral_complexity.stdev,313.3063845024881
lowLevel.spectral_energy.mean,307.9950014752685
lowLevel.silence_rate_60dB.mean,274.97361670128885
lowLevel.spectral_complexity.mean,272.8307425374387
lowLevel.hfc.stdev,73.43653562586405
lowLevel.spectral_energy.stdev,49.05943003064931
lowLevel.spectral_rms.mean,31.199214846243194
lowLevel.barkbands.mean.10,22.68960127301034
lowLevel.spectral_energyband_middle_low.mean,21.175602329139906
lowLevel.barkbands.mean.11,16.439185743482085
lowLevel.spectral_energyband_middle_high.stdev,16.33030491298996
lowLevel.spectral_strongpeak.mean,15.800969140778761
lowLevel.spectral_energyband_middle_low.stdev,14.681249194472002
lowLevel.barkbands.mean.14,14.505521874059923
lowLevel.barkbands.mean.17,14.260140429702005
lowLevel.barkbands.stdev.12,12.293861084122
lowLevel.barkbands.mean.25,10.51211334130494
lowLevel.barkbands.mean.19,10.338260053724298
lowLevel.barkbands.mean.12,9.237075407065277
lowLevel.barkbands.mean.16,8.41369306586472
lowLevel.barkbands.stdev.7,7.853333290650426
lowLevel.spectral_rms.stdev,7.641519259976462
lowLevel.mfcc.mean.0,7.502237175558548
lowLevel.mfcc.stdev.9,7.376747374060955
lowLevel.barkbands.stdev.26,7.312149554716598
lowLevel.barkbands.stdev.11,6.50817429509334
lowLevel.spectral_flux.mean,5.288094251984148
lowLevel.spectral_strongpeak.stdev,5.2281529731321825
lowLevel.barkbands.mean.22,4.75969905249076
lowLevel.barkbands.mean.15,4.736300793592818
lowLevel.barkbands.mean.6,4.44827210429068
lowLevel.spectral_energyband_high.mean,4.3450780076636875
lowLevel.barkbands.mean.5,4.169642765940807
lowLevel.barkbands.mean.26,4.115842820146781
lowLevel.barkbands.stdev.6,4.074432935507502
lowLevel.barkbands.mean.24,3.9771275841339957
lowLevel.mfcc.stdev.7,3.9281153735504404
lowLevel.barkbands.mean.9,3.8138112169108354
lowLevel.mfcc.stdev.8,3.734174485060066
lowLevel.spectral_kurtosis.stdev,3.5346878609852865
lowLevel.barkbands.stdev.9,3.262217149778735
lowLevel.barkbands.mean.21,3.0194891429127892
lowLevel.pitch_instantaneous_confidence.stdev,2.6983414243622974
lowLevel.barkbands.stdev.8,2.679679114415194
lowLevel.barkbands.mean.4,2.5999376015970483
lowLevel.mfcc.stdev.10,2.4824049040726095
lowLevel.barkbands.mean.23,2.427803117563599
lowLevel.barkbands.mean.8,2.0560821473918622
lowLevel.barkbands.mean.7,1.9534124148212868
lowLevel.barkbands.mean.20,1.9258396734294365
sfx.tristimulus.stdev.1,1.8923305012776837
lowLevel.pitch.mean,1.7436335709644482
lowLevel.mfcc.stdev.12,1.7219732306548394
lowLevel.mfcc.mean.8,1.6897603220309065
lowLevel.scvalleys.stdev.3,1.6895290862812544
lowLevel.mfcc.stdev.11,1.6533805222279625
lowLevel.spectral_decrease.mean,1.466070045476954
