,importance
lowLevel.spectral_energy.mean,23.082385439032805
lowLevel.silence_rate_60dB.mean,12.950869422751566
lowLevel.spectral_complexity.mean,7.440770682633229
lowLevel.barkbands.mean.5,3.082545950979693
lowLevel.mfcc.stdev.0,2.8275365150466314
lowLevel.mfcc.stdev.11,2.5701724536993424
lowLevel.mfcc.stdev.9,2.4452351293621177
lowLevel.spectral_complexity.stdev,1.7791559734141629
lowLevel.mfcc.stdev.8,1.3362473988709098
lowLevel.scvalleys.stdev.4,1.26252161897537
lowLevel.hfc.mean,1.2548483842238056
lowLevel.spectral_energy.stdev,1.2106526502175257
lowLevel.spectral_energyband_middle_low.mean,1.1311143083494244
lowLevel.mfcc.stdev.10,1.1037599296359986
lowLevel.spectral_energyband_high.stdev,0.8600968012178782
lowLevel.sccoeffs.mean.3,0.8245223073863599
lowLevel.barkbands.stdev.26,0.7493225588959831
lowLevel.spectral_energyband_middle_low.stdev,0.7280853234788083
lowLevel.spectral_kurtosis.mean,0.6995754132140064
lowLevel.pitch_instantaneous_confidence.stdev,0.6207847030545963
lowLevel.mfcc.stdev.7,0.5583356385850493
lowLevel.mfcc.stdev.12,0.5451906037778826
lowLevel.scvalleys.mean.5,0.5070677086760043
lowLevel.barkbands.stdev.4,0.49800994426323086
lowLevel.spectral_skewness.mean,0.4896394053612312
lowLevel.barkbands.mean.20,0.4856684036913066
lowLevel.sccoeffs.stdev.5,0.48313474484166363
lowLevel.barkbands.mean.26,0.44223658023292955
lowLevel.spectral_skewness.stdev,0.430321652072962
lowLevel.barkbands.stdev.15,0.42851443277686485
lowLevel.spectral_rms.stdev,0.41700792166011524
lowLevel.spectral_spread.mean,0.41538551431222004
lowLevel.mfcc.mean.8,0.4102469415483938
lowLevel.barkbands.stdev.21,0.3974452070106054
lowLevel.spectral_energyband_middle_high.stdev,0.37523093981144484
lowLevel.spectral_energyband_middle_high.mean,0.36693438274232903
lowLevel.barkbands.mean.3,0.3622300032147905
lowLevel.scvalleys.stdev.2,0.3331863096609595
