,importance
lowLevel.hfc.mean,650.6291171446792
lowLevel.spectral_energy.mean,101.97152290336817
lowLevel.spectral_complexity.stdev,40.703622802961036
lowLevel.spectral_energyband_middle_low.stdev,28.24557670775539
lowLevel.hfc.stdev,25.19310650783882
lowLevel.spectral_complexity.mean,16.036910972143232
lowLevel.silence_rate_60dB.mean,14.50132436352942
lowLevel.spectral_energyband_middle_low.mean,6.128786000783293
lowLevel.spectral_rms.stdev,4.758164490915078
lowLevel.mfcc.stdev.10,3.8185678861264023
lowLevel.pitch_instantaneous_confidence.stdev,3.6491938416493213
lowLevel.barkbands.stdev.12,3.4575207669477095
lowLevel.mfcc.stdev.9,3.121073503913067
lowLevel.mfcc.stdev.8,2.906637260064599
lowLevel.mfcc.stdev.2,2.634309044409747
lowLevel.spectral_skewness.stdev,2.4387391720010783
lowLevel.barkbands.stdev.26,2.3222094575176015
lowLevel.spectral_energyband_middle_high.mean,2.196270132662903
lowLevel.spectral_energyband_middle_high.stdev,1.9011355149687006
lowLevel.barkbands.stdev.5,1.8282969427982607
lowLevel.scvalleys.stdev.3,1.7028385194826114
lowLevel.spectral_rms.mean,1.6960991676751291
lowLevel.mfcc.stdev.11,1.6038912210351555
lowLevel.sccoeffs.mean.2,1.5023956387522048
lowLevel.spectral_spread.mean,1.3354011737756082
lowLevel.mfcc.stdev.0,1.3164719147389405
lowLevel.scvalleys.stdev.4,1.2621311632174184
lowLevel.spectral_kurtosis.stdev,1.2519612710129877
lowLevel.spectral_energyband_high.stdev,1.2211170362170378
lowLevel.mfcc.mean.8,1.2178007851034636
lowLevel.barkbands.mean.5,1.1842460591724375
lowLevel.scvalleys.stdev.2,1.1732088176649995
lowLevel.sccoeffs.stdev.2,1.1309100495491293
lowLevel.pitch.stdev,1.1303557065002678
lowLevel.barkbands.stdev.11,1.1074608124581573
lowLevel.mfcc.stdev.7,1.0993660649146477
sfx.tristimulus.stdev.0,1.0878228367073461
lowLevel.mfcc.stdev.12,1.069068267235707
lowLevel.barkbands.mean.25,1.0120431954273954
lowLevel.scvalleys.stdev.1,0.9368070415257534
lowLevel.spectral_kurtosis.mean,0.924993647266092
lowLevel.barkbands.mean.12,0.913886128237209
lowLevel.sccoeffs.stdev.3,0.9069405810350872
lowLevel.spectral_skewness.mean,0.8870493319191155
lowLevel.barkbands.stdev.6,0.8589062177270534
lowLevel.barkbands.stdev.21,0.8366781256499962
lowLevel.pitch.mean,0.7685886932886206
lowLevel.barkbands.mean.17,0.7627537001826568
lowLevel.barkbands.mean.26,0.7552405664609978
lowLevel.barkbands.mean.6,0.7510869558827835
lowLevel.sccoeffs.mean.3,0.7499428295504913
lowLevel.barkbands.mean.13,0.7399157610961993
sfx.tristimulus.stdev.1,0.6958927505602333
lowLevel.barkbands.stdev.3,0.6888721387495025
lowLevel.spectral_strongpeak.stdev,0.6883268122473964
lowLevel.scvalleys.mean.5,0.6705161371792201
lowLevel.barkbands_skewness.stdev,0.6446373786529875
lowLevel.sccoeffs.mean.4,0.6140369783079223
lowLevel.spectral_decrease.stdev,0.5765525185706792
lowLevel.barkbands.stdev.9,0.5574926172967025
