,importance
lowLevel.hfc.mean,22.122139974859067
lowLevel.spectral_energyband_middle_high.mean,7.543000642694054
lowLevel.hfc.stdev,3.9890293775706596
lowLevel.spectral_energy.mean,2.2124223733962936
lowLevel.spectral_complexity.stdev,1.9075365549743992
lowLevel.spectral_strongpeak.mean,0.6838120539188708
lowLevel.spectral_energyband_middle_low.mean,0.5543831075192429
lowLevel.spectral_complexity.mean,0.5436760934596805
lowLevel.silence_rate_60dB.mean,0.4826506032374027
lowLevel.barkbands.mean.9,0.4581103801053046
lowLevel.barkbands.mean.11,0.31213959126667135
lowLevel.barkbands.stdev.8,0.27508969225527835
lowLevel.spectral_energyband_middle_high.stdev,0.23134811828776947
lowLevel.spectral_energyband_high.mean,0.17614190933090867
lowLevel.spectral_strongpeak.stdev,0.16391268294228212
lowLevel.barkbands.stdev.11,0.14980171155730204
lowLevel.barkbands.mean.10,0.14220224776545365
lowLevel.barkbands.stdev.7,0.13401828251244297
lowLevel.barkbands.mean.8,0.1329443636900578
lowLevel.mfcc.mean.0,0.12053905861553105
lowLevel.barkbands.stdev.6,0.11953495593153463
lowLevel.spectral_energy.stdev,0.09555233109858818
lowLevel.barkbands.mean.17,0.0954991422804028
lowLevel.barkbands.mean.18,0.08813082275446504
lowLevel.barkbands.stdev.5,0.08648976766016858
lowLevel.mfcc.stdev.9,0.07577548323524752
lowLevel.barkbands.mean.12,0.07251063597414031
lowLevel.spectral_rms.mean,0.06985470638892366
lowLevel.barkbands.mean.5,0.06869757531956111
lowLevel.barkbands.stdev.12,0.06284116725237254
lowLevel.sccoeffs.mean.1,0.05585575877375959
lowLevel.mfcc.stdev.11,0.053898487145488616
lowLevel.barkbands.mean.15,0.050943707580088926
lowLevel.barkbands.mean.6,0.04910226395804784
lowLevel.barkbands.mean.24,0.04743172860889899
lowLevel.mfcc.stdev.10,0.04575058318236147
lowLevel.barkbands.mean.14,0.04553596840037244
lowLevel.spectral_skewness.stdev,0.04303160352719715
lowLevel.spectral_energyband_middle_low.stdev,0.04143118077433883
lowLevel.spectral_kurtosis.stdev,0.03865816991310567
lowLevel.spectral_decrease.stdev,0.03846145786747002
lowLevel.scvalleys.mean.4,0.03421724421423278
lowLevel.mfcc.stdev.8,0.03364710219770384
lowLevel.barkbands.stdev.14,0.03142564008157933
lowLevel.scvalleys.mean.5,0.029645283507306885
lowLevel.mfcc.mean.8,0.02953822853123711
lowLevel.sccoeffs.mean.4,0.029439310173984268
lowLevel.barkbands.stdev.4,0.029325530918868026
lowLevel.mfcc.stdev.12,0.02896126266568899
lowLevel.barkbands.stdev.17,0.028778958242440922
lowLevel.barkbands.mean.16,0.02598854110715365
lowLevel.barkbands.mean.25,0.02565528422155694
lowLevel.barkbands.mean.13,0.023531170949468105
lowLevel.barkbands_skewness.stdev,0.023207155361888
lowLevel.barkbands.stdev.25,0.022752679411041754
lowLevel.spectral_energyband_high.stdev,0.021438822583149886
lowLevel.spectral_rms.stdev,0.021000248511995778
lowLevel.pitch_instantaneous_confidence.stdev,0.02069659255323586
lowLevel.barkbands.stdev.13,0.020423259432334362
lowLevel.spectral_flux.mean,0.020121648249187274
lowLevel.barkbands.mean.26,0.019425361804678687
lowLevel.barkbands.mean.7,0.018773912170111373
lowLevel.barkbands.stdev.3,0.017810740068398445
lowLevel.barkbands.stdev.15,0.017065719282982172
lowLevel.barkbands.mean.3,0.015838378518310492
lowLevel.barkbands.stdev.20,0.015617024673701962
lowLevel.spectral_decrease.mean,0.01557362623680092
