,importance
lowLevel.hfc.mean,77.40470625439775
lowLevel.spectral_energy.mean,35.90343198651681
lowLevel.silence_rate_60dB.mean,18.082185574894538
lowLevel.spectral_energyband_middle_high.mean,16.695954255235847
lowLevel.spectral_complexity.mean,15.672502984816674
lowLevel.spectral_complexity.stdev,9.870720748673193
lowLevel.spectral_energyband_middle_low.mean,8.260172635724302
lowLevel.mfcc.stdev.10,7.4663595944148256
lowLevel.barkbands.mean.18,7.254330304043833
lowLevel.mfcc.stdev.9,6.805666329426458
lowLevel.sccoeffs.mean.4,4.72383666652604
lowLevel.mfcc.stdev.8,4.5329725790943485
lowLevel.mfcc.stdev.7,4.325952975137625
lowLevel.scvalleys.mean.5,4.20780557213584
lowLevel.spectral_energyband_high.mean,4.117528259637766
lowLevel.sccoeffs.mean.5,3.6750277752871625
lowLevel.barkbands.mean.17,3.64256022463087
lowLevel.silence_rate_60dB.stdev,3.194080362212844
lowLevel.scvalleys.stdev.4,3.0814468319003936
lowLevel.spectral_strongpeak.stdev,2.880631036561681
lowLevel.barkbands.mean.4,2.7320862325723283
lowLevel.spectral_flux.mean,2.67753801944491
lowLevel.mfcc.stdev.12,2.6654581105103716
lowLevel.mfcc.stdev.11,2.6017996527953073
lowLevel.mfcc.mean.8,2.4654872897663154
lowLevel.scvalleys.mean.4,2.314838177873753
lowLevel.pitch_instantaneous_confidence.stdev,2.3147466540685855
lowLevel.hfc.stdev,2.2597916223458014
lowLevel.spectral_decrease.mean,2.1850943652098067
lowLevel.barkbands.stdev.26,2.031365135102533
lowLevel.spectral_energyband_middle_high.stdev,2.0049286307767034
lowLevel.barkbands.mean.11,1.9496475337073207
lowLevel.mfcc.stdev.6,1.6915105693915393
lowLevel.spectral_rms.mean,1.6351451002410613
lowLevel.barkbands.mean.26,1.4277896460844204
lowLevel.spectral_skewness.mean,1.4217237483826466
lowLevel.mfcc.mean.7,1.3117859133635648
lowLevel.scvalleys.stdev.2,1.2819257830269635
lowLevel.spectral_centroid.stdev,1.2519509003614075
lowLevel.spectral_strongpeak.mean,1.2180297508020885
lowLevel.barkbands.mean.5,1.1676995165180415
lowLevel.spectral_spread.mean,1.1650541898270603
lowLevel.barkbands.stdev.12,1.1581814644741826
lowLevel.mfcc.stdev.0,1.1450874848524109
lowLevel.barkbands.mean.25,1.1084829607862048
lowLevel.spectral_energyband_middle_low.stdev,1.1057816471438855
lowLevel.spectral_rolloff.stdev,1.05783884099219
lowLevel.mfcc.stdev.2,1.0522506447305204
lowLevel.barkbands.mean.24,1.0383206840779167
lowLevel.pitch.mean,1.0278562808525749
lowLevel.scvalleys.stdev.3,1.0247330890852027
lowLevel.pitch_instantaneous_confidence.mean,0.9976689835311845
lowLevel.scvalleys.stdev.1,0.9711511780624278
lowLevel.barkbands.mean.16,0.9135507052997127
lowLevel.sccoeffs.mean.0,0.8615949662635103
lowLevel.pitch.stdev,0.8143640026682988
lowLevel.barkbands.stdev.16,0.7996355057694018
lowLevel.spectral_skewness.stdev,0.7900571425852831
lowLevel.barkbands.mean.15,0.7798256711103022
lowLevel.spectral_rms.stdev,0.7750233605038375
lowLevel.spectral_kurtosis.stdev,0.7750162659503985
lowLevel.scvalleys.mean.1,0.7662492449162528
lowLevel.barkbands.stdev.11,0.7078957171179354
sfx.tristimulus.stdev.1,0.702460189233534
lowLevel.scvalleys.stdev.0,0.6885086293623317
lowLevel.spectral_energy.stdev,0.6485943323932588
lowLevel.mfcc.mean.0,0.6325230275979266
lowLevel.spectral_rolloff.mean,0.6202392403502017
lowLevel.mfcc.stdev.5,0.6129369716509245
lowLevel.barkbands.mean.21,0.5842194779834244
lowLevel.barkbands_spread.stdev,0.5769118003954645
lowLevel.zerocrossingrate.stdev,0.5769094246206805
lowLevel.barkbands.mean.19,0.5760274915373884
lowLevel.barkbands.mean.20,0.575266182066116
lowLevel.spectral_kurtosis.mean,0.574672355200164
lowLevel.barkbands.stdev.5,0.5546094367164187
lowLevel.spectral_flatness_db.stdev,0.5466605284018442
lowLevel.pitch_salience.mean,0.5354695769492537
lowLevel.spectral_crest.stdev,0.5332953513134271
lowLevel.sccoeffs.stdev.4,0.53219845314743
lowLevel.scvalleys.stdev.5,0.5289324264740571
lowLevel.barkbands.mean.7,0.5287538714183029
lowLevel.mfcc.mean.6,0.5178877969156019
lowLevel.barkbands.stdev.3,0.5125419064424932
lowLevel.barkbands.mean.22,0.48084851569728926
lowLevel.barkbands.stdev.7,0.4806929735641461
lowLevel.zerocrossingrate.mean,0.47591582499444485
lowLevel.barkbands.stdev.6,0.4752189614519011
lowLevel.sccoeffs.stdev.2,0.47454989672405645
lowLevel.barkbands.stdev.15,0.45941271528135985
lowLevel.sccoeffs.mean.2,0.4416828787070699
sfx.tristimulus.mean.1,0.4375185039243661
lowLevel.barkbands.stdev.4,0.4217824735387694
lowLevel.sccoeffs.stdev.3,0.4215574915288016
lowLevel.barkbands.mean.12,0.4182619421626441
lowLevel.barkbands.stdev.0,0.40757073590066284
lowLevel.barkbands_kurtosis.stdev,0.40318816975923255
lowLevel.barkbands.mean.9,0.39620947471121326
lowLevel.barkbands.mean.8,0.39213856152491644
lowLevel.mfcc.stdev.4,0.3856118960538879
