,importance
lowLevel.spectral_energyband_middle_high.mean,149.52116415066087
lowLevel.hfc.mean,63.08895379278341
lowLevel.spectral_energyband_middle_low.mean,30.98083973563007
lowLevel.mfcc.stdev.9,11.856332428951646
lowLevel.spectral_energyband_high.mean,11.656300884966186
lowLevel.sccoeffs.mean.3,10.133342016684765
lowLevel.mfcc.stdev.12,9.99186468986818
lowLevel.spectral_energyband_middle_high.stdev,9.957494084324026
lowLevel.barkbands.stdev.4,9.59257703428807
lowLevel.barkbands.mean.18,6.964982118446471
lowLevel.spectral_complexity.mean,6.746456546861218
lowLevel.spectral_complexity.stdev,6.293047965535607
lowLevel.barkbands.mean.22,5.542385622475194
lowLevel.mfcc.stdev.10,5.422103397780575
lowLevel.mfcc.stdev.11,5.083280038686894
lowLevel.mfcc.stdev.8,5.028181721130977
lowLevel.spectral_strongpeak.stdev,4.835906653581411
lowLevel.barkbands.mean.21,4.8338186553976925
lowLevel.mfcc.mean.0,4.438305012658475
lowLevel.sccoeffs.mean.5,4.358160616910936
lowLevel.barkbands.mean.5,4.244793325925002
lowLevel.barkbands.stdev.5,4.101788876098908
lowLevel.barkbands.stdev.15,3.4696989664045326
lowLevel.mfcc.stdev.0,3.4589778542681415
lowLevel.barkbands.mean.20,3.4239125871349074
lowLevel.sccoeffs.mean.4,2.9277395396297834
lowLevel.spectral_strongpeak.mean,2.483386481163734
lowLevel.barkbands.mean.15,2.432926917183977
lowLevel.mfcc.stdev.7,2.404688039828443
lowLevel.scvalleys.mean.5,1.9570982490411097
lowLevel.spectral_energyband_middle_low.stdev,1.6573073743034001
lowLevel.spectral_rms.stdev,1.6362756945978845
lowLevel.hfc.stdev,1.6300715258058815
lowLevel.barkbands.stdev.3,1.547227800279643
lowLevel.silence_rate_60dB.mean,1.528888833227029
lowLevel.mfcc.stdev.5,1.466639595824006
lowLevel.barkbands.mean.23,1.3992677418264066
lowLevel.scvalleys.mean.4,1.3992586083513743
lowLevel.spectral_energy.mean,1.395320665995314
lowLevel.sccoeffs.mean.2,1.3796909117476197
lowLevel.spectral_rms.mean,1.1719891382403773
lowLevel.mfcc.mean.8,1.1714998415191076
lowLevel.barkbands.mean.19,1.0541290080143142
lowLevel.barkbands.mean.24,1.0503167263982505
sfx.tristimulus.stdev.1,1.0412747161363995
lowLevel.spectral_spread.mean,1.0029695519663164
lowLevel.barkbands.stdev.13,0.905993539774613
lowLevel.barkbands.mean.17,0.8956050053666331
lowLevel.spectral_flux.stdev,0.8783063184569428
lowLevel.barkbands.mean.16,0.8777425533098722
lowLevel.spectral_energyband_high.stdev,0.8642416655529814
lowLevel.scvalleys.stdev.1,0.8513038527435128
lowLevel.pitch_instantaneous_confidence.stdev,0.8451305966837026
lowLevel.pitch_instantaneous_confidence.mean,0.8160414529602349
lowLevel.spectral_kurtosis.mean,0.8150670259169601
lowLevel.barkbands.stdev.9,0.8078356246326166
lowLevel.barkbands.stdev.21,0.777682916886441
lowLevel.barkbands.mean.9,0.7433332875443739
sfx.oddtoevenharmonicenergyratio.stdev,0.7343122375885898
lowLevel.scvalleys.stdev.4,0.7236128579497745
lowLevel.barkbands.stdev.22,0.7047378158912476
lowLevel.barkbands.stdev.17,0.6927979410099852
lowLevel.barkbands.stdev.11,0.6712513893735377
lowLevel.barkbands.mean.14,0.6675047277823154
lowLevel.barkbands.mean.8,0.6670699638325459
lowLevel.scvalleys.stdev.0,0.6360840747238399
lowLevel.barkbands.stdev.14,0.6120986124396905
sfx.oddtoevenharmonicenergyratio.mean,0.6105793305943052
lowLevel.barkbands.stdev.25,0.5994981277513602
lowLevel.barkbands.mean.26,0.5962836262970086
lowLevel.silence_rate_60dB.stdev,0.5827283135261041
lowLevel.mfcc.stdev.6,0.5825313483549053
lowLevel.mfcc.stdev.4,0.4967581564333159
lowLevel.barkbands.mean.7,0.47864546042524125
lowLevel.spectral_energyband_low.mean,0.4647277608571301
lowLevel.barkbands.stdev.24,0.4501645456384349
lowLevel.spectral_flux.mean,0.4485690702554166
lowLevel.barkbands.stdev.26,0.43596187059421254
lowLevel.zerocrossingrate.stdev,0.41534564336586755
lowLevel.barkbands.stdev.8,0.4049709093094407
lowLevel.barkbands.stdev.6,0.3958670827851165
lowLevel.barkbands_spread.stdev,0.3766448443725494
lowLevel.spectral_skewness.mean,0.3652738124037569
lowLevel.barkbands.stdev.18,0.363963698331645
lowLevel.mfcc.mean.7,0.35575609430316035
lowLevel.barkbands.mean.11,0.3537273848601359
lowLevel.barkbands.stdev.10,0.34539834498900746
lowLevel.sccoeffs.stdev.2,0.34183166388129393
lowLevel.barkbands.mean.10,0.3400815192412665
lowLevel.mfcc.mean.6,0.3312355921494854
lowLevel.sccoeffs.stdev.4,0.32965375618186954
lowLevel.scvalleys.stdev.3,0.3242774187547184
lowLevel.spectral_decrease.mean,0.31692806374121574
lowLevel.barkbands.stdev.12,0.3152906870996901
lowLevel.barkbands_skewness.mean,0.3138331420107079
lowLevel.mfcc.mean.10,0.30675505781891843
lowLevel.spectral_energy.stdev,0.29227938351323246
lowLevel.spectral_crest.stdev,0.2920342165146703
lowLevel.spectral_skewness.stdev,0.28039004228691056
lowLevel.barkbands.mean.3,0.2778796095073126
lowLevel.barkbands.mean.13,0.26632293877190705
lowLevel.barkbands.stdev.20,0.25926873002299544
lowLevel.mfcc.stdev.3,0.25589906495770265
lowLevel.sccoeffs.mean.1,0.252591336813623
lowLevel.sccoeffs.stdev.3,0.2484944329078016
lowLevel.pitch_salience.stdev,0.247997413172925
lowLevel.barkbands.mean.25,0.24706901401918913
sfx.tristimulus.mean.0,0.24551883274738984
lowLevel.spectral_flatness_db.stdev,0.23980657768720448
lowLevel.barkbands.mean.6,0.2363252100913087
lowLevel.spectral_spread.stdev,0.2356905423534954
lowLevel.spectral_kurtosis.stdev,0.23263503120506357
lowLevel.spectral_rolloff.stdev,0.23247500288198353
lowLevel.barkbands.mean.4,0.22990514665815454
lowLevel.scvalleys.stdev.5,0.22461277489804843
lowLevel.mfcc.mean.4,0.2212136925708137
lowLevel.barkbands.mean.12,0.20436081096522685
lowLevel.mfcc.mean.12,0.2023785875000783
lowLevel.spectral_decrease.stdev,0.20176267037936668
lowLevel.barkbands.stdev.23,0.20085694262706966
lowLevel.pitch.mean,0.19893158138256695
sfx.inharmonicity.stdev,0.19684226191930065
lowLevel.barkbands.stdev.19,0.19199403500533663
lowLevel.mfcc.stdev.2,0.1912845992274672
lowLevel.spectral_crest.mean,0.18282764144532848
lowLevel.barkbands.stdev.7,0.18022622074636274
lowLevel.scvalleys.mean.1,0.17524531499884688
lowLevel.spectral_energyband_low.stdev,0.17102822140259377
lowLevel.scvalleys.mean.3,0.1697221526675321
lowLevel.spectral_flatness_db.mean,0.16953566928548014
sfx.tristimulus.stdev.2,0.16816094242847157
lowLevel.spectral_centroid.stdev,0.15923255395614433
lowLevel.pitch_salience.mean,0.15650434394655122
lowLevel.scvalleys.stdev.2,0.1554285625902594
lowLevel.spectral_rolloff.mean,0.14574266847830586
sfx.tristimulus.mean.1,0.14331922820635157
