,importance
lowLevel.hfc.mean,1063.9390982085606
lowLevel.spectral_energy.mean,244.63682180375326
lowLevel.spectral_complexity.stdev,56.26954403507989
lowLevel.hfc.stdev,40.5223527168273
lowLevel.spectral_complexity.mean,24.39453917235369
lowLevel.spectral_energyband_middle_high.stdev,19.27022919128649
lowLevel.spectral_energyband_middle_high.mean,16.52503797353711
lowLevel.spectral_energyband_middle_low.stdev,14.488437854597578
lowLevel.silence_rate_60dB.mean,14.055213435378391
lowLevel.spectral_energyband_middle_low.mean,10.879919109283946
lowLevel.barkbands.stdev.12,8.725612697249744
lowLevel.barkbands.stdev.6,7.990622732322663
lowLevel.barkbands.stdev.7,7.631212033389602
lowLevel.mfcc.stdev.9,5.694633380393498
lowLevel.mfcc.stdev.10,5.492820966115687
lowLevel.barkbands.stdev.26,4.969291438697837
lowLevel.mfcc.stdev.8,4.894590207492001
lowLevel.spectral_strongpeak.mean,4.287043313845061
lowLevel.barkbands.mean.26,4.154915876919404
lowLevel.pitch_instantaneous_confidence.stdev,4.077339015464531
lowLevel.mfcc.stdev.2,3.313563939242158
lowLevel.barkbands.stdev.11,3.1434754953952506
lowLevel.barkbands.stdev.4,3.0943316008197144
lowLevel.mfcc.stdev.12,2.950052973057609
lowLevel.spectral_skewness.stdev,2.926770010672044
lowLevel.scvalleys.stdev.3,2.8215966755524278
lowLevel.barkbands.stdev.5,2.7129114945419133
lowLevel.sccoeffs.stdev.2,2.643822728889063
lowLevel.spectral_energyband_high.mean,2.4241174575290643
lowLevel.barkbands.mean.7,2.1110844719805755
lowLevel.mfcc.mean.8,1.996793941128999
lowLevel.spectral_skewness.mean,1.898725382226985
lowLevel.spectral_spread.mean,1.710347325715702
lowLevel.mfcc.stdev.0,1.6787101198569871
lowLevel.barkbands.mean.5,1.67837315693032
lowLevel.spectral_kurtosis.stdev,1.6168740189750679
lowLevel.pitch_salience.mean,1.5998732137086336
lowLevel.mfcc.stdev.7,1.5557961084705312
lowLevel.barkbands.stdev.8,1.5239281959366053
lowLevel.sccoeffs.mean.2,1.4686460344819352
lowLevel.spectral_rms.stdev,1.4616798725910485
lowLevel.pitch.mean,1.4579919367679395
lowLevel.mfcc.stdev.11,1.3895931310253218
lowLevel.scvalleys.stdev.1,1.3779530270257965
lowLevel.barkbands.stdev.10,1.3503601644770242
sfx.tristimulus.stdev.1,1.3461771630099975
lowLevel.barkbands.stdev.25,1.3240086518926546
lowLevel.spectral_kurtosis.mean,1.3089481435599737
lowLevel.barkbands.mean.15,1.3033052478567697
lowLevel.barkbands.mean.25,1.2772500823484734
lowLevel.mfcc.mean.0,1.277171214693226
lowLevel.pitch.stdev,1.2368039786815643
lowLevel.barkbands.mean.12,1.2349920489941724
lowLevel.scvalleys.mean.5,1.2242226159432903
lowLevel.barkbands.stdev.9,1.179058528970927
lowLevel.scvalleys.stdev.2,1.078963884152472
lowLevel.barkbands.mean.17,1.025733912945725
lowLevel.sccoeffs.mean.4,0.9653915778326336
sfx.tristimulus.stdev.0,0.8704081567702815
lowLevel.spectral_energyband_high.stdev,0.7940984575543553
lowLevel.sccoeffs.stdev.5,0.7789033334702253
lowLevel.spectral_flux.stdev,0.7743229827610776
lowLevel.spectral_rms.mean,0.7640543405432254
lowLevel.sccoeffs.mean.3,0.7626342815347016
lowLevel.sccoeffs.mean.5,0.7434803880751133
lowLevel.barkbands.stdev.3,0.7411274458863772
lowLevel.barkbands.mean.3,0.7128813933813944
lowLevel.scvalleys.stdev.4,0.6662911915627774
lowLevel.scvalleys.mean.4,0.6525156237185001
lowLevel.barkbands_skewness.stdev,0.626789670845028
lowLevel.barkbands.mean.6,0.6153305721236393
lowLevel.spectral_flatness_db.stdev,0.5921562825678848
lowLevel.barkbands.mean.13,0.5799480759887956
lowLevel.mfcc.stdev.5,0.5453819542308338
lowLevel.barkbands.mean.4,0.5352848334005103
sfx.inharmonicity.stdev,0.5263092300156131
lowLevel.scvalleys.mean.0,0.5235600419691764
lowLevel.barkbands.stdev.13,0.5169160703662783
lowLevel.sccoeffs.stdev.3,0.5014657350548077
lowLevel.barkbands.stdev.16,0.4711498008109629
lowLevel.mfcc.mean.1,0.4602726247976534
lowLevel.mfcc.mean.12,0.4480793292168528
lowLevel.sccoeffs.mean.1,0.4365148702636361
lowLevel.silence_rate_60dB.stdev,0.4064719342859462
sfx.tristimulus.stdev.2,0.4017059976467863
lowLevel.barkbands.mean.14,0.40131742984522134
lowLevel.barkbands.stdev.18,0.38793764216825366
lowLevel.barkbands.mean.2,0.38746925740269944
lowLevel.spectral_strongpeak.stdev,0.3852744500618428
lowLevel.scvalleys.stdev.0,0.3831909644068219
lowLevel.barkbands.mean.8,0.3800586652359925
sfx.oddtoevenharmonicenergyratio.stdev,0.373916585551342
lowLevel.spectral_decrease.mean,0.3560251194285229
lowLevel.barkbands.stdev.14,0.3372909250902012
lowLevel.barkbands.mean.16,0.3367189556010999
sfx.oddtoevenharmonicenergyratio.mean,0.33218414190923795
lowLevel.sccoeffs.stdev.1,0.32793553272495046
lowLevel.barkbands.mean.11,0.32199491118080914
lowLevel.barkbands.mean.10,0.31131955480668694
lowLevel.barkbands.stdev.20,0.3054829590837471
lowLevel.scvalleys.mean.3,0.3046633997000754
lowLevel.sccoeffs.stdev.4,0.30118976900121197
lowLevel.spectral_energy.stdev,0.3010630673961714
lowLevel.barkbands.stdev.17,0.29905897728167474
lowLevel.barkbands.stdev.21,0.28939989843638614
lowLevel.barkbands_skewness.mean,0.28817316121421754
lowLevel.dissonance.stdev,0.28672465530689806
lowLevel.mfcc.mean.3,0.27904798020608723
lowLevel.barkbands_kurtosis.stdev,0.2741650299867615
lowLevel.mfcc.mean.10,0.27251294552115723
lowLevel.scvalleys.stdev.5,0.2673754688585177
lowLevel.barkbands.mean.23,0.2633135807700455
lowLevel.scvalleys.mean.1,0.26135338519816287
lowLevel.barkbands.mean.9,0.25592057342873886
lowLevel.spectral_decrease.stdev,0.25424329412635416
lowLevel.barkbands.mean.24,0.252440944314003
lowLevel.spectral_centroid.stdev,0.24905723822303116
lowLevel.barkbands.mean.1,0.24289644364034757
lowLevel.barkbands.mean.21,0.2404005074640736
lowLevel.barkbands.stdev.19,0.23946594522567466
lowLevel.mfcc.mean.11,0.2276365023571998
lowLevel.zerocrossingrate.mean,0.21326785336714238
lowLevel.spectral_centroid.mean,0.20058304994017817
lowLevel.dissonance.mean,0.19956972313229926
lowLevel.spectral_crest.stdev,0.19372909486992285
lowLevel.zerocrossingrate.stdev,0.1913809278048575
lowLevel.spectral_spread.stdev,0.1895220304140821
lowLevel.sccoeffs.mean.0,0.18187440978363156
lowLevel.mfcc.stdev.1,0.16630630142753944
lowLevel.mfcc.mean.6,0.16602033347589895
lowLevel.mfcc.stdev.4,0.16497780795907602
lowLevel.barkbands_kurtosis.mean,0.16493440454360098
lowLevel.mfcc.mean.5,0.1635572641971521
sfx.tristimulus.mean.2,0.1577983585302718
lowLevel.barkbands.mean.0,0.1525734009919688
lowLevel.pitch_instantaneous_confidence.mean,0.14955769205698743
lowLevel.mfcc.mean.4,0.14627685042796656
lowLevel.spectral_flux.mean,0.14203123332117684
lowLevel.barkbands.stdev.15,0.13713361218106002
lowLevel.barkbands.stdev.0,0.13646685238927603
sfx.tristimulus.mean.0,0.13531075546052307
lowLevel.scvalleys.mean.2,0.12782848218921572
lowLevel.spectral_rolloff.stdev,0.11989618034567684
lowLevel.barkbands.stdev.2,0.11970364989247173
lowLevel.mfcc.mean.9,0.11868315760511905
lowLevel.spectral_crest.mean,0.11861829948611557
lowLevel.mfcc.stdev.6,0.11654567928053439
sfx.inharmonicity.mean,0.10985579894622788
lowLevel.barkbands.stdev.22,0.10725275374716148
lowLevel.barkbands.mean.20,0.10616423306055367
lowLevel.mfcc.mean.7,0.10554732658783905
lowLevel.spectral_energyband_low.mean,0.10373589093796909
lowLevel.spectral_flatness_db.mean,0.10149968101177365
lowLevel.pitch_salience.stdev,0.10102437995374203
sfx.tristimulus.mean.1,0.10029871785081923
lowLevel.mfcc.stdev.3,0.0969169776653871
lowLevel.barkbands.mean.18,0.09440977999474853
lowLevel.spectral_rolloff.mean,0.09439873055089265
lowLevel.barkbands_spread.stdev,0.08901768483337946
lowLevel.barkbands.mean.22,0.08362305600894615
lowLevel.barkbands.stdev.1,0.0733867697417736
lowLevel.spectral_energyband_low.stdev,0.06895416241604835
lowLevel.barkbands_spread.mean,0.05967103206785396
lowLevel.barkbands.stdev.23,0.05888571008108556
lowLevel.barkbands.stdev.24,0.05495159554993734
lowLevel.barkbands.mean.19,0.046128430258249864
lowLevel.sccoeffs.stdev.0,0.04550916934385896
lowLevel.mfcc.mean.2,0.033862781594507396
lowLevel.silence_rate_30dB.mean,0.019919989863410592
lowLevel.silence_rate_30dB.stdev,0.00434599001891911
lowLevel.silence_rate_20dB.stdev,0.002050423005130142
lowLevel.silence_rate_20dB.mean,0.0
