,importance
lowLevel.spectral_energy.stdev,83.21157864539418
lowLevel.spectral_energy.mean,82.95687928859843
lowLevel.hfc.mean,25.147631807631114
lowLevel.spectral_complexity.mean,24.141393743280787
lowLevel.spectral_complexity.stdev,14.807499763148371
lowLevel.silence_rate_60dB.mean,13.834324573370395
lowLevel.spectral_rms.stdev,8.169926338770892
lowLevel.spectral_energyband_middle_high.mean,6.15287779486971
lowLevel.spectral_energyband_middle_high.stdev,6.001951260841452
lowLevel.mfcc.stdev.8,5.8842101586051285
lowLevel.spectral_strongpeak.stdev,5.714116051211022
lowLevel.barkbands.stdev.26,5.65776786749484
lowLevel.spectral_energyband_middle_low.mean,5.15415562922135
lowLevel.barkbands.mean.5,5.095940919243731
lowLevel.barkbands.mean.18,5.086254843015922
lowLevel.spectral_energyband_high.mean,5.071974416729063
lowLevel.barkbands.stdev.4,4.627323881170014
lowLevel.scvalleys.stdev.3,4.508549506368581
lowLevel.pitch_instantaneous_confidence.stdev,4.437439645174891
lowLevel.mfcc.stdev.10,4.121473139617592
lowLevel.hfc.stdev,3.89221163559705
lowLevel.mfcc.stdev.9,3.8637044802308083
lowLevel.barkbands.mean.26,3.776669548940845
lowLevel.scvalleys.stdev.4,3.653073860274162
lowLevel.barkbands.stdev.20,3.4928896323544905
lowLevel.mfcc.stdev.0,3.1632399036898278
lowLevel.mfcc.stdev.11,2.716426389757544
lowLevel.spectral_spread.mean,2.6747227552114055
lowLevel.barkbands.mean.17,2.166719116154127
lowLevel.barkbands.mean.25,2.135201139259152
lowLevel.spectral_crest.stdev,2.046298235654831
lowLevel.scvalleys.mean.4,1.8609844103339128
lowLevel.barkbands.mean.19,1.8522012960747816
lowLevel.pitch.mean,1.8112136228592135
lowLevel.mfcc.stdev.7,1.8111977351363748
lowLevel.sccoeffs.mean.4,1.7858338566147722
lowLevel.spectral_kurtosis.mean,1.7841349402442575
lowLevel.sccoeffs.mean.3,1.7716331687406637
lowLevel.scvalleys.mean.5,1.6951289299468044
lowLevel.barkbands.mean.24,1.6853265722747892
lowLevel.sccoeffs.mean.5,1.6718528902856633
lowLevel.scvalleys.stdev.2,1.6571927315089852
lowLevel.scvalleys.stdev.1,1.6491197270224802
lowLevel.barkbands.stdev.12,1.6305659782374278
lowLevel.spectral_energyband_high.stdev,1.5427946725976653
lowLevel.barkbands.stdev.18,1.5416289525455795
lowLevel.barkbands.mean.15,1.4042012027348392
lowLevel.barkbands.stdev.25,1.2169759219978005
lowLevel.spectral_strongpeak.mean,1.1912822404992767
lowLevel.barkbands.mean.10,1.1851483311038464
lowLevel.spectral_skewness.stdev,1.144228002318414
lowLevel.mfcc.stdev.12,1.0973060635733418
lowLevel.sccoeffs.mean.2,1.0795175320236012
lowLevel.mfcc.mean.8,1.03322673481307
lowLevel.barkbands.mean.20,1.0260699153295718
lowLevel.spectral_kurtosis.stdev,0.9768601548857987
lowLevel.barkbands.stdev.11,0.8592929455917329
lowLevel.mfcc.stdev.2,0.858874567609746
lowLevel.spectral_rms.mean,0.8588034177082591
lowLevel.barkbands.mean.4,0.8416654120082967
lowLevel.spectral_skewness.mean,0.8167738902848214
lowLevel.mfcc.stdev.5,0.7958758259192109
lowLevel.mfcc.mean.0,0.7941453399835154
lowLevel.pitch.stdev,0.775456307688728
lowLevel.sccoeffs.stdev.2,0.7544153253547847
lowLevel.spectral_energyband_middle_low.stdev,0.7065851223887876
lowLevel.mfcc.stdev.6,0.6932958553079516
lowLevel.scvalleys.stdev.5,0.6884456453844905
sfx.tristimulus.stdev.1,0.6809263030299917
lowLevel.barkbands.stdev.6,0.6750970214488916
lowLevel.pitch_salience.stdev,0.6467545276973397
lowLevel.barkbands.stdev.3,0.6248714486137033
lowLevel.mfcc.mean.3,0.6135798323666677
lowLevel.barkbands.mean.11,0.5987029011594132
lowLevel.spectral_flux.mean,0.5769435480469838
sfx.oddtoevenharmonicenergyratio.stdev,0.56553938385332
lowLevel.spectral_decrease.mean,0.5575896041700616
lowLevel.scvalleys.mean.0,0.5574738485156558
lowLevel.zerocrossingrate.mean,0.5485941783990711
lowLevel.spectral_centroid.stdev,0.5296390863368288
lowLevel.barkbands.stdev.7,0.5130799547187053
lowLevel.sccoeffs.stdev.3,0.5080369827337563
lowLevel.scvalleys.stdev.0,0.48740336194168776
lowLevel.barkbands.stdev.17,0.4747287784120999
lowLevel.barkbands.mean.16,0.47002608416369185
lowLevel.mfcc.mean.12,0.44562628510175273
lowLevel.barkbands.mean.9,0.43684259679866955
lowLevel.pitch_salience.mean,0.42638268310111016
lowLevel.barkbands.stdev.10,0.42273942881729454
lowLevel.spectral_flatness_db.mean,0.4220716351410374
lowLevel.mfcc.mean.6,0.41941347933607176
sfx.tristimulus.stdev.0,0.4179861709708348
lowLevel.barkbands.mean.12,0.411188198835589
lowLevel.scvalleys.mean.2,0.41087726259138435
lowLevel.scvalleys.mean.3,0.39600810955744237
lowLevel.spectral_flux.stdev,0.374814163078554
