,importance
lowLevel.hfc.mean,1012.6151942245197
lowLevel.spectral_complexity.mean,199.7757568495581
lowLevel.spectral_energyband_middle_high.mean,184.90670210623648
lowLevel.spectral_energy.mean,162.40936677902937
lowLevel.spectral_complexity.stdev,93.03784318931866
lowLevel.silence_rate_60dB.mean,61.890810633893125
lowLevel.hfc.stdev,30.152180894860066
lowLevel.mfcc.mean.0,13.87842336052563
lowLevel.spectral_energyband_middle_low.mean,12.542988909059204
lowLevel.spectral_energy.stdev,11.956435935455374
lowLevel.spectral_rms.mean,11.942231600754894
lowLevel.spectral_energyband_middle_high.stdev,10.87133299303241
lowLevel.barkbands.mean.14,9.557629356335383
lowLevel.barkbands.mean.10,9.068980142707005
lowLevel.spectral_rms.stdev,8.734108054661192
lowLevel.spectral_energyband_middle_low.stdev,8.484976374078542
lowLevel.mfcc.stdev.9,5.308195812685881
lowLevel.barkbands.mean.11,5.23377701244317
lowLevel.barkbands.stdev.26,5.066825522808358
lowLevel.barkbands.mean.15,5.061378609505482
lowLevel.spectral_strongpeak.mean,4.5334709079470485
lowLevel.barkbands.mean.19,4.2512255751062185
lowLevel.barkbands.mean.26,4.0985224158503115
lowLevel.barkbands.mean.6,4.082305556861684
lowLevel.barkbands.stdev.8,4.078012859099545
lowLevel.barkbands.mean.12,3.7436316799139604
lowLevel.barkbands.mean.24,3.703420936013572
lowLevel.barkbands.mean.25,3.6905905947787687
lowLevel.barkbands.stdev.12,3.671524545759894
lowLevel.mfcc.stdev.7,3.607280896860175
lowLevel.spectral_energyband_high.mean,3.522552264854312
lowLevel.spectral_kurtosis.stdev,3.5191752547980286
lowLevel.mfcc.stdev.8,3.4403293072246015
lowLevel.pitch_instantaneous_confidence.stdev,3.324964443454519
lowLevel.barkbands.mean.17,3.261952278087847
lowLevel.barkbands.stdev.6,3.199258841574192
lowLevel.barkbands.mean.22,2.834488420863636
lowLevel.scvalleys.stdev.3,2.7707250979728997
lowLevel.barkbands.mean.7,2.54838942742208
lowLevel.barkbands.mean.9,2.4895122291054577
sfx.tristimulus.stdev.1,2.31043480252265
lowLevel.spectral_skewness.mean,1.976526297396049
lowLevel.mfcc.mean.8,1.8785879998467863
lowLevel.barkbands.mean.5,1.796278135268949
lowLevel.spectral_decrease.mean,1.6443498472799547
lowLevel.pitch.mean,1.601182914688252
lowLevel.mfcc.stdev.10,1.5866345526883379
lowLevel.barkbands.stdev.7,1.499277132912539
lowLevel.barkbands.mean.8,1.458485821262002
lowLevel.spectral_skewness.stdev,1.4214316616998985
lowLevel.barkbands.stdev.11,1.3520014747045934
lowLevel.mfcc.stdev.0,1.3013516566134058
lowLevel.barkbands.stdev.10,1.2869521286920644
lowLevel.mfcc.stdev.11,1.0900201791664585
lowLevel.barkbands.mean.13,1.0824636370525695
lowLevel.scvalleys.mean.1,0.9897722091991454
lowLevel.spectral_spread.mean,0.9877891688956879
lowLevel.barkbands.stdev.25,0.9782336833304726
lowLevel.sccoeffs.stdev.2,0.9704142134869471
lowLevel.spectral_kurtosis.mean,0.9664267441257834
sfx.tristimulus.stdev.0,0.8751384723582305
lowLevel.pitch_salience.mean,0.8068128309678286
lowLevel.mfcc.stdev.6,0.7997620028909296
lowLevel.scvalleys.stdev.2,0.7918782842461951
lowLevel.mfcc.stdev.5,0.7845574163366109
lowLevel.scvalleys.mean.5,0.7729661412304267
sfx.tristimulus.mean.2,0.7725517959916033
lowLevel.barkbands_skewness.mean,0.7548111198702827
lowLevel.scvalleys.stdev.4,0.7505424679256976
lowLevel.spectral_flatness_db.stdev,0.7313285275595263
lowLevel.barkbands.mean.21,0.716906150104478
lowLevel.sccoeffs.mean.5,0.7155349214444868
lowLevel.barkbands.stdev.17,0.6775134191848338
lowLevel.barkbands.mean.4,0.6499746066983789
sfx.tristimulus.stdev.2,0.6414910284220241
lowLevel.barkbands.stdev.4,0.6353446651482955
lowLevel.sccoeffs.mean.2,0.6274922495358624
lowLevel.barkbands.mean.18,0.6169595021056011
