,importance
lowLevel.spectral_energy.mean,56.61383878442575
lowLevel.silence_rate_60dB.mean,55.76723097673312
lowLevel.spectral_complexity.mean,38.12550212696806
lowLevel.hfc.mean,11.123374120947119
lowLevel.spectral_complexity.stdev,10.862483360084298
lowLevel.barkbands.mean.5,9.496787473543009
lowLevel.mfcc.stdev.9,9.028017694367009
lowLevel.spectral_energyband_middle_high.mean,8.864382895280869
lowLevel.mfcc.stdev.10,8.669736741136148
lowLevel.spectral_energyband_middle_low.mean,7.894514403778885
lowLevel.mfcc.stdev.11,6.572088364963747
lowLevel.spectral_energyband_middle_low.stdev,6.1959451751936285
lowLevel.mfcc.stdev.8,5.995235274163861
lowLevel.spectral_rms.stdev,5.754692476057244
lowLevel.barkbands.stdev.26,3.7854460332928284
lowLevel.scvalleys.stdev.4,3.7831724224743084
lowLevel.barkbands.mean.18,3.629294482681871
lowLevel.sccoeffs.mean.3,3.2864726188872737
lowLevel.mfcc.stdev.7,3.178315042896429
lowLevel.pitch_instantaneous_confidence.stdev,3.0910309712753588
lowLevel.spectral_energy.stdev,3.0882377839516266
lowLevel.mfcc.stdev.0,3.034568345081425
lowLevel.hfc.stdev,2.830487903491303
lowLevel.barkbands.mean.17,2.742624299346062
lowLevel.mfcc.stdev.12,2.4389393025230675
lowLevel.spectral_energyband_high.mean,2.4022111391059298
lowLevel.scvalleys.stdev.3,2.1976187840555212
lowLevel.scvalleys.mean.4,2.1464033647962424
lowLevel.mfcc.mean.0,2.0761098367001978
lowLevel.spectral_skewness.mean,2.0463556862960104
lowLevel.barkbands.stdev.4,2.0170896877752966
lowLevel.barkbands.stdev.5,2.0076004456532246
lowLevel.sccoeffs.mean.4,1.9832394982167898
lowLevel.sccoeffs.mean.5,1.8521813174374984
lowLevel.spectral_strongpeak.mean,1.7760248156046146
lowLevel.spectral_kurtosis.mean,1.7465201580853318
lowLevel.spectral_spread.mean,1.7456833376454597
lowLevel.mfcc.mean.8,1.7128960508998716
