,importance
lowLevel.spectral_energyband_middle_high.mean,43.81997612604755
lowLevel.spectral_energyband_high.mean,23.043234583703452
lowLevel.hfc.mean,21.024190547061153
lowLevel.barkbands.mean.18,15.203984703490278
lowLevel.spectral_energy.mean,14.54795213646139
lowLevel.spectral_rms.mean,9.133905226306524
lowLevel.spectral_complexity.mean,6.989678812693455
lowLevel.barkbands.mean.5,6.331367048172979
lowLevel.mfcc.stdev.10,6.172796896986256
lowLevel.spectral_energyband_middle_high.stdev,5.676867432877771
lowLevel.mfcc.stdev.12,5.321988924726611
lowLevel.silence_rate_60dB.mean,5.0527427339111455
lowLevel.mfcc.stdev.9,4.711889352358412
lowLevel.barkbands.mean.4,4.015475722408155
lowLevel.spectral_energyband_middle_low.mean,3.574774353968678
lowLevel.mfcc.stdev.8,3.3081602908932837
lowLevel.pitch_instantaneous_confidence.stdev,3.1097405370965134
lowLevel.mfcc.stdev.7,2.8243277992587537
lowLevel.spectral_strongpeak.stdev,2.8164913676155265
lowLevel.mfcc.mean.8,2.4541968343110057
lowLevel.spectral_strongpeak.mean,2.2983381111116614
lowLevel.silence_rate_60dB.stdev,2.07750107558968
lowLevel.barkbands.mean.11,2.0424238703999436
lowLevel.spectral_complexity.stdev,1.9305642927647568
lowLevel.scvalleys.mean.5,1.8538984867336694
lowLevel.mfcc.stdev.11,1.4190526771635632
lowLevel.barkbands.mean.24,1.278599668876268
lowLevel.barkbands.stdev.4,1.0938803184544668
lowLevel.barkbands.stdev.15,1.0472832060331712
lowLevel.barkbands.mean.17,1.0177003998833243
lowLevel.barkbands.mean.21,0.9709844960889313
lowLevel.barkbands.mean.7,0.9510222330136457
lowLevel.spectral_flatness_db.stdev,0.9277597194013651
lowLevel.mfcc.stdev.0,0.8581442623253679
lowLevel.barkbands.mean.6,0.8139803779195063
lowLevel.sccoeffs.mean.4,0.7948959385394119
lowLevel.barkbands.mean.22,0.7926967302337289
lowLevel.sccoeffs.mean.3,0.7609911856707186
lowLevel.spectral_kurtosis.stdev,0.760412662071758
lowLevel.mfcc.stdev.5,0.7572591067146277
