,importance
lowLevel.hfc.mean,28.64000584211317
lowLevel.spectral_energyband_middle_high.mean,15.535480717886912
lowLevel.barkbands.mean.17,10.085558037376813
lowLevel.spectral_strongpeak.stdev,9.581076351965521
lowLevel.spectral_energy.stdev,4.276051672286485
lowLevel.barkbands.stdev.26,3.413172312262759
lowLevel.barkbands.mean.18,2.800200270586629
lowLevel.sccoeffs.mean.5,2.7987068474915304
lowLevel.spectral_energyband_middle_low.stdev,2.516922969005236
lowLevel.spectral_flux.stdev,2.221327333248155
lowLevel.barkbands.mean.19,2.1642431672685234
lowLevel.hfc.stdev,2.084585797368777
lowLevel.spectral_rms.stdev,1.8987191296919264
lowLevel.spectral_energyband_high.mean,1.6954102105828497
lowLevel.spectral_energyband_middle_low.mean,1.5794603707449824
lowLevel.sccoeffs.mean.4,1.5790579969922476
lowLevel.spectral_complexity.stdev,1.409977707843609
lowLevel.spectral_energy.mean,1.4051917740507633
lowLevel.spectral_spread.mean,1.3987316786010524
lowLevel.mfcc.stdev.12,1.2038029495483897
lowLevel.spectral_skewness.stdev,1.0946534870272444
lowLevel.barkbands.stdev.4,1.0816467292006564
lowLevel.mfcc.stdev.10,1.0473713963729097
lowLevel.mfcc.mean.0,0.9396642304854907
lowLevel.barkbands.mean.10,0.9222896329642936
lowLevel.barkbands.mean.26,0.8928598055235852
lowLevel.spectral_complexity.mean,0.8763546893680427
lowLevel.sccoeffs.mean.2,0.8633702979885811
lowLevel.spectral_energyband_middle_high.stdev,0.8425858384995308
lowLevel.mfcc.stdev.8,0.8371459637965017
lowLevel.pitch_instantaneous_confidence.stdev,0.8148054678158587
lowLevel.sccoeffs.stdev.1,0.7763193062073697
lowLevel.barkbands.stdev.10,0.7673675462258416
lowLevel.mfcc.stdev.2,0.7384674762495251
lowLevel.barkbands.stdev.9,0.704976476025422
lowLevel.barkbands.stdev.3,0.6992046448862652
lowLevel.scvalleys.stdev.3,0.6535749806607782
lowLevel.spectral_strongpeak.mean,0.6410887896172426
lowLevel.scvalleys.stdev.4,0.6184529221327466
lowLevel.scvalleys.stdev.2,0.6102440382092027
lowLevel.barkbands.stdev.6,0.5903752518999568
lowLevel.barkbands.mean.20,0.5837237933155848
lowLevel.mfcc.stdev.9,0.5784853784856523
lowLevel.barkbands.stdev.12,0.577232484567503
lowLevel.mfcc.stdev.11,0.5556458327318978
lowLevel.spectral_kurtosis.stdev,0.4825537910173807
lowLevel.sccoeffs.stdev.2,0.4716504559164605
lowLevel.spectral_rms.mean,0.462548269408785
lowLevel.scvalleys.stdev.1,0.44498710138941533
lowLevel.spectral_flux.mean,0.43562337744868973
lowLevel.mfcc.stdev.7,0.4355594824675677
lowLevel.barkbands.mean.25,0.41912086548427396
lowLevel.sccoeffs.mean.3,0.4188207798287067
lowLevel.mfcc.stdev.0,0.41171261914405477
lowLevel.scvalleys.mean.4,0.39974369388073683
lowLevel.scvalleys.mean.5,0.3670759826900394
lowLevel.spectral_kurtosis.mean,0.3586908396396211
lowLevel.spectral_centroid.stdev,0.35439634500380635
lowLevel.mfcc.stdev.6,0.35203444900889735
lowLevel.barkbands.stdev.11,0.33626469110458856
lowLevel.spectral_flatness_db.mean,0.33032175878315684
lowLevel.barkbands.mean.7,0.31167636317150027
lowLevel.sccoeffs.mean.1,0.3019976729485734
lowLevel.barkbands.stdev.8,0.29341651433969673
lowLevel.spectral_skewness.mean,0.27397486682275485
lowLevel.scvalleys.stdev.5,0.2722524787245675
lowLevel.barkbands.mean.12,0.26686288989867535
lowLevel.scvalleys.stdev.0,0.2498090997582949
lowLevel.barkbands.mean.9,0.24757146748015657
lowLevel.pitch_instantaneous_confidence.mean,0.2443219427572103
lowLevel.mfcc.stdev.1,0.23873384572402756
lowLevel.barkbands_spread.mean,0.22064291828519345
lowLevel.barkbands.mean.21,0.21884822200200915
lowLevel.mfcc.mean.4,0.21451585936483752
lowLevel.spectral_decrease.stdev,0.2132029615084683
lowLevel.barkbands.mean.22,0.18359154038796532
lowLevel.scvalleys.mean.0,0.18080376620491734
lowLevel.barkbands.mean.8,0.17919858727327664
lowLevel.dissonance.mean,0.16710829343787736
lowLevel.spectral_energyband_low.mean,0.16429941015667282
lowLevel.spectral_flatness_db.stdev,0.16062879965102184
sfx.inharmonicity.mean,0.15193826475479
lowLevel.barkbands.mean.23,0.14912740937279523
lowLevel.barkbands.mean.6,0.146912475661793
lowLevel.barkbands.stdev.25,0.14171594440722401
lowLevel.pitch.mean,0.14170643430270502
lowLevel.barkbands.mean.5,0.1373494664167083
lowLevel.barkbands.mean.4,0.13574349915143102
lowLevel.sccoeffs.stdev.3,0.1355324779433431
lowLevel.barkbands.stdev.21,0.1333120098370273
lowLevel.barkbands.stdev.13,0.13180068964197744
sfx.tristimulus.stdev.0,0.12667655227960495
lowLevel.spectral_crest.mean,0.12530431633183525
lowLevel.barkbands.mean.14,0.12161780305268621
lowLevel.barkbands.stdev.15,0.11874967875905895
lowLevel.barkbands.mean.11,0.11502334656779567
lowLevel.silence_rate_60dB.mean,0.11086878491221341
lowLevel.barkbands.stdev.7,0.10660858879418811
lowLevel.barkbands.mean.24,0.10644834630068267
lowLevel.sccoeffs.stdev.0,0.1042579697623296
lowLevel.mfcc.mean.11,0.10215784519294857
lowLevel.mfcc.mean.1,0.09839519601337088
lowLevel.scvalleys.mean.3,0.0978602672175839
lowLevel.spectral_rolloff.stdev,0.09758512751841408
lowLevel.pitch_salience.mean,0.09730320033304451
sfx.tristimulus.stdev.1,0.0969404786134902
lowLevel.barkbands.mean.16,0.09581421930124634
lowLevel.barkbands.stdev.17,0.09351469954299318
lowLevel.mfcc.mean.3,0.09329969169279906
lowLevel.mfcc.mean.2,0.09166941616786062
lowLevel.barkbands.stdev.19,0.08488492283504456
lowLevel.scvalleys.mean.1,0.07888016680590226
lowLevel.spectral_decrease.mean,0.07777001441399989
lowLevel.sccoeffs.stdev.5,0.07703066370822853
lowLevel.zerocrossingrate.stdev,0.0760224535888483
lowLevel.mfcc.mean.7,0.07543425010044302
lowLevel.pitch_salience.stdev,0.07542598315922078
sfx.tristimulus.stdev.2,0.07292441323579624
lowLevel.silence_rate_60dB.stdev,0.07118792390997442
lowLevel.barkbands.stdev.20,0.07053380845536594
lowLevel.spectral_spread.stdev,0.07047435049889827
lowLevel.mfcc.stdev.5,0.0693131449388602
sfx.tristimulus.mean.2,0.06894239629036747
lowLevel.barkbands.mean.0,0.06860793208943505
lowLevel.dissonance.stdev,0.0664104127090468
lowLevel.barkbands.mean.3,0.06606793994160398
lowLevel.barkbands.stdev.22,0.06404131526869605
lowLevel.mfcc.mean.8,0.06375842960665068
lowLevel.barkbands.stdev.14,0.06037260097946273
lowLevel.mfcc.mean.12,0.05597599331554193
lowLevel.barkbands_skewness.mean,0.05431396533776933
lowLevel.barkbands.mean.13,0.05317695198050387
sfx.tristimulus.mean.0,0.05197510691198204
lowLevel.barkbands.stdev.18,0.051728516511502676
