,importance
lowLevel.hfc.mean,2816.5639025703913
lowLevel.spectral_energy.mean,673.5461201216749
lowLevel.hfc.stdev,233.4801514595165
lowLevel.spectral_complexity.stdev,186.82349074984813
lowLevel.spectral_energyband_middle_low.stdev,112.23144361366576
lowLevel.spectral_complexity.mean,81.98990608908935
lowLevel.silence_rate_60dB.mean,60.841899712493614
lowLevel.spectral_energyband_middle_low.mean,36.384501770866336
lowLevel.spectral_rms.stdev,23.51564360113116
lowLevel.spectral_energyband_middle_high.stdev,18.587796612046077
lowLevel.mfcc.stdev.9,16.011383930715965
lowLevel.pitch_instantaneous_confidence.stdev,15.335090430875425
lowLevel.mfcc.stdev.10,14.267424010777177
lowLevel.mfcc.stdev.2,13.763902808144621
lowLevel.barkbands.stdev.26,11.284248008392751
lowLevel.barkbands.stdev.12,11.186725344588922
lowLevel.mfcc.stdev.11,11.165771428568405
lowLevel.spectral_energyband_middle_high.mean,11.01230620770366
lowLevel.mfcc.stdev.8,9.897247094359045
lowLevel.barkbands.stdev.11,9.397509421538416
lowLevel.spectral_skewness.stdev,9.241479056348908
lowLevel.barkbands.mean.25,8.44895085853932
lowLevel.barkbands.stdev.5,7.137371372380585
lowLevel.spectral_rms.mean,7.1055436406168155
lowLevel.scvalleys.stdev.3,6.5603083978712675
lowLevel.barkbands.mean.26,6.443221524721594
lowLevel.spectral_kurtosis.stdev,6.349765676088282
lowLevel.barkbands.mean.5,6.341107194770302
lowLevel.sccoeffs.mean.2,5.977192705555353
lowLevel.barkbands.stdev.6,5.828389768168563
lowLevel.mfcc.stdev.12,5.49401577928802
lowLevel.scvalleys.stdev.4,5.416345028737851
lowLevel.barkbands.stdev.20,5.298807586703333
lowLevel.spectral_energy.stdev,5.280264604720287
lowLevel.mfcc.stdev.0,4.997529584390577
lowLevel.scvalleys.stdev.2,4.857711049524369
lowLevel.spectral_spread.mean,4.56218044218258
lowLevel.sccoeffs.stdev.2,4.544485889491625
lowLevel.spectral_energyband_high.stdev,4.3357743018714245
lowLevel.scvalleys.stdev.1,4.2270433362573385
lowLevel.mfcc.mean.8,4.117979952861788
lowLevel.pitch.stdev,4.086287542319042
lowLevel.barkbands.stdev.4,4.0311851121950895
lowLevel.barkbands.mean.12,3.9502416779869236
lowLevel.mfcc.stdev.7,3.949253427555959
lowLevel.barkbands.stdev.21,3.9004654256277718
lowLevel.barkbands.mean.6,3.8605580254952656
lowLevel.spectral_strongpeak.stdev,3.7642618969694013
lowLevel.spectral_strongpeak.mean,3.7258414868992986
lowLevel.sccoeffs.mean.3,3.441568484187883
lowLevel.barkbands.mean.13,3.416730555400136
lowLevel.barkbands.mean.7,3.381798282436648
sfx.tristimulus.stdev.0,3.2859359950962244
lowLevel.spectral_skewness.mean,3.2766232720168773
lowLevel.spectral_kurtosis.mean,3.265913861730951
lowLevel.spectral_energyband_high.mean,3.1449619817722123
lowLevel.barkbands.stdev.25,3.029136529759853
lowLevel.sccoeffs.stdev.3,2.8801738250695053
lowLevel.sccoeffs.mean.0,2.8139787512263865
lowLevel.barkbands_skewness.stdev,2.7146048411050288
lowLevel.barkbands.stdev.3,2.7071723617846146
lowLevel.mfcc.mean.3,2.6243011402257252
lowLevel.barkbands.mean.17,2.527258677277132
lowLevel.barkbands.stdev.10,2.514906356751453
lowLevel.pitch.mean,2.4809148937638383
lowLevel.barkbands.stdev.13,2.4643941363174235
lowLevel.barkbands.stdev.9,2.3871935103234136
lowLevel.barkbands.mean.11,2.365341404773062
lowLevel.barkbands.stdev.8,2.348834612639621
lowLevel.scvalleys.mean.5,2.283395038015442
sfx.tristimulus.stdev.1,2.2683775233163033
lowLevel.barkbands.mean.9,2.123987599967222
lowLevel.barkbands.stdev.15,2.1023276073538
lowLevel.sccoeffs.mean.4,2.0418171835917747
lowLevel.barkbands.mean.10,1.9168379673210438
lowLevel.zerocrossingrate.mean,1.8566290078888414
lowLevel.barkbands.mean.4,1.7804425104041002
lowLevel.mfcc.mean.0,1.7506315613063634
lowLevel.scvalleys.mean.4,1.7119999194692355
lowLevel.barkbands.mean.16,1.7113920395786408
lowLevel.scvalleys.stdev.5,1.6773922833963297
lowLevel.spectral_decrease.stdev,1.6750784816686064
lowLevel.barkbands.mean.3,1.6626402326510288
lowLevel.barkbands_spread.stdev,1.6207679577564704
lowLevel.scvalleys.stdev.0,1.607153631404799
lowLevel.spectral_crest.stdev,1.5494347554231354
lowLevel.barkbands.mean.15,1.5273489581450121
sfx.tristimulus.stdev.2,1.3694847490842221
lowLevel.barkbands.stdev.7,1.3642100649740314
lowLevel.mfcc.stdev.5,1.3338321181072388
lowLevel.mfcc.mean.7,1.328940519306343
lowLevel.mfcc.mean.10,1.2459897638182156
lowLevel.barkbands.mean.8,1.239570718142204
lowLevel.silence_rate_60dB.stdev,1.1990308211825322
lowLevel.barkbands.stdev.17,1.1439510111522395
lowLevel.zerocrossingrate.stdev,1.139779546414502
lowLevel.pitch_salience.mean,1.135835515683084
lowLevel.mfcc.mean.6,1.1304351579019567
lowLevel.sccoeffs.stdev.1,1.1018487498222385
lowLevel.spectral_spread.stdev,1.098082177049946
lowLevel.sccoeffs.mean.5,1.0734114208971732
lowLevel.sccoeffs.mean.1,1.0325100261106854
lowLevel.barkbands.mean.24,1.0147237425262574
lowLevel.barkbands.mean.18,0.9862631008945755
lowLevel.barkbands.mean.14,0.9697760464478051
lowLevel.mfcc.stdev.6,0.9681254122988321
lowLevel.spectral_flatness_db.stdev,0.9547865735949017
lowLevel.mfcc.stdev.4,0.9525447722407989
lowLevel.barkbands_kurtosis.stdev,0.9503385065181646
sfx.oddtoevenharmonicenergyratio.stdev,0.9034642486949451
lowLevel.barkbands.stdev.24,0.899036920760409
lowLevel.scvalleys.mean.0,0.8582163801474962
lowLevel.spectral_centroid.stdev,0.7964641820872203
lowLevel.mfcc.mean.11,0.7691104461846408
lowLevel.barkbands_skewness.mean,0.7429137481958605
lowLevel.pitch_instantaneous_confidence.mean,0.7393966266072312
lowLevel.pitch_salience.stdev,0.7265449595724931
lowLevel.mfcc.mean.9,0.7250052154831792
lowLevel.scvalleys.mean.3,0.7127070309798
lowLevel.mfcc.mean.12,0.7084786306077149
lowLevel.barkbands.mean.23,0.7076645169872791
lowLevel.mfcc.stdev.1,0.6956156165770153
lowLevel.spectral_flux.stdev,0.6759821800515056
lowLevel.mfcc.mean.5,0.652008107790607
lowLevel.barkbands.stdev.18,0.639525634018355
lowLevel.spectral_decrease.mean,0.631903190354933
lowLevel.barkbands.mean.2,0.5993230796593707
lowLevel.barkbands.stdev.23,0.598137557906739
lowLevel.spectral_rolloff.mean,0.5847965390203171
sfx.inharmonicity.stdev,0.5782387217623182
lowLevel.spectral_centroid.mean,0.5668695291387849
lowLevel.spectral_flux.mean,0.5622210879373597
lowLevel.mfcc.mean.2,0.5545131746621337
lowLevel.spectral_flatness_db.mean,0.5374798924221977
lowLevel.sccoeffs.stdev.5,0.5368343816808192
lowLevel.barkbands.mean.1,0.5220725549443159
lowLevel.barkbands.mean.19,0.521869026357308
lowLevel.barkbands.stdev.16,0.5201442292600404
lowLevel.mfcc.mean.4,0.5123570675059455
lowLevel.barkbands.mean.0,0.5002884443674702
sfx.oddtoevenharmonicenergyratio.mean,0.4590728200510057
sfx.tristimulus.mean.2,0.4570540204294957
lowLevel.sccoeffs.stdev.4,0.44949485501274467
lowLevel.barkbands.stdev.14,0.4115935517475009
lowLevel.dissonance.stdev,0.41044446727028117
lowLevel.barkbands.stdev.22,0.4056677740154555
lowLevel.scvalleys.mean.1,0.3950638820169843
lowLevel.mfcc.stdev.3,0.3889678172999993
lowLevel.barkbands.stdev.1,0.3797785803253646
sfx.tristimulus.mean.1,0.37926256595528685
lowLevel.sccoeffs.stdev.0,0.36925683856679825
lowLevel.barkbands.mean.20,0.3690921907691518
sfx.tristimulus.mean.0,0.34291692166152643
