,importance
lowLevel.spectral_energy.mean,26.927990094791312
lowLevel.spectral_complexity.mean,23.723958533097175
lowLevel.silence_rate_60dB.mean,10.619286585701047
lowLevel.spectral_rms.stdev,5.221958517082385
lowLevel.spectral_complexity.stdev,4.119628350203129
lowLevel.barkbands.mean.5,3.925444270407752
lowLevel.mfcc.stdev.9,3.0652240994822932
lowLevel.mfcc.stdev.8,2.6597699411431677
lowLevel.hfc.mean,2.380845081021107
lowLevel.mfcc.stdev.10,2.312292512258864
lowLevel.spectral_energyband_middle_low.mean,2.0693609481095336
lowLevel.spectral_energyband_middle_low.stdev,1.482319424780144
lowLevel.mfcc.stdev.11,1.4329353221201018
lowLevel.spectral_energyband_middle_high.mean,1.3764768035616726
lowLevel.scvalleys.stdev.3,1.28448636392568
lowLevel.mfcc.stdev.12,1.1682365072338143
lowLevel.spectral_kurtosis.mean,1.0979753004357917
lowLevel.spectral_skewness.mean,1.058273692491639
lowLevel.pitch_instantaneous_confidence.stdev,1.0140712062893726
lowLevel.spectral_energyband_high.stdev,1.0129651636816561
lowLevel.scvalleys.mean.4,0.8893078666806105
lowLevel.barkbands.stdev.26,0.8246800876877387
lowLevel.barkbands.mean.26,0.8112825752214121
lowLevel.scvalleys.stdev.4,0.7515973124900484
lowLevel.mfcc.stdev.0,0.7463543211270007
lowLevel.spectral_energy.stdev,0.6872183221348678
lowLevel.mfcc.mean.8,0.6666691050722875
lowLevel.sccoeffs.mean.3,0.6512763367645675
lowLevel.hfc.stdev,0.5990233880947926
lowLevel.barkbands.stdev.4,0.5697795104933903
lowLevel.scvalleys.stdev.1,0.5416543746978277
lowLevel.scvalleys.mean.5,0.5383929425188398
lowLevel.spectral_energyband_middle_high.stdev,0.5114435621799203
lowLevel.spectral_rms.mean,0.47235752290362143
lowLevel.mfcc.stdev.7,0.4668750377895776
sfx.tristimulus.stdev.1,0.46346282280865125
lowLevel.barkbands.stdev.16,0.4453680874685233
lowLevel.sccoeffs.mean.2,0.4271835780891706
lowLevel.sccoeffs.mean.4,0.42684727246523835
lowLevel.mfcc.mean.0,0.42517693740228424
lowLevel.sccoeffs.mean.5,0.4164810567690438
lowLevel.barkbands.stdev.12,0.38039869843123597
lowLevel.barkbands.mean.25,0.37440261812662357
lowLevel.spectral_spread.mean,0.362778861199331
lowLevel.barkbands.mean.4,0.3585531535318296
lowLevel.sccoeffs.stdev.5,0.34623197385371896
lowLevel.barkbands_spread.stdev,0.3418946959791356
lowLevel.barkbands.mean.17,0.31939144256466534
lowLevel.barkbands.mean.19,0.31226066270755837
lowLevel.scvalleys.stdev.2,0.28191387110200594
lowLevel.sccoeffs.stdev.2,0.2806918226106063
lowLevel.barkbands.mean.15,0.2728062219975982
lowLevel.barkbands.stdev.15,0.2582081733562518
lowLevel.spectral_strongpeak.mean,0.2521090570735396
lowLevel.spectral_energyband_high.mean,0.22652164213650394
lowLevel.mfcc.mean.6,0.22572585476154927
lowLevel.spectral_strongpeak.stdev,0.22112592275516363
