,importance
lowLevel.hfc.mean,866.344185389652
lowLevel.spectral_energy.mean,335.22730718786124
lowLevel.silence_rate_60dB.mean,142.72217549154857
lowLevel.spectral_complexity.stdev,98.13663701993619
lowLevel.spectral_energy.stdev,73.52521150321263
lowLevel.spectral_complexity.mean,48.60455360215565
lowLevel.hfc.stdev,37.4438201324956
lowLevel.spectral_decrease.stdev,24.271643864223734
lowLevel.barkbands.stdev.12,23.31367549485003
lowLevel.spectral_energyband_middle_low.stdev,20.520771981493453
lowLevel.spectral_energyband_middle_low.mean,17.679813935479615
lowLevel.spectral_energyband_middle_high.mean,17.56228809971799
lowLevel.barkbands.stdev.26,17.256917502763827
lowLevel.spectral_rms.mean,9.88983339874585
lowLevel.barkbands.mean.25,8.842283867823426
lowLevel.barkbands.mean.26,8.78296494049573
lowLevel.barkbands.stdev.5,7.91581108120954
lowLevel.mfcc.stdev.8,7.478260122181382
lowLevel.mfcc.stdev.11,6.761521859214554
lowLevel.mfcc.stdev.10,6.241751246998319
lowLevel.mfcc.stdev.9,6.126152641169028
lowLevel.pitch_instantaneous_confidence.stdev,5.722306268615284
lowLevel.spectral_rms.stdev,5.61315874512195
lowLevel.mfcc.stdev.0,4.781683012171015
lowLevel.barkbands.mean.13,4.686091192346794
lowLevel.spectral_strongpeak.stdev,4.42250564353526
lowLevel.barkbands.mean.5,3.943241053435486
lowLevel.mfcc.mean.0,3.876097837749512
lowLevel.barkbands.stdev.11,3.7760339034721255
lowLevel.barkbands.stdev.25,3.637610847130418
lowLevel.barkbands.stdev.6,3.511218107305467
lowLevel.scvalleys.stdev.2,2.997096066595077
lowLevel.barkbands.stdev.8,2.658381860528607
lowLevel.barkbands.mean.6,2.6034648282620765
lowLevel.spectral_strongpeak.mean,2.5257589397369884
lowLevel.barkbands.mean.11,2.4932564164118958
lowLevel.scvalleys.stdev.3,2.401084705852554
lowLevel.spectral_energyband_high.mean,2.377560056600487
lowLevel.barkbands.mean.12,2.186590932225954
lowLevel.spectral_spread.mean,2.1746870538549956
lowLevel.mfcc.stdev.12,2.1588203406427056
lowLevel.barkbands.mean.15,1.8697083551633114
lowLevel.spectral_energyband_high.stdev,1.791989661360276
lowLevel.mfcc.stdev.7,1.7512268641439732
lowLevel.spectral_kurtosis.mean,1.7132596729061333
lowLevel.barkbands.mean.16,1.5878718635340192
lowLevel.scvalleys.mean.1,1.5492224836780224
lowLevel.sccoeffs.stdev.2,1.5088123141395045
sfx.tristimulus.stdev.1,1.5017457753274357
lowLevel.spectral_energyband_middle_high.stdev,1.4834212355781347
lowLevel.scvalleys.mean.5,1.4786121679826465
lowLevel.barkbands.mean.7,1.4575796540593728
lowLevel.mfcc.mean.8,1.4313820402458077
lowLevel.barkbands.mean.8,1.4192033528524917
lowLevel.sccoeffs.mean.4,1.3112877001112793
lowLevel.barkbands.mean.9,1.2848177664563991
lowLevel.barkbands.stdev.7,1.16992397037302
lowLevel.sccoeffs.mean.2,1.1496071702922563
lowLevel.barkbands.mean.18,1.1432062642124947
lowLevel.barkbands.mean.10,1.0124595554370899
lowLevel.spectral_crest.stdev,0.9905361016863026
lowLevel.spectral_rolloff.mean,0.9811622677370906
lowLevel.barkbands_kurtosis.stdev,0.9201781116134953
lowLevel.barkbands.stdev.17,0.9119498473883141
lowLevel.barkbands.stdev.10,0.9111157997249393
lowLevel.spectral_skewness.mean,0.8196220479294425
lowLevel.barkbands.mean.17,0.8174633746384643
lowLevel.scvalleys.mean.4,0.8071247976549785
lowLevel.mfcc.mean.12,0.7925012573832646
lowLevel.barkbands.stdev.21,0.7717480972060002
lowLevel.mfcc.stdev.2,0.7234484896398499
lowLevel.spectral_kurtosis.stdev,0.6781817503797356
