,importance
lowLevel.hfc.mean,334.16407319484256
lowLevel.spectral_energy.mean,124.53688422462074
lowLevel.silence_rate_60dB.mean,104.2627835505109
lowLevel.spectral_complexity.stdev,58.1288237762883
lowLevel.spectral_complexity.mean,54.03262322253724
lowLevel.spectral_energyband_middle_high.mean,29.727534953015265
lowLevel.hfc.stdev,23.541641022384578
lowLevel.barkbands.mean.16,9.699235793472326
lowLevel.barkbands.stdev.12,6.653285550716646
lowLevel.spectral_energyband_middle_low.mean,6.517989214614772
lowLevel.spectral_energy.stdev,4.715463402568349
lowLevel.barkbands.mean.20,4.705537118577922
lowLevel.spectral_rms.stdev,4.474891531051981
lowLevel.spectral_flux.mean,3.6185499888324557
lowLevel.spectral_rms.mean,3.3423823908378836
lowLevel.barkbands.mean.14,3.281104674832477
lowLevel.mfcc.stdev.9,2.9660779931831485
lowLevel.barkbands.stdev.11,2.9596760748263478
lowLevel.spectral_energyband_high.mean,2.7552843541525363
lowLevel.spectral_decrease.mean,2.534443486165401
lowLevel.barkbands.mean.26,2.1240718564741883
lowLevel.barkbands.mean.25,1.9167518049016508
lowLevel.barkbands.mean.17,1.9127555953746196
lowLevel.barkbands.mean.9,1.8771274059581629
lowLevel.barkbands.mean.5,1.8445517244001053
lowLevel.spectral_strongpeak.stdev,1.8108603118853352
lowLevel.barkbands.stdev.6,1.7892273898627709
lowLevel.spectral_energyband_middle_low.stdev,1.788127255506879
lowLevel.barkbands.mean.24,1.746060160745401
lowLevel.spectral_strongpeak.mean,1.7342335330003849
lowLevel.mfcc.stdev.7,1.667017392302796
lowLevel.barkbands.mean.10,1.662888096923325
lowLevel.barkbands.mean.22,1.6361446990966897
lowLevel.barkbands.stdev.7,1.596823036456044
lowLevel.mfcc.stdev.10,1.4103375348337295
lowLevel.pitch_instantaneous_confidence.stdev,1.2562193984767873
lowLevel.mfcc.stdev.8,1.2531754083101987
lowLevel.barkbands.mean.12,1.2103289584920276
lowLevel.pitch.mean,0.9718855057334395
lowLevel.sccoeffs.mean.1,0.9440855015573106
lowLevel.barkbands.stdev.26,0.9043071356344399
lowLevel.spectral_skewness.mean,0.81144237132429
sfx.tristimulus.stdev.1,0.795915395365995
lowLevel.barkbands.mean.11,0.70597953926017
lowLevel.barkbands.mean.18,0.6919166093534841
lowLevel.spectral_rolloff.mean,0.6231636931361209
lowLevel.mfcc.mean.8,0.6012368206186238
lowLevel.scvalleys.stdev.3,0.5346823603799749
lowLevel.mfcc.stdev.12,0.511359878746589
lowLevel.mfcc.mean.0,0.4794067387301766
lowLevel.mfcc.stdev.0,0.4646943860112174
lowLevel.barkbands.mean.13,0.44935832207193016
lowLevel.spectral_kurtosis.stdev,0.4419467857666488
lowLevel.spectral_energyband_middle_high.stdev,0.441639496335938
lowLevel.barkbands.mean.8,0.42422670908672444
lowLevel.barkbands.mean.19,0.41773371505360046
lowLevel.spectral_spread.mean,0.4116916774518131
lowLevel.mfcc.stdev.11,0.398310444073914
lowLevel.spectral_kurtosis.mean,0.3944044999684593
lowLevel.spectral_flatness_db.stdev,0.3898771618758019
lowLevel.scvalleys.stdev.4,0.3756666621560498
lowLevel.sccoeffs.stdev.2,0.3440462707703098
lowLevel.barkbands.stdev.5,0.3061400924548252
lowLevel.spectral_skewness.stdev,0.30518641920409095
lowLevel.scvalleys.mean.1,0.30345857404972776
lowLevel.spectral_centroid.mean,0.30012692835680355
lowLevel.barkbands.mean.7,0.2950818216643256
lowLevel.barkbands.stdev.25,0.29125803162696684
lowLevel.mfcc.stdev.2,0.27643243726630295
lowLevel.mfcc.stdev.5,0.26839458882011513
lowLevel.scvalleys.stdev.2,0.26314537495531454
lowLevel.scvalleys.stdev.1,0.2467206515698308
lowLevel.barkbands.mean.6,0.23884132919556578
lowLevel.zerocrossingrate.mean,0.22761967379483394
lowLevel.mfcc.stdev.4,0.22605853518303576
lowLevel.sccoeffs.mean.2,0.2220313030717307
lowLevel.barkbands.stdev.8,0.21921936607898118
lowLevel.barkbands.mean.23,0.2164592785721915
lowLevel.scvalleys.stdev.0,0.21433171567014142
lowLevel.barkbands.stdev.18,0.2128946968496166
lowLevel.spectral_crest.stdev,0.21230541515615187
sfx.tristimulus.mean.2,0.20876756145889885
lowLevel.mfcc.mean.12,0.19658346277515193
sfx.tristimulus.stdev.0,0.19017408208992492
lowLevel.barkbands.mean.21,0.18959594817715697
lowLevel.barkbands.mean.3,0.18494984355220367
lowLevel.barkbands.mean.4,0.18162899347486333
lowLevel.barkbands.mean.15,0.1639162785904773
lowLevel.barkbands_skewness.mean,0.16065001777133148
lowLevel.mfcc.stdev.3,0.15426762277365924
lowLevel.pitch.stdev,0.15020866955819656
lowLevel.barkbands.stdev.4,0.14625588155968217
sfx.tristimulus.stdev.2,0.1409090462052518
lowLevel.barkbands.stdev.24,0.13240892429894302
lowLevel.scvalleys.mean.5,0.12801361325546168
lowLevel.sccoeffs.mean.5,0.11886848858806687
lowLevel.barkbands.stdev.3,0.11742400301437783
lowLevel.pitch_salience.stdev,0.11235964570460055
lowLevel.barkbands_kurtosis.stdev,0.11131059503736651
sfx.oddtoevenharmonicenergyratio.mean,0.10804253108790363
lowLevel.mfcc.mean.6,0.10657144986453204
lowLevel.scvalleys.stdev.5,0.10534666631929213
lowLevel.barkbands.stdev.15,0.10403646763734287
lowLevel.mfcc.stdev.6,0.10361393839048105
lowLevel.barkbands.stdev.9,0.102180820134258
lowLevel.sccoeffs.stdev.3,0.09915049882783933
lowLevel.barkbands.stdev.1,0.0971411707232619
lowLevel.barkbands.mean.1,0.09709366323730251
lowLevel.mfcc.stdev.1,0.09662706961898948
lowLevel.sccoeffs.stdev.1,0.09487421431757853
lowLevel.barkbands.stdev.13,0.09283663866881398
lowLevel.mfcc.mean.7,0.09103896726628591
lowLevel.barkbands.mean.0,0.08939613460154305
lowLevel.sccoeffs.mean.3,0.0893222160964946
lowLevel.barkbands.stdev.2,0.08145628226520785
lowLevel.barkbands.stdev.10,0.08131472019977082
lowLevel.scvalleys.mean.3,0.07653819411507357
lowLevel.mfcc.mean.1,0.062240104722150136
sfx.oddtoevenharmonicenergyratio.stdev,0.061239292816026136
lowLevel.spectral_flatness_db.mean,0.06121881900162407
lowLevel.spectral_rolloff.stdev,0.06043295094286805
lowLevel.barkbands.stdev.17,0.05946735010229531
lowLevel.scvalleys.mean.4,0.05741349937042983
lowLevel.pitch_instantaneous_confidence.mean,0.05508311278185829
sfx.tristimulus.mean.1,0.054768071440925326
lowLevel.barkbands_kurtosis.mean,0.05381404005058954
lowLevel.mfcc.mean.10,0.0501600460807019
lowLevel.sccoeffs.mean.4,0.04944494182586823
lowLevel.mfcc.mean.2,0.04924995098008367
lowLevel.barkbands_spread.stdev,0.04766809822694995
lowLevel.sccoeffs.stdev.4,0.04565076288054115
lowLevel.spectral_centroid.stdev,0.04500743264691209
lowLevel.pitch_salience.mean,0.04482076442104699
lowLevel.mfcc.mean.11,0.04454815000076451
lowLevel.sccoeffs.stdev.5,0.043449258341297536
lowLevel.barkbands.stdev.16,0.0433587715132262
lowLevel.mfcc.mean.3,0.04323799751171009
lowLevel.scvalleys.mean.0,0.04277443741011666
lowLevel.barkbands.mean.2,0.04040610030654079
