,importance
lowLevel.hfc.mean,445.78316635533747
lowLevel.spectral_energyband_middle_high.mean,53.54752978918623
lowLevel.hfc.stdev,30.795819560676136
lowLevel.spectral_complexity.stdev,26.055733644549036
lowLevel.spectral_complexity.mean,12.353198309775507
lowLevel.spectral_energy.mean,11.963040772523982
lowLevel.spectral_energyband_high.mean,9.88041905722821
lowLevel.spectral_energyband_middle_high.stdev,6.20143145257498
lowLevel.spectral_strongpeak.mean,5.849516181226932
lowLevel.barkbands.mean.11,5.527446087391581
lowLevel.barkbands.stdev.7,5.0020011044562125
lowLevel.barkbands.mean.17,4.019485952835566
lowLevel.barkbands.stdev.11,3.924578264402953
lowLevel.barkbands.stdev.8,3.792526708884907
lowLevel.barkbands.mean.6,3.7248375096810378
lowLevel.barkbands.stdev.6,3.4432637462759885
lowLevel.barkbands.stdev.9,2.427809613428508
lowLevel.barkbands.mean.18,2.3527532970783795
lowLevel.mfcc.mean.0,2.1462212191072467
lowLevel.sccoeffs.mean.5,2.0100296734690346
lowLevel.barkbands.mean.5,1.97186826755933
lowLevel.barkbands.mean.9,1.937033872705797
lowLevel.mfcc.stdev.8,1.6426578163200247
lowLevel.zerocrossingrate.stdev,1.5439704791260738
lowLevel.spectral_energyband_middle_low.stdev,1.5250910859722353
lowLevel.mfcc.stdev.9,1.507412891533022
lowLevel.scvalleys.mean.2,1.4777621260436717
lowLevel.barkbands.stdev.13,1.4139280467943536
lowLevel.barkbands.mean.16,1.3816916156083607
sfx.tristimulus.stdev.0,1.3543040417907832
lowLevel.spectral_energyband_middle_low.mean,1.272469519659353
lowLevel.barkbands.mean.8,1.2689340664574047
lowLevel.pitch_instantaneous_confidence.stdev,1.2672777113511984
lowLevel.barkbands.mean.10,1.2513666114045918
lowLevel.spectral_rms.stdev,1.20422920171859
lowLevel.barkbands.mean.14,1.2026471046574443
lowLevel.spectral_strongpeak.stdev,1.2010018464588939
lowLevel.barkbands.mean.7,1.1797952110300685
sfx.tristimulus.mean.2,1.1377474085174981
lowLevel.scvalleys.mean.5,1.1280877278586559
lowLevel.sccoeffs.mean.4,1.1278611739126063
lowLevel.spectral_centroid.mean,1.1174545535832294
lowLevel.mfcc.stdev.11,1.1011376983433365
lowLevel.barkbands.stdev.12,1.095052141476117
lowLevel.scvalleys.mean.4,1.0111588948184362
lowLevel.barkbands.mean.26,0.9911602728491289
