,importance
lowLevel.barkbands.stdev.3,4.41620159309241
lowLevel.barkbands.stdev.4,2.5041702098678797
lowLevel.spectral_complexity.mean,2.346162879955955
lowLevel.mfcc.stdev.10,1.8737228987392882
lowLevel.silence_rate_60dB.mean,1.7926147088874131
lowLevel.spectral_energyband_high.mean,1.5431635705172084
lowLevel.pitch_instantaneous_confidence.stdev,1.524427829834167
lowLevel.mfcc.stdev.8,1.4783491384005174
lowLevel.barkbands.stdev.18,1.369444414274767
lowLevel.scvalleys.stdev.3,1.2831088429666124
lowLevel.sccoeffs.mean.5,1.1934477447357494
lowLevel.scvalleys.mean.4,1.077083456912078
lowLevel.barkbands.mean.4,1.0647964162926655
lowLevel.mfcc.stdev.9,0.9857735403638799
lowLevel.scvalleys.mean.5,0.9528904294129461
lowLevel.mfcc.stdev.11,0.9220515805063769
lowLevel.spectral_complexity.stdev,0.9041398126573768
lowLevel.spectral_energyband_middle_high.stdev,0.8846352636173833
lowLevel.hfc.mean,0.822387422551401
lowLevel.scvalleys.stdev.2,0.7258058564038947
lowLevel.zerocrossingrate.mean,0.716913859883789
lowLevel.spectral_energy.stdev,0.709096553386189
lowLevel.spectral_spread.mean,0.6943999874638394
lowLevel.mfcc.mean.0,0.6440810670610517
lowLevel.spectral_skewness.stdev,0.6250210402504308
lowLevel.mfcc.stdev.12,0.5516291771709803
lowLevel.spectral_energyband_middle_high.mean,0.4696876617381349
lowLevel.mfcc.stdev.7,0.4500205984149943
lowLevel.barkbands.stdev.26,0.420178004540503
lowLevel.spectral_energy.mean,0.4052501237601973
lowLevel.barkbands.stdev.15,0.37914070778060704
lowLevel.sccoeffs.mean.4,0.36327602731762454
lowLevel.spectral_kurtosis.mean,0.3592799583420856
lowLevel.scvalleys.stdev.1,0.3522436326020397
lowLevel.mfcc.stdev.2,0.33801770239369944
lowLevel.mfcc.mean.8,0.3182169345964212
lowLevel.barkbands.stdev.14,0.3081793000455946
lowLevel.spectral_skewness.mean,0.30065247957827523
lowLevel.spectral_rms.stdev,0.2575272286776453
lowLevel.spectral_centroid.stdev,0.25706267717760056
lowLevel.sccoeffs.stdev.2,0.25262435773038305
lowLevel.scvalleys.stdev.0,0.24903247597103473
lowLevel.sccoeffs.stdev.1,0.23288946159300394
lowLevel.spectral_strongpeak.mean,0.2325791254406795
lowLevel.hfc.stdev,0.20771036652149633
lowLevel.spectral_rolloff.stdev,0.2034231208381243
lowLevel.barkbands_spread.mean,0.2006279134657234
lowLevel.mfcc.stdev.5,0.19802268913190346
lowLevel.mfcc.stdev.0,0.17596436146413907
lowLevel.barkbands.mean.26,0.16070564941037446
lowLevel.barkbands.stdev.11,0.15448757953708991
lowLevel.scvalleys.mean.2,0.15266895847162232
lowLevel.scvalleys.stdev.4,0.14998649910558015
lowLevel.barkbands.mean.5,0.14117585658095777
lowLevel.spectral_kurtosis.stdev,0.14076502539683133
lowLevel.spectral_rms.mean,0.1382590943831019
lowLevel.barkbands.mean.17,0.12709813995752484
lowLevel.barkbands.mean.25,0.12467108292912599
lowLevel.sccoeffs.stdev.5,0.12278007378336042
sfx.tristimulus.stdev.1,0.12192717508878559
lowLevel.pitch.mean,0.12109109174343757
lowLevel.mfcc.mean.7,0.11407829514791956
lowLevel.spectral_strongpeak.stdev,0.1113029207335785
lowLevel.spectral_flux.mean,0.10441308922600001
lowLevel.barkbands.stdev.9,0.10412053030449897
lowLevel.dissonance.stdev,0.10348288930254057
lowLevel.pitch_instantaneous_confidence.mean,0.10096645032172091
lowLevel.spectral_energyband_middle_low.stdev,0.09995115446508862
lowLevel.barkbands.stdev.17,0.09878987824777141
lowLevel.mfcc.mean.6,0.09863705962197855
lowLevel.spectral_flux.stdev,0.09829688048921525
lowLevel.sccoeffs.mean.2,0.08497691855882294
lowLevel.barkbands.mean.20,0.0848487404291518
lowLevel.barkbands.stdev.21,0.08040076319593936
lowLevel.spectral_energyband_middle_low.mean,0.07726024654402863
lowLevel.barkbands.mean.11,0.07301896912395023
lowLevel.scvalleys.mean.1,0.0726139159523882
lowLevel.barkbands.mean.21,0.0720845023606671
lowLevel.scvalleys.mean.0,0.06833245966117829
sfx.inharmonicity.stdev,0.06726727972272784
sfx.inharmonicity.mean,0.06531026706943521
lowLevel.mfcc.stdev.3,0.06315061543136835
lowLevel.mfcc.stdev.6,0.0624867700971663
lowLevel.barkbands.stdev.7,0.059879627253394574
lowLevel.barkbands.mean.19,0.05759403289994225
lowLevel.barkbands_spread.stdev,0.05752448600833304
lowLevel.barkbands.stdev.5,0.05739080539206043
lowLevel.spectral_decrease.stdev,0.057147545972839
lowLevel.silence_rate_60dB.stdev,0.051921477541327477
lowLevel.barkbands.mean.6,0.04732964310096577
sfx.tristimulus.stdev.2,0.046164962826878764
lowLevel.barkbands.mean.9,0.046053349622525275
sfx.oddtoevenharmonicenergyratio.mean,0.045277716184500605
lowLevel.barkbands.mean.18,0.042706615407951176
lowLevel.spectral_decrease.mean,0.0420095419685822
lowLevel.zerocrossingrate.stdev,0.04075417452258989
sfx.tristimulus.mean.2,0.04000691697001457
lowLevel.barkbands.mean.0,0.039705205941572785
lowLevel.barkbands.mean.24,0.03821631846949458
lowLevel.barkbands.stdev.6,0.03763236204395071
lowLevel.barkbands.stdev.20,0.036861874745227396
lowLevel.barkbands_kurtosis.mean,0.035439308907371014
lowLevel.sccoeffs.mean.1,0.035342650837264955
lowLevel.spectral_flatness_db.mean,0.03507434530183673
lowLevel.barkbands.stdev.12,0.034758431269438006
lowLevel.pitch.stdev,0.03452902696153615
lowLevel.mfcc.mean.2,0.03364660934312269
lowLevel.spectral_energyband_low.mean,0.03277211566455662
lowLevel.barkbands.mean.13,0.031961950298864394
lowLevel.mfcc.mean.4,0.03182723023928702
lowLevel.barkbands.mean.16,0.03137680096551776
lowLevel.sccoeffs.mean.3,0.031257501686923206
lowLevel.mfcc.mean.1,0.031055196363013238
lowLevel.mfcc.mean.10,0.030546892870916054
lowLevel.barkbands.mean.23,0.03029555274406448
lowLevel.barkbands.mean.7,0.029687972622923553
lowLevel.scvalleys.stdev.5,0.0290322796208784
lowLevel.mfcc.stdev.4,0.02870456239907071
lowLevel.spectral_spread.stdev,0.02844698437547777
sfx.tristimulus.mean.1,0.028270796523429453
lowLevel.spectral_crest.stdev,0.02693893256946467
lowLevel.barkbands.mean.10,0.026327190164010972
lowLevel.sccoeffs.mean.0,0.025050084135727957
lowLevel.barkbands_skewness.mean,0.025024229849805124
lowLevel.pitch_salience.mean,0.023884189664386213
lowLevel.mfcc.mean.11,0.023303867841605097
lowLevel.silence_rate_30dB.stdev,0.022999199107289314
lowLevel.barkbands_kurtosis.stdev,0.02235806014505215
lowLevel.spectral_flatness_db.stdev,0.020645883632823825
lowLevel.spectral_rolloff.mean,0.019848351745167747
lowLevel.barkbands.stdev.8,0.019069689908064902
lowLevel.barkbands.mean.1,0.018310979823581874
lowLevel.mfcc.mean.12,0.01771066697256174
lowLevel.mfcc.mean.3,0.017434361041523516
lowLevel.barkbands.mean.12,0.016575820045545697
lowLevel.sccoeffs.stdev.3,0.015776534972246736
lowLevel.mfcc.mean.5,0.01569894670683425
lowLevel.barkbands.stdev.10,0.015664210193790495
lowLevel.spectral_centroid.mean,0.015422330237925053
lowLevel.spectral_energyband_low.stdev,0.014476281066890806
lowLevel.barkbands.mean.22,0.013442849856801331
sfx.oddtoevenharmonicenergyratio.stdev,0.012609280529431999
lowLevel.barkbands.mean.8,0.01172586577013135
lowLevel.barkbands.stdev.0,0.01122325996402651
lowLevel.barkbands.mean.15,0.01109893003012985
lowLevel.barkbands.stdev.23,0.010616343711262743
sfx.tristimulus.mean.0,0.010400638915598392
lowLevel.sccoeffs.stdev.4,0.00949669277179055
lowLevel.mfcc.stdev.1,0.007590477092890069
lowLevel.barkbands.stdev.24,0.006777780130505562
lowLevel.barkbands.stdev.19,0.0061015901155769825
sfx.tristimulus.stdev.0,0.0057432110770605505
lowLevel.barkbands.mean.3,0.005676371030858718
