,importance
lowLevel.barkbands.mean.18,48.12736907818271
lowLevel.barkbands.mean.17,26.565030331810704
lowLevel.spectral_energyband_middle_high.stdev,23.67515210468264
lowLevel.spectral_energyband_middle_high.mean,20.782321008078725
lowLevel.hfc.mean,12.89610407713917
lowLevel.spectral_strongpeak.stdev,9.658179052852233
lowLevel.spectral_strongpeak.mean,4.310250831709709
lowLevel.spectral_energyband_high.mean,3.786147978172721
lowLevel.mfcc.stdev.10,3.738256081748659
lowLevel.mfcc.stdev.9,2.5124717176513514
lowLevel.mfcc.stdev.8,2.490570040536113
lowLevel.mfcc.stdev.12,2.43390080814288
lowLevel.barkbands.stdev.3,1.9648249776564626
lowLevel.barkbands.mean.20,1.9451464009471238
lowLevel.scvalleys.mean.5,1.9349493814952439
lowLevel.mfcc.stdev.11,1.709141514958901
lowLevel.sccoeffs.mean.4,1.7024314391892403
lowLevel.scvalleys.stdev.3,1.5873965990613215
lowLevel.barkbands.mean.10,1.5770662290160544
lowLevel.mfcc.stdev.7,1.540935553595773
lowLevel.sccoeffs.mean.5,1.5079445612063864
lowLevel.spectral_complexity.mean,1.4369843458989635
lowLevel.spectral_kurtosis.mean,1.2961168880465266
lowLevel.sccoeffs.mean.3,1.2057532498147339
lowLevel.barkbands.mean.4,1.1725817473870848
lowLevel.silence_rate_60dB.mean,1.0307061616331339
lowLevel.hfc.stdev,0.9046222067263443
lowLevel.scvalleys.mean.4,0.9008665571454912
lowLevel.barkbands.stdev.4,0.7701200295705348
lowLevel.spectral_spread.mean,0.7473465044131444
lowLevel.pitch_instantaneous_confidence.stdev,0.667232650690039
lowLevel.spectral_kurtosis.stdev,0.6268500295409467
lowLevel.barkbands.mean.11,0.564049767691813
lowLevel.zerocrossingrate.mean,0.5587496266234666
lowLevel.barkbands.mean.24,0.5542428581829881
lowLevel.mfcc.stdev.0,0.5540302522772436
lowLevel.barkbands.mean.3,0.5489686841319781
lowLevel.barkbands.mean.26,0.49734561135119293
lowLevel.spectral_energy.mean,0.4727664669044316
lowLevel.spectral_flux.stdev,0.4241536143235862
lowLevel.scvalleys.mean.3,0.4103860129835084
lowLevel.barkbands.mean.16,0.40138597518671304
lowLevel.scvalleys.stdev.0,0.3836049087367428
lowLevel.spectral_complexity.stdev,0.3564339826205014
lowLevel.sccoeffs.mean.2,0.3309466076498211
lowLevel.scvalleys.stdev.4,0.3219918506219983
lowLevel.mfcc.mean.8,0.2988362841288108
lowLevel.spectral_centroid.stdev,0.29619866792927496
lowLevel.mfcc.mean.0,0.2958157953689806
lowLevel.scvalleys.stdev.2,0.2846248259720596
lowLevel.spectral_energyband_middle_low.mean,0.2720448965628748
lowLevel.barkbands.stdev.5,0.26324517375906
lowLevel.barkbands.stdev.9,0.2596228293841705
lowLevel.barkbands.mean.19,0.24958308727946132
lowLevel.barkbands.mean.25,0.2426912544760853
lowLevel.silence_rate_60dB.stdev,0.24119776908109714
lowLevel.spectral_flux.mean,0.23911052881157957
lowLevel.mfcc.stdev.5,0.23822003312753282
lowLevel.barkbands.stdev.11,0.23791950512074211
lowLevel.barkbands.mean.9,0.23342239647172391
lowLevel.scvalleys.stdev.1,0.23110687178404987
lowLevel.barkbands.mean.22,0.22854688325423922
lowLevel.barkbands.mean.23,0.2260851686686749
lowLevel.pitch_instantaneous_confidence.mean,0.22496026295266347
lowLevel.sccoeffs.stdev.2,0.21268727621645667
sfx.tristimulus.stdev.1,0.21217604942783908
lowLevel.barkbands.mean.5,0.1699573347886358
lowLevel.spectral_centroid.mean,0.1597058541374281
lowLevel.mfcc.stdev.2,0.15345432417598204
lowLevel.spectral_rms.mean,0.1525158367876429
lowLevel.spectral_rolloff.stdev,0.13618031542864628
lowLevel.scvalleys.mean.2,0.13610416122401148
lowLevel.zerocrossingrate.stdev,0.13449360086815432
lowLevel.mfcc.stdev.6,0.13140736826244392
lowLevel.mfcc.stdev.4,0.12324117147363722
sfx.oddtoevenharmonicenergyratio.mean,0.12250093861075584
lowLevel.mfcc.mean.7,0.12112570978933945
lowLevel.pitch.mean,0.12059661804232746
lowLevel.barkbands.mean.21,0.11668828838082845
lowLevel.barkbands.stdev.19,0.10963070997968316
lowLevel.silence_rate_30dB.mean,0.09840620309114456
lowLevel.barkbands.stdev.8,0.09678625978995115
lowLevel.barkbands.stdev.7,0.09314751932106446
sfx.tristimulus.mean.2,0.09122891281731427
lowLevel.mfcc.mean.4,0.08892548113362864
lowLevel.barkbands.mean.8,0.08664635525201447
lowLevel.mfcc.mean.12,0.07930947401041522
lowLevel.spectral_rms.stdev,0.07635339006083086
lowLevel.barkbands.stdev.26,0.0750317684141919
lowLevel.spectral_skewness.stdev,0.07439582797815092
lowLevel.spectral_skewness.mean,0.07438005405951742
lowLevel.spectral_energyband_high.stdev,0.06985509861260653
lowLevel.barkbands.mean.7,0.06927056592599001
lowLevel.spectral_spread.stdev,0.06920625473139808
sfx.oddtoevenharmonicenergyratio.stdev,0.0667545510623313
lowLevel.barkbands.stdev.2,0.06539353146217763
lowLevel.pitch_salience.mean,0.06492374796835065
lowLevel.scvalleys.mean.1,0.05996536766178906
lowLevel.spectral_decrease.mean,0.05789674003608525
lowLevel.barkbands.mean.6,0.056499630911275744
sfx.inharmonicity.mean,0.05532021577528212
lowLevel.sccoeffs.stdev.1,0.053850550786592066
lowLevel.spectral_crest.stdev,0.05330057262108312
lowLevel.scvalleys.mean.0,0.053219438530504704
lowLevel.barkbands.mean.14,0.051462901312334
lowLevel.pitch.stdev,0.045760418055579066
lowLevel.barkbands.stdev.12,0.045199000160209835
lowLevel.barkbands.stdev.21,0.04414539974095533
lowLevel.spectral_crest.mean,0.0437139657442458
lowLevel.mfcc.stdev.3,0.042727020336315036
lowLevel.barkbands_spread.stdev,0.04242875214549713
lowLevel.barkbands.stdev.24,0.042057030368596315
lowLevel.mfcc.mean.2,0.04105451935902238
lowLevel.spectral_decrease.stdev,0.0397424450784456
lowLevel.mfcc.stdev.1,0.03880043215223594
lowLevel.barkbands.stdev.10,0.037938039411528734
lowLevel.barkbands_skewness.mean,0.03751721262233332
lowLevel.mfcc.mean.11,0.03594244108694511
sfx.tristimulus.stdev.2,0.03371543809771538
lowLevel.barkbands_kurtosis.stdev,0.03305277178878896
lowLevel.barkbands.stdev.1,0.03244460001587868
lowLevel.mfcc.mean.5,0.03182405378902331
lowLevel.barkbands.stdev.22,0.03105653647799045
lowLevel.sccoeffs.stdev.4,0.02947196848981548
lowLevel.sccoeffs.stdev.3,0.0288370595080778
lowLevel.spectral_energyband_middle_low.stdev,0.02786313936589968
lowLevel.barkbands.stdev.6,0.027109047766316507
lowLevel.mfcc.mean.3,0.025074654474849467
lowLevel.barkbands.stdev.15,0.0229878754762467
lowLevel.dissonance.mean,0.022379820235073566
lowLevel.mfcc.mean.6,0.021831330413988326
lowLevel.spectral_energy.stdev,0.021809489699080586
lowLevel.mfcc.mean.10,0.021759645955171436
lowLevel.sccoeffs.mean.1,0.02101632655831054
lowLevel.scvalleys.stdev.5,0.02087371575180441
lowLevel.barkbands.stdev.23,0.02066605957224965
lowLevel.spectral_flatness_db.stdev,0.02045727742370218
lowLevel.sccoeffs.stdev.5,0.019676756230182946
lowLevel.barkbands.mean.2,0.019100657707895152
lowLevel.spectral_flatness_db.mean,0.01883720001205802
