,importance
lowLevel.hfc.mean,36.86885612399783
lowLevel.barkbands.stdev.4,21.59270285803359
lowLevel.spectral_energyband_middle_high.mean,19.280403468059376
lowLevel.barkbands.mean.18,15.8792855401407
lowLevel.spectral_energyband_middle_low.mean,15.239437158335932
lowLevel.barkbands.mean.15,14.971578692900948
lowLevel.spectral_energyband_middle_low.stdev,13.091984514612705
lowLevel.spectral_complexity.mean,10.162853917980101
lowLevel.hfc.stdev,7.387833261222113
lowLevel.barkbands.stdev.3,7.17550621641567
lowLevel.spectral_energy.stdev,6.434022260364145
lowLevel.mfcc.stdev.10,6.366496067377739
lowLevel.mfcc.stdev.8,5.952705759904347
lowLevel.spectral_rms.stdev,5.915443974081427
lowLevel.spectral_complexity.stdev,5.695049875124823
lowLevel.scvalleys.stdev.4,5.184013828402385
lowLevel.spectral_strongpeak.stdev,4.870742918690667
lowLevel.mfcc.stdev.9,4.193363770667929
lowLevel.barkbands.stdev.26,4.1074821963266
lowLevel.barkbands.mean.17,4.022614481044002
lowLevel.sccoeffs.mean.4,3.9735934017808177
lowLevel.mfcc.stdev.0,3.8502584769157693
lowLevel.spectral_spread.mean,3.6958064790815115
lowLevel.spectral_energyband_high.mean,3.4746394702233374
lowLevel.barkbands.mean.20,3.1588457248872146
lowLevel.spectral_energyband_middle_high.stdev,2.97732347343117
lowLevel.spectral_strongpeak.mean,2.7358621230814606
lowLevel.spectral_kurtosis.mean,2.71660772128962
lowLevel.pitch_instantaneous_confidence.stdev,2.6779669715324417
lowLevel.silence_rate_60dB.mean,2.529379505373072
lowLevel.sccoeffs.mean.5,2.3676023255102336
lowLevel.scvalleys.mean.4,2.31393262243364
lowLevel.sccoeffs.mean.3,2.196882583666593
lowLevel.spectral_energy.mean,2.085694685811177
lowLevel.spectral_rms.mean,2.08309783693403
lowLevel.mfcc.stdev.7,2.019854615442455
lowLevel.scvalleys.stdev.3,1.9839682165766135
lowLevel.barkbands.mean.16,1.9004841555142775
lowLevel.scvalleys.stdev.2,1.5801623000297695
lowLevel.mfcc.mean.0,1.501789177476894
lowLevel.scvalleys.mean.5,1.4606602935818955
lowLevel.barkbands.mean.9,1.4085116958012804
lowLevel.mfcc.stdev.11,1.3518317961134017
lowLevel.barkbands.mean.10,1.318607094231993
lowLevel.barkbands.mean.26,1.2963700763648376
lowLevel.pitch_salience.stdev,1.1115148632088676
lowLevel.barkbands.mean.21,1.1091785477474332
lowLevel.barkbands.mean.11,1.1047514027450234
lowLevel.mfcc.stdev.12,1.1014072246616706
lowLevel.barkbands.stdev.18,1.09828869078774
lowLevel.barkbands.stdev.11,1.0563481877325103
lowLevel.sccoeffs.stdev.2,0.9605150900315493
lowLevel.zerocrossingrate.stdev,0.9487888729199767
lowLevel.sccoeffs.mean.2,0.9264750427682884
lowLevel.silence_rate_60dB.stdev,0.9193245774367824
lowLevel.spectral_flux.mean,0.883233972126618
lowLevel.barkbands.mean.19,0.8541138864820823
lowLevel.spectral_flux.stdev,0.841841708868742
sfx.tristimulus.stdev.1,0.8415820935042575
lowLevel.spectral_skewness.mean,0.8341801890637726
lowLevel.barkbands.stdev.12,0.7752728631603532
lowLevel.barkbands.mean.4,0.7349234819412231
lowLevel.spectral_centroid.stdev,0.6996318977326155
lowLevel.barkbands.mean.6,0.6775215330999345
lowLevel.mfcc.stdev.5,0.6680678725242615
lowLevel.barkbands.mean.5,0.6527648121118546
lowLevel.barkbands.mean.24,0.5854902938008308
lowLevel.barkbands.stdev.14,0.5822125885169953
lowLevel.spectral_decrease.stdev,0.5674042056780308
lowLevel.barkbands.mean.25,0.5661317481426522
lowLevel.spectral_rolloff.stdev,0.5637445424217731
lowLevel.barkbands.stdev.25,0.5498903795960359
lowLevel.pitch.mean,0.5399730199715123
lowLevel.mfcc.stdev.2,0.5299035406205803
lowLevel.spectral_skewness.stdev,0.5208525054622442
lowLevel.scvalleys.stdev.0,0.5061230536084622
lowLevel.mfcc.mean.8,0.5054049305617809
lowLevel.spectral_decrease.mean,0.48564662120770663
lowLevel.mfcc.mean.12,0.47874428413342685
lowLevel.pitch_instantaneous_confidence.mean,0.45082512113731354
lowLevel.scvalleys.stdev.1,0.4371034922078252
lowLevel.mfcc.stdev.6,0.41150499833747745
lowLevel.barkbands.stdev.10,0.4101340629858896
lowLevel.barkbands.stdev.17,0.3984977116342634
lowLevel.sccoeffs.stdev.1,0.3878027346218005
lowLevel.barkbands.mean.7,0.37890816503204405
lowLevel.barkbands.mean.22,0.37863112133345567
lowLevel.barkbands.stdev.15,0.34333669068291783
lowLevel.spectral_crest.stdev,0.34044019086286426
lowLevel.spectral_energyband_high.stdev,0.334309195750393
lowLevel.mfcc.mean.1,0.33271483093267307
lowLevel.scvalleys.mean.3,0.3274913022760302
lowLevel.scvalleys.mean.2,0.32280019589234143
lowLevel.sccoeffs.stdev.3,0.30921142001170665
sfx.tristimulus.stdev.0,0.30886734393425286
lowLevel.spectral_kurtosis.stdev,0.3070209023426287
sfx.inharmonicity.stdev,0.299818851693999
