,importance
lowLevel.hfc.mean,71.82930419272415
lowLevel.hfc.stdev,8.24658687043302
lowLevel.spectral_energy.mean,5.362442083439703
lowLevel.spectral_energyband_middle_low.stdev,4.000781489075962
lowLevel.spectral_energyband_middle_high.mean,2.536717283315044
lowLevel.spectral_complexity.mean,2.200882451641519
lowLevel.spectral_complexity.stdev,1.8770186157692024
lowLevel.silence_rate_60dB.mean,1.5221450273347727
lowLevel.pitch_instantaneous_confidence.stdev,1.3247149750677636
lowLevel.spectral_energyband_middle_high.stdev,1.3109278673327935
lowLevel.spectral_energyband_middle_low.mean,1.098677577378112
lowLevel.scvalleys.mean.4,0.8840383866736374
lowLevel.mfcc.stdev.10,0.7910431415275525
lowLevel.barkbands.mean.26,0.7431987422838233
lowLevel.spectral_energyband_high.mean,0.6012454654087378
lowLevel.scvalleys.stdev.4,0.5610548188652587
lowLevel.barkbands.mean.25,0.5507526491473982
lowLevel.mfcc.stdev.11,0.5462536340469342
lowLevel.mfcc.stdev.2,0.5187055955668711
lowLevel.sccoeffs.mean.3,0.5168180958219182
lowLevel.mfcc.stdev.8,0.5062750642027822
lowLevel.pitch.mean,0.5003455166229287
lowLevel.sccoeffs.mean.5,0.4668543717764635
lowLevel.scvalleys.mean.3,0.44766481104761624
lowLevel.sccoeffs.stdev.2,0.42772162634125266
lowLevel.barkbands.stdev.25,0.4273791843879735
lowLevel.barkbands.stdev.9,0.4247258708674053
lowLevel.barkbands.mean.18,0.4141612275730182
lowLevel.sccoeffs.stdev.5,0.4123721047590152
lowLevel.sccoeffs.stdev.3,0.40853170792499327
lowLevel.pitch.stdev,0.39085454926720686
lowLevel.spectral_kurtosis.stdev,0.33625084033877783
lowLevel.barkbands.stdev.12,0.32558334512441434
lowLevel.sccoeffs.mean.2,0.28962724735012557
lowLevel.mfcc.stdev.9,0.2813763637750455
lowLevel.scvalleys.stdev.3,0.27481986371003586
lowLevel.barkbands.mean.12,0.2678217343852367
lowLevel.spectral_strongpeak.mean,0.2595406453931446
lowLevel.barkbands.stdev.26,0.2582801549717715
lowLevel.spectral_rms.stdev,0.22598461936991043
lowLevel.spectral_kurtosis.mean,0.2199514338717563
lowLevel.mfcc.mean.0,0.21828845690608034
lowLevel.spectral_skewness.stdev,0.1911221030059096
lowLevel.mfcc.stdev.7,0.1850282016261744
lowLevel.spectral_energy.stdev,0.1840403490978133
lowLevel.spectral_centroid.stdev,0.17196348810830386
lowLevel.spectral_flux.mean,0.16540590772729047
lowLevel.spectral_spread.mean,0.1612493405002624
lowLevel.barkbands.mean.20,0.15959444715946347
lowLevel.scvalleys.mean.5,0.15606179849419277
lowLevel.barkbands.stdev.13,0.1544206018593286
lowLevel.barkbands.mean.15,0.15081305571379744
lowLevel.mfcc.mean.2,0.13743992459399124
lowLevel.spectral_rms.mean,0.13579116427473537
lowLevel.sccoeffs.stdev.4,0.13028033842510922
lowLevel.barkbands.stdev.17,0.12075562512109173
lowLevel.pitch_instantaneous_confidence.mean,0.1207122202224582
