,importance
lowLevel.hfc.mean,11.858370048093349
lowLevel.spectral_energyband_middle_high.mean,4.174317933418755
lowLevel.barkbands.mean.16,3.065283649818525
lowLevel.spectral_energy.mean,2.621665130242036
lowLevel.spectral_rms.stdev,2.277370282387836
lowLevel.hfc.stdev,1.6906922926539352
lowLevel.spectral_complexity.stdev,1.5752371619709038
lowLevel.mfcc.stdev.8,1.2633538745812984
lowLevel.spectral_strongpeak.mean,1.2607158564710517
lowLevel.spectral_flux.mean,1.2014001480031788
lowLevel.spectral_energyband_high.mean,1.176596580841533
lowLevel.spectral_strongpeak.stdev,1.0906370042876006
lowLevel.spectral_energy.stdev,1.082002295217535
lowLevel.barkbands.mean.15,1.0643980526911037
lowLevel.barkbands.mean.18,1.0185889255386051
lowLevel.spectral_energyband_middle_low.stdev,0.9473044016604035
lowLevel.spectral_complexity.mean,0.9180985082439292
lowLevel.mfcc.stdev.7,0.8647283875206995
lowLevel.scvalleys.mean.4,0.8505900696553403
lowLevel.mfcc.stdev.9,0.8131887875326811
lowLevel.barkbands.stdev.26,0.7890409675551382
lowLevel.spectral_rms.mean,0.7875584370440265
lowLevel.barkbands.stdev.3,0.7322594543693413
lowLevel.barkbands.mean.17,0.729415665951251
lowLevel.barkbands.mean.14,0.6957240505498987
lowLevel.barkbands.mean.21,0.6915933568008654
lowLevel.pitch_instantaneous_confidence.stdev,0.6905396457425468
lowLevel.barkbands.mean.11,0.6854543517101774
lowLevel.mfcc.stdev.0,0.6743474390286792
lowLevel.barkbands.mean.26,0.6710998452535932
lowLevel.sccoeffs.mean.5,0.6067889269156694
lowLevel.spectral_energyband_middle_low.mean,0.605571981846424
lowLevel.mfcc.stdev.10,0.5568679174001545
lowLevel.dissonance.mean,0.5501473211495522
lowLevel.spectral_kurtosis.mean,0.5012707204145954
lowLevel.barkbands.mean.10,0.4777309671544572
lowLevel.barkbands.mean.22,0.4772722525438837
lowLevel.silence_rate_60dB.mean,0.4754812812991531
lowLevel.pitch_salience.mean,0.43622198560296965
lowLevel.barkbands.mean.5,0.4334532079934661
lowLevel.mfcc.stdev.6,0.42617699816038446
lowLevel.barkbands.mean.23,0.4193562700975759
lowLevel.spectral_spread.mean,0.41310732310671483
lowLevel.barkbands.stdev.9,0.40884885792030445
lowLevel.barkbands.mean.20,0.40712720708875594
lowLevel.barkbands.mean.24,0.39765356211851355
lowLevel.barkbands.stdev.11,0.3909630775755204
lowLevel.spectral_energyband_middle_high.stdev,0.3641627994893497
lowLevel.barkbands.stdev.6,0.363192566848511
lowLevel.barkbands.stdev.12,0.3482026548099384
lowLevel.barkbands_spread.stdev,0.33303465954850253
lowLevel.barkbands.mean.4,0.33123034709569765
lowLevel.spectral_decrease.mean,0.32675868687272214
lowLevel.spectral_energyband_high.stdev,0.3173853515472729
lowLevel.barkbands.stdev.5,0.3140753340012452
lowLevel.sccoeffs.mean.1,0.30299060284414736
lowLevel.scvalleys.mean.3,0.29608496002492757
lowLevel.spectral_skewness.mean,0.2928583988650644
lowLevel.barkbands.stdev.7,0.28910430264420484
lowLevel.mfcc.stdev.5,0.2762182288402073
lowLevel.barkbands.mean.25,0.2736778872058494
lowLevel.sccoeffs.mean.2,0.2720504730119728
lowLevel.scvalleys.stdev.5,0.2679533411647981
lowLevel.zerocrossingrate.mean,0.24982602535078513
lowLevel.barkbands.stdev.8,0.24901661192781432
lowLevel.barkbands.stdev.4,0.2482896120110354
lowLevel.spectral_flux.stdev,0.2411038300472228
lowLevel.barkbands.mean.19,0.23916868897504173
lowLevel.mfcc.mean.4,0.22746474202358513
lowLevel.barkbands.stdev.15,0.21288983174690657
lowLevel.barkbands.stdev.25,0.20816408094043481
lowLevel.barkbands.mean.3,0.20659552513552626
lowLevel.mfcc.stdev.11,0.20140352601299583
lowLevel.barkbands.stdev.17,0.20063248423855384
lowLevel.sccoeffs.stdev.2,0.20036416990660655
lowLevel.scvalleys.mean.5,0.20021663587522198
lowLevel.spectral_rolloff.stdev,0.1975595541880466
lowLevel.sccoeffs.stdev.1,0.19659009311180853
lowLevel.barkbands.stdev.18,0.19504188091377728
lowLevel.barkbands.mean.12,0.19494092116809725
lowLevel.spectral_flatness_db.stdev,0.19009946390906407
lowLevel.spectral_decrease.stdev,0.182007263455489
lowLevel.barkbands.stdev.16,0.18199716755391648
lowLevel.mfcc.mean.0,0.18170738834305666
lowLevel.barkbands.mean.13,0.18050443302377062
lowLevel.mfcc.mean.3,0.1795408893349304
lowLevel.barkbands.stdev.0,0.1788178277820407
lowLevel.barkbands.mean.7,0.17520993679499952
lowLevel.barkbands.stdev.10,0.17504917801024789
lowLevel.barkbands.stdev.22,0.17414348147212877
sfx.tristimulus.stdev.0,0.17016795928429929
lowLevel.barkbands.mean.8,0.16279975481319298
lowLevel.sccoeffs.mean.0,0.15729626023858145
lowLevel.spectral_centroid.mean,0.153798995969737
lowLevel.mfcc.stdev.12,0.15188586472140742
lowLevel.pitch.stdev,0.1481352515992853
sfx.inharmonicity.stdev,0.14743721197010018
lowLevel.mfcc.mean.2,0.14717854934860952
lowLevel.scvalleys.mean.1,0.14476088454557612
lowLevel.sccoeffs.mean.3,0.14423032120822654
lowLevel.barkbands.mean.6,0.1435371310053597
sfx.oddtoevenharmonicenergyratio.stdev,0.14346186201532873
lowLevel.barkbands.stdev.14,0.1408773668372305
lowLevel.barkbands_kurtosis.mean,0.140056947485391
lowLevel.sccoeffs.mean.4,0.13950264138816237
lowLevel.barkbands.stdev.24,0.13867173840901614
lowLevel.scvalleys.stdev.1,0.13701933530910537
lowLevel.spectral_spread.stdev,0.13538070849244832
lowLevel.mfcc.mean.7,0.13390807796331217
lowLevel.barkbands.stdev.21,0.13218537961802213
lowLevel.barkbands.mean.2,0.13191468942771678
lowLevel.mfcc.stdev.2,0.12093403384915291
lowLevel.pitch_instantaneous_confidence.mean,0.1184822975546922
lowLevel.barkbands.stdev.23,0.11286890302261554
sfx.tristimulus.stdev.1,0.10818596685095372
sfx.tristimulus.mean.1,0.10808997473941417
lowLevel.mfcc.stdev.1,0.10538312416952067
lowLevel.scvalleys.stdev.0,0.10446733308845069
lowLevel.barkbands.stdev.13,0.10259753460559295
lowLevel.barkbands.stdev.20,0.10180728215800627
sfx.oddtoevenharmonicenergyratio.mean,0.10095159435877576
lowLevel.mfcc.mean.6,0.09945762005259107
sfx.inharmonicity.mean,0.09028354247857351
lowLevel.barkbands.mean.9,0.08876871005145404
lowLevel.barkbands.stdev.19,0.08766856771308085
lowLevel.spectral_centroid.stdev,0.08612026536366102
lowLevel.pitch.mean,0.08249441013538217
lowLevel.sccoeffs.stdev.4,0.08247191242480767
lowLevel.spectral_kurtosis.stdev,0.08056733693820206
lowLevel.spectral_rolloff.mean,0.07684093891793964
lowLevel.barkbands_skewness.mean,0.07563399636637769
lowLevel.dissonance.stdev,0.07542136162737734
lowLevel.barkbands_skewness.stdev,0.07438425932195969
lowLevel.mfcc.mean.12,0.0742322697160489
sfx.tristimulus.mean.2,0.07263477055585099
lowLevel.spectral_crest.mean,0.07257155269599025
lowLevel.barkbands.mean.1,0.07118095475971131
lowLevel.spectral_skewness.stdev,0.06806604567123031
lowLevel.barkbands_spread.mean,0.06694692534273372
lowLevel.spectral_flatness_db.mean,0.06685102640403784
lowLevel.barkbands.mean.0,0.06669657180691502
lowLevel.mfcc.mean.5,0.06415706834741286
lowLevel.sccoeffs.stdev.5,0.06398956531950262
lowLevel.sccoeffs.stdev.0,0.06314995069078577
lowLevel.scvalleys.mean.0,0.061981989491414424
lowLevel.mfcc.mean.1,0.0584034434377827
lowLevel.mfcc.stdev.3,0.05559164406395212
lowLevel.mfcc.mean.10,0.05480297342683116
lowLevel.zerocrossingrate.stdev,0.05227765806557727
lowLevel.silence_rate_60dB.stdev,0.04771849748703971
lowLevel.scvalleys.stdev.3,0.046218473449004926
lowLevel.mfcc.mean.9,0.03660778512679763
lowLevel.mfcc.mean.8,0.035366024766915416
lowLevel.sccoeffs.stdev.3,0.03505662438396939
lowLevel.scvalleys.stdev.4,0.03422755898554897
lowLevel.barkbands_kurtosis.stdev,0.03314491447395085
lowLevel.scvalleys.stdev.2,0.032706948590202956
sfx.tristimulus.mean.0,0.027650919681036612
lowLevel.barkbands.stdev.1,0.023544740747411197
lowLevel.barkbands.stdev.2,0.023192721990767495
lowLevel.spectral_crest.stdev,0.02104753231876577
sfx.tristimulus.stdev.2,0.019871153652843532
lowLevel.scvalleys.mean.2,0.017388306811881193
lowLevel.mfcc.stdev.4,0.017340719474304933
lowLevel.spectral_energyband_low.mean,0.00999616186163621
lowLevel.spectral_energyband_low.stdev,0.009767385507984727
lowLevel.mfcc.mean.11,0.007512106682497688
lowLevel.pitch_salience.stdev,0.005404918078966148
lowLevel.silence_rate_30dB.stdev,0.0037362100556492805
lowLevel.silence_rate_20dB.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_30dB.mean,0.0
