,importance
lowLevel.hfc.mean,80.71194585513513
lowLevel.spectral_energy.mean,13.58645126454121
lowLevel.spectral_complexity.stdev,6.833952441393649
lowLevel.spectral_complexity.mean,5.206902697905207
lowLevel.silence_rate_60dB.mean,3.42078406390101
lowLevel.hfc.stdev,2.890973988281985
lowLevel.spectral_energyband_middle_high.mean,1.3302820324570348
lowLevel.barkbands.stdev.11,0.5827163330304757
lowLevel.spectral_energyband_high.mean,0.4483278325651554
lowLevel.mfcc.stdev.10,0.3977880367133366
lowLevel.spectral_energyband_middle_low.mean,0.3962596811243202
lowLevel.spectral_energyband_middle_low.stdev,0.3822941312300827
lowLevel.barkbands.stdev.8,0.34883102156982204
lowLevel.barkbands.mean.5,0.33877500800554117
lowLevel.barkbands.stdev.12,0.3025926295622412
lowLevel.mfcc.stdev.9,0.30090943126924685
lowLevel.spectral_strongpeak.mean,0.27056679465158595
lowLevel.barkbands.mean.6,0.2579696352722749
lowLevel.barkbands.mean.17,0.2471364140710648
lowLevel.mfcc.mean.8,0.23453672783944057
lowLevel.barkbands.mean.12,0.22698078583653114
lowLevel.pitch_instantaneous_confidence.stdev,0.22594715785453445
lowLevel.mfcc.stdev.7,0.20298261677498886
lowLevel.spectral_energyband_middle_high.stdev,0.1817085060865793
lowLevel.mfcc.stdev.8,0.17806984891740285
lowLevel.sccoeffs.stdev.5,0.16357319313556218
lowLevel.spectral_rms.stdev,0.15528489431153503
lowLevel.mfcc.mean.0,0.14113314371752494
lowLevel.barkbands.mean.10,0.13991127950430382
lowLevel.sccoeffs.stdev.3,0.13659150422427047
lowLevel.sccoeffs.stdev.2,0.13355103757294273
lowLevel.sccoeffs.mean.5,0.13148940538394527
lowLevel.scvalleys.stdev.2,0.12780185394876753
lowLevel.mfcc.stdev.12,0.12674523886562383
lowLevel.barkbands.stdev.26,0.12594194049870566
lowLevel.spectral_flux.stdev,0.12094597501618409
sfx.tristimulus.mean.2,0.11668645400186506
sfx.tristimulus.stdev.2,0.11024234712704128
lowLevel.barkbands.stdev.10,0.1080261622805665
lowLevel.sccoeffs.mean.3,0.105217701941001
lowLevel.mfcc.mean.6,0.10436451786426915
lowLevel.barkbands.stdev.9,0.10324515381580568
lowLevel.sccoeffs.mean.2,0.1021894462292039
lowLevel.barkbands_skewness.stdev,0.10122554498639147
lowLevel.spectral_skewness.mean,0.09888926142230048
sfx.tristimulus.stdev.1,0.09741214685891464
lowLevel.spectral_crest.stdev,0.0949678543893242
lowLevel.mfcc.stdev.0,0.09286957497079129
lowLevel.spectral_flatness_db.stdev,0.09206075525389679
lowLevel.barkbands.stdev.5,0.09018304306300706
lowLevel.barkbands.mean.26,0.08771902542321186
lowLevel.mfcc.stdev.11,0.08714341557515581
lowLevel.sccoeffs.mean.4,0.08596498667066044
lowLevel.scvalleys.stdev.5,0.0832618155363889
lowLevel.zerocrossingrate.mean,0.07979209497989359
lowLevel.barkbands.mean.4,0.07496109117619199
lowLevel.barkbands.stdev.14,0.07062311439312907
lowLevel.barkbands.stdev.17,0.07041257570745074
lowLevel.barkbands.mean.15,0.07011331063495163
lowLevel.barkbands.stdev.7,0.07006409374844225
lowLevel.barkbands.mean.8,0.0670596201753142
lowLevel.mfcc.stdev.4,0.06683336352216429
lowLevel.barkbands.mean.25,0.06600528014860174
lowLevel.spectral_skewness.stdev,0.06584598001791164
lowLevel.barkbands.mean.18,0.06495250346961257
lowLevel.barkbands.mean.16,0.06412557060684776
lowLevel.barkbands.stdev.21,0.06351471242714979
lowLevel.barkbands.mean.11,0.06332873888186441
lowLevel.dissonance.mean,0.060090061878327106
lowLevel.spectral_flux.mean,0.05874411903005239
lowLevel.mfcc.mean.10,0.056977448564339284
lowLevel.barkbands.stdev.3,0.05616663832915947
lowLevel.scvalleys.stdev.0,0.05300519373213319
lowLevel.sccoeffs.stdev.4,0.05277277253162538
lowLevel.sccoeffs.stdev.1,0.05198048082547757
lowLevel.barkbands.stdev.25,0.04972811520201503
lowLevel.spectral_spread.stdev,0.04815430506096163
lowLevel.spectral_strongpeak.stdev,0.048019451493019005
lowLevel.mfcc.mean.12,0.047566728245328704
lowLevel.barkbands_spread.stdev,0.04713113003253966
sfx.oddtoevenharmonicenergyratio.mean,0.04586092734189151
lowLevel.mfcc.mean.11,0.04518349729187321
lowLevel.barkbands.stdev.23,0.0440133182446516
lowLevel.scvalleys.stdev.3,0.04348843868683616
lowLevel.spectral_kurtosis.stdev,0.043073937081317126
lowLevel.barkbands.stdev.13,0.04285701527260244
lowLevel.spectral_decrease.stdev,0.04207260382418099
lowLevel.scvalleys.mean.5,0.040297150911555946
lowLevel.mfcc.stdev.5,0.03912038981297883
sfx.tristimulus.stdev.0,0.03749085562503751
lowLevel.pitch.stdev,0.03706092791435367
lowLevel.barkbands.mean.24,0.036542898184961814
lowLevel.barkbands_kurtosis.mean,0.03580405902266648
lowLevel.mfcc.mean.3,0.03560269966328633
lowLevel.spectral_centroid.stdev,0.034888238786152215
lowLevel.pitch.mean,0.03331259684637189
lowLevel.barkbands.stdev.1,0.03262445137215764
sfx.tristimulus.mean.1,0.032153398827176716
lowLevel.barkbands.stdev.15,0.03205571858052281
lowLevel.scvalleys.mean.0,0.03203674097767362
lowLevel.barkbands.stdev.18,0.03178989025764167
lowLevel.spectral_rms.mean,0.03140238084051816
lowLevel.barkbands_spread.mean,0.030219234227843117
lowLevel.spectral_energy.stdev,0.02966922949963191
lowLevel.scvalleys.mean.1,0.029142617499474
lowLevel.scvalleys.mean.4,0.02814014708656032
lowLevel.spectral_rolloff.stdev,0.027675525071572338
lowLevel.spectral_decrease.mean,0.02736575643211836
lowLevel.barkbands.mean.9,0.026691701164054393
sfx.oddtoevenharmonicenergyratio.stdev,0.02613792265947268
lowLevel.mfcc.stdev.6,0.02585375612034113
lowLevel.mfcc.stdev.1,0.02530074710421104
sfx.inharmonicity.mean,0.024605000025985646
lowLevel.barkbands.stdev.19,0.023253673085037008
lowLevel.spectral_centroid.mean,0.02305784313921322
lowLevel.spectral_spread.mean,0.022569138066501182
sfx.tristimulus.mean.0,0.02220511162704497
lowLevel.barkbands.stdev.4,0.020582408443260647
lowLevel.barkbands.mean.19,0.020037848780702916
lowLevel.mfcc.stdev.3,0.019797928885054716
lowLevel.barkbands.mean.20,0.01951697460390278
lowLevel.scvalleys.stdev.4,0.01884407225315954
lowLevel.spectral_flatness_db.mean,0.01877012075692619
lowLevel.scvalleys.mean.2,0.01867689847404108
lowLevel.barkbands.stdev.16,0.017656736827120767
lowLevel.barkbands.mean.7,0.017343260331472266
lowLevel.barkbands.mean.22,0.01707143898420327
lowLevel.mfcc.mean.7,0.01659705311521975
lowLevel.dissonance.stdev,0.016423317121734726
lowLevel.barkbands.mean.23,0.01613563964201603
lowLevel.barkbands_kurtosis.stdev,0.01590984424092312
lowLevel.barkbands.mean.21,0.015672935338443494
lowLevel.barkbands.mean.13,0.015664354692489724
lowLevel.silence_rate_60dB.stdev,0.015654115286451997
lowLevel.spectral_kurtosis.mean,0.01560062167209253
lowLevel.barkbands.stdev.22,0.015291432806407101
lowLevel.spectral_crest.mean,0.014805732741479005
lowLevel.sccoeffs.mean.0,0.014796701872000995
lowLevel.mfcc.stdev.2,0.014752716992006754
lowLevel.barkbands.mean.0,0.014401964658645738
lowLevel.pitch_salience.stdev,0.013958080474367307
lowLevel.barkbands.mean.1,0.013786977284325985
lowLevel.spectral_rolloff.mean,0.013595879434888047
lowLevel.mfcc.mean.5,0.013578639561728778
lowLevel.mfcc.mean.4,0.01335444899450522
lowLevel.scvalleys.mean.3,0.013163394160073949
lowLevel.barkbands.stdev.20,0.01281538356852252
lowLevel.barkbands_skewness.mean,0.01271032662361904
lowLevel.scvalleys.stdev.1,0.012626473424461437
lowLevel.spectral_energyband_low.mean,0.012467089824895083
lowLevel.zerocrossingrate.stdev,0.01087574827397475
lowLevel.barkbands.stdev.6,0.010791327744072987
lowLevel.barkbands.mean.3,0.010670390090126602
lowLevel.sccoeffs.mean.1,0.010669823024272773
lowLevel.mfcc.mean.1,0.010245223232232092
lowLevel.sccoeffs.stdev.0,0.00933729613552714
lowLevel.barkbands.stdev.0,0.008945231174948276
sfx.inharmonicity.stdev,0.008336467366916622
lowLevel.mfcc.mean.9,0.007751622581963602
lowLevel.mfcc.mean.2,0.007528948520302947
lowLevel.pitch_salience.mean,0.006471582794802089
lowLevel.barkbands.mean.14,0.0058596490221134445
lowLevel.barkbands.stdev.2,0.0054962433605396654
lowLevel.pitch_instantaneous_confidence.mean,0.005393716342950938
lowLevel.spectral_energyband_low.stdev,0.003934465843940416
lowLevel.barkbands.mean.2,0.0036106009333707334
lowLevel.spectral_energyband_high.stdev,0.0035628867663035635
lowLevel.barkbands.stdev.24,0.002661185611032124
lowLevel.silence_rate_30dB.mean,0.001024940051138401
lowLevel.silence_rate_30dB.stdev,9.075109846889973e-05
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_20dB.mean,0.0
