,importance
lowLevel.spectral_energy.mean,38.900688475849165
lowLevel.spectral_complexity.mean,29.297661930417235
lowLevel.silence_rate_60dB.mean,20.894660175770696
lowLevel.spectral_complexity.stdev,6.504268778313417
lowLevel.spectral_rms.stdev,6.117331992943946
lowLevel.barkbands.mean.5,5.4964876613084925
lowLevel.mfcc.stdev.9,4.658623161187279
lowLevel.hfc.mean,4.03282615959688
lowLevel.spectral_energyband_middle_low.mean,3.7407527744726394
lowLevel.mfcc.stdev.10,3.4662312535801902
lowLevel.mfcc.stdev.8,3.4346773392426257
lowLevel.mfcc.stdev.11,2.1745618899949477
lowLevel.scvalleys.stdev.4,1.57131579410634
lowLevel.pitch_instantaneous_confidence.stdev,1.4821054215899494
lowLevel.spectral_energyband_high.stdev,1.4281715918623377
lowLevel.spectral_energyband_middle_high.mean,1.3407412649576145
lowLevel.barkbands.stdev.26,1.3167771441076184
lowLevel.mfcc.stdev.12,1.3148129436958698
lowLevel.spectral_skewness.mean,1.2678791506768903
lowLevel.spectral_kurtosis.mean,1.1890623653307557
lowLevel.spectral_energyband_middle_low.stdev,1.1702905644633574
lowLevel.mfcc.stdev.0,1.16844026761828
lowLevel.scvalleys.mean.4,1.150374064425705
lowLevel.barkbands.mean.26,1.0918062281052698
lowLevel.sccoeffs.mean.3,1.059587239724351
lowLevel.spectral_strongpeak.stdev,1.0271019428000727
lowLevel.scvalleys.stdev.3,1.0000770751648815
lowLevel.spectral_energy.stdev,0.9398521531547885
lowLevel.mfcc.stdev.7,0.9226168227614835
lowLevel.barkbands.stdev.15,0.9030346381987329
lowLevel.mfcc.mean.8,0.8975595904194051
lowLevel.sccoeffs.mean.4,0.849853225008701
lowLevel.spectral_spread.mean,0.6770064285265107
lowLevel.barkbands.mean.25,0.6754562771966448
lowLevel.barkbands.stdev.4,0.6724590611993335
lowLevel.hfc.stdev,0.6636776022205595
lowLevel.sccoeffs.mean.5,0.6521885338879656
lowLevel.scvalleys.stdev.1,0.6192645053233718
lowLevel.spectral_energyband_middle_high.stdev,0.5794654096462182
lowLevel.scvalleys.stdev.2,0.5681927121404442
lowLevel.barkbands.mean.19,0.5660393334255787
lowLevel.scvalleys.mean.5,0.53241398006503
sfx.tristimulus.stdev.1,0.5207307683449471
lowLevel.barkbands.mean.17,0.5035952795660705
lowLevel.barkbands.stdev.3,0.4607615187414922
lowLevel.barkbands.stdev.17,0.45625543035930605
lowLevel.sccoeffs.mean.2,0.4168539055826841
lowLevel.sccoeffs.stdev.2,0.4137866580495029
lowLevel.pitch.mean,0.4050017170229694
lowLevel.barkbands.stdev.12,0.404992120944371
lowLevel.spectral_kurtosis.stdev,0.3979206858566613
lowLevel.barkbands.stdev.6,0.39060733756195987
lowLevel.scvalleys.stdev.0,0.38260285826072504
lowLevel.mfcc.stdev.5,0.3704338524476043
lowLevel.silence_rate_60dB.stdev,0.36658153997996124
lowLevel.spectral_energyband_high.mean,0.35760881826718105
lowLevel.spectral_rms.mean,0.3551267511647893
lowLevel.barkbands.mean.4,0.3433504359709332
lowLevel.spectral_skewness.stdev,0.33589173893415136
lowLevel.mfcc.mean.7,0.3344605891907122
lowLevel.sccoeffs.stdev.3,0.31453164169943193
lowLevel.zerocrossingrate.stdev,0.3122020224800508
lowLevel.pitch_salience.mean,0.311279164699954
lowLevel.scvalleys.stdev.5,0.30889513729925966
lowLevel.mfcc.stdev.2,0.3022771185460442
lowLevel.barkbands.mean.7,0.30019905080189346
lowLevel.mfcc.stdev.4,0.2943868053807819
lowLevel.spectral_crest.stdev,0.2884568728550221
lowLevel.barkbands.stdev.19,0.2876958072738489
lowLevel.mfcc.mean.1,0.2853510046552401
