,importance
lowLevel.barkbands.mean.18,22.352130965642573
lowLevel.barkbands.mean.17,11.982424152349267
lowLevel.spectral_energyband_middle_high.stdev,5.974949697461852
lowLevel.hfc.mean,5.939944548306812
lowLevel.barkbands.mean.19,4.946260189084569
lowLevel.spectral_strongpeak.stdev,4.224388241942506
lowLevel.spectral_energyband_middle_high.mean,3.9003786159155425
lowLevel.sccoeffs.mean.4,2.7849886722688098
lowLevel.sccoeffs.mean.3,2.5650367166890646
lowLevel.barkbands.stdev.3,2.349446169202565
lowLevel.mfcc.stdev.9,2.1001295587193454
lowLevel.mfcc.stdev.8,1.9686212056694785
lowLevel.mfcc.stdev.10,1.8359548267690116
lowLevel.spectral_strongpeak.mean,1.8175715100951493
lowLevel.mfcc.stdev.12,1.5686191031527414
lowLevel.scvalleys.stdev.3,1.4388821087195538
lowLevel.mfcc.stdev.7,1.4207615155464737
lowLevel.sccoeffs.mean.5,1.279537700014771
lowLevel.spectral_complexity.mean,1.2321342011346132
lowLevel.barkbands.mean.4,1.0400686766006402
lowLevel.silence_rate_60dB.stdev,0.9391410349344369
lowLevel.spectral_energyband_high.mean,0.9047467065465753
lowLevel.barkbands.stdev.4,0.8363105578609975
lowLevel.scvalleys.mean.5,0.8209664069654536
lowLevel.spectral_spread.mean,0.8193346363477758
lowLevel.spectral_kurtosis.mean,0.8100435408559861
lowLevel.mfcc.stdev.11,0.7939668893595808
lowLevel.barkbands.mean.20,0.7305344012056594
lowLevel.silence_rate_60dB.mean,0.7117970387917012
lowLevel.mfcc.mean.8,0.47986944107105955
lowLevel.pitch_instantaneous_confidence.stdev,0.4670004871513811
lowLevel.mfcc.stdev.0,0.44261011244088877
lowLevel.sccoeffs.mean.2,0.42064434057465405
lowLevel.hfc.stdev,0.41811406347187585
lowLevel.scvalleys.stdev.2,0.41655359548167326
lowLevel.barkbands.mean.26,0.40124753017153125
lowLevel.scvalleys.stdev.4,0.3895796442811843
lowLevel.scvalleys.mean.4,0.3856229747252655
lowLevel.spectral_complexity.stdev,0.36464103242906276
lowLevel.barkbands.mean.22,0.3227796029386809
lowLevel.spectral_skewness.stdev,0.30914559924713103
lowLevel.spectral_kurtosis.stdev,0.3067922165937489
