,importance
lowLevel.barkbands.mean.18,15.00788488148828
lowLevel.barkbands.mean.19,8.313991308328696
lowLevel.barkbands.stdev.3,4.5423528659157455
lowLevel.hfc.mean,4.041758539271541
lowLevel.barkbands.mean.17,3.9569404200301506
lowLevel.spectral_energyband_middle_high.stdev,3.8160100605455227
lowLevel.mfcc.stdev.10,3.474129470239859
lowLevel.barkbands.stdev.4,2.822192004241515
lowLevel.sccoeffs.mean.4,2.639282579824794
lowLevel.spectral_strongpeak.stdev,2.5557517821434885
lowLevel.mfcc.stdev.8,2.4594103771378286
lowLevel.scvalleys.stdev.3,2.4202537160599604
lowLevel.spectral_energyband_high.mean,2.4153542837593704
lowLevel.sccoeffs.mean.3,2.1834503868667525
lowLevel.mfcc.stdev.9,2.0562974538770504
lowLevel.barkbands.mean.20,1.938177334406646
lowLevel.spectral_complexity.mean,1.8403681090276223
lowLevel.spectral_spread.mean,1.6795711349404883
lowLevel.mfcc.stdev.11,1.658732714917278
lowLevel.mfcc.stdev.7,1.5762948183109984
lowLevel.silence_rate_60dB.mean,1.569081552705029
lowLevel.mfcc.stdev.12,1.5092369274352677
lowLevel.sccoeffs.mean.5,1.4886145766358823
lowLevel.spectral_energyband_middle_high.mean,1.1950063398689963
lowLevel.pitch_instantaneous_confidence.stdev,0.8979297976184171
lowLevel.scvalleys.mean.5,0.8021370279602706
lowLevel.barkbands.mean.3,0.7790697296150029
lowLevel.barkbands.mean.11,0.7272124135633931
lowLevel.spectral_kurtosis.mean,0.6873235766252037
lowLevel.scvalleys.stdev.2,0.6001251483685337
lowLevel.barkbands.mean.4,0.5781780557881575
lowLevel.sccoeffs.mean.2,0.5402380781888496
lowLevel.spectral_complexity.stdev,0.5341485170065425
lowLevel.mfcc.mean.8,0.51929562096484
lowLevel.hfc.stdev,0.5079864568833727
lowLevel.spectral_rms.stdev,0.49342473613796756
lowLevel.silence_rate_60dB.stdev,0.4933166824048385
lowLevel.scvalleys.mean.3,0.4900293761747889
lowLevel.spectral_kurtosis.stdev,0.46893783746054396
lowLevel.barkbands.mean.10,0.46640436397865415
lowLevel.mfcc.stdev.0,0.45770046446705237
lowLevel.scvalleys.stdev.4,0.44812134344829246
lowLevel.scvalleys.mean.4,0.4052174593671225
lowLevel.scvalleys.stdev.1,0.4036428545950912
lowLevel.mfcc.stdev.2,0.3807595651014708
lowLevel.barkbands.stdev.2,0.3575337508227676
lowLevel.spectral_skewness.mean,0.3487151713343337
lowLevel.scvalleys.stdev.0,0.3329413309984375
lowLevel.spectral_flux.stdev,0.307215919601731
lowLevel.barkbands.mean.26,0.30251706892158836
lowLevel.scvalleys.mean.2,0.29809664038475603
lowLevel.sccoeffs.stdev.2,0.29616615128179546
lowLevel.barkbands.stdev.26,0.286873721255688
lowLevel.spectral_centroid.stdev,0.28224597667576745
lowLevel.mfcc.stdev.5,0.28049442867632024
lowLevel.spectral_rolloff.stdev,0.27856277700630017
sfx.tristimulus.stdev.1,0.2650792982603889
lowLevel.spectral_rms.mean,0.260455769195687
lowLevel.pitch.mean,0.24771764300385257
lowLevel.spectral_strongpeak.mean,0.24152310838690028
lowLevel.spectral_skewness.stdev,0.2358630404341966
lowLevel.barkbands.stdev.11,0.230969236290548
lowLevel.spectral_energyband_middle_low.stdev,0.21120073029305786
lowLevel.barkbands.stdev.15,0.21066956705180928
lowLevel.mfcc.mean.7,0.20030248336843215
lowLevel.sccoeffs.stdev.1,0.17397576698567718
lowLevel.mfcc.mean.0,0.16378177946899086
lowLevel.barkbands.stdev.9,0.16034177911933511
lowLevel.barkbands.mean.21,0.15272846800507978
lowLevel.mfcc.stdev.1,0.15272806934081018
lowLevel.barkbands.stdev.18,0.15251497278222814
lowLevel.dissonance.mean,0.1487526063574478
lowLevel.pitch.stdev,0.1473793227924034
lowLevel.barkbands.mean.5,0.14661229276680388
lowLevel.barkbands.stdev.7,0.14598455041414127
lowLevel.mfcc.stdev.6,0.14341210230486467
lowLevel.barkbands.mean.9,0.13844577036798
lowLevel.barkbands.mean.24,0.13654488505562767
lowLevel.sccoeffs.stdev.4,0.13543674815446138
lowLevel.barkbands.mean.25,0.13223816611571237
lowLevel.spectral_flux.mean,0.13105136854574084
lowLevel.barkbands.stdev.5,0.12892178707988933
lowLevel.spectral_energyband_middle_low.mean,0.1280683936784044
lowLevel.mfcc.stdev.4,0.11920634782291017
lowLevel.mfcc.stdev.3,0.11849387013353407
lowLevel.barkbands.stdev.16,0.11589935806114227
lowLevel.barkbands.stdev.1,0.11459781439043581
lowLevel.pitch_instantaneous_confidence.mean,0.11411963199498132
lowLevel.barkbands.stdev.21,0.10125375504139811
lowLevel.mfcc.mean.3,0.09913055982906371
lowLevel.mfcc.mean.12,0.09469036714290269
lowLevel.spectral_decrease.stdev,0.09259088092949241
sfx.tristimulus.stdev.2,0.09148228872800246
sfx.inharmonicity.stdev,0.0893298223381862
lowLevel.barkbands.mean.1,0.08901112456806004
sfx.oddtoevenharmonicenergyratio.stdev,0.08874354083673097
lowLevel.zerocrossingrate.stdev,0.08632565237348899
lowLevel.mfcc.mean.2,0.08598214163794182
lowLevel.pitch_salience.mean,0.08524366960045882
sfx.oddtoevenharmonicenergyratio.mean,0.08262754889437929
lowLevel.mfcc.mean.6,0.08247150568058714
lowLevel.barkbands.stdev.12,0.0801735396089498
lowLevel.spectral_energyband_low.mean,0.07942177064251155
sfx.inharmonicity.mean,0.07553080361685716
lowLevel.spectral_decrease.mean,0.07291272151633166
lowLevel.sccoeffs.stdev.5,0.07218382431892678
lowLevel.spectral_energy.stdev,0.0717816831311211
lowLevel.barkbands.mean.16,0.0712831441196613
lowLevel.sccoeffs.stdev.3,0.06791391124716029
