,importance
lowLevel.spectral_energy.stdev,114.88560018078715
lowLevel.spectral_energy.mean,112.4925518300006
lowLevel.spectral_complexity.mean,34.03220792845241
lowLevel.hfc.mean,31.35234407041935
lowLevel.spectral_complexity.stdev,20.41166640292795
lowLevel.silence_rate_60dB.mean,20.396596944279736
lowLevel.spectral_energyband_middle_high.mean,14.251229662908372
lowLevel.barkbands.stdev.26,10.008771906850598
lowLevel.spectral_energyband_high.mean,9.563493452005787
lowLevel.spectral_rms.stdev,9.266556965341351
lowLevel.barkbands.mean.5,8.139857302274322
lowLevel.spectral_energyband_middle_low.mean,7.9367382900545635
lowLevel.hfc.stdev,7.725121254825353
lowLevel.spectral_energyband_middle_high.stdev,7.28814490898003
lowLevel.mfcc.stdev.8,6.830341761526142
lowLevel.mfcc.stdev.10,6.605259014737385
lowLevel.mfcc.stdev.0,6.4958411745883495
lowLevel.pitch_instantaneous_confidence.stdev,6.049948303594647
lowLevel.scvalleys.stdev.3,5.944881682517007
lowLevel.barkbands.mean.26,5.364119819623738
lowLevel.barkbands.mean.18,5.028195480319482
lowLevel.spectral_strongpeak.stdev,4.933055715933733
lowLevel.mfcc.stdev.9,4.334223538873559
lowLevel.barkbands.stdev.4,4.321846411883598
lowLevel.spectral_strongpeak.mean,3.9581855059500413
lowLevel.barkbands.mean.17,3.7340636145399912
lowLevel.mfcc.stdev.11,3.606530484389623
lowLevel.spectral_energyband_high.stdev,3.6047470036046434
lowLevel.scvalleys.stdev.2,3.2934307980965514
lowLevel.scvalleys.stdev.4,3.2105908750745584
lowLevel.scvalleys.mean.4,3.2014946371346014
lowLevel.spectral_rms.mean,3.1686208036489916
lowLevel.barkbands.mean.25,2.8240434606341296
lowLevel.barkbands.mean.4,2.5797862838826404
lowLevel.spectral_spread.mean,2.467414699756773
lowLevel.barkbands.stdev.12,2.3514481245729257
lowLevel.spectral_kurtosis.mean,2.3182203869496334
lowLevel.barkbands.mean.19,2.3090153482316964
lowLevel.spectral_skewness.mean,2.296155666015693
lowLevel.scvalleys.mean.5,2.283129985240521
lowLevel.scvalleys.stdev.1,2.2391545890332054
lowLevel.sccoeffs.mean.4,2.2188992319934187
lowLevel.sccoeffs.mean.3,2.1234155215133796
lowLevel.sccoeffs.mean.5,2.000670835661974
lowLevel.spectral_kurtosis.stdev,1.964262970771415
lowLevel.mfcc.stdev.12,1.8710280491795857
lowLevel.mfcc.stdev.7,1.851923261405318
lowLevel.spectral_crest.stdev,1.7730797382955643
lowLevel.barkbands.mean.20,1.741167814929213
lowLevel.barkbands.mean.10,1.6177007427941135
lowLevel.sccoeffs.stdev.2,1.50225800321941
lowLevel.barkbands.stdev.20,1.4382274671042978
lowLevel.barkbands.mean.24,1.3629090554532013
lowLevel.mfcc.mean.8,1.3566031988139624
sfx.tristimulus.stdev.1,1.2971491195429508
lowLevel.barkbands.stdev.15,1.2719078866502969
lowLevel.sccoeffs.mean.2,1.2207441287464462
lowLevel.pitch.mean,1.2093888625141744
lowLevel.mfcc.stdev.6,1.2046181326386431
lowLevel.spectral_energyband_middle_low.stdev,1.153543902808451
lowLevel.scvalleys.mean.2,1.1380747747070927
lowLevel.sccoeffs.stdev.3,1.1305691876698347
lowLevel.barkbands.mean.12,1.1072121309043723
lowLevel.barkbands.stdev.11,0.9976469300954705
lowLevel.barkbands.stdev.7,0.9643375567102339
lowLevel.barkbands.stdev.3,0.9424354513530488
lowLevel.barkbands.stdev.9,0.898502983214712
lowLevel.barkbands.mean.6,0.8719712301808613
lowLevel.pitch_salience.stdev,0.854707711082483
lowLevel.mfcc.mean.3,0.8539956875283679
lowLevel.mfcc.mean.0,0.8050656362102018
lowLevel.barkbands.stdev.21,0.7902957899541434
lowLevel.mfcc.stdev.2,0.7679805526568089
lowLevel.barkbands.mean.3,0.7458273187294253
lowLevel.mfcc.stdev.5,0.7385246429475956
lowLevel.spectral_centroid.stdev,0.7165743907535216
lowLevel.spectral_skewness.stdev,0.7003960159054259
lowLevel.barkbands.mean.9,0.6998620036457943
lowLevel.scvalleys.mean.3,0.6770398831868079
lowLevel.barkbands.stdev.8,0.6576351873891326
lowLevel.barkbands.mean.0,0.6453453033755068
lowLevel.barkbands.stdev.19,0.6391851853659318
sfx.tristimulus.stdev.0,0.6309161715208091
lowLevel.barkbands.mean.21,0.6182960385795013
lowLevel.barkbands.stdev.25,0.6160117465260555
lowLevel.barkbands.stdev.6,0.5978451833980216
lowLevel.scvalleys.mean.1,0.5878006984894455
lowLevel.barkbands.mean.7,0.556615897861775
lowLevel.scvalleys.stdev.0,0.5473762365290895
lowLevel.mfcc.mean.12,0.5398054620454786
lowLevel.spectral_flatness_db.mean,0.5317140276820282
lowLevel.pitch.stdev,0.5270347622863483
lowLevel.barkbands_kurtosis.stdev,0.5244011390350352
lowLevel.mfcc.mean.11,0.5117784660802158
lowLevel.mfcc.mean.6,0.5111640413865643
lowLevel.barkbands.stdev.14,0.5026069855266542
lowLevel.spectral_crest.mean,0.49313329222968605
lowLevel.barkbands.stdev.24,0.4906284316384699
lowLevel.spectral_flux.mean,0.48048974444827763
lowLevel.barkbands.mean.16,0.4705343391307224
lowLevel.barkbands_skewness.stdev,0.4652554825588595
lowLevel.barkbands_skewness.mean,0.46360049667418934
lowLevel.mfcc.mean.5,0.4494551787356613
lowLevel.barkbands.mean.15,0.44604377746145474
lowLevel.sccoeffs.stdev.1,0.4444524579521385
lowLevel.zerocrossingrate.stdev,0.438350210639328
sfx.oddtoevenharmonicenergyratio.stdev,0.4278283842431847
lowLevel.scvalleys.stdev.5,0.41517492694038083
lowLevel.barkbands_spread.stdev,0.40837549715070054
lowLevel.scvalleys.mean.0,0.40556757909507724
lowLevel.sccoeffs.mean.1,0.4031228524290782
lowLevel.spectral_spread.stdev,0.3993328762517194
lowLevel.pitch_instantaneous_confidence.mean,0.3980044254058157
lowLevel.barkbands.mean.11,0.39766456226061564
lowLevel.silence_rate_60dB.stdev,0.3936557936031022
lowLevel.barkbands.mean.13,0.3918591124656814
sfx.oddtoevenharmonicenergyratio.mean,0.367982969399236
lowLevel.mfcc.mean.9,0.3582120775972726
sfx.tristimulus.mean.1,0.3548755902229459
lowLevel.barkbands.mean.23,0.34566435861052014
lowLevel.mfcc.stdev.3,0.3439066611827002
lowLevel.mfcc.stdev.1,0.3436189768890472
lowLevel.barkbands.mean.14,0.3291986591066234
lowLevel.pitch_salience.mean,0.32823089947532935
lowLevel.barkbands.stdev.5,0.32703103553666324
sfx.tristimulus.mean.0,0.32652370999358027
lowLevel.barkbands.mean.22,0.3264614415675169
lowLevel.barkbands.stdev.13,0.3249184209271334
sfx.inharmonicity.mean,0.3042228950232584
lowLevel.barkbands.stdev.18,0.3010523977645789
lowLevel.sccoeffs.stdev.4,0.29669152912902064
lowLevel.spectral_rolloff.stdev,0.2689960481948219
lowLevel.spectral_decrease.mean,0.2669295118712398
lowLevel.barkbands.stdev.10,0.26291107267007874
lowLevel.mfcc.mean.7,0.2570474811458894
lowLevel.mfcc.stdev.4,0.2564628923719283
lowLevel.mfcc.mean.10,0.2514935501677904
lowLevel.spectral_decrease.stdev,0.23728769207082223
lowLevel.spectral_energyband_low.mean,0.2359875211113831
lowLevel.dissonance.mean,0.23399778070597677
lowLevel.barkbands.mean.8,0.2259941855154466
lowLevel.spectral_centroid.mean,0.21797241214329688
lowLevel.barkbands.mean.2,0.21205512781307334
lowLevel.spectral_rolloff.mean,0.2029887417666032
lowLevel.barkbands.stdev.22,0.2029302908522368
lowLevel.zerocrossingrate.mean,0.19948444237888907
lowLevel.barkbands.stdev.17,0.1991432550275931
lowLevel.mfcc.mean.2,0.19622480554971844
lowLevel.mfcc.mean.1,0.19166279282944743
lowLevel.dissonance.stdev,0.18020561509911204
lowLevel.mfcc.mean.4,0.17886185317183845
lowLevel.sccoeffs.stdev.5,0.1773446723127563
lowLevel.barkbands.mean.1,0.16987776319979275
lowLevel.sccoeffs.mean.0,0.16025107022142038
lowLevel.spectral_flux.stdev,0.1537793158340719
sfx.tristimulus.mean.2,0.1478617543070868
sfx.tristimulus.stdev.2,0.145515259804597
lowLevel.barkbands.stdev.0,0.14526217674961117
sfx.inharmonicity.stdev,0.13458082536089933
lowLevel.barkbands_spread.mean,0.1235842754763894
lowLevel.spectral_flatness_db.stdev,0.11847153584403713
lowLevel.barkbands.stdev.16,0.09797181762405671
lowLevel.spectral_energyband_low.stdev,0.09700924501521513
lowLevel.barkbands.stdev.1,0.09634192711382639
lowLevel.barkbands.stdev.23,0.08603460778249428
lowLevel.barkbands_kurtosis.mean,0.07290139214950386
lowLevel.barkbands.stdev.2,0.054030781153414864
lowLevel.sccoeffs.stdev.0,0.03277620080507404
