,importance
lowLevel.hfc.mean,319.8196375761272
lowLevel.spectral_energy.mean,111.83769587967254
lowLevel.spectral_complexity.mean,72.59393989405362
lowLevel.spectral_complexity.stdev,23.170877016586928
lowLevel.silence_rate_60dB.mean,19.63794113293443
lowLevel.mfcc.stdev.9,13.167486089849262
lowLevel.mfcc.stdev.10,7.625730975736587
lowLevel.hfc.stdev,4.624724528274783
lowLevel.barkbands.mean.24,3.9020400126028107
lowLevel.spectral_energyband_middle_low.stdev,3.805639302716372
lowLevel.mfcc.stdev.8,3.741266565342812
lowLevel.spectral_energyband_middle_high.mean,3.5620363593725415
lowLevel.spectral_energyband_middle_low.mean,3.4402542935786187
lowLevel.scvalleys.mean.4,3.2953762996548903
lowLevel.barkbands.mean.6,3.06437888628534
lowLevel.barkbands.mean.5,2.750057815865148
lowLevel.spectral_skewness.mean,2.4716734920639283
lowLevel.spectral_rms.stdev,2.320247694511636
lowLevel.mfcc.stdev.12,2.317800082731992
lowLevel.pitch_instantaneous_confidence.stdev,2.1683950606311555
lowLevel.spectral_crest.mean,2.1067142998454074
lowLevel.barkbands.stdev.6,2.0193058824279433
lowLevel.spectral_strongpeak.mean,1.8574569059674104
lowLevel.mfcc.stdev.7,1.7487084072581638
lowLevel.barkbands.stdev.12,1.6762283038497117
lowLevel.barkbands.mean.14,1.5611621210464364
lowLevel.spectral_kurtosis.mean,1.4633791764063062
lowLevel.barkbands.mean.25,1.433223635352988
lowLevel.spectral_rms.mean,1.4006909575200552
lowLevel.barkbands.stdev.4,1.3977069339089212
lowLevel.barkbands.mean.7,1.3645089025230845
lowLevel.scvalleys.stdev.0,1.3221693700434116
lowLevel.barkbands.mean.13,1.3060243891441132
lowLevel.scvalleys.stdev.5,1.2954930045216315
sfx.tristimulus.stdev.1,1.1939842587580642
lowLevel.sccoeffs.mean.3,1.0864207868362428
lowLevel.barkbands.mean.20,1.0664187707989186
lowLevel.barkbands.stdev.5,1.048925699236861
lowLevel.barkbands.mean.12,1.0303919450489047
lowLevel.scvalleys.stdev.3,1.0170194754846307
lowLevel.scvalleys.mean.3,1.0097155624534935
lowLevel.mfcc.mean.8,1.0049636950570857
lowLevel.sccoeffs.mean.4,0.9659617601737409
lowLevel.spectral_energyband_high.mean,0.9373124141311564
lowLevel.spectral_flatness_db.stdev,0.9370334760524202
lowLevel.sccoeffs.mean.5,0.9349350721695373
lowLevel.mfcc.stdev.4,0.9313693096555653
lowLevel.mfcc.stdev.11,0.923244381634504
lowLevel.barkbands.stdev.9,0.9027248639977188
lowLevel.pitch_instantaneous_confidence.mean,0.8760879225337703
lowLevel.barkbands.stdev.18,0.8374145527996006
lowLevel.barkbands.mean.15,0.8131723995393259
lowLevel.mfcc.mean.0,0.8017406047438271
lowLevel.barkbands.stdev.16,0.7952843460407166
lowLevel.zerocrossingrate.mean,0.7840709952797624
lowLevel.spectral_skewness.stdev,0.775655814435595
lowLevel.spectral_centroid.mean,0.7692919168293884
lowLevel.barkbands.mean.17,0.744709196693293
lowLevel.pitch_salience.mean,0.7415303160814801
lowLevel.spectral_kurtosis.stdev,0.7288960583155131
lowLevel.barkbands.mean.18,0.7204751995486731
lowLevel.barkbands.mean.11,0.7131778277489502
lowLevel.barkbands.stdev.3,0.7092775837918452
lowLevel.spectral_strongpeak.stdev,0.6679713569551495
lowLevel.spectral_energy.stdev,0.6324760071365745
