,importance
lowLevel.hfc.mean,5.44985290727891
lowLevel.spectral_energyband_middle_high.mean,1.0559679875718757
lowLevel.spectral_energy.mean,0.32693660693803395
lowLevel.spectral_complexity.stdev,0.2744272803815875
lowLevel.spectral_energyband_middle_low.mean,0.09939776335886563
lowLevel.spectral_complexity.mean,0.0751826568425713
lowLevel.barkbands.stdev.8,0.05299367655788956
lowLevel.barkbands.stdev.7,0.04941336480396785
lowLevel.spectral_energyband_middle_high.stdev,0.040746740864960884
lowLevel.spectral_energyband_high.mean,0.03713346757513136
lowLevel.barkbands.stdev.11,0.03512276911897061
lowLevel.barkbands.stdev.5,0.0321013872230651
lowLevel.hfc.stdev,0.02675457045506846
lowLevel.barkbands.mean.17,0.02534302580079384
lowLevel.silence_rate_60dB.mean,0.02413652563927826
lowLevel.mfcc.stdev.9,0.023479924395132912
lowLevel.barkbands.stdev.6,0.02197414662259689
lowLevel.spectral_kurtosis.stdev,0.02125667471136694
lowLevel.spectral_energyband_high.stdev,0.020264341256734042
lowLevel.mfcc.mean.8,0.019312748877837294
lowLevel.scvalleys.stdev.3,0.017572455907611584
lowLevel.spectral_skewness.stdev,0.015272821010967164
lowLevel.mfcc.stdev.11,0.01427081631618421
lowLevel.mfcc.stdev.8,0.013109479124523205
lowLevel.spectral_energyband_middle_low.stdev,0.012167137829237618
lowLevel.barkbands.stdev.12,0.011457365736532665
lowLevel.zerocrossingrate.stdev,0.011378634196262283
lowLevel.mfcc.stdev.10,0.01092605473149888
lowLevel.barkbands.mean.5,0.010786442580865696
lowLevel.mfcc.stdev.12,0.01059558438419117
lowLevel.barkbands.stdev.4,0.010267167759593576
lowLevel.barkbands.mean.3,0.00980871427236707
lowLevel.sccoeffs.mean.1,0.009750105853527202
lowLevel.mfcc.stdev.7,0.009656700315190392
lowLevel.barkbands.mean.14,0.009499352583588916
lowLevel.spectral_strongpeak.mean,0.009291378794387128
lowLevel.barkbands.mean.24,0.009063312651960587
lowLevel.barkbands.mean.11,0.008868216683367791
lowLevel.sccoeffs.mean.4,0.008748635475967603
lowLevel.barkbands.mean.7,0.008110306018352276
lowLevel.barkbands.stdev.17,0.00806919589467725
lowLevel.scvalleys.stdev.4,0.007951020651034924
lowLevel.barkbands.stdev.14,0.007864052712477587
lowLevel.barkbands.stdev.1,0.007817751805305306
lowLevel.barkbands.mean.9,0.007783934939652681
lowLevel.barkbands.mean.13,0.007488324430596549
lowLevel.barkbands.stdev.3,0.0074276232944612275
lowLevel.spectral_rms.mean,0.006875426387523476
lowLevel.barkbands.mean.18,0.006751140345613749
lowLevel.mfcc.stdev.2,0.00674305554412058
lowLevel.sccoeffs.mean.5,0.0065516692197888915
lowLevel.sccoeffs.mean.3,0.006530310898597236
lowLevel.mfcc.mean.1,0.006426658205782587
lowLevel.barkbands.stdev.19,0.006221716681466205
lowLevel.sccoeffs.mean.2,0.0061441683301382
lowLevel.spectral_strongpeak.stdev,0.005892949896860955
lowLevel.scvalleys.mean.4,0.005753104242103291
lowLevel.barkbands.stdev.16,0.005433274601728044
lowLevel.pitch_instantaneous_confidence.stdev,0.0054056819826655556
lowLevel.silence_rate_60dB.stdev,0.005367328560168971
lowLevel.mfcc.stdev.0,0.0052292237510300765
sfx.tristimulus.stdev.2,0.005208902766298706
lowLevel.barkbands.mean.1,0.005133512841894117
lowLevel.barkbands.mean.8,0.0051080943339911755
lowLevel.scvalleys.stdev.1,0.005020387824970385
lowLevel.barkbands.mean.26,0.0049715590298546886
lowLevel.scvalleys.stdev.0,0.004809311960343621
lowLevel.barkbands.mean.15,0.004743727172353829
lowLevel.dissonance.mean,0.004695113734669576
lowLevel.barkbands.stdev.18,0.004666940583319956
lowLevel.mfcc.mean.12,0.004558197671940434
lowLevel.barkbands.stdev.15,0.004316578282214323
lowLevel.scvalleys.stdev.5,0.004303987059302017
sfx.tristimulus.mean.2,0.004157832177952514
lowLevel.spectral_rms.stdev,0.004105508827706217
lowLevel.spectral_decrease.mean,0.004058255036397895
lowLevel.spectral_energyband_low.stdev,0.004000856632956129
lowLevel.barkbands_kurtosis.stdev,0.003987751001204742
lowLevel.barkbands.mean.4,0.0038775993198214564
lowLevel.spectral_centroid.stdev,0.0038473626800623606
lowLevel.barkbands.mean.19,0.003845118879326037
lowLevel.scvalleys.stdev.2,0.0038094721639936324
lowLevel.mfcc.mean.0,0.003799400651587348
sfx.tristimulus.mean.1,0.0037500943062696024
lowLevel.pitch.mean,0.0036826636335263174
lowLevel.spectral_spread.mean,0.003645026464255352
lowLevel.barkbands.mean.20,0.003584939481697802
lowLevel.sccoeffs.stdev.1,0.003492006822853
lowLevel.spectral_energyband_low.mean,0.0034481938873796025
lowLevel.barkbands_skewness.stdev,0.003189500041116844
lowLevel.mfcc.stdev.5,0.0030790898895247665
lowLevel.scvalleys.mean.5,0.0030410630338337796
lowLevel.barkbands.stdev.9,0.002905049249420699
lowLevel.mfcc.mean.6,0.0029011781653025537
lowLevel.mfcc.mean.7,0.0028132203365203168
lowLevel.barkbands.mean.23,0.00278426264776499
lowLevel.barkbands.stdev.20,0.0026321131163058453
lowLevel.spectral_energy.stdev,0.002601241533739085
lowLevel.mfcc.stdev.1,0.0025140456018561963
lowLevel.pitch_instantaneous_confidence.mean,0.002493763645816216
sfx.tristimulus.stdev.1,0.002441059161355952
lowLevel.spectral_decrease.stdev,0.0024099481088342145
lowLevel.spectral_flux.stdev,0.0023913909662951482
lowLevel.mfcc.mean.3,0.002379819716225029
lowLevel.mfcc.stdev.6,0.002358758535137895
lowLevel.barkbands.stdev.13,0.0023554631316073937
lowLevel.mfcc.mean.9,0.002352366516333859
lowLevel.spectral_flatness_db.stdev,0.002301664899732714
lowLevel.barkbands.mean.25,0.0022525493877765257
lowLevel.scvalleys.mean.0,0.0021653661553955317
lowLevel.spectral_spread.stdev,0.0021044446129963035
lowLevel.barkbands.stdev.10,0.002101093589772063
lowLevel.barkbands_skewness.mean,0.002053757084922836
