,importance
lowLevel.hfc.mean,82.98666531923482
lowLevel.spectral_energyband_middle_high.mean,68.1964926876783
lowLevel.barkbands.mean.18,30.017986343214943
lowLevel.spectral_energyband_middle_high.stdev,28.567091318550183
lowLevel.spectral_strongpeak.stdev,6.615574025000569
lowLevel.spectral_strongpeak.mean,5.7865530599228805
lowLevel.barkbands.mean.11,4.029724471464306
lowLevel.mfcc.stdev.10,3.94242276439536
lowLevel.spectral_energyband_high.mean,3.597194139536441
lowLevel.spectral_energy.mean,2.882863841966582
lowLevel.scvalleys.mean.5,2.1972718568131313
lowLevel.mfcc.stdev.12,2.0355034054964563
lowLevel.mfcc.stdev.9,1.9976162120697154
lowLevel.mfcc.stdev.7,1.844684906072871
lowLevel.barkbands.mean.19,1.550960460852366
lowLevel.barkbands.stdev.11,1.21824739713702
lowLevel.scvalleys.mean.4,1.2053726977019323
lowLevel.mfcc.mean.0,1.1240734573852933
lowLevel.mfcc.stdev.8,1.0914866898660875
lowLevel.barkbands.stdev.9,1.0174796270107436
lowLevel.barkbands.stdev.4,0.984373644570951
lowLevel.hfc.stdev,0.9403492779042608
lowLevel.spectral_complexity.mean,0.8544522339798277
lowLevel.silence_rate_60dB.mean,0.8470849603681927
lowLevel.barkbands.mean.3,0.8046896120285965
lowLevel.barkbands.mean.17,0.7926898175110182
lowLevel.barkbands.mean.24,0.7520482116015046
lowLevel.spectral_flux.mean,0.7381160927989185
lowLevel.barkbands.mean.10,0.6801685298883058
lowLevel.spectral_energyband_middle_low.mean,0.6560221506024391
lowLevel.spectral_decrease.mean,0.5997386567787544
lowLevel.barkbands.mean.23,0.5522753566801839
lowLevel.mfcc.stdev.2,0.5446126026897673
lowLevel.sccoeffs.mean.2,0.48446971412840867
lowLevel.sccoeffs.mean.4,0.47980847934695703
lowLevel.barkbands.mean.7,0.47590098879663856
lowLevel.scvalleys.stdev.1,0.4671006123016923
sfx.tristimulus.mean.2,0.44920219173991427
lowLevel.barkbands.stdev.5,0.4453138391459106
lowLevel.mfcc.stdev.5,0.43728815509484775
lowLevel.mfcc.stdev.11,0.4216202343995974
lowLevel.barkbands.stdev.3,0.4113252171582644
lowLevel.sccoeffs.mean.3,0.40215292735319963
lowLevel.spectral_rms.mean,0.3970551039938073
lowLevel.spectral_energyband_low.mean,0.3860084970810931
lowLevel.sccoeffs.mean.5,0.38173788682570375
lowLevel.barkbands.mean.5,0.36167507812842814
lowLevel.barkbands.stdev.10,0.3605792102152918
lowLevel.barkbands.mean.20,0.3580804619787159
lowLevel.scvalleys.stdev.2,0.35144519657842466
lowLevel.pitch_instantaneous_confidence.stdev,0.3394729022397769
lowLevel.barkbands.stdev.7,0.33893370284749835
lowLevel.spectral_skewness.stdev,0.32915628103182826
lowLevel.mfcc.stdev.6,0.3097324167761144
lowLevel.scvalleys.stdev.4,0.3096465081371207
lowLevel.pitch.mean,0.29915420390852887
lowLevel.scvalleys.stdev.5,0.2980199321727923
lowLevel.mfcc.mean.8,0.28557969489065727
