,importance
lowLevel.spectral_complexity.mean,29.33115309533605
lowLevel.barkbands.stdev.4,23.26199354835262
lowLevel.barkbands.mean.5,21.14202198748535
lowLevel.silence_rate_60dB.mean,15.095256320477347
lowLevel.mfcc.stdev.9,12.471744492533617
lowLevel.spectral_energyband_middle_low.mean,11.642327329522232
lowLevel.mfcc.stdev.10,8.69149159695371
lowLevel.mfcc.stdev.8,7.648176890303148
lowLevel.spectral_rms.stdev,4.4332510076783365
lowLevel.barkbands.mean.4,4.252704448590521
lowLevel.spectral_complexity.stdev,4.044835678199888
lowLevel.spectral_energy.mean,3.9554422604560386
lowLevel.mfcc.stdev.7,3.7518457392434357
lowLevel.mfcc.stdev.11,3.2130776365229394
lowLevel.scvalleys.stdev.3,3.1076692360657034
lowLevel.mfcc.stdev.12,3.0539971280813916
lowLevel.hfc.mean,2.873549350304529
lowLevel.spectral_energy.stdev,2.8605905877338955
lowLevel.pitch_instantaneous_confidence.stdev,2.33297639832017
lowLevel.scvalleys.mean.4,2.2475150651007425
lowLevel.spectral_energyband_middle_low.stdev,2.1912936120425
lowLevel.scvalleys.stdev.4,2.1000018605409423
lowLevel.spectral_energyband_high.stdev,2.0956903491314733
lowLevel.scvalleys.mean.5,1.9312401393253822
lowLevel.spectral_skewness.mean,1.8752921532141045
lowLevel.scvalleys.stdev.2,1.8559235455177259
lowLevel.mfcc.mean.8,1.8220433068054263
lowLevel.scvalleys.stdev.1,1.7646216175344307
lowLevel.sccoeffs.mean.5,1.7546599521447206
lowLevel.spectral_kurtosis.mean,1.5895659603193053
lowLevel.barkbands.stdev.5,1.536305647547124
lowLevel.spectral_spread.mean,1.4598814261116786
lowLevel.sccoeffs.mean.4,1.4363293168862583
lowLevel.spectral_energyband_middle_high.mean,1.3981570554460632
lowLevel.mfcc.mean.0,1.3455488530889852
lowLevel.barkbands.mean.3,1.2343463637371315
lowLevel.barkbands.stdev.26,1.2297229321266059
sfx.tristimulus.stdev.1,1.0890010169678135
lowLevel.hfc.stdev,1.014860153241898
lowLevel.mfcc.stdev.0,1.0036171549727442
lowLevel.barkbands.stdev.15,0.9959168635868991
lowLevel.mfcc.stdev.6,0.9949612495547626
lowLevel.barkbands.mean.26,0.9241171595567721
lowLevel.scvalleys.stdev.0,0.9205102977357456
lowLevel.sccoeffs.mean.3,0.8837278608698398
lowLevel.spectral_energyband_middle_high.stdev,0.8829486012255074
lowLevel.zerocrossingrate.stdev,0.874827069012099
lowLevel.mfcc.stdev.5,0.8599264601652976
lowLevel.barkbands.stdev.18,0.8113303689024178
lowLevel.silence_rate_60dB.stdev,0.8084217865834944
lowLevel.spectral_kurtosis.stdev,0.7646877700608457
lowLevel.barkbands.stdev.3,0.7456930598527833
lowLevel.barkbands.mean.15,0.7420921158773126
lowLevel.barkbands_skewness.mean,0.7216225940610457
lowLevel.barkbands.mean.25,0.6820734526118031
lowLevel.mfcc.mean.7,0.6624648621364031
lowLevel.zerocrossingrate.mean,0.6499199922545813
lowLevel.sccoeffs.mean.2,0.6218225731136044
lowLevel.spectral_strongpeak.mean,0.6024321917648194
lowLevel.barkbands.mean.20,0.5943669181797304
lowLevel.spectral_skewness.stdev,0.5632777549908496
lowLevel.barkbands.mean.17,0.5534329341317061
lowLevel.scvalleys.mean.3,0.5332367755181622
sfx.oddtoevenharmonicenergyratio.stdev,0.5260763433179818
lowLevel.barkbands.mean.21,0.5221578838682035
lowLevel.pitch_instantaneous_confidence.mean,0.5186231859988766
sfx.tristimulus.stdev.2,0.5174461824062746
lowLevel.barkbands.mean.7,0.5139832341810688
lowLevel.spectral_rolloff.stdev,0.5039234951400431
lowLevel.barkbands.stdev.20,0.5017074578208849
lowLevel.mfcc.stdev.2,0.49493065309070516
lowLevel.sccoeffs.stdev.2,0.49061241903109476
lowLevel.spectral_rms.mean,0.4730950492375996
lowLevel.barkbands.stdev.17,0.45903896346862894
lowLevel.mfcc.stdev.4,0.4533603232848691
lowLevel.spectral_strongpeak.stdev,0.4513584218802862
lowLevel.spectral_centroid.stdev,0.44856316757795867
lowLevel.spectral_energyband_high.mean,0.44046055074431933
lowLevel.spectral_flatness_db.stdev,0.420079954128596
lowLevel.mfcc.mean.6,0.41133071218791883
lowLevel.sccoeffs.stdev.5,0.4056206899258541
lowLevel.pitch.stdev,0.40548584183852654
lowLevel.barkbands.stdev.25,0.40390581208339427
lowLevel.barkbands.mean.22,0.40240018268377753
lowLevel.barkbands.stdev.6,0.4015716412104666
lowLevel.sccoeffs.mean.1,0.40133493022585753
lowLevel.scvalleys.stdev.5,0.39595486025791615
lowLevel.barkbands.mean.19,0.3936073399381712
lowLevel.pitch.mean,0.38495044309820514
lowLevel.barkbands.mean.14,0.3633413827919867
lowLevel.mfcc.mean.2,0.3613417447631946
sfx.oddtoevenharmonicenergyratio.mean,0.3455254263681127
lowLevel.pitch_salience.mean,0.3442447237903252
lowLevel.spectral_crest.stdev,0.3394310839648824
lowLevel.barkbands.mean.24,0.3342979037115583
lowLevel.sccoeffs.stdev.4,0.3305591978132725
lowLevel.scvalleys.mean.2,0.3234412391029764
lowLevel.barkbands_spread.mean,0.3213340501097264
lowLevel.barkbands.stdev.12,0.3201647265959764
lowLevel.spectral_flatness_db.mean,0.303530853940174
sfx.tristimulus.mean.1,0.3028010511479806
lowLevel.spectral_centroid.mean,0.2962587478104979
lowLevel.barkbands_spread.stdev,0.28529583611816633
lowLevel.barkbands.mean.18,0.2839453305496136
lowLevel.pitch_salience.stdev,0.2714290334552061
sfx.inharmonicity.mean,0.2697776619606884
lowLevel.barkbands.mean.6,0.2624176501267357
lowLevel.spectral_spread.stdev,0.26167025316681247
lowLevel.mfcc.stdev.3,0.2611435814178549
lowLevel.barkbands.mean.0,0.25742212240584195
lowLevel.barkbands.stdev.7,0.2504208824466332
lowLevel.scvalleys.mean.0,0.24819018214475363
lowLevel.sccoeffs.stdev.3,0.245325407711789
lowLevel.barkbands.stdev.22,0.23417744312610012
lowLevel.barkbands.stdev.0,0.23188988598121796
lowLevel.barkbands.stdev.2,0.22921166635933332
lowLevel.barkbands.stdev.24,0.22706233627104666
lowLevel.mfcc.stdev.1,0.2180434369656723
lowLevel.mfcc.mean.4,0.21465941784481402
lowLevel.barkbands.mean.23,0.21419375455297995
lowLevel.barkbands_skewness.stdev,0.2133882226771675
lowLevel.spectral_flux.mean,0.21278632037865464
lowLevel.barkbands.stdev.9,0.21107260324060917
lowLevel.barkbands.stdev.1,0.20283902087248862
sfx.inharmonicity.stdev,0.20213625038741156
lowLevel.scvalleys.mean.1,0.20150131842819974
lowLevel.spectral_decrease.mean,0.20115192128287163
lowLevel.spectral_rolloff.mean,0.2006987620043219
sfx.tristimulus.mean.0,0.19709500129101798
lowLevel.spectral_flux.stdev,0.19371554722602013
lowLevel.mfcc.mean.5,0.19071042059658794
lowLevel.barkbands.stdev.10,0.18727446974662598
lowLevel.mfcc.mean.3,0.1848568524874281
lowLevel.barkbands.stdev.21,0.18377861245244276
lowLevel.sccoeffs.stdev.1,0.1795861945138313
lowLevel.spectral_energyband_low.stdev,0.17056608645361848
lowLevel.spectral_energyband_low.mean,0.16473565431078896
lowLevel.barkbands.mean.2,0.16169623864698224
lowLevel.barkbands.stdev.13,0.14867616003903095
lowLevel.sccoeffs.mean.0,0.14673381208558567
lowLevel.barkbands.mean.13,0.14117337492643856
lowLevel.barkbands.stdev.14,0.13993686565663666
lowLevel.barkbands.mean.11,0.13915022966102697
lowLevel.barkbands.mean.10,0.1388695329806069
lowLevel.mfcc.mean.10,0.13522649170772638
lowLevel.spectral_decrease.stdev,0.13421407304122113
lowLevel.dissonance.mean,0.13303188551799394
lowLevel.mfcc.mean.12,0.13014228487736546
lowLevel.barkbands.mean.16,0.1298429510788992
lowLevel.dissonance.stdev,0.12367432154132985
lowLevel.mfcc.mean.9,0.11957292162696831
lowLevel.barkbands.mean.1,0.11699257013970055
lowLevel.barkbands_kurtosis.stdev,0.11629572145466227
lowLevel.barkbands.stdev.11,0.11034980395925231
sfx.tristimulus.stdev.0,0.10336094403464813
lowLevel.spectral_crest.mean,0.10246365349303233
lowLevel.barkbands.stdev.16,0.09989828107063659
lowLevel.barkbands.mean.12,0.0994652821100317
lowLevel.barkbands.stdev.8,0.08330983985797502
lowLevel.barkbands.mean.8,0.08095319676795043
lowLevel.barkbands.stdev.19,0.08044431830057874
lowLevel.barkbands.stdev.23,0.07906811771681532
sfx.tristimulus.mean.2,0.07622788757726084
lowLevel.mfcc.mean.11,0.06730230405810289
lowLevel.barkbands.mean.9,0.06607775640441105
lowLevel.barkbands_kurtosis.mean,0.06516356828797143
lowLevel.sccoeffs.stdev.0,0.061556770888273604
lowLevel.mfcc.mean.1,0.04765703168231994
lowLevel.silence_rate_30dB.stdev,0.006348699142108671
lowLevel.silence_rate_20dB.stdev,0.0006946440116735175
lowLevel.silence_rate_30dB.mean,0.0003571610141079873
lowLevel.silence_rate_20dB.mean,0.0
