,importance
lowLevel.hfc.mean,50.502302023939876
lowLevel.silence_rate_60dB.mean,21.1224520978179
lowLevel.spectral_energy.mean,17.778496340506308
lowLevel.spectral_complexity.stdev,6.888759157996802
lowLevel.spectral_complexity.mean,6.39938991591049
lowLevel.hfc.stdev,5.355956380027551
lowLevel.barkbands.mean.11,2.5560381005333905
lowLevel.spectral_energyband_high.mean,1.4536774006217121
lowLevel.barkbands.stdev.20,1.0751028851531146
lowLevel.spectral_energyband_middle_high.stdev,0.9714165537462236
lowLevel.barkbands.mean.23,0.7669649331259905
lowLevel.spectral_strongpeak.mean,0.573571541510546
lowLevel.barkbands.mean.5,0.5651329234382048
lowLevel.barkbands.stdev.13,0.5502606748251822
lowLevel.spectral_energyband_middle_low.mean,0.4379718180897979
lowLevel.mfcc.stdev.9,0.41187558559549586
lowLevel.mfcc.stdev.10,0.3994664783382955
lowLevel.spectral_decrease.mean,0.3959455887090826
lowLevel.spectral_strongpeak.stdev,0.3919136714700926
lowLevel.barkbands.stdev.12,0.3790839641437529
lowLevel.barkbands.mean.7,0.36663095502066767
lowLevel.barkbands.mean.17,0.3503520494405232
lowLevel.barkbands.stdev.8,0.3432588056809749
lowLevel.mfcc.mean.0,0.23284411885992995
lowLevel.spectral_energyband_middle_high.mean,0.22955234221944576
lowLevel.barkbands.stdev.7,0.21685658804676677
lowLevel.barkbands.mean.26,0.21218022248450552
lowLevel.barkbands.stdev.5,0.20745487292220233
lowLevel.pitch_instantaneous_confidence.stdev,0.1996303200952525
lowLevel.mfcc.stdev.7,0.1881303235104541
lowLevel.barkbands.mean.12,0.1821553973571497
lowLevel.barkbands.stdev.11,0.18075344274828353
lowLevel.spectral_flux.mean,0.1755212864755089
lowLevel.barkbands.stdev.24,0.17285956751767984
lowLevel.mfcc.stdev.12,0.1605558716146973
lowLevel.barkbands.mean.16,0.1594230248118329
lowLevel.sccoeffs.mean.5,0.14283489689377316
lowLevel.mfcc.stdev.8,0.14133091869446446
lowLevel.barkbands.mean.20,0.13975380816958705
lowLevel.barkbands.stdev.15,0.13933101226319877
lowLevel.spectral_kurtosis.stdev,0.1348052345357047
lowLevel.barkbands.stdev.9,0.1344950605694777
lowLevel.spectral_energyband_middle_low.stdev,0.1341722432248531
lowLevel.sccoeffs.stdev.2,0.13371364939312258
lowLevel.mfcc.mean.8,0.13321631159405456
lowLevel.scvalleys.stdev.2,0.12919477484572894
lowLevel.spectral_rms.stdev,0.12171780804476384
lowLevel.barkbands.mean.15,0.11441388447349254
lowLevel.spectral_skewness.stdev,0.10780474746546531
lowLevel.barkbands.mean.18,0.10680345122926127
lowLevel.spectral_energy.stdev,0.10330139611608047
lowLevel.pitch_instantaneous_confidence.mean,0.10080565356223836
lowLevel.spectral_spread.mean,0.10029694381793064
lowLevel.sccoeffs.stdev.3,0.10007585804365471
lowLevel.spectral_crest.stdev,0.098930173656971
lowLevel.spectral_kurtosis.mean,0.0975881005985002
lowLevel.barkbands.stdev.26,0.09469947629715314
lowLevel.mfcc.stdev.6,0.09124799884796175
lowLevel.sccoeffs.stdev.5,0.08887167129242357
lowLevel.scvalleys.mean.0,0.0827154832090855
lowLevel.spectral_rolloff.stdev,0.08208713403760726
lowLevel.scvalleys.stdev.0,0.08117070753385036
sfx.tristimulus.stdev.0,0.07608053323987463
sfx.tristimulus.mean.2,0.07570447196780883
lowLevel.zerocrossingrate.mean,0.0745171764073298
lowLevel.barkbands.mean.25,0.07383482104095629
lowLevel.barkbands.mean.9,0.072677219331581
lowLevel.mfcc.mean.6,0.07174372119638939
lowLevel.scvalleys.stdev.4,0.07029421753674114
lowLevel.barkbands_skewness.stdev,0.06994287839728486
lowLevel.barkbands.stdev.0,0.0690900286454923
lowLevel.pitch_salience.mean,0.06820038325027866
lowLevel.mfcc.mean.11,0.0679248219943247
lowLevel.barkbands.mean.10,0.06562530741598493
lowLevel.barkbands_spread.mean,0.06526109885994202
lowLevel.mfcc.stdev.4,0.06516447433000039
lowLevel.sccoeffs.mean.2,0.06459438270053397
lowLevel.barkbands.stdev.10,0.06101331767007423
lowLevel.barkbands.stdev.25,0.060650763572283495
sfx.tristimulus.stdev.1,0.06035032834068943
lowLevel.sccoeffs.mean.3,0.0592468084944926
lowLevel.scvalleys.mean.4,0.05732025468080337
lowLevel.mfcc.stdev.3,0.05728010800308425
lowLevel.barkbands.stdev.4,0.05633520371090839
lowLevel.spectral_energyband_low.mean,0.05619545296579531
lowLevel.spectral_flatness_db.stdev,0.05502761409846002
lowLevel.barkbands_skewness.mean,0.05160653316932695
lowLevel.barkbands.mean.6,0.05120377831943301
lowLevel.barkbands.stdev.6,0.051121591295043345
lowLevel.sccoeffs.mean.4,0.050206629513184
lowLevel.scvalleys.mean.1,0.04964649104531205
lowLevel.barkbands_kurtosis.stdev,0.04962102602280538
lowLevel.mfcc.mean.4,0.04894323449408838
lowLevel.barkbands.mean.8,0.048171950564473195
lowLevel.sccoeffs.mean.1,0.0480583421871188
lowLevel.scvalleys.stdev.1,0.04749253014347232
lowLevel.barkbands.stdev.19,0.046843119493988006
lowLevel.mfcc.stdev.11,0.04663913751151627
lowLevel.mfcc.mean.12,0.04628118799001868
sfx.inharmonicity.mean,0.04507136552486557
lowLevel.barkbands.mean.3,0.04435104268827539
sfx.tristimulus.stdev.2,0.04408713256926844
lowLevel.barkbands.mean.4,0.04384300511015837
lowLevel.sccoeffs.stdev.1,0.043170451000783316
lowLevel.mfcc.mean.5,0.04299728598830921
sfx.tristimulus.mean.1,0.04159945926127051
lowLevel.barkbands_spread.stdev,0.04159935146316229
lowLevel.scvalleys.mean.5,0.041572386675345796
lowLevel.barkbands.mean.13,0.04098562269064132
lowLevel.sccoeffs.stdev.4,0.04063355729894225
lowLevel.barkbands.mean.22,0.040317917162781214
lowLevel.sccoeffs.mean.0,0.039864860476323025
lowLevel.pitch.stdev,0.039833485431216786
lowLevel.barkbands.mean.24,0.03960512437300423
lowLevel.barkbands.stdev.3,0.0355303903636397
lowLevel.spectral_rms.mean,0.03530624555355644
lowLevel.mfcc.stdev.1,0.0349562032760547
lowLevel.barkbands.mean.0,0.03368591442972502
lowLevel.dissonance.stdev,0.03295793214354603
lowLevel.mfcc.stdev.0,0.031761309633257184
lowLevel.spectral_centroid.mean,0.031109153276090235
lowLevel.scvalleys.mean.2,0.030821980146470196
sfx.tristimulus.mean.0,0.02821088513711345
lowLevel.barkbands.stdev.14,0.02716339935076917
lowLevel.spectral_energyband_high.stdev,0.026744662737996805
lowLevel.barkbands.stdev.16,0.025944667991041115
sfx.inharmonicity.stdev,0.025555867876960292
lowLevel.barkbands.mean.19,0.0254763708232133
lowLevel.mfcc.stdev.2,0.024356833044048898
lowLevel.mfcc.stdev.5,0.024237657030486304
lowLevel.mfcc.mean.7,0.023579498571962176
sfx.oddtoevenharmonicenergyratio.stdev,0.023421357536888676
lowLevel.spectral_spread.stdev,0.02341883154333324
lowLevel.barkbands.stdev.18,0.023316163994511776
lowLevel.barkbands.stdev.22,0.022316386890363304
lowLevel.spectral_centroid.stdev,0.021763569272934546
lowLevel.scvalleys.stdev.5,0.02059712477827702
lowLevel.barkbands_kurtosis.mean,0.02042340619934535
lowLevel.mfcc.mean.9,0.01990802080228704
lowLevel.spectral_crest.mean,0.01941679215526626
lowLevel.scvalleys.stdev.3,0.018243720598547952
lowLevel.mfcc.mean.3,0.018207432816424785
lowLevel.spectral_flatness_db.mean,0.017890604018020895
lowLevel.spectral_skewness.mean,0.01740907029938299
lowLevel.mfcc.mean.10,0.01635236670547613
lowLevel.pitch_salience.stdev,0.014320906115258936
lowLevel.barkbands.stdev.21,0.014282864801032247
lowLevel.barkbands.mean.14,0.014144353865503945
lowLevel.spectral_decrease.stdev,0.014035211231899325
sfx.oddtoevenharmonicenergyratio.mean,0.013819651504313413
lowLevel.mfcc.mean.2,0.012742319374936972
lowLevel.barkbands.mean.1,0.011686554585025988
lowLevel.dissonance.mean,0.010715745654659159
lowLevel.barkbands.mean.21,0.010678380647760832
lowLevel.zerocrossingrate.stdev,0.009782412039754718
lowLevel.barkbands.stdev.1,0.009206542174354126
lowLevel.barkbands.mean.2,0.008407904765086016
lowLevel.mfcc.mean.1,0.006305193826477762
lowLevel.barkbands.stdev.17,0.006049029624598745
lowLevel.spectral_rolloff.mean,0.005240630977084493
lowLevel.barkbands.stdev.23,0.004115927453625545
lowLevel.barkbands.stdev.2,0.003877556250017733
lowLevel.pitch.mean,0.003581710903176827
lowLevel.silence_rate_30dB.stdev,0.003210122071322985
lowLevel.scvalleys.mean.3,0.0030041191067766704
lowLevel.spectral_flux.stdev,0.0024240753426147954
lowLevel.sccoeffs.stdev.0,0.002291724666960704
lowLevel.silence_rate_60dB.stdev,0.0017590592077851852
lowLevel.spectral_energyband_low.stdev,0.0010957316644919501
lowLevel.silence_rate_20dB.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_30dB.mean,0.0
