,importance
lowLevel.hfc.mean,104.07392749003338
lowLevel.spectral_energyband_middle_high.mean,29.908388137449947
lowLevel.hfc.stdev,12.365963697659026
lowLevel.spectral_energy.mean,10.054094913852168
lowLevel.barkbands.mean.18,9.726233528301236
lowLevel.spectral_complexity.mean,9.43565671073884
lowLevel.barkbands.mean.17,7.833862590290664
lowLevel.spectral_complexity.stdev,6.1331186426650675
lowLevel.spectral_strongpeak.stdev,3.8498641230617068
lowLevel.spectral_energyband_middle_high.stdev,3.4935212362688617
lowLevel.spectral_energy.stdev,3.374384289520094
lowLevel.spectral_energyband_middle_low.stdev,3.0637320257810643
lowLevel.barkbands.mean.16,2.771231882412394
lowLevel.spectral_strongpeak.mean,2.716261655496055
lowLevel.pitch_instantaneous_confidence.stdev,2.7002130157452484
lowLevel.spectral_energyband_middle_low.mean,2.4421319837565534
lowLevel.barkbands.mean.15,2.3065232009448664
lowLevel.sccoeffs.mean.5,2.214824247850629
lowLevel.sccoeffs.mean.3,2.013000453815039
lowLevel.barkbands.stdev.26,1.870220818935195
lowLevel.barkbands.stdev.25,1.6439768317795824
lowLevel.barkbands.mean.11,1.6004153658213909
lowLevel.barkbands.mean.26,1.5865393909043632
lowLevel.spectral_flux.mean,1.5497266186539491
lowLevel.scvalleys.mean.5,1.4658351065518218
lowLevel.spectral_rms.stdev,1.441641945617448
lowLevel.barkbands.mean.22,1.1740109374804888
lowLevel.sccoeffs.mean.2,1.1254647796286008
lowLevel.barkbands.mean.14,1.0790325318157556
lowLevel.mfcc.stdev.10,1.0462926021573367
lowLevel.barkbands.stdev.7,0.985623256638064
lowLevel.spectral_decrease.mean,0.9785684412490809
lowLevel.scvalleys.mean.4,0.8469751354277832
lowLevel.sccoeffs.mean.4,0.8438003309929627
lowLevel.scvalleys.stdev.4,0.8247015637680306
lowLevel.barkbands.mean.12,0.8241801478761772
lowLevel.barkbands.stdev.9,0.8030461975140497
lowLevel.spectral_rms.mean,0.7805912447984156
lowLevel.mfcc.stdev.8,0.7796777386101894
lowLevel.spectral_spread.mean,0.7358401775272796
lowLevel.barkbands.stdev.11,0.7290620234998642
lowLevel.spectral_energyband_high.mean,0.7263076834715321
lowLevel.mfcc.stdev.7,0.7184799769020174
lowLevel.barkbands.mean.7,0.7064629287051503
lowLevel.mfcc.mean.0,0.6901846093678614
lowLevel.silence_rate_60dB.mean,0.6875197384506464
lowLevel.sccoeffs.stdev.2,0.665223872896604
