,importance
lowLevel.spectral_energy.mean,36.16159298625939
lowLevel.silence_rate_60dB.mean,17.72146126503185
lowLevel.spectral_complexity.mean,12.768934598288599
lowLevel.barkbands.mean.5,3.799706493640315
lowLevel.mfcc.stdev.9,3.4880073537292167
lowLevel.mfcc.stdev.11,3.3969818136697256
lowLevel.spectral_complexity.stdev,3.359281690184851
lowLevel.mfcc.stdev.0,2.604952818383026
lowLevel.spectral_energy.stdev,1.975075196459187
lowLevel.mfcc.stdev.8,1.9510636703316142
lowLevel.scvalleys.stdev.4,1.8011765040464525
lowLevel.hfc.mean,1.7737823799649277
lowLevel.mfcc.stdev.10,1.5289829035868934
lowLevel.barkbands.stdev.4,1.4340408743037187
lowLevel.spectral_rms.stdev,1.3204502288544973
lowLevel.spectral_energyband_middle_low.stdev,1.2553826708052043
lowLevel.barkbands.stdev.26,1.073402891338901
lowLevel.spectral_energyband_middle_low.mean,1.0663165557339198
lowLevel.mfcc.stdev.12,1.0610001021741482
lowLevel.spectral_energyband_high.stdev,0.9746254025252483
lowLevel.mfcc.stdev.7,0.9000348073873283
lowLevel.barkbands.stdev.5,0.8382925215217938
lowLevel.scvalleys.stdev.3,0.8237627823310536
lowLevel.spectral_kurtosis.mean,0.812602360123833
lowLevel.spectral_skewness.mean,0.7745755090357989
lowLevel.pitch_instantaneous_confidence.stdev,0.7576405334074252
lowLevel.sccoeffs.mean.3,0.7564951069076962
lowLevel.barkbands.stdev.18,0.7120953186476982
lowLevel.scvalleys.mean.5,0.6633229894906556
lowLevel.barkbands.stdev.12,0.47578316902854567
lowLevel.spectral_spread.mean,0.47408730447750713
lowLevel.spectral_kurtosis.stdev,0.4671744781975349
lowLevel.mfcc.mean.8,0.45598259382256856
lowLevel.scvalleys.stdev.2,0.4541656859141767
lowLevel.barkbands.mean.26,0.4531689849172835
lowLevel.barkbands.stdev.3,0.43529092800862657
lowLevel.spectral_strongpeak.stdev,0.40619799511524746
lowLevel.spectral_energyband_middle_high.mean,0.363617345340117
lowLevel.barkbands.mean.16,0.36306667374810786
lowLevel.scvalleys.stdev.1,0.36133998530567624
lowLevel.barkbands.mean.15,0.3497932147093934
lowLevel.spectral_energyband_middle_high.stdev,0.3386383995509519
lowLevel.barkbands.mean.4,0.31339616812101667
lowLevel.sccoeffs.mean.5,0.3110525226101686
lowLevel.scvalleys.mean.4,0.3093829980026612
lowLevel.zerocrossingrate.mean,0.3063312202175439
lowLevel.barkbands.mean.3,0.29356369089178713
lowLevel.hfc.stdev,0.27895664014734334
lowLevel.barkbands.mean.25,0.27503493214423713
