,importance
lowLevel.hfc.mean,485.44560919719515
lowLevel.hfc.stdev,268.5777079763566
lowLevel.spectral_energy.mean,84.19153470234596
lowLevel.spectral_energy.stdev,75.71742438762385
lowLevel.spectral_energyband_middle_low.stdev,26.537021446212748
lowLevel.spectral_energyband_middle_low.mean,25.779700598781346
lowLevel.spectral_complexity.mean,22.71294696617042
lowLevel.spectral_rms.stdev,17.919326483575787
lowLevel.spectral_complexity.stdev,15.197983835347259
lowLevel.spectral_energyband_middle_high.mean,15.019705785842234
lowLevel.barkbands.stdev.26,14.225136762657712
lowLevel.spectral_energyband_middle_high.stdev,13.691466696714087
lowLevel.barkbands.mean.18,11.275634778641688
lowLevel.spectral_strongpeak.stdev,10.637912259884615
lowLevel.mfcc.stdev.2,8.803807228546248
lowLevel.spectral_skewness.stdev,7.13534697324576
lowLevel.barkbands.stdev.18,7.107305414327129
lowLevel.sccoeffs.stdev.2,6.6423781826688355
lowLevel.silence_rate_60dB.mean,6.187315730268892
lowLevel.scvalleys.stdev.4,5.861357361445698
lowLevel.spectral_strongpeak.mean,5.535926984928665
lowLevel.pitch_instantaneous_confidence.stdev,5.248560488005751
lowLevel.barkbands.mean.26,5.1367002995339135
lowLevel.mfcc.stdev.8,5.013299022148203
lowLevel.sccoeffs.mean.2,4.963242713158252
lowLevel.scvalleys.stdev.2,4.553654475243093
lowLevel.spectral_spread.mean,4.529077653525746
lowLevel.barkbands.stdev.9,4.351737826453245
lowLevel.spectral_energyband_high.stdev,4.312972057457955
lowLevel.mfcc.stdev.0,4.0468040326686605
lowLevel.barkbands.stdev.25,3.9576820070051326
lowLevel.barkbands.stdev.12,3.8102646940860723
lowLevel.sccoeffs.mean.4,3.7917107451758056
lowLevel.mfcc.stdev.9,3.6969081767001626
lowLevel.mfcc.stdev.10,3.5331238450198725
lowLevel.spectral_kurtosis.stdev,3.4669738936427166
lowLevel.scvalleys.stdev.1,3.465344018975884
lowLevel.barkbands.mean.25,3.334752452772591
lowLevel.barkbands.mean.11,3.1759744779810717
lowLevel.barkbands.mean.17,3.0313315061066533
lowLevel.scvalleys.stdev.3,2.998062590129848
lowLevel.spectral_kurtosis.mean,2.942721146187978
lowLevel.zerocrossingrate.stdev,2.885062593344628
lowLevel.spectral_decrease.mean,2.8337928277323954
lowLevel.barkbands.mean.5,2.6227477307584195
lowLevel.barkbands.stdev.10,2.493007322500489
lowLevel.spectral_energyband_high.mean,2.4895170929739834
lowLevel.spectral_flux.mean,2.467094657215057
lowLevel.barkbands.mean.10,2.4347340828899178
lowLevel.mfcc.stdev.11,2.417348799848696
lowLevel.scvalleys.mean.5,2.1438830769402557
lowLevel.barkbands.mean.4,2.1095666408891702
lowLevel.barkbands.mean.12,2.0530685750718476
lowLevel.spectral_centroid.mean,1.9948595949208539
lowLevel.mfcc.mean.3,1.8735787592231645
lowLevel.sccoeffs.mean.3,1.84209183236635
lowLevel.spectral_rolloff.stdev,1.7329807209207502
lowLevel.sccoeffs.mean.5,1.7279121882020263
lowLevel.barkbands.mean.16,1.6601571970022633
lowLevel.mfcc.stdev.12,1.580137685748923
lowLevel.mfcc.stdev.7,1.55260217776231
lowLevel.spectral_skewness.mean,1.5306165375368437
lowLevel.spectral_rms.mean,1.526047812167235
lowLevel.barkbands.stdev.4,1.4938841620332823
lowLevel.sccoeffs.stdev.3,1.4550781652196747
lowLevel.pitch.mean,1.414750737225404
lowLevel.barkbands.mean.8,1.3858676285635738
lowLevel.spectral_crest.stdev,1.3144047299938393
lowLevel.barkbands.stdev.15,1.3076303313173412
lowLevel.barkbands.mean.19,1.1719906717298727
lowLevel.barkbands.mean.13,1.1270564964670484
lowLevel.scvalleys.stdev.0,1.113355271063483
lowLevel.barkbands.stdev.8,1.104221227553353
lowLevel.pitch.stdev,1.099255368413651
lowLevel.barkbands_spread.stdev,1.02940442353065
lowLevel.barkbands.stdev.11,1.0233338843972888
lowLevel.barkbands.stdev.19,1.022328641214699
lowLevel.spectral_rolloff.mean,0.9603855408749951
lowLevel.scvalleys.stdev.5,0.959926280847867
lowLevel.barkbands.stdev.21,0.9584747727785725
lowLevel.mfcc.mean.0,0.9379578627322189
lowLevel.barkbands.mean.6,0.8490611434754101
lowLevel.barkbands.mean.24,0.8377106355910655
lowLevel.mfcc.mean.7,0.8358312802338332
lowLevel.scvalleys.mean.4,0.8340764207532629
sfx.tristimulus.stdev.0,0.8196962561887631
sfx.oddtoevenharmonicenergyratio.stdev,0.7690140595041157
lowLevel.silence_rate_60dB.stdev,0.7533382719320798
lowLevel.mfcc.stdev.6,0.7491628897514602
lowLevel.mfcc.mean.8,0.7457902315436513
lowLevel.barkbands.stdev.5,0.7247282555545098
lowLevel.sccoeffs.stdev.1,0.721163112699287
lowLevel.barkbands.mean.20,0.7189757628439111
lowLevel.barkbands.mean.9,0.7130594965219643
lowLevel.pitch_instantaneous_confidence.mean,0.7109048423681088
lowLevel.barkbands.mean.7,0.6944807284689887
lowLevel.barkbands.stdev.3,0.664490091308835
lowLevel.pitch_salience.stdev,0.635363750921897
lowLevel.pitch_salience.mean,0.61153220905544
lowLevel.spectral_decrease.stdev,0.6079583882619772
lowLevel.barkbands.mean.22,0.5855020027902356
lowLevel.mfcc.stdev.4,0.5829673543048557
lowLevel.sccoeffs.stdev.5,0.5829066376554692
lowLevel.scvalleys.mean.1,0.5820559066378337
lowLevel.scvalleys.mean.2,0.5699778921698453
lowLevel.barkbands.mean.3,0.5568310729449877
lowLevel.mfcc.mean.9,0.5542095135951968
sfx.tristimulus.stdev.1,0.5450752862307127
lowLevel.mfcc.stdev.5,0.5445301117451891
lowLevel.barkbands.mean.0,0.5418304091908794
sfx.inharmonicity.stdev,0.5384874339706585
lowLevel.barkbands.stdev.24,0.5304336721983418
sfx.tristimulus.mean.1,0.5231977710973297
lowLevel.barkbands_skewness.stdev,0.5183493287222518
lowLevel.spectral_spread.stdev,0.5177514706992952
lowLevel.mfcc.stdev.1,0.5090417929186515
lowLevel.barkbands.stdev.17,0.5022885576981935
sfx.oddtoevenharmonicenergyratio.mean,0.5020767476689798
lowLevel.dissonance.stdev,0.49998264197347453
lowLevel.sccoeffs.mean.1,0.4854893363590236
sfx.inharmonicity.mean,0.47833348404856224
