,importance
lowLevel.hfc.mean,978.5488156816108
lowLevel.spectral_energy.mean,141.24143600116804
lowLevel.spectral_complexity.stdev,101.07624765264336
lowLevel.hfc.stdev,100.8165708144661
lowLevel.spectral_energyband_middle_high.mean,91.83030749927275
lowLevel.spectral_energyband_middle_high.stdev,28.579737837426364
lowLevel.spectral_complexity.mean,23.574604827468647
lowLevel.barkbands.mean.12,8.681427275761962
lowLevel.silence_rate_60dB.mean,8.402650438481942
lowLevel.barkbands.stdev.11,5.448887118021958
lowLevel.barkbands.mean.16,4.782512303354451
lowLevel.spectral_strongpeak.mean,4.750897408463061
lowLevel.spectral_energy.stdev,4.374258158146404
lowLevel.barkbands.stdev.8,4.079338857263792
lowLevel.barkbands.stdev.12,3.304479123093188
lowLevel.spectral_energyband_middle_low.mean,2.9451124357547087
lowLevel.barkbands.mean.26,2.7874221727834083
lowLevel.barkbands.mean.9,2.6166705954819918
lowLevel.mfcc.mean.0,2.3680456993170083
lowLevel.barkbands.stdev.6,2.2260463145366884
lowLevel.spectral_energyband_middle_low.stdev,2.0898715317825918
lowLevel.spectral_flux.mean,1.837624944979325
lowLevel.spectral_strongpeak.stdev,1.6899542906321585
lowLevel.barkbands.mean.8,1.5332205513259396
lowLevel.spectral_energyband_high.mean,1.5166352284140885
lowLevel.barkbands.mean.13,1.0608681068988517
lowLevel.barkbands.stdev.9,1.0318741770461202
lowLevel.spectral_rms.mean,1.0293569139903411
lowLevel.barkbands.mean.17,0.9871815709630027
lowLevel.pitch_instantaneous_confidence.stdev,0.8672919280943461
lowLevel.barkbands.mean.25,0.7863126530137379
lowLevel.barkbands.stdev.26,0.7275753261055797
lowLevel.barkbands.mean.23,0.589818884152919
lowLevel.barkbands.mean.11,0.5794768603518605
lowLevel.mfcc.stdev.0,0.5505574992857873
sfx.tristimulus.stdev.0,0.5260021173162386
lowLevel.mfcc.stdev.8,0.5027753334143199
lowLevel.mfcc.stdev.10,0.4652719208970666
sfx.tristimulus.stdev.1,0.4571779527468607
lowLevel.scvalleys.mean.2,0.42203400540165603
lowLevel.mfcc.stdev.9,0.3885712157934904
lowLevel.barkbands.mean.22,0.3659956961637363
lowLevel.barkbands.stdev.25,0.3646629024296999
lowLevel.barkbands.stdev.0,0.34887900203466415
lowLevel.sccoeffs.mean.1,0.33541337749920785
lowLevel.spectral_spread.mean,0.3241728434804827
lowLevel.sccoeffs.stdev.2,0.30393396025465336
lowLevel.barkbands.mean.7,0.2594376596953225
lowLevel.spectral_centroid.mean,0.24527839943766594
lowLevel.barkbands.mean.2,0.2313772002235055
lowLevel.barkbands.mean.5,0.22970136502408423
sfx.oddtoevenharmonicenergyratio.stdev,0.2177286923979409
lowLevel.barkbands.stdev.14,0.2158305048942566
lowLevel.mfcc.stdev.6,0.21273759752511978
lowLevel.mfcc.stdev.7,0.19634166063042358
lowLevel.barkbands.mean.24,0.19611784955486655
lowLevel.barkbands.mean.15,0.17436105574597605
lowLevel.scvalleys.stdev.3,0.17149710876401514
lowLevel.barkbands.mean.18,0.15192700026091188
lowLevel.scvalleys.stdev.0,0.14935319870710373
lowLevel.spectral_rolloff.mean,0.13955990225076675
lowLevel.barkbands.stdev.4,0.13885758817195892
lowLevel.sccoeffs.stdev.3,0.13579620352538768
lowLevel.mfcc.mean.5,0.1223669599276036
lowLevel.barkbands.mean.6,0.11825852748006582
lowLevel.mfcc.stdev.11,0.1170771000906825
lowLevel.mfcc.stdev.4,0.11624604696407914
lowLevel.barkbands.mean.3,0.11247937945881858
lowLevel.barkbands.mean.10,0.10535018076188862
sfx.oddtoevenharmonicenergyratio.mean,0.10162287030834705
lowLevel.spectral_rms.stdev,0.10107672028243542
lowLevel.spectral_kurtosis.mean,0.09925569873303175
lowLevel.barkbands.stdev.3,0.09643552539637312
lowLevel.mfcc.stdev.12,0.09480757964774966
lowLevel.spectral_skewness.mean,0.09442310128360987
lowLevel.mfcc.mean.12,0.08638239931315184
lowLevel.mfcc.mean.11,0.08572541968896985
lowLevel.mfcc.stdev.1,0.08120279759168625
lowLevel.sccoeffs.stdev.5,0.07869010046124458
lowLevel.mfcc.mean.3,0.07815610058605671
lowLevel.sccoeffs.mean.2,0.07739103340281872
lowLevel.barkbands.stdev.7,0.07580812810920179
lowLevel.barkbands.stdev.17,0.07461750134825706
lowLevel.barkbands.stdev.5,0.07307898171711713
lowLevel.sccoeffs.mean.5,0.07245046948082745
lowLevel.mfcc.mean.8,0.07076253020204604
lowLevel.barkbands.mean.14,0.06562269778805785
lowLevel.spectral_crest.stdev,0.06536410143598914
lowLevel.barkbands.stdev.19,0.06044406883302145
lowLevel.scvalleys.mean.5,0.06015636934898794
lowLevel.sccoeffs.mean.3,0.059684860054403543
lowLevel.spectral_crest.mean,0.058812969364225864
lowLevel.barkbands.mean.4,0.05783124688605312
lowLevel.scvalleys.stdev.1,0.056226300075650215
lowLevel.barkbands.mean.19,0.05596687698198366
sfx.tristimulus.stdev.2,0.05207713879644871
lowLevel.barkbands.stdev.10,0.04986249647845398
lowLevel.barkbands_kurtosis.stdev,0.04923880100250244
lowLevel.scvalleys.stdev.2,0.044873399659991264
lowLevel.barkbands.stdev.13,0.043770061107352376
lowLevel.spectral_flatness_db.stdev,0.03964650968555361
lowLevel.scvalleys.mean.1,0.03678219951689243
lowLevel.barkbands_spread.stdev,0.03556136984843761
lowLevel.barkbands_skewness.stdev,0.035512050439137965
lowLevel.pitch_salience.mean,0.03547776979394257
lowLevel.mfcc.mean.10,0.03527543926611543
lowLevel.mfcc.mean.6,0.03276100009679794
lowLevel.mfcc.mean.2,0.032670189160853624
lowLevel.silence_rate_60dB.stdev,0.03105991962365806
lowLevel.barkbands.mean.21,0.030503200367093086
lowLevel.scvalleys.mean.3,0.030302693136036396
lowLevel.spectral_decrease.stdev,0.029434419935569167
lowLevel.spectral_energyband_high.stdev,0.02713877527276054
lowLevel.barkbands.mean.20,0.025528989965096116
lowLevel.barkbands.stdev.23,0.024005020270124078
lowLevel.barkbands.stdev.15,0.021953239920549095
lowLevel.pitch.mean,0.019812200218439102
lowLevel.spectral_decrease.mean,0.018139929976314306
lowLevel.sccoeffs.mean.4,0.017033100128173828
lowLevel.zerocrossingrate.mean,0.01682019978761673
lowLevel.sccoeffs.stdev.1,0.016395130194723606
lowLevel.scvalleys.mean.0,0.015849649906158447
lowLevel.scvalleys.stdev.5,0.015827800147235394
lowLevel.barkbands.stdev.16,0.013194269209634513
lowLevel.barkbands.stdev.18,0.012878523673862219
lowLevel.barkbands.stdev.22,0.007840862017474137
lowLevel.scvalleys.mean.4,0.005417759995907545
lowLevel.spectral_flux.stdev,0.004696719814091921
lowLevel.barkbands.stdev.2,0.0025690000038594007
lowLevel.mfcc.mean.4,0.0006425330066122115
lowLevel.scvalleys.stdev.4,0.0005930319894105196
lowLevel.spectral_kurtosis.stdev,0.0
lowLevel.barkbands.stdev.20,0.0
lowLevel.barkbands.stdev.21,0.0
sfx.tristimulus.mean.2,0.0
lowLevel.zerocrossingrate.stdev,0.0
lowLevel.spectral_rolloff.stdev,0.0
sfx.inharmonicity.mean,0.0
sfx.tristimulus.mean.1,0.0
sfx.tristimulus.mean.0,0.0
lowLevel.barkbands.stdev.1,0.0
lowLevel.spectral_spread.stdev,0.0
sfx.inharmonicity.stdev,0.0
lowLevel.spectral_skewness.stdev,0.0
lowLevel.sccoeffs.mean.0,0.0
lowLevel.spectral_flatness_db.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.pitch_instantaneous_confidence.mean,0.0
lowLevel.pitch.stdev,0.0
lowLevel.sccoeffs.stdev.0,0.0
lowLevel.barkbands.mean.1,0.0
lowLevel.sccoeffs.stdev.4,0.0
lowLevel.mfcc.stdev.5,0.0
lowLevel.mfcc.stdev.3,0.0
lowLevel.mfcc.stdev.2,0.0
lowLevel.mfcc.mean.9,0.0
lowLevel.mfcc.mean.7,0.0
lowLevel.silence_rate_20dB.mean,0.0
lowLevel.silence_rate_30dB.mean,0.0
lowLevel.barkbands.stdev.24,0.0
lowLevel.silence_rate_30dB.stdev,0.0
lowLevel.spectral_centroid.stdev,0.0
lowLevel.mfcc.mean.1,0.0
lowLevel.dissonance.stdev,0.0
lowLevel.dissonance.mean,0.0
lowLevel.pitch_salience.stdev,0.0
lowLevel.barkbands_spread.mean,0.0
lowLevel.spectral_energyband_low.mean,0.0
lowLevel.spectral_energyband_low.stdev,0.0
lowLevel.barkbands_skewness.mean,0.0
lowLevel.barkbands_kurtosis.mean,0.0
lowLevel.barkbands.mean.0,0.0
