,importance
lowLevel.spectral_energyband_middle_high.mean,42.27953635523588
lowLevel.hfc.mean,32.83434866043666
lowLevel.barkbands.mean.18,31.241284291920728
lowLevel.barkbands.mean.15,12.509034903358952
lowLevel.barkbands.stdev.4,11.614666599472798
lowLevel.spectral_complexity.mean,8.409755464481492
lowLevel.mfcc.stdev.10,7.0638256914669455
lowLevel.barkbands.mean.17,6.314799554426827
lowLevel.mfcc.stdev.9,6.170026170975689
lowLevel.spectral_energyband_middle_low.mean,5.543182227492252
lowLevel.hfc.stdev,5.464109862113986
lowLevel.spectral_energyband_middle_high.stdev,5.260712323762988
lowLevel.sccoeffs.mean.3,4.616224554091332
lowLevel.barkbands.mean.5,4.568238035509125
lowLevel.spectral_strongpeak.stdev,4.353234863203397
lowLevel.spectral_strongpeak.mean,4.32585207168313
lowLevel.barkbands.stdev.15,4.2975901531756335
lowLevel.spectral_energyband_middle_low.stdev,4.168929984213516
lowLevel.barkbands.mean.16,4.051819017552134
lowLevel.mfcc.stdev.11,3.934651028045664
lowLevel.mfcc.stdev.8,3.745682364098286
lowLevel.barkbands.stdev.5,3.5666417655181135
lowLevel.sccoeffs.mean.5,3.0293640818910887
lowLevel.barkbands.mean.9,2.9500014306754565
lowLevel.mfcc.stdev.12,2.752634322406682
lowLevel.spectral_energyband_high.mean,2.7169288941404375
lowLevel.barkbands.mean.23,2.6391238711179597
lowLevel.mfcc.mean.0,2.5597229087434243
lowLevel.barkbands.mean.20,1.9415416252932118
lowLevel.sccoeffs.mean.4,1.9369523707444003
lowLevel.barkbands.mean.22,1.842262209924229
lowLevel.spectral_complexity.stdev,1.8409462850040832
lowLevel.mfcc.stdev.7,1.7001609416835208
lowLevel.barkbands.mean.24,1.6921267174516288
lowLevel.mfcc.stdev.5,1.6432389664919356
lowLevel.barkbands.mean.21,1.6266418448867626
lowLevel.spectral_energy.mean,1.5923665353257093
lowLevel.scvalleys.mean.5,1.401222175740834
lowLevel.barkbands.mean.10,1.216727505410006
lowLevel.silence_rate_60dB.mean,1.101657617188014
lowLevel.sccoeffs.mean.2,1.0792722923339397
lowLevel.barkbands.mean.14,1.0248037346636567
lowLevel.scvalleys.mean.4,1.0057396139090002
lowLevel.barkbands.mean.8,1.0052283828637485
lowLevel.spectral_rms.stdev,0.9957146687863769
lowLevel.spectral_rms.mean,0.919715498816359
lowLevel.barkbands.mean.3,0.8818020271646674
lowLevel.pitch_instantaneous_confidence.stdev,0.8323841073177505
lowLevel.barkbands.stdev.22,0.7788710817690117
lowLevel.barkbands.mean.2,0.7614007258810069
lowLevel.scvalleys.stdev.3,0.7556118480360965
lowLevel.spectral_energy.stdev,0.6913418264284701
lowLevel.barkbands.mean.7,0.6906135125374249
lowLevel.barkbands.stdev.14,0.6822020216523015
lowLevel.barkbands.mean.19,0.6762493486771746
lowLevel.barkbands.mean.11,0.6545785225653162
lowLevel.spectral_spread.mean,0.5941133284530906
lowLevel.barkbands.stdev.8,0.586265204230699
lowLevel.mfcc.stdev.0,0.5781891855257015
lowLevel.scvalleys.stdev.1,0.5767672499048189
lowLevel.spectral_crest.stdev,0.5711871749121258
lowLevel.barkbands.mean.26,0.567401420939575
lowLevel.scvalleys.stdev.4,0.5585009254627522
lowLevel.barkbands.stdev.12,0.5557250159420164
lowLevel.sccoeffs.mean.1,0.5529371798349985
lowLevel.barkbands.mean.6,0.5470293566729652
lowLevel.barkbands.stdev.9,0.5344055191171151
lowLevel.scvalleys.mean.3,0.5170758327444673
lowLevel.scvalleys.stdev.2,0.5110860948916525
sfx.tristimulus.stdev.1,0.5001270496346386
lowLevel.barkbands.stdev.24,0.4890257552837056
lowLevel.scvalleys.stdev.5,0.48832579319650904
lowLevel.spectral_flux.mean,0.46054827216079186
lowLevel.spectral_kurtosis.mean,0.4560038022031989
lowLevel.mfcc.mean.8,0.4513280880681876
lowLevel.scvalleys.mean.2,0.45089396733018816
lowLevel.mfcc.stdev.3,0.43469156918479257
lowLevel.barkbands.stdev.6,0.4265059971047549
lowLevel.pitch_instantaneous_confidence.mean,0.42146603958969453
lowLevel.barkbands.stdev.21,0.40728829407713363
lowLevel.spectral_decrease.mean,0.4019632822719359
lowLevel.barkbands.stdev.26,0.39617851648015545
lowLevel.barkbands.mean.25,0.39242981413826783
lowLevel.scvalleys.stdev.0,0.3800938829199936
lowLevel.barkbands.stdev.17,0.3555643629573524
lowLevel.barkbands.stdev.25,0.3519272105386335
lowLevel.barkbands.stdev.13,0.3493077937204577
lowLevel.barkbands.stdev.18,0.33251725372849705
lowLevel.mfcc.stdev.4,0.3185637603228315
sfx.tristimulus.stdev.2,0.3159765902983054
lowLevel.pitch_salience.stdev,0.31217043570904934
lowLevel.barkbands.stdev.11,0.2932142371171267
lowLevel.spectral_flatness_db.stdev,0.29134874431315794
lowLevel.silence_rate_60dB.stdev,0.28987003003055634
lowLevel.spectral_energyband_high.stdev,0.28355469635607733
lowLevel.spectral_flux.stdev,0.2825193389873135
lowLevel.barkbands.mean.12,0.2752153733781597
lowLevel.barkbands.mean.13,0.2747131836867993
lowLevel.mfcc.mean.7,0.27342779966787134
lowLevel.spectral_skewness.stdev,0.2598424758135742
lowLevel.sccoeffs.stdev.4,0.25131867936988783
lowLevel.zerocrossingrate.mean,0.24984021677482815
lowLevel.barkbands.stdev.20,0.2461051875406497
sfx.tristimulus.mean.1,0.2355972413248253
lowLevel.spectral_skewness.mean,0.23508308410760037
lowLevel.barkbands.stdev.16,0.22882385964792556
lowLevel.pitch_salience.mean,0.22497947280004382
lowLevel.spectral_spread.stdev,0.22051985316193168
lowLevel.barkbands_skewness.mean,0.2191925053393362
sfx.oddtoevenharmonicenergyratio.stdev,0.21798798533995978
lowLevel.spectral_centroid.stdev,0.2160927843456193
lowLevel.spectral_rolloff.stdev,0.20788024821740692
lowLevel.zerocrossingrate.stdev,0.20392024236702277
lowLevel.mfcc.stdev.6,0.20318303278890326
lowLevel.barkbands.stdev.2,0.20050193274255435
sfx.oddtoevenharmonicenergyratio.mean,0.1907437433450525
lowLevel.mfcc.stdev.2,0.18800482201566737
lowLevel.spectral_energyband_low.mean,0.1876844984831223
lowLevel.mfcc.mean.3,0.18347924190186404
lowLevel.barkbands.stdev.7,0.1827921456306285
lowLevel.spectral_flatness_db.mean,0.1817196023773704
lowLevel.spectral_kurtosis.stdev,0.17663327673131768
lowLevel.sccoeffs.stdev.2,0.1739496749411913
sfx.tristimulus.stdev.0,0.16339766776303577
lowLevel.pitch.mean,0.16181794804253968
lowLevel.barkbands.stdev.10,0.15959625808977762
lowLevel.dissonance.stdev,0.15531948013062902
lowLevel.mfcc.mean.12,0.15434494149012024
lowLevel.barkbands.mean.4,0.15251160292756083
lowLevel.barkbands.stdev.19,0.15124514888850626
lowLevel.spectral_energyband_low.stdev,0.13408792341860298
lowLevel.barkbands_kurtosis.stdev,0.13286014260958012
lowLevel.barkbands_spread.mean,0.13274422860126833
lowLevel.barkbands.mean.0,0.12189733585319118
sfx.inharmonicity.mean,0.11774407891481786
lowLevel.mfcc.mean.9,0.11699310434494237
lowLevel.mfcc.mean.10,0.11695562821068961
lowLevel.scvalleys.mean.0,0.11654194475522672
lowLevel.barkbands.stdev.3,0.11359497257788576
lowLevel.mfcc.mean.11,0.1118649192696406
lowLevel.mfcc.mean.4,0.10512129811996829
sfx.tristimulus.mean.2,0.10189585046646243
lowLevel.mfcc.mean.1,0.0996109769071154
sfx.inharmonicity.stdev,0.09890235123704372
lowLevel.spectral_rolloff.mean,0.09804018260911107
lowLevel.spectral_decrease.stdev,0.09540376223594649
lowLevel.sccoeffs.stdev.0,0.09372280199295346
lowLevel.sccoeffs.stdev.3,0.09336223143395728
lowLevel.mfcc.mean.6,0.09057487435211442
lowLevel.spectral_centroid.mean,0.08825925968994852
lowLevel.barkbands.stdev.23,0.08631206283416759
lowLevel.barkbands_skewness.stdev,0.08625109670538222
lowLevel.barkbands_kurtosis.mean,0.08364050795319145
lowLevel.dissonance.mean,0.07701952390553402
lowLevel.barkbands_spread.stdev,0.0738070723691635
lowLevel.sccoeffs.stdev.1,0.07138630352712427
lowLevel.barkbands.stdev.1,0.0700511714348977
lowLevel.mfcc.mean.2,0.0697961282585311
lowLevel.sccoeffs.mean.0,0.06494240417669062
lowLevel.scvalleys.mean.1,0.06439248665753539
lowLevel.pitch.stdev,0.06315548521342862
lowLevel.barkbands.mean.1,0.06297313976483565
lowLevel.mfcc.mean.5,0.06023725942878899
sfx.tristimulus.mean.0,0.05913999260712455
lowLevel.mfcc.stdev.1,0.05643664882047972
lowLevel.barkbands.stdev.0,0.05565101723959742
lowLevel.sccoeffs.stdev.5,0.03845733661408879
lowLevel.spectral_crest.mean,0.03126533258182462
lowLevel.silence_rate_30dB.stdev,0.0026210100622847676
lowLevel.silence_rate_30dB.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_20dB.mean,0.0
