,importance
lowLevel.hfc.mean,1691.1718401574715
lowLevel.spectral_energyband_middle_high.stdev,493.7087473869324
lowLevel.spectral_energyband_middle_high.mean,174.88371545629343
lowLevel.spectral_rms.mean,73.1171881055941
lowLevel.spectral_strongpeak.mean,51.22089891397627
lowLevel.hfc.stdev,40.80083991985157
lowLevel.sccoeffs.mean.3,20.609113652608357
lowLevel.mfcc.mean.0,18.498279922641814
lowLevel.barkbands.mean.17,14.826363933825633
lowLevel.barkbands.mean.15,14.75872960779816
lowLevel.barkbands.stdev.11,13.678620790538844
lowLevel.spectral_complexity.mean,11.129407001393702
lowLevel.barkbands.mean.18,8.62094330531545
lowLevel.barkbands.mean.21,6.729440212249756
lowLevel.barkbands.mean.11,5.169909309130162
lowLevel.sccoeffs.mean.2,4.48073653607014
lowLevel.spectral_energyband_high.mean,4.05266847461462
lowLevel.barkbands.mean.8,3.785249948501587
lowLevel.barkbands.stdev.8,3.375418573152274
lowLevel.barkbands.mean.12,2.7628913978114724
lowLevel.barkbands.stdev.9,2.7221220936626196
lowLevel.spectral_energy.mean,2.341000222135335
lowLevel.barkbands.mean.24,1.4046804674435407
lowLevel.spectral_energyband_middle_low.mean,1.2396694485796615
lowLevel.barkbands.mean.14,0.8701014266116545
lowLevel.barkbands.mean.22,0.8029762902588118
lowLevel.sccoeffs.mean.1,0.7202320580836385
sfx.tristimulus.mean.2,0.6547556912410073
lowLevel.scvalleys.mean.5,0.6195930123794824
lowLevel.barkbands.mean.23,0.5187366725031097
lowLevel.spectral_strongpeak.stdev,0.504985440056771
lowLevel.barkbands.mean.13,0.4049266991071363
lowLevel.barkbands.mean.19,0.385751426249044
lowLevel.dissonance.mean,0.38424801535438746
lowLevel.mfcc.mean.5,0.3722234131710138
lowLevel.pitch_instantaneous_confidence.mean,0.3470644078333862
sfx.tristimulus.stdev.2,0.2726159418671159
lowLevel.barkbands.stdev.6,0.24399687023833394
lowLevel.barkbands.stdev.7,0.24167535567539744
lowLevel.sccoeffs.mean.5,0.2383069415045611
lowLevel.spectral_flux.mean,0.21215147525072098
lowLevel.sccoeffs.stdev.2,0.19049790612552897
lowLevel.mfcc.stdev.6,0.1883019321203392
lowLevel.zerocrossingrate.stdev,0.1410001190379262
lowLevel.barkbands.mean.26,0.13766740961000323
lowLevel.zerocrossingrate.mean,0.13412147973849642
lowLevel.spectral_centroid.mean,0.1294446090804513
lowLevel.silence_rate_60dB.mean,0.12737437355099246
lowLevel.barkbands.mean.6,0.11738075828179717
lowLevel.spectral_flatness_db.stdev,0.1169744711369276
lowLevel.barkbands.stdev.24,0.11442009417805821
lowLevel.barkbands.mean.16,0.10494459792971611
lowLevel.scvalleys.mean.4,0.10446319775655866
lowLevel.barkbands.stdev.25,0.10335598234087229
lowLevel.mfcc.mean.6,0.09578470140695572
lowLevel.scvalleys.stdev.4,0.09560219757258892
lowLevel.barkbands.stdev.17,0.0858159608906135
lowLevel.mfcc.stdev.12,0.08374714897945523
lowLevel.mfcc.mean.1,0.08174854912795126
lowLevel.sccoeffs.stdev.3,0.08134835440432653
lowLevel.silence_rate_60dB.stdev,0.07211278984323144
lowLevel.barkbands.stdev.23,0.06875438988208771
lowLevel.spectral_energy.stdev,0.0614606998860836
lowLevel.barkbands.mean.25,0.05694488593144342
lowLevel.spectral_energyband_middle_low.stdev,0.0554591047912254
lowLevel.spectral_energyband_low.mean,0.055143910460174084
lowLevel.spectral_crest.stdev,0.05443263007327914
lowLevel.spectral_centroid.stdev,0.0536264309193939
lowLevel.dissonance.stdev,0.05135041038738564
lowLevel.pitch_salience.stdev,0.049908519722521305
lowLevel.spectral_spread.stdev,0.04754601881779763
lowLevel.mfcc.mean.12,0.04528399559785612
lowLevel.scvalleys.stdev.3,0.03589677042327821
lowLevel.mfcc.mean.3,0.0353612205403806
sfx.tristimulus.stdev.1,0.03513929690234363
lowLevel.mfcc.stdev.1,0.0349865909665823
lowLevel.spectral_skewness.mean,0.03386844256601762
lowLevel.scvalleys.mean.3,0.033754989970475435
lowLevel.mfcc.stdev.4,0.033320029149763286
lowLevel.barkbands.stdev.18,0.03201724153768737
lowLevel.pitch.mean,0.028920980636030436
lowLevel.mfcc.mean.10,0.0279724387510214
sfx.inharmonicity.mean,0.027393009964725934
lowLevel.mfcc.stdev.8,0.026284678802767303
lowLevel.sccoeffs.stdev.5,0.026282689068466425
lowLevel.mfcc.mean.8,0.02529081527609378
lowLevel.barkbands.mean.2,0.024717040359973907
lowLevel.barkbands_spread.stdev,0.024001600220799446
lowLevel.barkbands_skewness.stdev,0.02366566052660346
lowLevel.mfcc.stdev.0,0.02201837982283905
lowLevel.mfcc.stdev.10,0.019964050501585007
lowLevel.mfcc.mean.11,0.01988689973950386
lowLevel.spectral_kurtosis.mean,0.019773486838175813
lowLevel.spectral_flux.stdev,0.0194963508984074
sfx.inharmonicity.stdev,0.01681803134721349
lowLevel.mfcc.stdev.5,0.01649507847650966
lowLevel.mfcc.stdev.7,0.015549979987554252
sfx.tristimulus.mean.0,0.01549048931337893
sfx.tristimulus.stdev.0,0.014932000078260899
lowLevel.barkbands.stdev.15,0.01468118978664279
lowLevel.sccoeffs.stdev.4,0.013648115971591324
lowLevel.mfcc.stdev.11,0.013600319623947144
lowLevel.spectral_rolloff.stdev,0.013564000139012933
lowLevel.spectral_decrease.mean,0.012994378164876252
lowLevel.mfcc.mean.7,0.012561799958348274
lowLevel.spectral_rolloff.mean,0.012008876161416993
lowLevel.spectral_flatness_db.mean,0.011947100050747395
lowLevel.barkbands.stdev.13,0.011855467862915248
lowLevel.mfcc.stdev.3,0.011476980056613684
lowLevel.sccoeffs.mean.4,0.01136757992208004
lowLevel.mfcc.mean.9,0.010774786984256934
lowLevel.barkbands_kurtosis.mean,0.010443800128996372
lowLevel.spectral_rms.stdev,0.009493190329521894
lowLevel.mfcc.stdev.2,0.008726480416953564
lowLevel.spectral_complexity.stdev,0.008449360262602568
lowLevel.pitch.stdev,0.00839175982400775
lowLevel.spectral_kurtosis.stdev,0.008315684830449754
lowLevel.scvalleys.stdev.0,0.008301280438899994
lowLevel.scvalleys.mean.0,0.008036090061068535
lowLevel.scvalleys.stdev.2,0.008023098111152649
lowLevel.mfcc.mean.4,0.007970627630129457
sfx.oddtoevenharmonicenergyratio.stdev,0.007370159961283207
lowLevel.scvalleys.mean.2,0.0072814300656318665
lowLevel.barkbands.stdev.4,0.007182329893112183
lowLevel.barkbands.mean.3,0.006885250099003315
lowLevel.sccoeffs.stdev.1,0.006840836926130578
lowLevel.spectral_decrease.stdev,0.005765790119767189
lowLevel.mfcc.stdev.9,0.005321130156517029
lowLevel.barkbands_kurtosis.stdev,0.005279679782688618
lowLevel.barkbands.stdev.12,0.004916100164336967
lowLevel.barkbands.stdev.19,0.004314217891078442
lowLevel.barkbands.stdev.20,0.003417219966650009
lowLevel.spectral_skewness.stdev,0.0032185600139200687
lowLevel.barkbands.stdev.26,0.0022188607836142182
lowLevel.barkbands.mean.10,0.0020999799016863108
lowLevel.barkbands.stdev.14,0.00196835002861917
