,importance
lowLevel.spectral_strongpeak.mean,4390025130.0
sfx.oddtoevenharmonicenergyratio.stdev,4294302590.0
lowLevel.barkbands_spread.stdev,3703719690.0
lowLevel.mfcc.mean.7,3553587760.0
lowLevel.mfcc.mean.10,3482328860.0
lowLevel.mfcc.stdev.11,3469394170.0
lowLevel.mfcc.stdev.2,3384906310.0
lowLevel.mfcc.mean.5,3260711620.0
lowLevel.mfcc.mean.8,3119355690.0
lowLevel.spectral_strongpeak.stdev,3104834680.0
lowLevel.mfcc.mean.3,3081787500.0
lowLevel.sccoeffs.stdev.3,3062625170.0
lowLevel.pitch_instantaneous_confidence.stdev,2992706010.0
sfx.inharmonicity.mean,2985131950.0
lowLevel.spectral_flatness_db.stdev,2794115500.0
lowLevel.mfcc.mean.6,2726227730.0
lowLevel.sccoeffs.stdev.1,2688617840.0
lowLevel.barkbands_skewness.stdev,2682533480.0
lowLevel.mfcc.stdev.12,2627176200.0
sfx.inharmonicity.stdev,2611639820.0
lowLevel.scvalleys.stdev.5,2582243030.0
lowLevel.sccoeffs.stdev.4,2569368010.0
lowLevel.barkbands_kurtosis.mean,2549418960.0
lowLevel.mfcc.mean.9,2540775340.0
lowLevel.mfcc.mean.11,2513784620.0
lowLevel.mfcc.stdev.7,2504404200.0
lowLevel.barkbands_kurtosis.stdev,2431678290.0
sfx.tristimulus.stdev.1,2427383660.0
lowLevel.sccoeffs.stdev.0,2385502150.0
sfx.oddtoevenharmonicenergyratio.mean,2375342050.0
lowLevel.mfcc.stdev.6,2369573120.0
lowLevel.pitch_salience.mean,2343831160.0
lowLevel.barkbands.stdev.5,2294367490.0
lowLevel.spectral_kurtosis.stdev,2265608000.0
lowLevel.mfcc.stdev.0,2250585110.0
lowLevel.mfcc.stdev.8,2246731290.0
sfx.tristimulus.mean.1,2240026530.0
lowLevel.mfcc.stdev.1,2210328550.0
lowLevel.mfcc.mean.12,2196419610.0
lowLevel.sccoeffs.stdev.5,2186255320.0
lowLevel.pitch_instantaneous_confidence.mean,2179762190.0
lowLevel.spectral_spread.stdev,2172024410.0
lowLevel.mfcc.stdev.9,2168984910.0
lowLevel.sccoeffs.stdev.2,2162414800.0
lowLevel.mfcc.stdev.3,2135386710.0
lowLevel.pitch_salience.stdev,2112387930.0
lowLevel.sccoeffs.mean.5,2112016529.0
lowLevel.mfcc.mean.4,2071396760.0
lowLevel.mfcc.stdev.10,2065732290.0
sfx.tristimulus.stdev.2,2063709020.0
lowLevel.barkbands.mean.25,1976646670.0
lowLevel.pitch.stdev,1882165230.0
lowLevel.barkbands.mean.12,1881424630.0
lowLevel.barkbands.stdev.25,1849296350.0
lowLevel.barkbands.stdev.26,1848056940.0
lowLevel.sccoeffs.mean.3,1822148960.0
lowLevel.mfcc.stdev.4,1791747170.0
sfx.tristimulus.stdev.0,1777707750.0
lowLevel.dissonance.stdev,1748702440.0
lowLevel.scvalleys.stdev.4,1748652990.0
lowLevel.sccoeffs.mean.1,1736142970.0
lowLevel.sccoeffs.mean.0,1724167590.0
lowLevel.mfcc.mean.2,1705815920.0
lowLevel.spectral_skewness.stdev,1683336690.0
lowLevel.pitch.mean,1656101430.0
lowLevel.spectral_kurtosis.mean,1650597180.0
