,importance
lowLevel.silence_rate_60dB.mean,980.4831752423197
lowLevel.spectral_complexity.mean,965.087716916576
lowLevel.spectral_energy.mean,889.9032343709841
lowLevel.hfc.mean,353.9758755341172
lowLevel.spectral_complexity.stdev,171.69938308605924
lowLevel.hfc.stdev,130.15960584534332
lowLevel.spectral_rms.stdev,76.76017174590379
lowLevel.spectral_energyband_middle_low.stdev,72.0610639215447
lowLevel.spectral_energyband_middle_low.mean,71.55400731507689
lowLevel.mfcc.stdev.9,57.32226258702576
lowLevel.spectral_energy.stdev,45.59585937811062
lowLevel.mfcc.stdev.7,41.51139394752681
lowLevel.barkbands.stdev.26,33.748420245945454
lowLevel.mfcc.stdev.8,31.222845048177987
lowLevel.mfcc.stdev.10,30.059878410305828
lowLevel.barkbands.stdev.12,28.49811721406877
lowLevel.barkbands.mean.5,22.405757633969188
lowLevel.pitch_instantaneous_confidence.stdev,21.02467426052317
lowLevel.spectral_kurtosis.stdev,18.968873503617942
lowLevel.spectral_skewness.mean,18.706863287836313
lowLevel.mfcc.stdev.0,18.54086417844519
lowLevel.scvalleys.stdev.3,18.262953581288457
lowLevel.spectral_energyband_middle_high.stdev,18.009336123708636
lowLevel.barkbands.mean.26,17.98389843152836
lowLevel.barkbands.mean.6,14.897492067422718
lowLevel.mfcc.mean.8,13.648364645428956
lowLevel.mfcc.stdev.2,12.182344955857843
lowLevel.mfcc.stdev.12,10.630237003555521
lowLevel.barkbands.mean.7,10.53549363091588
lowLevel.barkbands.stdev.4,10.3133501149714
lowLevel.spectral_spread.mean,9.678539122920483
lowLevel.mfcc.stdev.11,9.613801869563758
lowLevel.spectral_skewness.stdev,9.403239811770618
lowLevel.barkbands.mean.25,8.643022378906608
lowLevel.scvalleys.stdev.4,8.627104999963194
lowLevel.sccoeffs.stdev.2,8.32586815673858
lowLevel.barkbands.mean.21,8.123434944543988
lowLevel.sccoeffs.mean.2,8.09039549017325
lowLevel.barkbands.stdev.8,7.1645389958284795
lowLevel.barkbands.mean.22,6.649389729835093
lowLevel.barkbands.mean.24,6.614347193855792
sfx.tristimulus.stdev.1,6.273876681923866
lowLevel.spectral_kurtosis.mean,6.143504647072405
lowLevel.barkbands.stdev.5,5.885563378687948
lowLevel.mfcc.stdev.5,5.762091483455151
lowLevel.scvalleys.stdev.2,5.756680173799396
lowLevel.barkbands.stdev.3,4.923387779854238
lowLevel.scvalleys.stdev.1,4.767031317111105
lowLevel.pitch.stdev,4.260668985079974
lowLevel.sccoeffs.stdev.5,3.9881533924490213
lowLevel.spectral_flatness_db.stdev,3.879394030198455
lowLevel.barkbands_skewness.mean,3.8498610258102417
lowLevel.scvalleys.stdev.0,3.5714868982322514
lowLevel.barkbands.mean.18,3.432642575353384
lowLevel.spectral_rms.mean,3.367510969750583
lowLevel.barkbands.stdev.7,3.3596225725486875
lowLevel.scvalleys.mean.5,3.242415663320571
lowLevel.barkbands.mean.4,3.2241613096557558
lowLevel.barkbands.mean.3,3.016423271037638
lowLevel.spectral_strongpeak.mean,2.9594791987910867
lowLevel.spectral_decrease.mean,2.905139224603772
lowLevel.barkbands.mean.23,2.5488759230356663
lowLevel.barkbands.stdev.25,2.4750509541481733
lowLevel.mfcc.stdev.4,2.472711121663451
lowLevel.sccoeffs.mean.5,2.471705252304673
lowLevel.mfcc.stdev.6,2.247071393765509
lowLevel.scvalleys.stdev.5,2.213712310884148
lowLevel.spectral_rolloff.mean,2.1408428167924285
lowLevel.spectral_crest.mean,1.9372553648427129
sfx.oddtoevenharmonicenergyratio.stdev,1.931630245409906
lowLevel.zerocrossingrate.mean,1.9046797063201666
sfx.tristimulus.stdev.2,1.897069453727454
lowLevel.barkbands.stdev.10,1.7274805242195725
lowLevel.barkbands.mean.12,1.7216674159280956
lowLevel.pitch_salience.stdev,1.6996763739734888
lowLevel.pitch.mean,1.6995680779218674
lowLevel.spectral_energyband_high.mean,1.5876639746129513
lowLevel.mfcc.mean.12,1.535973456222564
sfx.tristimulus.stdev.0,1.5070507270283997
lowLevel.barkbands_kurtosis.stdev,1.414312039501965
sfx.oddtoevenharmonicenergyratio.mean,1.4029675843194127
lowLevel.barkbands.mean.1,1.325807346496731
lowLevel.sccoeffs.stdev.3,1.2913572923280299
lowLevel.barkbands.stdev.11,1.2770318165421486
lowLevel.mfcc.mean.3,1.27534671430476
lowLevel.sccoeffs.stdev.1,1.2478096140548587
lowLevel.sccoeffs.stdev.4,1.1842990252189338
lowLevel.barkbands.stdev.13,1.1390248080715537
lowLevel.sccoeffs.mean.1,1.1366202551871538
lowLevel.spectral_centroid.stdev,1.0868028700351715
lowLevel.barkbands.stdev.6,0.9780437690205872
lowLevel.barkbands.stdev.21,0.9391584829427302
sfx.tristimulus.mean.1,0.9346513005439192
lowLevel.spectral_crest.stdev,0.9337751902639866
lowLevel.dissonance.stdev,0.8929733198601753
