,importance
lowLevel.barkbands.mean.18,46.04035751333868
lowLevel.barkbands.mean.17,21.856398480638745
lowLevel.hfc.mean,10.693182507566235
lowLevel.spectral_strongpeak.stdev,9.41957040959096
lowLevel.spectral_energyband_middle_high.stdev,8.79883618745589
lowLevel.barkbands.mean.19,7.485319567625993
lowLevel.sccoeffs.mean.4,5.357959256252798
lowLevel.sccoeffs.mean.3,4.398461245262297
lowLevel.barkbands.stdev.3,4.247750697606534
lowLevel.mfcc.stdev.10,3.732120089498494
lowLevel.spectral_strongpeak.mean,3.536303881461208
lowLevel.mfcc.stdev.8,3.451520051181433
lowLevel.mfcc.stdev.12,3.367589855872211
lowLevel.mfcc.stdev.9,2.9649224152381066
lowLevel.spectral_energyband_middle_high.mean,2.8960135681627435
lowLevel.scvalleys.stdev.3,2.407195111445617
lowLevel.barkbands.mean.4,2.24954123191128
lowLevel.mfcc.stdev.7,2.197615983430296
lowLevel.sccoeffs.mean.5,2.0490167944117275
lowLevel.spectral_complexity.mean,1.888785101189569
lowLevel.spectral_spread.mean,1.73863326566061
lowLevel.barkbands.mean.20,1.6437123563373461
lowLevel.barkbands.stdev.4,1.556449427487678
lowLevel.silence_rate_60dB.mean,1.3141543804085813
lowLevel.silence_rate_60dB.stdev,1.2895958671870176
lowLevel.scvalleys.stdev.4,1.2130773706740001
lowLevel.spectral_kurtosis.mean,1.1799168754878337
lowLevel.sccoeffs.mean.2,0.9362575404011295
lowLevel.mfcc.stdev.0,0.9124577796028461
lowLevel.barkbands.mean.26,0.8621483163369703
lowLevel.mfcc.stdev.11,0.8181495743774576
lowLevel.spectral_energyband_high.mean,0.8125209981881198
lowLevel.pitch_instantaneous_confidence.stdev,0.7484150256350404
lowLevel.mfcc.mean.8,0.7401459326283657
lowLevel.scvalleys.mean.5,0.7342638657282805
sfx.tristimulus.stdev.1,0.6814113723885384
lowLevel.barkbands.mean.3,0.6694384000002174
lowLevel.spectral_kurtosis.stdev,0.648015674596536
lowLevel.spectral_complexity.stdev,0.6082990950380918
lowLevel.barkbands.mean.22,0.5909476641609217
lowLevel.barkbands.mean.10,0.5770479354687268
lowLevel.hfc.stdev,0.5762246010417584
lowLevel.spectral_skewness.stdev,0.5591220508431434
lowLevel.zerocrossingrate.stdev,0.508744190701691
lowLevel.mfcc.stdev.2,0.47722438600612804
lowLevel.mfcc.mean.0,0.47570155432185857
lowLevel.mfcc.stdev.5,0.4656312751103542
lowLevel.scvalleys.mean.2,0.4338614273656276
lowLevel.scvalleys.stdev.0,0.42852804666472366
lowLevel.scvalleys.mean.4,0.38826775160850957
lowLevel.scvalleys.stdev.2,0.37487604160560295
lowLevel.pitch.mean,0.37344279570970684
lowLevel.barkbands.mean.21,0.3540607959366753
lowLevel.barkbands.stdev.5,0.35259940343530616
lowLevel.scvalleys.stdev.1,0.34882894801557995
lowLevel.scvalleys.stdev.5,0.33362358453450724
lowLevel.barkbands.mean.25,0.32743900231434964
lowLevel.sccoeffs.stdev.2,0.3180402158686775
lowLevel.pitch_instantaneous_confidence.mean,0.31738009734544903
lowLevel.barkbands.stdev.16,0.30491194202477345
lowLevel.mfcc.mean.3,0.298746717380709
lowLevel.spectral_rolloff.stdev,0.29814876949967584
lowLevel.barkbands.mean.16,0.2977439527894603
lowLevel.barkbands.mean.15,0.293429004974314
lowLevel.barkbands.stdev.11,0.2866090203897329
lowLevel.spectral_rms.mean,0.2842072019848274
lowLevel.mfcc.mean.6,0.2775028531541466
lowLevel.scvalleys.mean.3,0.2714418417890556
lowLevel.mfcc.stdev.3,0.26336247649305733
lowLevel.barkbands.stdev.9,0.2597619861771818
lowLevel.spectral_energyband_middle_low.stdev,0.2555950364549062
lowLevel.spectral_energyband_middle_low.mean,0.25326119842065964
lowLevel.spectral_energyband_high.stdev,0.250487052675453
lowLevel.barkbands.mean.5,0.24961131314921658
lowLevel.barkbands.stdev.1,0.2488287018131814
lowLevel.barkbands.mean.11,0.24278824783687014
lowLevel.barkbands.mean.23,0.2374372886697529
lowLevel.spectral_centroid.stdev,0.20963381988258334
lowLevel.barkbands.stdev.26,0.20923949350617477
lowLevel.spectral_decrease.mean,0.20710398447408807
lowLevel.mfcc.mean.7,0.20451302499714075
lowLevel.barkbands_spread.mean,0.20333197680156445
lowLevel.mfcc.stdev.1,0.20311854963438236
lowLevel.barkbands.mean.24,0.19552511058645905
lowLevel.barkbands.mean.9,0.19492042597266845
lowLevel.barkbands.stdev.21,0.19225803492008708
lowLevel.mfcc.mean.10,0.19161341794097098
lowLevel.mfcc.mean.1,0.18833552601427073
lowLevel.spectral_energyband_low.mean,0.18621572372649098
lowLevel.barkbands.stdev.10,0.18579132438753732
lowLevel.mfcc.stdev.6,0.18366110205533914
lowLevel.mfcc.stdev.4,0.17604751024919096
lowLevel.barkbands.stdev.18,0.1739036281433073
lowLevel.barkbands.stdev.24,0.16428548267867882
lowLevel.spectral_skewness.mean,0.1616048368596239
sfx.tristimulus.stdev.2,0.14984262789221248
lowLevel.barkbands.stdev.15,0.1493178075616015
lowLevel.sccoeffs.stdev.1,0.13830847060671658
lowLevel.mfcc.mean.4,0.13785051255399594
lowLevel.barkbands.mean.8,0.13552311011881102
lowLevel.spectral_energyband_low.stdev,0.1306306948827114
lowLevel.pitch_salience.stdev,0.12858924822648987
lowLevel.barkbands.stdev.8,0.12755001273399103
lowLevel.spectral_spread.stdev,0.12680303370871115
lowLevel.barkbands.mean.6,0.12557650145026855
lowLevel.barkbands.mean.0,0.12258767434104811
lowLevel.barkbands.stdev.12,0.12136617280339124
sfx.oddtoevenharmonicenergyratio.mean,0.11573977963416837
lowLevel.barkbands.stdev.0,0.1154973616139614
lowLevel.mfcc.mean.9,0.1148879909524112
lowLevel.spectral_rms.stdev,0.11368485637649428
lowLevel.pitch.stdev,0.1115937380673131
lowLevel.scvalleys.mean.0,0.1111863925907528
lowLevel.scvalleys.mean.1,0.10814287449466065
lowLevel.barkbands.stdev.20,0.10772824792366009
lowLevel.spectral_flux.mean,0.10720819002017379
lowLevel.barkbands.stdev.22,0.10710885006119497
sfx.tristimulus.stdev.0,0.10492354953021277
lowLevel.spectral_crest.mean,0.10364031102108129
lowLevel.barkbands.mean.1,0.10081349448955734
sfx.tristimulus.mean.0,0.09986844250670401
lowLevel.barkbands.stdev.7,0.0990110642669606
lowLevel.spectral_energy.stdev,0.09772777651960496
sfx.tristimulus.mean.1,0.09669216930342373
lowLevel.barkbands_skewness.mean,0.09638652038120199
sfx.inharmonicity.stdev,0.09618927318661008
lowLevel.mfcc.mean.12,0.09588903631083667
lowLevel.dissonance.mean,0.09560821314516943
lowLevel.spectral_flatness_db.mean,0.09509219363098964
lowLevel.barkbands.stdev.6,0.09449732501525432
lowLevel.spectral_energy.mean,0.09399963646137621
lowLevel.spectral_flatness_db.stdev,0.09190390836738516
lowLevel.barkbands.mean.7,0.09110037104983348
lowLevel.mfcc.mean.5,0.09066910566252773
lowLevel.barkbands.stdev.13,0.08397127293574158
lowLevel.spectral_flux.stdev,0.0825956233748002
lowLevel.mfcc.mean.11,0.07988753359677503
lowLevel.sccoeffs.stdev.0,0.07805199467838975
