,importance
lowLevel.hfc.mean,566.8796274844208
lowLevel.hfc.stdev,207.22278885215565
lowLevel.spectral_energy.mean,95.56951250380371
lowLevel.spectral_energy.stdev,48.02993176882592
lowLevel.spectral_complexity.mean,19.789139765784057
lowLevel.spectral_energyband_middle_low.stdev,18.167019007905765
lowLevel.spectral_energyband_middle_high.stdev,17.187084557241178
lowLevel.spectral_energyband_middle_low.mean,16.600496500141162
lowLevel.spectral_complexity.stdev,12.521610288504235
lowLevel.spectral_energyband_middle_high.mean,11.725940639898909
lowLevel.barkbands.stdev.26,9.822676546729781
lowLevel.spectral_strongpeak.stdev,6.86733090042253
lowLevel.mfcc.stdev.2,6.614219841319937
lowLevel.barkbands.mean.5,6.309053124627098
lowLevel.spectral_strongpeak.mean,5.732922557614074
lowLevel.pitch_instantaneous_confidence.stdev,5.526457375257451
lowLevel.barkbands.mean.18,5.522872509860463
lowLevel.silence_rate_60dB.mean,5.092289050327963
lowLevel.spectral_skewness.stdev,4.973379847724573
lowLevel.barkbands.mean.26,4.737056436060811
lowLevel.barkbands.stdev.12,4.554757892925409
lowLevel.spectral_rms.stdev,4.074868632837024
lowLevel.sccoeffs.stdev.2,4.064373794524727
lowLevel.barkbands.mean.11,3.860431479748513
lowLevel.scvalleys.stdev.1,3.8314116393448785
lowLevel.spectral_energyband_high.stdev,3.7986961333226645
lowLevel.scvalleys.stdev.2,3.7143721706961514
lowLevel.spectral_kurtosis.stdev,3.6655761041329242
lowLevel.sccoeffs.mean.4,3.6112461203883868
lowLevel.spectral_rms.mean,3.4990981486080273
lowLevel.mfcc.stdev.0,3.405056469309784
lowLevel.barkbands.stdev.25,3.371143104515795
lowLevel.barkbands.mean.25,3.345757330645938
lowLevel.mfcc.stdev.8,3.223984447096882
lowLevel.barkbands.stdev.9,3.136306579435768
lowLevel.sccoeffs.mean.2,3.050135722492996
lowLevel.spectral_spread.mean,2.9312972554271255
lowLevel.spectral_energyband_high.mean,2.438176628726069
lowLevel.scvalleys.stdev.4,2.314542154694209
lowLevel.mfcc.stdev.10,2.19144799294736
lowLevel.scvalleys.stdev.3,2.1665736358663708
lowLevel.mfcc.stdev.9,2.1588933683087816
lowLevel.barkbands.mean.12,2.1332264637894696
lowLevel.sccoeffs.mean.3,2.104491320271336
lowLevel.spectral_kurtosis.mean,2.068586740118917
lowLevel.sccoeffs.mean.5,2.0533960901411774
lowLevel.scvalleys.mean.5,1.9910085591727693
lowLevel.barkbands.stdev.11,1.9799961249809712
lowLevel.mfcc.stdev.7,1.9572719646530459
lowLevel.mfcc.stdev.11,1.760908892203588
lowLevel.barkbands.mean.4,1.6153065865219105
lowLevel.barkbands.mean.19,1.4817846072401153
lowLevel.spectral_flux.mean,1.3278123854724981
lowLevel.barkbands.stdev.10,1.2362100055852352
lowLevel.barkbands.stdev.18,1.2253551996363967
lowLevel.barkbands.stdev.4,1.1702344631776214
lowLevel.pitch.mean,1.1559648747206666
lowLevel.barkbands.mean.17,1.126089039753424
lowLevel.barkbands.mean.10,1.0937866394160665
lowLevel.barkbands.mean.13,1.0889668704985525
lowLevel.zerocrossingrate.stdev,1.0685430925805122
lowLevel.mfcc.mean.3,1.0668142724825884
lowLevel.mfcc.mean.8,0.9868366002629045
lowLevel.barkbands.stdev.3,0.9508629282427137
lowLevel.mfcc.mean.0,0.9399326451748493
lowLevel.sccoeffs.stdev.3,0.9320361513237003
lowLevel.barkbands.stdev.19,0.9005244062864222
lowLevel.spectral_skewness.mean,0.8642611724499147
lowLevel.barkbands.stdev.8,0.8631700122605253
lowLevel.barkbands.stdev.7,0.8469382082112134
lowLevel.spectral_crest.stdev,0.8413551173725864
lowLevel.barkbands.mean.20,0.8122274415654829
sfx.tristimulus.stdev.0,0.789917568617966
lowLevel.pitch.stdev,0.7897316982634948
lowLevel.mfcc.stdev.12,0.782030065643994
lowLevel.barkbands.mean.24,0.7717602389893727
lowLevel.barkbands.stdev.5,0.7637491146888351
lowLevel.pitch_salience.stdev,0.7546602790644101
lowLevel.barkbands.mean.6,0.7271685569576221
lowLevel.barkbands_spread.stdev,0.7269056862060097
lowLevel.scvalleys.stdev.0,0.7206416679800896
sfx.tristimulus.stdev.1,0.697956570849783
lowLevel.barkbands_kurtosis.stdev,0.6579618827017839
lowLevel.mfcc.stdev.6,0.6363982853326888
lowLevel.barkbands_skewness.stdev,0.6223707311219187
lowLevel.scvalleys.mean.4,0.6213667500487645
lowLevel.spectral_centroid.stdev,0.602137370604396
lowLevel.scvalleys.stdev.5,0.6003825443185633
lowLevel.barkbands.mean.9,0.5992683155327541
lowLevel.barkbands.mean.3,0.5740366480022203
lowLevel.barkbands.stdev.17,0.5714862532568077
lowLevel.mfcc.stdev.5,0.5525514074106468
lowLevel.barkbands.stdev.16,0.5256550309313752
lowLevel.barkbands.stdev.21,0.5216720197640825
lowLevel.sccoeffs.mean.1,0.5189427119039465
lowLevel.sccoeffs.mean.0,0.5032688511855667
lowLevel.barkbands.stdev.6,0.4978902796156035
lowLevel.barkbands.mean.7,0.4919436176751333
lowLevel.silence_rate_60dB.stdev,0.4917922259410261
lowLevel.barkbands.stdev.20,0.4878371813574631
lowLevel.sccoeffs.stdev.5,0.482215400057612
lowLevel.spectral_rolloff.mean,0.47913126784260385
lowLevel.mfcc.mean.11,0.4677100745775533
lowLevel.mfcc.stdev.4,0.4331727549288189
lowLevel.barkbands.stdev.15,0.4195107574305439
lowLevel.barkbands.mean.16,0.4004418401455041
sfx.oddtoevenharmonicenergyratio.mean,0.3963978064693947
lowLevel.barkbands.stdev.13,0.38856586212205
lowLevel.barkbands.stdev.14,0.38259869864123175
lowLevel.mfcc.mean.4,0.38207982508902205
sfx.oddtoevenharmonicenergyratio.stdev,0.3805634799064137
lowLevel.barkbands.mean.23,0.37116327873809496
lowLevel.barkbands.mean.0,0.3457095239427872
lowLevel.spectral_decrease.stdev,0.3456249019363895
lowLevel.spectral_decrease.mean,0.3416451536322711
lowLevel.dissonance.stdev,0.33441991113795666
lowLevel.barkbands.mean.8,0.33441808517090976
lowLevel.scvalleys.mean.2,0.32636569823807804
lowLevel.sccoeffs.stdev.1,0.3251694119317108
lowLevel.spectral_flux.stdev,0.3221369690145366
lowLevel.scvalleys.mean.0,0.319014813110698
lowLevel.spectral_rolloff.stdev,0.318276987887657
sfx.tristimulus.mean.1,0.30192366863411735
lowLevel.mfcc.stdev.3,0.2866838465524779
lowLevel.barkbands_skewness.mean,0.28173655275713827
lowLevel.dissonance.mean,0.27844776581332553
lowLevel.mfcc.mean.1,0.27354995580390096
sfx.tristimulus.stdev.2,0.24626681450081378
lowLevel.sccoeffs.stdev.4,0.23282737360568717
lowLevel.mfcc.mean.6,0.22332826256752014
lowLevel.pitch_instantaneous_confidence.mean,0.22270352640771307
lowLevel.mfcc.mean.9,0.21704932334978366
lowLevel.spectral_spread.stdev,0.2159712730863248
lowLevel.zerocrossingrate.mean,0.2129157370654866
sfx.tristimulus.mean.0,0.20542467234190553
lowLevel.barkbands.stdev.0,0.2053737350870506
sfx.tristimulus.mean.2,0.20117461967856798
lowLevel.barkbands.mean.22,0.19998473926716542
lowLevel.spectral_centroid.mean,0.19177074001345318
lowLevel.mfcc.mean.12,0.19148852494436142
lowLevel.scvalleys.mean.1,0.18593020201842592
lowLevel.scvalleys.mean.3,0.18142638690551394
lowLevel.barkbands.mean.15,0.17882511111019994
sfx.inharmonicity.stdev,0.17295082498367265
sfx.inharmonicity.mean,0.171338385935087
lowLevel.barkbands.mean.2,0.16758411962655373
lowLevel.mfcc.mean.7,0.1667602937668562
lowLevel.spectral_energyband_low.mean,0.16191609722955036
lowLevel.barkbands_kurtosis.mean,0.15606936832045903
lowLevel.barkbands.mean.21,0.1554625365351967
lowLevel.mfcc.stdev.1,0.15232270062733733
lowLevel.barkbands.stdev.23,0.15191939030046342
lowLevel.spectral_flatness_db.stdev,0.14650256208369683
lowLevel.barkbands.mean.14,0.14503299077478005
lowLevel.barkbands.mean.1,0.1357729247501993
lowLevel.pitch_salience.mean,0.13566430466016755
lowLevel.barkbands.stdev.24,0.12282969249645248
lowLevel.spectral_flatness_db.mean,0.12151729723882454
lowLevel.mfcc.mean.5,0.11289564134494867
lowLevel.barkbands.stdev.22,0.11272879176249262
lowLevel.sccoeffs.stdev.0,0.10252236619999167
lowLevel.mfcc.mean.10,0.09946368856617482
lowLevel.mfcc.mean.2,0.09261829692331958
lowLevel.barkbands_spread.mean,0.0841118181560887
lowLevel.barkbands.stdev.2,0.08284201682545245
lowLevel.barkbands.stdev.1,0.07240431874743081
lowLevel.spectral_energyband_low.stdev,0.07156400950043462
lowLevel.spectral_crest.mean,0.033637312052633206
lowLevel.silence_rate_30dB.stdev,0.010678719729185104
lowLevel.silence_rate_30dB.mean,0.0031766232841619058
