,importance
lowLevel.hfc.mean,190.11355875988966
lowLevel.spectral_energy.mean,61.7380080694453
lowLevel.spectral_complexity.mean,48.06383187323729
lowLevel.spectral_complexity.stdev,13.956209409326107
lowLevel.silence_rate_60dB.mean,8.618570721785773
lowLevel.spectral_energyband_middle_high.stdev,4.0243624587507725
lowLevel.hfc.stdev,3.8193462741958797
lowLevel.spectral_energyband_middle_high.mean,2.4594750995460117
lowLevel.mfcc.stdev.9,2.384885755662026
lowLevel.spectral_energyband_middle_low.mean,2.1857165593354466
lowLevel.spectral_energyband_middle_low.stdev,2.1257755200388715
lowLevel.barkbands.stdev.12,1.9407343574847573
lowLevel.barkbands.mean.22,1.9001086298735572
lowLevel.mfcc.stdev.10,1.8393750806412186
lowLevel.barkbands.mean.26,1.55252952364566
lowLevel.spectral_energy.stdev,1.5461440450906707
lowLevel.spectral_decrease.mean,1.5116531928917993
lowLevel.mfcc.stdev.7,1.4146219737421575
lowLevel.mfcc.stdev.8,1.254138244151676
lowLevel.spectral_strongpeak.stdev,1.0282583571445798
lowLevel.barkbands.stdev.11,0.9728107473189311
lowLevel.spectral_skewness.mean,0.912484810527701
lowLevel.barkbands.stdev.5,0.8131878950764531
lowLevel.barkbands.mean.24,0.7785918713753972
lowLevel.barkbands.mean.7,0.7671980504163685
lowLevel.barkbands.mean.14,0.7669946542027901
lowLevel.barkbands.mean.5,0.6812836947559049
lowLevel.barkbands.stdev.8,0.6567623862850951
lowLevel.pitch_instantaneous_confidence.stdev,0.6547513898990474
lowLevel.spectral_rms.stdev,0.6386477402849096
lowLevel.barkbands.stdev.26,0.6371802500036665
lowLevel.scvalleys.stdev.3,0.5895506806685944
lowLevel.spectral_strongpeak.mean,0.5487960567035088
lowLevel.barkbands.mean.11,0.5483927499466859
lowLevel.spectral_kurtosis.mean,0.5468174841832933
lowLevel.barkbands.mean.17,0.5339922119634366
lowLevel.mfcc.stdev.12,0.5292619492657593
lowLevel.barkbands.stdev.25,0.5068719143856697
lowLevel.barkbands.mean.25,0.4517183061166179
lowLevel.mfcc.mean.8,0.4311814978894404
lowLevel.spectral_kurtosis.stdev,0.42060602839427474
lowLevel.pitch_salience.mean,0.40425524668611956
lowLevel.barkbands.mean.4,0.3871903390789839
lowLevel.scvalleys.stdev.1,0.34248051200921736
lowLevel.spectral_rms.mean,0.32561666960015145
lowLevel.mfcc.stdev.5,0.3206679188349426
lowLevel.barkbands.mean.16,0.3200424306279501
lowLevel.spectral_spread.mean,0.3154738281442633
lowLevel.spectral_skewness.stdev,0.29192814403745615
sfx.tristimulus.stdev.1,0.2912932357404543
lowLevel.sccoeffs.mean.2,0.266755759489115
lowLevel.scvalleys.stdev.2,0.2667010132545329
lowLevel.barkbands.mean.12,0.26562147396606406
lowLevel.spectral_rolloff.mean,0.26421838288007393
lowLevel.pitch.mean,0.2590766136119669
lowLevel.barkbands.mean.3,0.25286476887811205
lowLevel.barkbands_skewness.mean,0.25261007709963224
lowLevel.spectral_flatness_db.stdev,0.24977248237559024
lowLevel.zerocrossingrate.mean,0.24899652663293637
lowLevel.barkbands.stdev.7,0.248385169712094
lowLevel.scvalleys.stdev.0,0.24806089218594707
lowLevel.barkbands.mean.18,0.24690991087084058
lowLevel.mfcc.mean.6,0.24651008195758095
lowLevel.spectral_energyband_high.stdev,0.22990600132118288
lowLevel.barkbands.stdev.2,0.22987885441148137
lowLevel.scvalleys.stdev.5,0.22899429716113673
