,importance
lowLevel.hfc.mean,31.92106872833392
lowLevel.spectral_energy.mean,17.51984415203333
lowLevel.spectral_energyband_middle_high.mean,9.055979571654461
lowLevel.silence_rate_60dB.mean,8.556674081337405
lowLevel.spectral_complexity.mean,6.113694797997596
lowLevel.barkbands.mean.18,4.555545421215356
lowLevel.spectral_complexity.stdev,3.8188384416280314
lowLevel.spectral_energyband_high.mean,3.758115970878862
lowLevel.spectral_energyband_middle_low.mean,3.3102922693651635
lowLevel.mfcc.stdev.10,3.2551041640763287
lowLevel.mfcc.stdev.9,2.686898063548142
lowLevel.mfcc.stdev.8,1.9874562927143415
lowLevel.scvalleys.mean.5,1.9563133269548416
lowLevel.spectral_decrease.mean,1.8897532065457199
lowLevel.mfcc.stdev.7,1.7668598072996247
lowLevel.spectral_strongpeak.stdev,1.67815218665055
lowLevel.barkbands.mean.11,1.6269905738008674
lowLevel.mfcc.mean.8,1.554172061238205
lowLevel.scvalleys.stdev.4,1.4857373771083076
lowLevel.sccoeffs.mean.4,1.4580543914344162
lowLevel.sccoeffs.mean.5,1.419226641766727
lowLevel.scvalleys.mean.4,1.3873747627367266
lowLevel.pitch_instantaneous_confidence.stdev,1.3276308909116779
lowLevel.spectral_flux.mean,1.3207637365267146
lowLevel.hfc.stdev,1.1793413897103164
lowLevel.mfcc.stdev.12,1.1369980600647978
lowLevel.mfcc.stdev.11,1.124584526012768
lowLevel.barkbands.mean.17,0.8563143167993985
lowLevel.spectral_strongpeak.mean,0.8209431969298748
lowLevel.scvalleys.mean.1,0.7156261213094695
lowLevel.mfcc.mean.7,0.704162166453898
lowLevel.barkbands.mean.25,0.700692417944083
lowLevel.barkbands.mean.24,0.6687550290807849
lowLevel.spectral_energyband_middle_high.stdev,0.6292968307971023
lowLevel.barkbands_spread.stdev,0.5926183621922974
lowLevel.barkbands.stdev.26,0.5874290727369953
lowLevel.spectral_skewness.mean,0.5862309903750429
lowLevel.barkbands.stdev.12,0.5688055882928893
lowLevel.barkbands.mean.4,0.5594341578544118
lowLevel.spectral_energyband_middle_low.stdev,0.5504790146951564
lowLevel.scvalleys.stdev.2,0.504128602478886
lowLevel.spectral_spread.mean,0.4915617356891744
