,importance
lowLevel.hfc.mean,546.727497328262
lowLevel.spectral_energyband_middle_high.mean,76.44371579580184
lowLevel.spectral_complexity.mean,46.381231152277905
lowLevel.spectral_complexity.stdev,41.23452186497161
lowLevel.spectral_energy.mean,24.65330208989326
lowLevel.hfc.stdev,7.369611427304335
lowLevel.silence_rate_60dB.mean,3.820034494274296
lowLevel.spectral_energyband_middle_low.mean,3.7857699420128483
lowLevel.barkbands.mean.12,3.365077433642
lowLevel.mfcc.stdev.9,2.694302104500821
lowLevel.barkbands.mean.11,2.52527066267794
lowLevel.spectral_energyband_middle_low.stdev,2.316708441649098
lowLevel.barkbands.stdev.12,2.206179533881368
lowLevel.spectral_energyband_middle_high.stdev,2.0892730633640895
lowLevel.barkbands.mean.10,1.970460606215056
lowLevel.barkbands.mean.8,1.588739764818456
lowLevel.barkbands.mean.17,1.5842244098894298
lowLevel.pitch_instantaneous_confidence.stdev,1.280613750903285
lowLevel.mfcc.stdev.8,1.2167278765700758
lowLevel.mfcc.stdev.7,1.1679159709892701
lowLevel.barkbands.mean.26,1.1412899072747678
sfx.tristimulus.stdev.1,1.1222725523257395
lowLevel.barkbands.stdev.26,1.082394946992281
lowLevel.pitch.mean,1.041379743575817
lowLevel.barkbands.stdev.11,0.973374583889381
lowLevel.spectral_kurtosis.stdev,0.9663512455881573
lowLevel.mfcc.stdev.10,0.8440149886737345
lowLevel.barkbands.mean.7,0.8033665561815724
lowLevel.barkbands.stdev.6,0.8022769156959839
lowLevel.mfcc.mean.8,0.7899332928282092
lowLevel.spectral_skewness.stdev,0.7396400481666205
lowLevel.scvalleys.stdev.3,0.7260868265802856
lowLevel.barkbands.stdev.8,0.7097719286684878
lowLevel.mfcc.stdev.12,0.5042974774114555
lowLevel.mfcc.stdev.0,0.49347264555399306
lowLevel.pitch.stdev,0.47093406767817214
lowLevel.barkbands.mean.25,0.46693185990443453
lowLevel.mfcc.stdev.2,0.456604510472971
lowLevel.barkbands.mean.6,0.42747920504189096
lowLevel.spectral_skewness.mean,0.4070042734965682
lowLevel.spectral_energyband_high.mean,0.3933544592146063
lowLevel.mfcc.mean.0,0.39154714782489464
lowLevel.spectral_kurtosis.mean,0.3848895984410774
lowLevel.spectral_spread.mean,0.37566730129765347
sfx.tristimulus.stdev.2,0.34552421182161197
lowLevel.barkbands.stdev.7,0.33525251073297113
lowLevel.barkbands.mean.15,0.3318843314773403
lowLevel.barkbands_skewness.mean,0.32276879803976044
lowLevel.sccoeffs.stdev.2,0.32164221923449077
lowLevel.spectral_rms.mean,0.32119727093959227
lowLevel.spectral_decrease.mean,0.31385534431319684
lowLevel.sccoeffs.mean.2,0.302230366927688
lowLevel.barkbands.mean.3,0.29394263447466074
lowLevel.sccoeffs.mean.5,0.27490268110705074
lowLevel.spectral_flatness_db.mean,0.2549396176764276
lowLevel.scvalleys.stdev.1,0.2532706577621866
lowLevel.barkbands.stdev.5,0.24928538969834335
lowLevel.barkbands.stdev.17,0.2241262728930451
lowLevel.mfcc.stdev.5,0.22078704659361392
lowLevel.mfcc.stdev.4,0.21864832412393298
lowLevel.zerocrossingrate.mean,0.21827525450498797
lowLevel.barkbands.mean.0,0.2160041811875999
lowLevel.barkbands.mean.19,0.21494078013347462
lowLevel.sccoeffs.stdev.5,0.20476612730999477
sfx.oddtoevenharmonicenergyratio.mean,0.2004982476355508
lowLevel.scvalleys.stdev.4,0.1940549629216548
lowLevel.barkbands.stdev.4,0.19043191843957175
lowLevel.spectral_flatness_db.stdev,0.18382107519573765
lowLevel.mfcc.stdev.11,0.18162874394329265
lowLevel.barkbands.stdev.13,0.17744016816141084
lowLevel.barkbands.stdev.25,0.17651022983773146
lowLevel.barkbands.mean.5,0.1748844503890723
lowLevel.barkbands_skewness.stdev,0.1736980715795653
lowLevel.silence_rate_60dB.stdev,0.1668232981755864
lowLevel.spectral_strongpeak.mean,0.16035357140935957
lowLevel.barkbands.mean.18,0.15189773455495015
lowLevel.barkbands.stdev.16,0.1510181463090703
lowLevel.scvalleys.stdev.5,0.15078496147179976
lowLevel.barkbands.stdev.2,0.15033057825348806
lowLevel.barkbands.mean.1,0.14227249147370458
lowLevel.mfcc.mean.3,0.1409688013518462
lowLevel.barkbands.stdev.10,0.1407415686699096
lowLevel.sccoeffs.mean.1,0.13935270918591414
sfx.tristimulus.stdev.0,0.13881947440677322
lowLevel.pitch_instantaneous_confidence.mean,0.13593503972515464
lowLevel.mfcc.mean.12,0.1345555166772101
lowLevel.scvalleys.stdev.2,0.1275201963726431
sfx.oddtoevenharmonicenergyratio.stdev,0.12619268149137497
lowLevel.spectral_rms.stdev,0.12278501252876595
lowLevel.sccoeffs.stdev.1,0.11968961887760088
lowLevel.barkbands.mean.22,0.11846082573174499
lowLevel.sccoeffs.mean.0,0.11719547864049673
lowLevel.spectral_centroid.mean,0.11428963413345627
lowLevel.sccoeffs.stdev.3,0.11315978618222289
lowLevel.dissonance.stdev,0.11097131425049156
lowLevel.scvalleys.stdev.0,0.10326268427888863
lowLevel.barkbands.mean.2,0.10298606305150315
lowLevel.mfcc.stdev.1,0.10230682080145925
lowLevel.sccoeffs.mean.4,0.10128853179048747
lowLevel.spectral_flux.mean,0.09752125907107256
sfx.tristimulus.mean.2,0.09260512614855543
sfx.inharmonicity.stdev,0.09165402897633612
lowLevel.barkbands.mean.21,0.08840470252471277
lowLevel.barkbands.stdev.9,0.0873332031769678
lowLevel.mfcc.stdev.6,0.08405447981203906
lowLevel.barkbands.stdev.0,0.08388085136539303
lowLevel.barkbands.mean.16,0.08311641233740374
lowLevel.barkbands.mean.9,0.08188188628992066
lowLevel.barkbands.mean.4,0.07879224114003591
lowLevel.mfcc.mean.10,0.07754695326730143
lowLevel.scvalleys.mean.4,0.07726080136490054
lowLevel.spectral_strongpeak.stdev,0.07697046289104037
lowLevel.sccoeffs.stdev.4,0.07666715001687407
lowLevel.pitch_salience.mean,0.0756618472514674
lowLevel.mfcc.mean.11,0.07163862664310727
lowLevel.spectral_rolloff.mean,0.07110849654418416
lowLevel.scvalleys.mean.5,0.06608433599467389
lowLevel.mfcc.mean.7,0.06408713373821229
lowLevel.barkbands.mean.14,0.06235103018116206
lowLevel.mfcc.mean.9,0.05937870081834262
lowLevel.mfcc.stdev.3,0.05849389510694891
lowLevel.spectral_spread.stdev,0.05806902336189523
lowLevel.barkbands.stdev.3,0.055192313477164134
lowLevel.scvalleys.mean.1,0.053219970606733114
lowLevel.mfcc.mean.4,0.05120662432454992
lowLevel.spectral_flux.stdev,0.04791970920632593
lowLevel.barkbands_kurtosis.mean,0.04602971425629221
lowLevel.spectral_energyband_high.stdev,0.045994923857506365
lowLevel.mfcc.mean.5,0.04507267666485859
lowLevel.sccoeffs.mean.3,0.044571497273864225
lowLevel.barkbands_spread.stdev,0.04396808068850078
lowLevel.barkbands.mean.23,0.042741934419609606
lowLevel.scvalleys.mean.0,0.04094150965102017
lowLevel.spectral_crest.stdev,0.04036305642512161
lowLevel.mfcc.mean.1,0.039788410198525526
lowLevel.barkbands.mean.20,0.03806940428330563
lowLevel.mfcc.mean.2,0.03803451039129868
lowLevel.sccoeffs.stdev.0,0.03687624979647808
lowLevel.scvalleys.mean.2,0.03630969891673885
sfx.inharmonicity.mean,0.035689433600055054
lowLevel.pitch_salience.stdev,0.03374925172829535
sfx.tristimulus.mean.1,0.03367148287361488
lowLevel.scvalleys.mean.3,0.033539729833137244
lowLevel.barkbands.stdev.18,0.0313183031976223
lowLevel.barkbands_spread.mean,0.031013123865704983
lowLevel.spectral_rolloff.stdev,0.02974633709527552
lowLevel.spectral_decrease.stdev,0.02944655853207223
lowLevel.spectral_energyband_low.mean,0.027815393201308325
lowLevel.barkbands.stdev.15,0.027475008813780732
lowLevel.barkbands.mean.24,0.026897678239038214
lowLevel.zerocrossingrate.stdev,0.026591374829877168
lowLevel.barkbands_kurtosis.stdev,0.025855835119728
lowLevel.barkbands.stdev.24,0.024504967223037966
lowLevel.mfcc.mean.6,0.022006311934092082
lowLevel.barkbands.stdev.20,0.02138233886216767
lowLevel.barkbands.mean.13,0.01855299185262993
sfx.tristimulus.mean.0,0.018249890737934038
lowLevel.barkbands.stdev.1,0.017611915100133047
lowLevel.dissonance.mean,0.016908941906876862
lowLevel.spectral_crest.mean,0.015881935760262422
lowLevel.barkbands.stdev.19,0.015671358967665583
lowLevel.barkbands.stdev.14,0.015039239078760147
lowLevel.barkbands.stdev.23,0.014907562726875767
lowLevel.barkbands.stdev.22,0.014169651141855866
lowLevel.spectral_energy.stdev,0.01370048918761313
lowLevel.spectral_energyband_low.stdev,0.012450996058760211
lowLevel.spectral_centroid.stdev,0.010504818972549401
lowLevel.barkbands.stdev.21,0.00874059903435409
lowLevel.silence_rate_30dB.stdev,0.004311734999646433
lowLevel.silence_rate_30dB.mean,0.00191026899847202
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_20dB.mean,0.0
