,importance
lowLevel.hfc.mean,5622.845335621301
lowLevel.spectral_energyband_middle_high.mean,1736.2503674055915
lowLevel.spectral_complexity.stdev,766.6345109638787
lowLevel.spectral_energy.mean,575.3739960628009
lowLevel.hfc.stdev,368.2193049817736
lowLevel.spectral_complexity.mean,306.5242700713279
lowLevel.spectral_energyband_middle_high.stdev,94.92639369911194
lowLevel.spectral_rms.mean,88.03943913079274
lowLevel.silence_rate_60dB.mean,66.3585666953295
lowLevel.spectral_strongpeak.mean,44.051831250388204
lowLevel.barkbands.mean.11,42.88599020160109
lowLevel.mfcc.mean.0,39.07584686091138
lowLevel.barkbands.mean.12,33.96029999049415
lowLevel.spectral_energy.stdev,31.215424944879487
lowLevel.barkbands.mean.17,28.585661838122178
lowLevel.barkbands.stdev.11,18.549929287983105
lowLevel.spectral_energyband_middle_low.mean,17.78912177903112
lowLevel.barkbands.stdev.12,17.213885373581434
lowLevel.barkbands.mean.14,14.403444125666283
lowLevel.barkbands.mean.7,13.298353876103647
lowLevel.spectral_energyband_high.mean,12.853363797185011
lowLevel.barkbands.mean.10,9.967117653577588
lowLevel.spectral_flux.mean,9.620774470560718
lowLevel.barkbands.mean.16,9.524983073351905
lowLevel.spectral_energyband_middle_low.stdev,9.466426095546922
lowLevel.barkbands.stdev.9,8.831678542715963
lowLevel.barkbands.mean.18,8.500077735865489
lowLevel.barkbands.stdev.8,7.3339914720272645
lowLevel.barkbands.mean.25,6.750459989878436
lowLevel.barkbands.mean.24,6.269538628635928
lowLevel.barkbands.mean.21,5.609834712580778
lowLevel.spectral_strongpeak.stdev,5.593200602917932
lowLevel.barkbands.mean.23,5.361194739991333
lowLevel.spectral_rms.stdev,5.1498664538084995
lowLevel.barkbands.stdev.26,4.775529362610541
lowLevel.barkbands.mean.8,3.7664983282447793
lowLevel.barkbands.mean.22,3.635527095524594
lowLevel.barkbands.mean.9,3.6115667829290032
lowLevel.barkbands.stdev.7,2.9590017659938894
lowLevel.barkbands.mean.15,2.9287039615082904
lowLevel.barkbands.mean.26,2.5802395337453277
lowLevel.spectral_flux.stdev,2.07933233527001
lowLevel.mfcc.stdev.9,2.01074394423631
lowLevel.barkbands.mean.5,1.744876554934308
lowLevel.barkbands.stdev.25,1.741315233608475
lowLevel.barkbands.mean.13,1.6290095180738717
lowLevel.barkbands.stdev.24,1.5206568167777732
lowLevel.sccoeffs.mean.1,1.3882899357777205
lowLevel.zerocrossingrate.mean,1.112108735134825
lowLevel.barkbands.mean.19,0.9942470068926923
lowLevel.sccoeffs.mean.2,0.9825473016826436
lowLevel.barkbands.mean.6,0.9648882017936558
