,importance
lowLevel.spectral_energyband_middle_high.mean,31.00495540871634
lowLevel.spectral_energyband_high.mean,16.366827441292116
lowLevel.barkbands.mean.18,13.430701958743157
lowLevel.hfc.mean,13.400532651226968
lowLevel.spectral_energy.mean,9.127700672557694
lowLevel.spectral_rms.mean,8.512225871963892
lowLevel.spectral_complexity.mean,5.924414126377087
lowLevel.mfcc.stdev.10,5.230722402382526
lowLevel.barkbands.mean.4,5.0621557153062895
lowLevel.barkbands.mean.5,4.76867255588877
lowLevel.mfcc.stdev.12,4.481659713870613
lowLevel.spectral_energyband_middle_high.stdev,4.371216482570162
lowLevel.silence_rate_60dB.mean,4.268935435866297
lowLevel.mfcc.stdev.9,3.549807943752967
lowLevel.mfcc.stdev.8,2.6881971802795306
lowLevel.barkbands.mean.23,2.473429844234488
lowLevel.spectral_energyband_middle_low.mean,2.436124206884415
lowLevel.pitch_instantaneous_confidence.stdev,2.252644328007591
lowLevel.spectral_strongpeak.stdev,2.2521014231751906
lowLevel.mfcc.stdev.7,2.0096097301720874
lowLevel.spectral_strongpeak.mean,1.7470710104389582
lowLevel.spectral_complexity.stdev,1.6476048138429178
lowLevel.mfcc.mean.8,1.5657591857889201
lowLevel.barkbands.mean.11,1.1306965901749209
lowLevel.barkbands.mean.21,1.1194617508444935
lowLevel.barkbands.mean.22,1.093663475367066
lowLevel.mfcc.stdev.11,1.0613758252584375
lowLevel.barkbands.mean.17,0.9843455824011471
lowLevel.spectral_spread.mean,0.9841974326845957
lowLevel.scvalleys.mean.5,0.9577472863165895
lowLevel.barkbands.mean.16,0.9243304555566283
lowLevel.silence_rate_60dB.stdev,0.9214924313710071
lowLevel.barkbands.mean.7,0.8685891808781889
lowLevel.barkbands.stdev.15,0.8549057400232414
lowLevel.barkbands.stdev.11,0.8147331747895805
lowLevel.mfcc.stdev.5,0.8127033939090325
lowLevel.barkbands.mean.6,0.8101178293582052
lowLevel.spectral_flux.mean,0.7702884690224892
lowLevel.mfcc.mean.7,0.7368258003843948
lowLevel.spectral_flatness_db.stdev,0.7216677792166593
lowLevel.scvalleys.stdev.0,0.7132383090211079
lowLevel.barkbands.mean.24,0.6651127840159461
lowLevel.barkbands.stdev.10,0.6636778219544794
lowLevel.barkbands.mean.19,0.6553108045336558
lowLevel.zerocrossingrate.mean,0.5805146543425508
lowLevel.barkbands.mean.9,0.557213144376874
lowLevel.mfcc.stdev.0,0.5310833406256279
lowLevel.mfcc.mean.0,0.5173457706841873
lowLevel.scvalleys.stdev.1,0.4904468228924088
lowLevel.barkbands.stdev.3,0.48051886846951675
lowLevel.barkbands.stdev.5,0.46284359850687906
lowLevel.pitch.stdev,0.4535484868683852
lowLevel.sccoeffs.mean.3,0.45177025835437234
lowLevel.spectral_kurtosis.stdev,0.4501380620349664
lowLevel.sccoeffs.mean.5,0.4424872869858518
lowLevel.scvalleys.stdev.2,0.435090950835729
lowLevel.barkbands.stdev.7,0.4181968514312757
lowLevel.mfcc.stdev.6,0.40530411327199545
lowLevel.scvalleys.stdev.3,0.40517906656168634
lowLevel.barkbands.stdev.8,0.3999144498593523
lowLevel.sccoeffs.mean.4,0.3998984580830438
lowLevel.spectral_skewness.mean,0.39307801602990367
lowLevel.spectral_decrease.mean,0.3930467287427746
lowLevel.barkbands.stdev.4,0.38894482086470816
lowLevel.spectral_spread.stdev,0.3692159370984882
lowLevel.barkbands.mean.3,0.3434243838710245
sfx.tristimulus.stdev.1,0.33642680480261333
lowLevel.spectral_rolloff.stdev,0.33351735567703145
lowLevel.spectral_kurtosis.mean,0.3327465826878324
lowLevel.barkbands.mean.20,0.31360269751166925
lowLevel.spectral_skewness.stdev,0.3102873241005
lowLevel.mfcc.stdev.4,0.30605390686832834
sfx.tristimulus.stdev.2,0.30004908893897664
lowLevel.barkbands.stdev.0,0.2997211790061556
lowLevel.scvalleys.mean.4,0.2988637221278623
sfx.tristimulus.mean.2,0.2956103307806188
lowLevel.barkbands.stdev.17,0.29509643945493735
lowLevel.scvalleys.mean.2,0.29439717304194346
lowLevel.sccoeffs.mean.2,0.28867878232267685
lowLevel.barkbands.stdev.23,0.287035500005004
sfx.oddtoevenharmonicenergyratio.stdev,0.2841614204662619
lowLevel.barkbands_skewness.mean,0.27756663342006505
lowLevel.mfcc.mean.2,0.27508551032224204
lowLevel.barkbands.stdev.9,0.27253029093844816
lowLevel.scvalleys.stdev.4,0.2601815843663644
lowLevel.mfcc.stdev.2,0.2595990611007437
lowLevel.mfcc.mean.6,0.25819416251033545
lowLevel.barkbands.stdev.19,0.2565349730430171
lowLevel.barkbands.mean.8,0.24395615665707737
lowLevel.mfcc.mean.11,0.24076140762190334
sfx.oddtoevenharmonicenergyratio.mean,0.23823153143166564
lowLevel.barkbands_spread.stdev,0.23818312658113427
lowLevel.spectral_energyband_middle_low.stdev,0.2244508708245121
lowLevel.barkbands.mean.10,0.21990066932630725
lowLevel.pitch_instantaneous_confidence.mean,0.21214323680032976
lowLevel.hfc.stdev,0.2089511383092031
lowLevel.sccoeffs.stdev.2,0.20702175065525807
lowLevel.mfcc.stdev.3,0.20651296767755412
lowLevel.pitch_salience.mean,0.20554553388501517
lowLevel.spectral_centroid.stdev,0.20384093359461986
lowLevel.barkbands.mean.26,0.20280937808274757
lowLevel.sccoeffs.stdev.1,0.2012157963399659
lowLevel.barkbands.mean.2,0.2005909320723731
lowLevel.barkbands.stdev.16,0.20006849781202618
lowLevel.spectral_energyband_low.mean,0.19004635702003725
lowLevel.barkbands.mean.13,0.18829252853174694
lowLevel.sccoeffs.mean.0,0.18300608203571755
lowLevel.zerocrossingrate.stdev,0.1754038969229441
lowLevel.barkbands.stdev.26,0.1642080282472307
lowLevel.spectral_rms.stdev,0.16245638465625234
lowLevel.barkbands.stdev.6,0.16068439852097072
lowLevel.mfcc.mean.9,0.14747893941239454
sfx.tristimulus.mean.0,0.14510802896984387
lowLevel.sccoeffs.stdev.0,0.14350741397356614
lowLevel.barkbands.mean.25,0.14058292158006225
lowLevel.sccoeffs.stdev.3,0.13800707172777038
lowLevel.dissonance.mean,0.13776938346563838
lowLevel.sccoeffs.mean.1,0.13763078389456496
lowLevel.dissonance.stdev,0.1352241324930219
lowLevel.barkbands_skewness.stdev,0.13444899319438264
lowLevel.barkbands.stdev.12,0.12730433414981235
lowLevel.spectral_energyband_high.stdev,0.12089625463704579
lowLevel.barkbands.mean.0,0.118702465610113
lowLevel.spectral_rolloff.mean,0.11843125720042735
lowLevel.scvalleys.mean.3,0.11366989233647473
lowLevel.barkbands.stdev.13,0.11185153327824082
lowLevel.barkbands_spread.mean,0.10875043441774324
lowLevel.spectral_crest.stdev,0.10852936155424686
sfx.inharmonicity.mean,0.1076347847119905
lowLevel.scvalleys.mean.1,0.10725265195651446
lowLevel.mfcc.mean.3,0.10559668624773622
lowLevel.barkbands.stdev.14,0.10128073836676776
lowLevel.barkbands.mean.15,0.10123568429844454
lowLevel.mfcc.mean.1,0.09968367315013893
lowLevel.sccoeffs.stdev.4,0.09790474608598743
lowLevel.mfcc.stdev.1,0.09582231946114916
sfx.inharmonicity.stdev,0.0938077551254537
lowLevel.barkbands_kurtosis.stdev,0.092835363058839
sfx.tristimulus.mean.1,0.09229162726842333
lowLevel.mfcc.mean.10,0.09120869664184283
lowLevel.barkbands.mean.1,0.09104887049761601
lowLevel.barkbands_kurtosis.mean,0.08899409079458565
lowLevel.barkbands.stdev.2,0.08892837329767644
lowLevel.pitch_salience.stdev,0.08826859260443598
lowLevel.barkbands.mean.14,0.08577615523245186
lowLevel.spectral_flux.stdev,0.08501655740838032
lowLevel.barkbands.stdev.22,0.0792860176297836
lowLevel.mfcc.mean.12,0.07769533258397132
lowLevel.barkbands.stdev.21,0.07708662250661291
lowLevel.spectral_decrease.stdev,0.07517183505115099
lowLevel.barkbands.stdev.25,0.07304105682123918
sfx.tristimulus.stdev.0,0.07281367771793157
lowLevel.spectral_energy.stdev,0.07109299398143776
lowLevel.pitch.mean,0.06889013532781973
lowLevel.sccoeffs.stdev.5,0.06803656794363633
lowLevel.barkbands.mean.12,0.06781709607457742
lowLevel.mfcc.mean.4,0.06578683983389055
lowLevel.silence_rate_30dB.stdev,0.0625265707494691
lowLevel.mfcc.mean.5,0.04861548910412239
lowLevel.scvalleys.mean.0,0.04847441325546242
lowLevel.barkbands.stdev.24,0.04769700896576978
lowLevel.spectral_flatness_db.mean,0.03562481902190484
lowLevel.spectral_crest.mean,0.03377036168240011
lowLevel.spectral_energyband_low.stdev,0.031498198048211634
lowLevel.barkbands.stdev.1,0.026461766014108434
lowLevel.barkbands.stdev.20,0.023731895867967978
lowLevel.barkbands.stdev.18,0.019215165797504596
lowLevel.scvalleys.stdev.5,0.018873189197620377
lowLevel.spectral_centroid.mean,0.016905833937926218
lowLevel.silence_rate_30dB.mean,0.0008243219926953316
lowLevel.silence_rate_20dB.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
