,importance
lowLevel.hfc.mean,6912.346369035993
lowLevel.spectral_energyband_middle_high.mean,698.759622560814
lowLevel.spectral_complexity.mean,690.1430782208045
lowLevel.spectral_complexity.stdev,676.8763642699923
lowLevel.spectral_energy.mean,393.21583292644937
lowLevel.silence_rate_60dB.mean,175.80515993529116
lowLevel.spectral_energy.stdev,130.67040220089257
lowLevel.spectral_energyband_middle_low.mean,95.90471667001839
lowLevel.mfcc.stdev.9,53.706372086326155
lowLevel.barkbands.stdev.12,38.86077584771556
lowLevel.spectral_energyband_middle_low.stdev,37.50832653656835
lowLevel.barkbands.stdev.6,37.01356216525164
lowLevel.spectral_strongpeak.mean,28.41177491581766
lowLevel.barkbands.mean.25,28.091805282470887
lowLevel.hfc.stdev,28.020452466560528
lowLevel.spectral_rms.mean,27.249963769805618
lowLevel.mfcc.stdev.8,24.72425542266683
lowLevel.barkbands.stdev.26,23.714947720412965
lowLevel.mfcc.stdev.7,21.348892527035787
lowLevel.spectral_rms.stdev,18.888600782367575
lowLevel.barkbands.mean.26,18.46700479616993
lowLevel.barkbands.mean.10,18.370649907155894
lowLevel.mfcc.stdev.10,14.728570834769926
lowLevel.pitch.mean,14.084867400830262
lowLevel.pitch_instantaneous_confidence.stdev,13.937974247164675
lowLevel.barkbands.mean.8,12.546376701262488
lowLevel.barkbands.mean.5,12.260906210693065
lowLevel.spectral_energyband_middle_high.stdev,12.179607158385807
lowLevel.scvalleys.stdev.3,12.168704459294531
lowLevel.barkbands.mean.7,11.846712713257148
lowLevel.barkbands.mean.17,10.401564795640297
lowLevel.barkbands.mean.9,10.212370169581845
sfx.tristimulus.stdev.1,9.9508947949289
lowLevel.barkbands.mean.22,9.681867739368954
lowLevel.barkbands.stdev.11,8.976571651292033
lowLevel.barkbands.stdev.8,8.643377027154202
lowLevel.spectral_kurtosis.mean,8.115650989151618
lowLevel.mfcc.mean.8,7.846617336463169
lowLevel.mfcc.stdev.11,7.828173272753702
lowLevel.spectral_kurtosis.stdev,7.732273489324143
lowLevel.spectral_skewness.mean,7.6262854954984505
lowLevel.barkbands.mean.14,7.607438030303456
lowLevel.mfcc.stdev.12,6.935296997347905
lowLevel.barkbands.mean.20,6.919493066663563
lowLevel.mfcc.stdev.0,6.161542288653436
lowLevel.spectral_skewness.stdev,5.198839646993292
lowLevel.barkbands.mean.11,5.170938139650389
lowLevel.spectral_energyband_high.mean,5.137322197901085
lowLevel.spectral_decrease.mean,5.073404450202361
lowLevel.barkbands.mean.24,4.887036437168717
lowLevel.spectral_strongpeak.stdev,4.7882762447407
lowLevel.barkbands.mean.12,4.691563890199177
lowLevel.barkbands.mean.4,4.639318417132017
lowLevel.barkbands.stdev.9,4.455165657738689
lowLevel.barkbands.stdev.13,4.4361570896580815
lowLevel.spectral_centroid.mean,4.334756787691731
lowLevel.barkbands.stdev.5,4.324314378067925
lowLevel.barkbands.mean.6,4.288047282199841
lowLevel.barkbands.stdev.3,4.160419403982814
lowLevel.spectral_flatness_db.stdev,4.150269088422647
lowLevel.scvalleys.stdev.0,3.4946576750080567
lowLevel.barkbands.stdev.7,3.4371542736771517
lowLevel.zerocrossingrate.mean,3.3862119214165887
lowLevel.barkbands.mean.19,3.3712811844889075
lowLevel.mfcc.stdev.2,3.230316565789053
lowLevel.barkbands.mean.3,3.07262887613615
sfx.oddtoevenharmonicenergyratio.stdev,3.034499969900935
lowLevel.barkbands.mean.15,2.9780534545766386
lowLevel.barkbands.mean.13,2.968066799250664
lowLevel.mfcc.stdev.5,2.9639253438654123
lowLevel.barkbands.stdev.4,2.9355138744867872
lowLevel.sccoeffs.mean.2,2.82396478872397
lowLevel.barkbands_skewness.mean,2.8208862004394177
lowLevel.sccoeffs.stdev.5,2.6812812634161673
lowLevel.spectral_decrease.stdev,2.532901771075558
lowLevel.barkbands.stdev.14,2.523196394671686
lowLevel.spectral_crest.mean,2.488146407675231
lowLevel.barkbands.mean.21,2.4776707600831287
lowLevel.barkbands.stdev.10,2.472033754696895
lowLevel.scvalleys.stdev.2,2.46888557485363
lowLevel.pitch.stdev,2.46208808679512
lowLevel.spectral_spread.mean,2.458785749360686
lowLevel.sccoeffs.stdev.2,2.4438830791041255
lowLevel.spectral_crest.stdev,2.3989874238468474
lowLevel.scvalleys.mean.5,2.383394007119932
lowLevel.sccoeffs.mean.5,2.365698337991489
lowLevel.spectral_flux.mean,2.356726791069377
lowLevel.scvalleys.stdev.4,2.3525160928838886
lowLevel.barkbands.stdev.17,2.3519052387346164
lowLevel.barkbands.mean.18,2.2372688818577444
sfx.tristimulus.stdev.2,2.2222496486792807
lowLevel.mfcc.stdev.6,2.1761348463578543
lowLevel.scvalleys.stdev.5,2.1427291800973762
lowLevel.silence_rate_60dB.stdev,2.1282515876810066
sfx.oddtoevenharmonicenergyratio.mean,2.0347961567385937
lowLevel.mfcc.mean.0,2.0161195162145304
lowLevel.mfcc.stdev.4,1.843064441345632
lowLevel.scvalleys.stdev.1,1.7529372075296124
lowLevel.spectral_energyband_high.stdev,1.7165777382615488
lowLevel.spectral_rolloff.mean,1.6784799885499524
lowLevel.mfcc.mean.3,1.612145495833829
sfx.tristimulus.stdev.0,1.5290189488441683
lowLevel.barkbands.mean.23,1.4235634811338969
lowLevel.barkbands.stdev.1,1.4220257935812697
lowLevel.scvalleys.mean.4,1.401066233695019
lowLevel.barkbands.mean.16,1.3936313608428463
lowLevel.scvalleys.mean.3,1.373948117456166
lowLevel.barkbands.stdev.16,1.2587264449102804
lowLevel.pitch_salience.mean,1.2146368198482378
lowLevel.pitch_instantaneous_confidence.mean,1.1693496763764415
lowLevel.spectral_energyband_low.mean,1.1468242653063498
lowLevel.spectral_flatness_db.mean,1.1363700701040216
lowLevel.barkbands.stdev.25,1.055594321602257
lowLevel.barkbands_skewness.stdev,1.0231323016341776
lowLevel.barkbands.stdev.2,0.9922293856216129
lowLevel.scvalleys.mean.1,0.9889839781390037
lowLevel.barkbands.stdev.18,0.9886272211588221
lowLevel.mfcc.mean.1,0.9751524758758023
lowLevel.pitch_salience.stdev,0.9492316177347675
sfx.tristimulus.mean.2,0.8700300335476641
lowLevel.mfcc.mean.12,0.8620197673153598
lowLevel.mfcc.mean.9,0.8245520801283419
lowLevel.mfcc.stdev.3,0.8182539921544958
lowLevel.mfcc.stdev.1,0.8181926321412902
lowLevel.barkbands_kurtosis.stdev,0.7327581192948855
lowLevel.spectral_spread.stdev,0.7258466691127978
lowLevel.sccoeffs.stdev.4,0.7179794288531411
lowLevel.sccoeffs.mean.3,0.6827920167706907
lowLevel.mfcc.mean.2,0.6814157498738496
lowLevel.sccoeffs.stdev.1,0.6811127816326916
lowLevel.mfcc.mean.11,0.6572132129222155
lowLevel.barkbands.stdev.19,0.6508443707134575
lowLevel.mfcc.mean.10,0.6189124914235435
lowLevel.scvalleys.mean.2,0.6113338986760937
lowLevel.sccoeffs.mean.0,0.5958074086229317
lowLevel.mfcc.mean.6,0.5890322427731007
lowLevel.spectral_energyband_low.stdev,0.5834261415875517
lowLevel.barkbands.mean.1,0.5775134687282844
lowLevel.dissonance.stdev,0.5749896425404586
lowLevel.scvalleys.mean.0,0.5575946267636027
sfx.tristimulus.mean.1,0.5306217754550744
lowLevel.mfcc.mean.7,0.5216534979699645
sfx.inharmonicity.mean,0.5210072338413738
lowLevel.spectral_flux.stdev,0.5133634580124635
lowLevel.sccoeffs.mean.1,0.5039674069266766
lowLevel.sccoeffs.stdev.3,0.4900255156098865
lowLevel.barkbands.stdev.24,0.4325622166506946
lowLevel.sccoeffs.mean.4,0.42695719670155086
sfx.inharmonicity.stdev,0.41793886001687497
lowLevel.barkbands.stdev.23,0.40931351413019
lowLevel.dissonance.mean,0.3958958930161316
lowLevel.mfcc.mean.4,0.3897161811692058
lowLevel.barkbands_spread.stdev,0.3815912315621972
lowLevel.barkbands_kurtosis.mean,0.34577648248523474
lowLevel.mfcc.mean.5,0.33586266421480104
lowLevel.barkbands.mean.2,0.3140658177435398
lowLevel.spectral_centroid.stdev,0.3000568087445572
lowLevel.barkbands.mean.0,0.2836775687756017
lowLevel.barkbands.stdev.20,0.25999440254236106
lowLevel.silence_rate_30dB.mean,0.24217562901321799
lowLevel.barkbands_spread.mean,0.21018138097133487
lowLevel.barkbands.stdev.21,0.20892137943883426
lowLevel.barkbands.stdev.22,0.19898553082020953
lowLevel.spectral_rolloff.stdev,0.17925469694728235
lowLevel.barkbands.stdev.15,0.1758858979010256
lowLevel.barkbands.stdev.0,0.16963757574558258
sfx.tristimulus.mean.0,0.15869563911110163
lowLevel.zerocrossingrate.stdev,0.15019817448046524
lowLevel.sccoeffs.stdev.0,0.11894074466545135
lowLevel.silence_rate_30dB.stdev,0.06821345898788422
lowLevel.silence_rate_20dB.mean,0.0
lowLevel.silence_rate_20dB.stdev,0.0
