,importance
lowLevel.hfc.mean,319.550415317071
lowLevel.spectral_energy.mean,55.577564644497954
lowLevel.spectral_complexity.mean,51.93990190404696
lowLevel.spectral_complexity.stdev,23.407147354589043
lowLevel.silence_rate_60dB.mean,13.548528304479532
lowLevel.mfcc.stdev.9,12.550060307098192
lowLevel.spectral_energyband_middle_high.mean,7.5518310092791125
lowLevel.mfcc.stdev.10,6.281604528950538
lowLevel.spectral_energyband_middle_low.mean,4.416042473162179
lowLevel.mfcc.stdev.8,4.340214066820636
lowLevel.scvalleys.mean.4,2.7685365222220213
lowLevel.pitch_instantaneous_confidence.stdev,2.5161361617192597
lowLevel.spectral_strongpeak.mean,2.490037980113808
lowLevel.barkbands.mean.5,2.236177824948303
lowLevel.barkbands.mean.25,1.6308151532668944
lowLevel.mfcc.stdev.12,1.4668970623443442
lowLevel.mfcc.mean.8,1.377441742256451
lowLevel.spectral_rms.mean,1.3435549852526307
lowLevel.barkbands.mean.17,1.2566735854390014
lowLevel.barkbands.mean.6,1.251825859131145
sfx.tristimulus.stdev.1,1.1524488075596562
lowLevel.scvalleys.stdev.0,1.010337820157586
lowLevel.spectral_energyband_middle_low.stdev,0.9914766652587872
lowLevel.barkbands.mean.7,0.9571476259773988
lowLevel.barkbands.mean.24,0.9499992739657728
lowLevel.zerocrossingrate.mean,0.9420173005137258
lowLevel.barkbands.mean.15,0.9085990268486057
lowLevel.barkbands.stdev.5,0.8991924753315743
lowLevel.barkbands.mean.13,0.8737823331156278
sfx.oddtoevenharmonicenergyratio.stdev,0.833771165376174
lowLevel.barkbands.mean.18,0.7862135907984893
lowLevel.sccoeffs.mean.5,0.7740060319283302
lowLevel.barkbands.stdev.6,0.7684420590956833
lowLevel.barkbands.mean.11,0.766077550514126
lowLevel.barkbands.mean.12,0.7593815400003194
lowLevel.mfcc.stdev.7,0.7100935298583266
lowLevel.mfcc.stdev.0,0.6820413023028067
lowLevel.spectral_flatness_db.stdev,0.6756164482738853
lowLevel.barkbands.stdev.3,0.6656799539009626
lowLevel.sccoeffs.mean.4,0.6632087137336669
lowLevel.mfcc.stdev.4,0.6175514910211746
lowLevel.barkbands.stdev.10,0.6087507250751366
lowLevel.barkbands.stdev.18,0.6073072266176496
lowLevel.pitch_salience.mean,0.5944821124441546
lowLevel.spectral_decrease.stdev,0.5775950958999374
lowLevel.sccoeffs.mean.3,0.5683151241026962
lowLevel.silence_rate_60dB.stdev,0.5585678049819762
lowLevel.barkbands.mean.26,0.5231529282578329
lowLevel.barkbands.stdev.14,0.5228065757334264
lowLevel.barkbands_skewness.mean,0.49939841403768925
lowLevel.spectral_skewness.mean,0.49344330610529763
lowLevel.mfcc.stdev.11,0.488976859550462
lowLevel.barkbands.stdev.26,0.4318042226435068
lowLevel.spectral_centroid.mean,0.4308743126059653
lowLevel.barkbands.mean.9,0.42627018192866567
lowLevel.spectral_skewness.stdev,0.42477521955239084
lowLevel.barkbands.stdev.12,0.42252013662777443
